username,created_at,text
yulfaariza,2020-06-15 14:12:46,"@PEMBIMBINGUTAMA Sama pak, di rt saya juga ada 2. Agus purwanto dan agus supriyanto"
yulfaariza,2020-06-15 13:46:04,"Drakor yg genre nya macem partners for justice, romantic doctor, atau defendant gitu apa sih? Swg akutuh~"
yulfaariza,2020-06-15 12:49:54,Apaan woooyyy 😭 https://t.co/1vSVUiEeqJ
yulfaariza,2020-06-14 10:58:03,Terima kasih nakes. Terima kasih kalian yg tetap physical distancing. Terima kasih kalian yg selalu menjaga kebersihan. Terima kasih 🤝 #kitalawanbersama https://t.co/mOAfcilSEW
yulfaariza,2020-06-12 11:51:45,😂 https://t.co/amsR5WYXb8
yulfaariza,2020-06-10 10:48:27,@arifinsyamsul09 Minggiro mas 😒
yulfaariza,2020-06-10 08:05:22,"Bertubi-tubi dapet chat: ""Temen sekantorku positif covid"" ""Tak kandani, tonggo ngarep omahku keno kopid"" Allahu 🙃 apakah dpt chat kya gitu termasuk new normal?"
yulfaariza,2020-06-09 10:14:24,@arifinsyamsul09 Quote motivasi hidup jare 😅
yulfaariza,2020-06-09 08:42:13,@arifinsyamsul09 Oke mas 😂
yulfaariza,2020-06-09 07:33:53,@oliviadinka 😂✌🏼🤝
yulfaariza,2020-06-09 04:02:51,@oliviadinka Apa? Aku? Aku kenapa? Aku siapa?
yulfaariza,2020-06-08 11:03:11,Gemes nggak @oliviadinka ? https://t.co/4iUoQCNPG4
yulfaariza,2020-06-07 10:57:50,Kya nya emg aku yg belom siap buat new normal 🙈
yulfaariza,2020-06-05 08:45:53,"@oliviadinka Banget, ga ngerti 😒"
yulfaariza,2020-06-05 05:42:33,@oliviadinka Kok aku sakit ati ya liatnya hih
yulfaariza,2020-06-05 04:40:23,Enak deh kya nya~ https://t.co/aG0i6iLnaj
yulfaariza,2020-06-03 10:53:33,Langitnya bagus. Udah gitu aja 💙 https://t.co/gU5SxVmNf2
yulfaariza,2020-06-03 08:50:19,Apa sih ini 😂 #PenguinIsle https://t.co/4WBs7TjaW7
yulfaariza,2020-06-03 02:39:35,Pengen keplak palanya ya Allah kezeeeeelll 😤
yulfaariza,2020-06-02 21:19:18,"@pdhianh @oliviadinka Duh, tdk kuat saya klo sama yg bikin baper 🙈"
yulfaariza,2020-06-02 12:38:08,"@gramediaebooks Autumn in Paris nya ilana tan sih, juara bikin nangis. Sama Tentang Kamu nya tere liye, kujuga menangeeess~"
yulfaariza,2020-06-02 11:28:56,@oliviadinka Tentang apa sih ituu?
yulfaariza,2020-06-02 08:55:50,"@PramborsSMG @nickyazalea Jungpal-doeksun, tp jungpal bapuk banget kzl Go anna-k2 juga fav ✨"
yulfaariza,2020-06-02 02:58:51,Eh da capanii 👀 @MNuristi https://t.co/y3Otzp5pgW
yulfaariza,2020-06-01 11:07:00,@aMrazing Paling seneng pas bagian eddie redmayne yg bacain ✨
yulfaariza,2020-06-01 09:55:15,@oliviadinka Iya kali ya~
yulfaariza,2020-06-01 06:19:43,"@oliviadinka Lah sama. Bapak aku aja hp maunya hasil lungsuran anaknya, pdhl klo mau juga bisa beli lebih mahal drpd punya anaknya. Lah anaknya? Shopee teroooosss 🤦"
yulfaariza,2020-05-28 05:29:01,Pengen siomay abang-abang sd~
yulfaariza,2020-05-25 10:31:39,😤😤
yulfaariza,2020-05-25 04:34:15,"Baru smpe eps 2, tp sudah pusing nongtong mr.sunshine 🙃"
yulfaariza,2020-05-23 22:53:33,Ketemunya onlen doang 😭😭
yulfaariza,2020-05-21 21:21:17,@roekma Ayame sopo he 🙄
yulfaariza,2020-05-21 14:22:32,"Nhaaa oke nih, biar ga cek-at cek-ot shopee wae https://t.co/nTBZlb1sTC"
yulfaariza,2020-05-21 11:49:09,"@pilotkombi 🤣🤣 rak kepikiran mau ki. Tp enak hlo, rak ngapusi hahaha"
yulfaariza,2020-05-21 10:07:03,"Kerandoman hari ini: Pengen mie ayam, tp warung sebelah lagi tdk jualan. Alhasil yauda bikin sendiri dg ilmu sok tau tp pake sosis karena tdk nyetok ayam 😭 https://t.co/QIFQ7ES8pi"
yulfaariza,2020-05-18 05:08:29,"@oliviadinka Aku yg 365 belom nongton sih. Tp emg iya, gaada romance nya, memorist tetep keren ceritanya. Kya defendant, bagus juga. Meleng dikit langsung ""hah? Paan?"" wlwlwl"
yulfaariza,2020-05-18 03:33:15,Toothless~ https://t.co/iCxomcdrDt
yulfaariza,2020-05-18 03:00:03,"@oliviadinka Heh, kenapaaa?"
yulfaariza,2020-05-18 02:53:03,@oliviadinka Aku mindblowing sekali nongton memorist :( pusing
yulfaariza,2020-05-17 14:00:53,Selamat hari buku nasional 🤝 https://t.co/G4VzQS4L2N
yulfaariza,2020-05-14 11:47:17,@oliviadinka @pamogsadaniyar Buka puasa virtual gimaneee? 😂
yulfaariza,2020-05-12 10:45:16,@oliviadinka Gua bilangin bapak lu ye~
yulfaariza,2020-05-12 07:34:16,"@oliviadinka Kata bapak aku, skrng klo beli-beli kudu dicuci detergen dulu 😭"
yulfaariza,2020-05-12 07:33:04,@xximbecile Kangen poffertjes toko oen akutuu
yulfaariza,2020-05-12 05:11:38,"@pamogsadaniyar Ya Allah iya itu, sama yg cookies sekeras batu aku juga ngakak banget 😭😭"
yulfaariza,2020-05-12 05:10:47,@oliviadinka Cookpad adala jawaban~
yulfaariza,2020-05-12 04:18:16,@pamogsadaniyar Chaaaa aku jadi ikutan ngakak kan 😂😂😭
yulfaariza,2020-05-12 00:58:03,Pakabar momogi yg bisa smpe sejam lebih~ https://t.co/l7pL3vNvfv
yulfaariza,2020-05-12 00:25:03,@oliviadinka ((bubur sumsum)) 😂😂
yulfaariza,2020-05-11 10:47:10,"Langit sebelah barat lagi bagus, mau futo tp ketutupan genteng tetangga 😅"
yulfaariza,2020-05-10 13:33:50,"@pamogsadaniyar Aduh maap maap, tangannya kepleset ngeretweet 🙃"
yulfaariza,2020-05-10 08:19:47,Cobaan macam apa lagi ini https://t.co/G0lsY5zbGI
yulfaariza,2020-05-08 13:24:56,Skrol shopee teroooosss 😒
yulfaariza,2020-05-07 12:48:27,@dhedibenz Hahaha buat dipake dihari raya ya mas
yulfaariza,2020-05-07 10:13:59,"Ya Allah, apakah mueeza dan milo harus kubelikan ini agar supaya jadi ukhti-ukhti shalihah 😅 https://t.co/ctkJtMuAwm"
yulfaariza,2020-05-06 07:00:10,"Dua bulan tdk dolan-dolan, kelakuan mulai aneh-aneh hhh~"
yulfaariza,2020-05-05 14:05:21,Kucing indie https://t.co/8hjtCEbXwC
yulfaariza,2020-05-05 02:34:29,@nurioksa *nyimak
yulfaariza,2020-05-04 03:09:13,@Destangreys Kevin sanjaya 😅
yulfaariza,2020-05-04 00:28:30,Malas 🙃
yulfaariza,2020-04-30 07:13:42,@pamogsadaniyar Kereeeennn 👏🏽
yulfaariza,2020-04-30 02:49:34,@Destangreys Minarti timur 😂
yulfaariza,2020-04-29 11:33:01,@oliviadinka Aku tdk punya foto diri selain poto ktp btw 😌
yulfaariza,2020-04-29 10:12:09,@oliviadinka @ppalgangie_ Ih so kyuuutt 😍
yulfaariza,2020-04-28 10:27:06,@apelketjut @bukugpu Salah satu impian dari kecil 🥺
yulfaariza,2020-04-25 23:06:34,@roekma Oke 👌🏽
yulfaariza,2020-04-25 21:12:35,@roekma Moco wattpad mbak? Tulisan-tulisane sing seri ini 👍🏽 https://t.co/8uOHumiRJJ
yulfaariza,2020-04-25 21:12:16,@MNuristi Tulisan-tulisannya yg seri ini 👍🏽 https://t.co/IMTHYH1Z9C
yulfaariza,2020-04-25 15:26:11,Thanks to mbak-mbak twitter yg sudah merekomendasikan bacaan di wattpad 😌 sungguh berguna
yulfaariza,2020-04-25 15:20:54,@nurioksa @pamogsadaniyar 😂😂 santayy~
yulfaariza,2020-04-25 10:04:43,"@nurioksa Urine sa. Hindari obat-obatan, termasuk obat flu juga ya~"
yulfaariza,2020-04-25 07:55:05,@nurioksa Meh cek darah buat apa?
yulfaariza,2020-04-24 23:59:39,@makmummasjid Akupun 😌 bangun-bangun kaget
yulfaariza,2020-04-24 23:45:39,@dwicachii Selerakuu~~ haha
yulfaariza,2020-04-24 10:29:11,"Hari pertama puasa, meja makan terpantau ramai. Ketika menginjak hari ke-15 ke atas, apakah akan istiqomah? Kita lihat saja~~"
yulfaariza,2020-04-19 11:26:43,Semoga dicukupkan umurnya buat ketemu ramadhan lagi 🤗 https://t.co/xJ12YqqvpT
yulfaariza,2020-04-19 10:50:38,🥺🥺 https://t.co/2cxtUhRZ67
yulfaariza,2020-04-18 02:21:35,Yoh iso yoh! https://t.co/EdD1rMomci
yulfaariza,2020-04-14 11:43:03,Pake invisible cloak nya harry nih pasti https://t.co/xiV4ij4gBz
yulfaariza,2020-04-14 10:59:10,"@firdapierre Oreo pancake fir, ajarane masakdarurat haha"
yulfaariza,2020-04-14 10:56:51,@oliviadinka 😂 sehat-sehat ko echa
yulfaariza,2020-04-14 09:35:54,@oliviadinka Yeaa~ masih kontakan?
yulfaariza,2020-04-14 09:29:21,@oliviadinka Hei hei siapa diaa~
yulfaariza,2020-04-14 02:36:01,Kok aku jadi pengen maen ayunan https://t.co/IYlEmxmlDo
yulfaariza,2020-04-13 23:54:34,@MNuristi Cc: masnya
yulfaariza,2020-04-13 11:11:07,Cara ribet makan oreo. Sungguh cocok untuk yg suwung karena #dirumahaja https://t.co/IgLXKYrvFv
yulfaariza,2020-04-13 03:43:26,"@MNuristi Kacau, gabisa kajian juga 🙃 kejiwaan aman?"
yulfaariza,2020-04-13 00:54:25,Kangen mbolang
yulfaariza,2020-04-12 14:28:12,@dhedibenz Jongkoknya sambil main monopoli atau nguras bak mandi dong 😂
yulfaariza,2020-04-12 13:57:04,"@dhedibenz Coba mas, posisi jongkok. Biar ndak jenuh"
yulfaariza,2020-04-12 13:43:08,@oliviadinka Hahaha u nontonnya sambil misuh-misuh nggak?
yulfaariza,2020-04-12 11:51:35,@oliviadinka Mana bisa pas lagi 😂
yulfaariza,2020-04-12 05:47:31,@faisalyd @oliviadinka kesukaanmu nih 😂
yulfaariza,2020-04-08 03:02:35,Physical distancing wlwlwl https://t.co/bgWmYZ8iMG
yulfaariza,2020-04-07 08:01:36,"@roekma Korsel juga. Tenangno pikirmu mbak, ojo dipakani berita negatif terus. Bismillah, insyaAllah bisa berlalu secepatnya~"
yulfaariza,2020-04-07 07:01:08,"@roekma Dah pusing mbak, ngrungoke tok wae marai mumet 😂 Sedih ya raentuk mudik :("
yulfaariza,2020-04-06 03:56:14,"@jiemiardian Ayo tangi, sesuk jumat prei hehehe"
yulfaariza,2020-04-06 03:15:41,Ini orang kantor ga pusing apa yak tiap hari yg dibahas corona mulu
yulfaariza,2020-04-04 09:17:27,"@omichaan Hooh, aamiin 🙏🏽"
yulfaariza,2020-04-04 04:24:14,"@omichaan Oalaah, kirain udah di jpg. Sehat-sehat omiii, semoga bisa segera bertemu lagi 😁"
yulfaariza,2020-04-04 03:59:41,"@omichaan Alhamdulillah, baik~ anda? Katanya kmrn mau ke jpg? Gajadi po?"
yulfaariza,2020-04-04 03:57:51,"@omichaan Lagi di jpg apa indo, mi?"
yulfaariza,2020-04-04 00:56:34,"@nurioksa Loh, wes rak jomblo? 😂"
yulfaariza,2020-04-03 05:41:49,@pamogsadaniyar @oliviadinka Sungguhlah 👍🏽😭
yulfaariza,2020-04-02 21:42:34,@oliviadinka Gaberani kemana-mana wey
yulfaariza,2020-04-02 11:31:09,Apa beli pempek di shopee aja ya 🙄
yulfaariza,2020-04-01 14:01:10,Kabar gembira untuk kita semuaa~~ https://t.co/hiNzj0ydtk
yulfaariza,2020-03-30 04:57:10,"@mokentuasikal Serius banyak yg resign? Jazakallah khaiir kal~ stay strong, safe, and healthy 🥺"
yulfaariza,2020-03-27 10:16:49,"Hlo, kya pawai autobot 👍🏽 https://t.co/BwXRXnv7a1"
yulfaariza,2020-03-27 10:15:31,@oliviadinka Halah pengangguran apa? Wong tiap hari ngurusin pakde gitu kok
yulfaariza,2020-03-27 04:45:19,@oliviadinka Masak? Coba check out-in keranjang aku
yulfaariza,2020-03-27 02:09:39,@rapinsho Corona mengubah segalanya :')
yulfaariza,2020-03-27 02:07:42,"@roekma Iyo mbak, odp :')"
yulfaariza,2020-03-26 23:43:42,"Hari ini klo ada sampel, dikirim ke rumah aja :') https://t.co/RYYXcqVP7U"
yulfaariza,2020-03-26 03:43:57,"Gimana sih, lagi karantina malah jalan-jalan nyampe lab segala 😭"
yulfaariza,2020-03-25 23:46:19,"@roekma Sori, kreatip kui jenenge 😶"
yulfaariza,2020-03-25 23:45:52,"@oliviadinka Pooh itu, yg satunya simba"
yulfaariza,2020-03-25 08:02:25,@oliviadinka Kenapa semlohay sih 😂
yulfaariza,2020-03-25 02:10:37,Ngapesi -_- https://t.co/BzVVmIevgU
yulfaariza,2020-03-23 10:04:04,@aMrazing Aku sudah ngemute rangorang yg bawa-bawa isu begitu disaat kya gini. Temlen dan pikiran jadi agak tenang~
yulfaariza,2020-03-22 09:47:12,"Bisa jadi alternatif, ketika nanti swg di rumah 😌 https://t.co/8Q3WGax5zy"
yulfaariza,2020-03-21 12:13:42,"Hmm tiba-tiba kepikiran film ttg covid-19 ini tp dari sudut pandang virusnya. Penasaran aja gimana ""ekspresi"" mereka mulai dari transmission, nginfeksi, replikasi, smpe bikin rangorang sakit. Random"
yulfaariza,2020-03-21 00:18:47,"@pamogsadaniyar Iya cha, sedih banget asli liatnya tuh. Jaga kesehatan ya cha, semoga lekas membaik :("
yulfaariza,2020-03-20 10:47:32,"@chikitasda Iya cik bener, udah berkaca-kaca mulu tiap liat mereka 😭"
yulfaariza,2020-03-20 04:30:53,"Bukan termasuk nakes yg ikut terjun langsung di baris depan ngelawan corona. Tp ngeliat temen-temen seprofesi berjuang sebegitunya, hawanya pengen nangis mulu 💔 plis, stay strong and healthy. Jazakumullahu khaiir"
yulfaariza,2020-03-16 02:27:38,@PramborsSMG Tidak ada libur alias pasiennya nanti gimane klo libur~
yulfaariza,2020-03-15 07:30:46,🥺🥺 https://t.co/EMQOyvR1WJ
yulfaariza,2020-03-15 01:45:19,Smg tuh masih aman buat pergi-pergi macem ke gramed gitu nggak sih? Pengen banget ke gramed tp parno :(
yulfaariza,2020-03-14 19:35:27,Twice! 20-17 😭
yulfaariza,2020-03-14 06:15:36,"@chikitasda Iya, kya balik jaman sekolah tp rasanya lebih capek 😂"
yulfaariza,2020-03-14 02:46:43,@chikitasda Same here -_-
yulfaariza,2020-03-11 00:32:44,"@pamogsadaniyar Ya kan emg gitu cha, tuyul dan mbak yul :|"
yulfaariza,2020-03-10 08:48:27,"""...sesuatu yg ga nyata itu belom tentu gaada"""
yulfaariza,2020-03-07 05:15:28,"@BillaChoi Aku, abis debat sama mbak-mbak admin karena dia kemakan berita 'pasien suspek korona di rs x meninggal' hhh"
yulfaariza,2020-03-03 04:45:09,@oliviadinka ...tapi sepertinya 2020 akan menjadi tahun yg panjang
yulfaariza,2020-03-03 01:45:35,Everything is going mess in this several days
yulfaariza,2020-02-26 03:27:16,"@oliviadinka Aku udah nonton s1 tauk, makanya nonton s2 tuh berasa yg apaan banget hhh~ Lah, dr john belom kelar emg?"
yulfaariza,2020-02-26 03:06:09,"@oliviadinka Bapuk bats dah, aku nonton yg s2 bawaannya dah kzl sendiri hhh"
yulfaariza,2020-02-24 13:00:08,@oliviadinka Mangapa?
yulfaariza,2020-02-24 04:47:04,"@oliviadinka Hahaha monmaap, tdk tau judulnya akutu. Dan oke, aku tdk tau monstax juga 😌"
yulfaariza,2020-02-24 02:57:17,@oliviadinka Im jealous of the way ure happy without me~~ Eh yg itu bukan sih? Wlwlwl
yulfaariza,2020-02-23 08:35:23,:(
yulfaariza,2020-02-19 03:24:43,Kenapa kebacanya jadi teflon ya Allah 😭 https://t.co/p1zoNdSIgZ
yulfaariza,2020-02-17 22:20:46,"@chikitasda Ayo cik, kita bikin paguyuban aja :("
yulfaariza,2020-02-17 07:00:57,"Tiap weekdays kepikiran ""ntar weekend mau bikin a b c lalala aah~"". Pas udah weekend ""ih kok mager ya, rebahan aja lah seharian"". Selalu dan selalu 🙃"
yulfaariza,2020-02-16 04:35:27,"@adelladellaide Ini memang nyata dan benar adanya. Sudah melihat sendiri. Awalnya kupikir hal begini cmn ada di drakor yg aku tonton, ternyata selama ini aku yg terlalu lugu. Menjijikkan sih"
yulfaariza,2020-02-15 04:00:36,@Indraselametsan Wes bar?
yulfaariza,2020-02-14 23:50:47,"@dhedibenz Iya, trus ketemunya makcik katanya"
yulfaariza,2020-02-14 23:33:11,"@dhedibenz Maap, kmrn burung hantunya nyasar ternyata"
yulfaariza,2020-02-14 12:21:56,Halo mas @dhedibenz wlwlwl https://t.co/22MFmGchxN
yulfaariza,2020-02-14 06:29:45,@oliviadinka I feel youuu~ find someone who look at u the way jisung look at mbaknya 😭
yulfaariza,2020-02-14 04:49:57,"@oliviadinka Ga ngerti lah dia tuh klo menatap lawan mainnya kya yg sayaaang banget. Changwook juga btw. Lah, kok baper 😭"
yulfaariza,2020-02-14 04:09:13,@oliviadinka Ish klo ini dah nonton aku mah. Demi apa itu klo pke kaos item aaaakk 🙈
yulfaariza,2020-02-14 00:09:25,@oliviadinka Opo meneh iki heeyy?
yulfaariza,2020-02-13 13:02:49,@dhedibenz coba spill alamat dulu biar burung hantu aku ntar ga nyasar
yulfaariza,2020-02-13 11:48:34,"Tidak tau kocheng sapa, tau-tau tadi pagi masuk kamar dan membangunkan orang tidur. Dan nempel mulu lagi, clingy ya anda~ Oke, from now i'll call u blaise. Blaise zabini wlwlwl https://t.co/xeEyLGXz9t"
yulfaariza,2020-02-13 11:06:23,"@dhedibenz Maaf, anda belum beruntung. Silakan melakukan pembelian ciki kembali untuk mendapatkan kupon geseknya wlwlwl"
yulfaariza,2020-02-13 10:28:07,"@dhedibenz Kagak ada mas, kmrn dah pada dipanen yg di kebon. Klo punya tetangga masih banyak haha"
yulfaariza,2020-02-13 07:53:34,@dhedibenz Haha haruskah aku kirim via j&amp;t?
yulfaariza,2020-02-13 00:50:27,From this To this https://t.co/wvssa6cqEK
yulfaariza,2020-02-13 00:14:49,Berasa ngedongengin bocah https://t.co/GZIKdsMF7e
yulfaariza,2020-02-12 03:23:21,@PramborsSMG @samsmith @nickyazalea Culametan met met Dah ya gatau lagi gegara sering lewat di TL skrng lirik itu muncul mulu di kepala
yulfaariza,2020-02-11 13:54:31,"@adelladellaide ...dan berujung pada tdk bisa tidur, lalu siangnya hidup seperti zombie 🙃"
yulfaariza,2020-02-10 00:03:07,"@dhedibenz Nggggg... Sorry, cant load your tweet now. Please try again later 🤪"
yulfaariza,2020-02-09 02:56:46,"@dhedibenz Ya sapa tau yekan, karena sudah nyaman wlwlwl"
yulfaariza,2020-02-09 02:46:30,"Nah ini benar. Tolong kepada penjual susu nandhi murni batu dan lumpia boom pwt, agar supaya membuatnya bisa dikirim ke luar kota. Karena di sini tdk ada yg menjual 😭😭 https://t.co/j26UKG3pte"
yulfaariza,2020-02-08 21:51:13,@dhedibenz Woo tak kira masih di papua wlwlwl
yulfaariza,2020-02-07 07:47:02,@dhedibenz Tgl 18 mas. Kamu skrng di mana to mas?
yulfaariza,2020-02-07 05:36:18,@dhedibenz Belom mas
yulfaariza,2020-02-06 09:06:26,His deep ocean blue eyes omg 🙈
yulfaariza,2020-02-06 08:05:53,😂😂 https://t.co/SFdfPqaOe1
yulfaariza,2020-02-06 01:53:08,"@falla_adinda Ayam, kulit ayam 🤢"
yulfaariza,2020-02-01 22:04:01,@firdapierre Haha rasah nonton s1 rapopo yae ya
yulfaariza,2020-02-01 22:03:39,"@Lidia31_ Tapiii, nanti aku tdk bisa berenti nonton 🙃"
yulfaariza,2020-02-01 10:58:31,"Ingin nonton doctor romantic, tapiii..."
yulfaariza,2020-01-30 06:42:40,@oliviadinka Wooo bwaiklaaa~
yulfaariza,2020-01-30 05:41:13,@oliviadinka Tp ceritanya nyambung ga?
yulfaariza,2020-01-30 04:20:24,@oliviadinka Ada niatan nonton ini. Tp kudu yg season 1 dulu nggak sih? Atau nggak papa klo langsung season 2nya?
yulfaariza,2020-01-30 04:03:44,@mokentuasikal ((jaman)) jaman neolitikum apa megalitikum? 😭
yulfaariza,2020-01-29 15:22:18,"@mokentuasikal Lah, indonesia bagian timur dah lewat tengah malem yak?"
yulfaariza,2020-01-29 04:18:35,"Tolong ya ayat ini diinget, wahai diri sendiri https://t.co/Ib2eiYPQmk"
yulfaariza,2020-01-24 13:48:50,"@dnya2s Salatiga ujan, semarang anteng-anteng aja 😌"
yulfaariza,2020-01-23 07:46:50,"Hlo, gemes poohnya https://t.co/BxtKhLG50D"
yulfaariza,2020-01-22 03:18:48,"@shitlicious Aku: ""upaa, inget ya, sebaik-baik manusia adl yg bermanfaat bagi orang lain. Niatin aja buat ibadah. Bismillah, yok semangat!"""
yulfaariza,2020-01-22 03:17:39,"@oliviadinka Sama harapan-harapamu tentangnya, jauhan mana? *eh"
yulfaariza,2020-01-21 13:49:11,@oliviadinka Apa sudah tidak alergi anda itu?
yulfaariza,2020-01-20 16:47:34,Dah yuk tidur. Pikiranmu juga butuh istirahat :)
yulfaariza,2020-01-19 02:31:30,"@MNuristi Iya, lagi bosen jadi jahat soalnya"
yulfaariza,2020-01-18 22:29:51,@pamogsadaniyar @oliviadinka Ya gitu tuh emg dia cha. Marahin ajaaa 🤪
yulfaariza,2020-01-18 22:29:18,"@oliviadinka Hlo, gajadi 3 bulan?"
yulfaariza,2020-01-18 22:28:30,"@MNuristi Sini nak, ke rumah. Aku buatin mac n cheese"
yulfaariza,2020-01-18 13:05:27,@oliviadinka Mang dah mau balek?
yulfaariza,2020-01-18 10:28:45,"Gatau ya udah berapa kali mbatin pengen makan sesuatu, trus pas nyampe rumah makanan yg dipengenin udah nangkring aja di meja makan. MasyaAllah, nikmat mana lagi yg kau dustakan 🥺✨"
yulfaariza,2020-01-16 02:29:30,Can relate :) https://t.co/2yETqvrpim
yulfaariza,2020-01-14 04:49:20,"""koe meneeeh. Rak bosen to? Aku wae bosen mbok parani terus"" ""Skripsi tipis ki rakpopo, penting isine berbobot. Thesisku wae luwih tipis, tp isine luwih berbobot wekku"" Mantap pak arya! ""Ngapain kamu takut dan khawatir sama sesuatu yg belum terjadi?"", bu Andri https://t.co/HemC3tvnun"
yulfaariza,2020-01-14 02:18:43,Ngantuk
yulfaariza,2020-01-13 02:21:00,Just let them 😌
yulfaariza,2020-01-08 11:49:53,"@dhedibenz Sebuah usahaku ditaun yg baru, memperbaiki asupan minum agar supaya tdk beli boba thai tea teros 😂"
yulfaariza,2020-01-08 09:20:12,"@elwa Punya juga, tp sayang tdk istiqomah 🙃 https://t.co/wzTI3M1I1L"
yulfaariza,2020-01-08 04:20:43,🐸🐸 https://t.co/VkNDHPWkLx
