username,tweet
adputri_,iya tidak hakim buku oleh ini adalah tutup
adputri_,peta
adputri_,begini doang
adputri_,tuhan maaf untuk
adputri_,tapi memang begitu beda air tidak celaka tapi celaka
adputri_,begitu
adputri_,pulang dengan adan punggung sakit karena jam duduk kursi sandar tapi pagi brngkt tiba tiba kursi sandar bahagia sekali
adputri_,cepat ajar baju tidak korban
adputri_,misi anak natasha lewat
adputri_,asik bisa beli album bts
adputri_,kiyowo
adputri_,jalan saja
adputri_,dunia lebih improvisasi
adputri_,erna brenda kalau lagi tamu
adputri_,mie ayam yang dekat upn
adputri_,jajan ros
adputri_,tuhan pagi mruput mandi wangi tanggal merah
adputri_,gilagilagila
adputri_,suruh teman ganti dp modus intai dinotice dosbing padahal memang tidak suka sama dp
adputri_,iya
adputri_,tidak boleh marah marah
adputri_,sumpah
adputri_,tidak tahu tahan obat dokter yak
adputri_,hormat bapak gocar
adputri_,adekmu ksl
adputri_,gila
adputri_,hamdalah drama tidak sesak
adputri_,untung lagi
adputri_,jenius tapi yang kartu kirim rumah mendengarkan lebar hoh hoh mau daftar tapi fail
adputri_,iya yang sudah lulus
adputri_,tidak boleh tidak aman besok bahagia
adputri_,nice penuh ntis
adputri_,tes psikopat pakai drama
adputri_,baik psikopat
adputri_,ken teleport
adputri_,stadion
adputri_,sudah tidak ketemu tong
adputri_,untung tidak tidak buka
adputri_,tuhan susah susah buat tapi caplok lain
adputri_,ngopo
adputri_,hibur untuk tidak aman sedih ini
adputri_,bangun renung sendu harus ini
adputri_,kan yang ngajarin
adputri_,tidak pakai cuci baju
adputri_,tidak gertak saya
adputri_,kadang tidak paham saya
adputri_,pria sirop udara
adputri_,skuad
adputri_,ajak
adputri_,gila kereta bawah tanah spora selamat tinggal
adputri_,kata tapi tutup sepi minat besok senin jadi manajer tunggu
adputri_,acak ini
adputri_,tiba ken beli gorden
adputri_,tonton po
adputri_,dia knmu tidak lancar anda
adputri_,tidak rindu
adputri_,rindu tnd
adputri_,ken buka toko bunga
adputri_,ayo iur ac saya
adputri_,diket pusing tidak diket panas
adputri_,astaga
adputri_,untung tidak tidur bareng
adputri_,ayo tiga
adputri_,tidak bingung
adputri_,sepupu itu
adputri_,iya
adputri_,semoga tidak lebaran lupa
adputri_,gabaca terang
adputri_,la foto mayoritas aib itu
adputri_,orang marah
adputri_,apas
adputri_,sampai tomorow
adputri_,kejut ayo periksa sehat sana
adputri_,pikir saya
adputri_,kecil itu revisi
adputri_,trauma jadi
adputri_,syukur
adputri_,wajar kan hidup itu begitu
adputri_,saya cemil galantin es krim puas acara
adputri_,sudah ganti tengah kapan tawa
adputri_,kalah belum
adputri_,tel sekali anda
adputri_,mil ini ti
adputri_,dora baju pinkeu
adputri_,balon
adputri_,rambut seperti polwan jdnya
adputri_,semoga ayo malu
adputri_,muncul kemarin kema saja
adputri_,tiba konco butuh ngechat lihat bab anda diapain
adputri_,tuhan
adputri_,sekali
adputri_,terus bolong
adputri_,sakit gake
adputri_,iya
adputri_,tawa
adputri_,untung hidup benar dhe
adputri_,amin
adputri_,acak sekali bren haru saya
adputri_,tangan ringan teman teman
adputri_,kejut kejut
adputri_,igninku tidur siang tapi
adputri_,amin
adputri_,syukur pai
adputri_,belum wen sabar tawa
adputri_,maksa sekali saudara wanita
adputri_,uwe
adputri_,bismillah
adputri_,darah manis sampai tears
adputri_,ceker si
adputri_,murah
adputri_,rayu tempat sampah da sembuh
adputri_,nyala anda
adputri_,ayo
adputri_,pikir isi semua
adputri_,yang bilang tidak sampai putus tali silaturahmi juga yang ngeblok labil
adputri_,ada seperti maeman
adputri_,gondes kulonprogo
adputri_,tidak tahu kenapa tiba tiba ingat tndi
adputri_,selamat tinggal pedas
adputri_,tanaya tempat tidur sampai sarap
adputri_,bagus sekali jadi
adputri_,bodoh
adputri_,tidak usah percaya ramal percaya dil
adputri_,syok tapi tidak mau percaya ramal bintang
adputri_,tiba tiba dosen ngechat
adputri_,gulir jelajah instagram temu
adputri_,mangat ges
adputri_,ngaya kelelawar
adputri_,lum
adputri_,tidak boleh sirik ibu
adputri_,bahagia
adputri_,tuk
adputri_,mao sinisini
adputri_,apa
adputri_,anda ada pacar bambang
adputri_,telah jam depan laptop
adputri_,blok wakakak
adputri_,bodoh tidak fokus
adputri_,imutnya kan
adputri_,kalau hujan sinyal jadi seperti tiba tiba hilang
adputri_,suka wakakakakak
adputri_,akhir stlh eror eror
adputri_,tunggu
adputri_,saya tidak
adputri_,keluh dalam hati
adputri_,aduh aduhaduh
adputri_,mercu yang itu
adputri_,ayo
adputri_,suara perut
adputri_,pakai usul tidak
adputri_,sensor karena ehe
adputri_,iya semester aduh aduh skripsi
adputri_,pansi
adputri_,nahiya
adputri_,humoris sekali
adputri_,adeknya erna tampan buat pangling ehe
adputri_,lashisa manoban
adputri_,sobat kalau ajak ngrokok sobat ayo ehe
adputri_,juga sobat ambyar untuk
adputri_,mlz kopel sama teman kn tawa
adputri_,kopel anak garong anda
adputri_,baikbaik kuku tidak sampai patah
adputri_,perhati
adputri_,astaga
adputri_,nentuin alas beda teliti lebih susah banding nentuin alas tibatiba beda
adputri_,rindu sepatu putih
adputri_,pacar hanya
adputri_,disuruh kesana itu tanda
adputri_,yang waktu tidak jadi heuheu
adputri_,lagu tanpa gesa air luicy
adputri_,mantap
adputri_,ayo ngecover tawa
adputri_,ting itu
adputri_,tawa
adputri_,kali se gembira kalau sudah jumat sore
adputri_,hadu hadu
