username,tweet
auliapramudya_,ayo nyemil lombok bareng agar saudara wanita pedas
auliapramudya_,banyak mau yang pedas pedas
auliapramudya_,syukur tapi begitu kadang saja
auliapramudya_,ketemu tambah lemu untuk
auliapramudya_,kaya indah uang
auliapramudya_,ayo teman
auliapramudya_,pikir sui mit gek saja tidak sadar
auliapramudya_,bahagia ketemu teman itu tahan ya
auliapramudya_,ken grabfod tapi ongkire mahal kalau sampai rumah
auliapramudya_,saat gila timbulah jerawat asam lambung padahal ibu tidak gila
auliapramudya_,saking yang tidak bisa jadi bingung drmana
auliapramudya_,semut jadi cemil saja kynya
auliapramudya_,bisa buka whatsapp sama twitter bosan sekali tidak bisa spotify youtube
auliapramudya_,flo
auliapramudya_,twitter memang racun parah benar twiternya tapi omb
auliapramudya_,lights akan pandu anda rumah
auliapramudya_,alig nob sekali astaga
auliapramudya_,nila
auliapramudya_,tidak bayang bagaimana sakit ayam tidak ngeluarinya
auliapramudya_,dapat jadi segera agunesu mangats ujian
auliapramudya_,ken ritwit tapi raiso dadi seperti saja
auliapramudya_,pikir nahlo bingung
auliapramudya_,saat tipsen selalu gagal kesal
auliapramudya_,tiang rumah
auliapramudya_,nang
auliapramudya_,raya
auliapramudya_,wajar
auliapramudya_,tawa tahu
auliapramudya_,editin tolong
auliapramudya_,soksokan tidak mau maem eh jam gin rasa lapar sekali
auliapramudya_,sebenere nyaring instagram ki putih gasih pancen dadi ayo tawa
auliapramudya_,pikir bagaimana bagaimana
auliapramudya_,benar sekali
auliapramudya_,balada saudara keluar susah
auliapramudya_,selesai gosok gigi ingat pana cotta alias ager italiku belum maem
auliapramudya_,wih s memang
auliapramudya_,congratulation
auliapramudya_,sama masih hangat sekali
auliapramudya_,tren bensu jadi rindu geprek bensu
auliapramudya_,rumah lama bosan sekali tapi tidak mau
auliapramudya_,apa bosenin sekali
auliapramudya_,dinginya buat telapak tangan keriput
auliapramudya_,tidak
auliapramudya_,ken iso
auliapramudya_,kalau sudah gadibuat pikir berat jadi banyak sekali
auliapramudya_,hoo
auliapramudya_,tawa njuk tonton rep v
auliapramudya_,ken baca filosofi teras sampai cantik luka
auliapramudya_,tangis apa itu
