username,tweet
laylarmdhnaa,insekyur
laylarmdhnaa,tonton sampai habis asik euy dandutan
laylarmdhnaa,bingka tapai
laylarmdhnaa,rawat kulit an ditontonin sudah ada lucu
laylarmdhnaa,ai saya menang bayang
laylarmdhnaa,kasihan sama orang pdahal adan sedang patut kasihan
laylarmdhnaa,bkalan rindu brantem karena akhir lihat
laylarmdhnaa,gembira pikir perabot rumah daripada pikir skripsi dasar
laylarmdhnaa,tidak usah wo sudah alias kuyus
laylarmdhnaa,sayang wlaupun salah ketik ny sekali smpai harus pikir sekali yang itu
laylarmdhnaa,humor
laylarmdhnaa,na itupang en ai
laylarmdhnaa,tidak hapus en agar banyak yang mndoakan
laylarmdhnaa,barakalah en
laylarmdhnaa,kita singah subhana
laylarmdhnaa,salah salahin hanya heran
laylarmdhnaa,kali yang bawa motor ibu jam an pagi terus kunci ny lupa mati sadar tidak bawa jam malam sekarang saya hnya pasrah motor yang daya
laylarmdhnaa,tidak sangka kecewa mudah tidak sengaja lihat pasang orang
laylarmdhnaa,pantas saja kemarin kuku saya jadi oren pkai nivea serum tapi dibersihin pkai sikat sabun hilang
laylarmdhnaa,mudah ngafalin nama nama bumbu dapur daripada nama pisang banyak sekali tidak ada habis
laylarmdhnaa,saya minggu nyala twitter sebut suka retweet retweet capai lihat milik anda dengan
laylarmdhnaa,ingin cepat buka agar nang
laylarmdhnaa,tidak apa apa tidak apa apa iya tidak apa apa begitu saya kali mncoba damai dngn sendiri
laylarmdhnaa,saya minggu nyala twitter mentions balasan lihat milik anda dengan
laylarmdhnaa,saya minggu nyala twitter mentions baru ikut balasan lihat milik anda dengan
laylarmdhnaa,tidak tahu rasa susah sekali nglupain orang yang tidak mngenakan
laylarmdhnaa,syudah
laylarmdhnaa,apa ini habut bnar nah hndak btamu emon kh
laylarmdhnaa,dosen
laylarmdhnaa,yang berangan dengan cinta bukan benci tapi peduli
laylarmdhnaa,elah
laylarmdhnaa,saya minggu nyala twitter mentions suka baru total ikut balasan lihat milik anda dengan
laylarmdhnaa,tidak ruang
