username,tweet
liawrdhani,kadang pikir tidak sabar anak tidak rewel begitu
liawrdhani,yang cantik tampan pintar bahkan humoris selalu ternotice yang kentang tetap perkedel kentang
liawrdhani,ada balita ajar pakai kaos
liawrdhani,rem
liawrdhani,seminggu tidak keramas dibantuin keramas sepupu
liawrdhani,ini haru lihat nilai ujan sampai luk ibu
liawrdhani,lama tidak sensasi gugup an buka nilai ujan
liawrdhani,rajin amatsih ngecek nilai belum
liawrdhani,ada kuliah imunologi versi yang senang paham ini daripada diajarin dosen kelas
liawrdhani,lepas selang darah jorok kebahagian
liawrdhani,suka sekali buat kejut
liawrdhani,orang penuh giat yang senang punya teman buat rasa kenapa tidak ya kayak begitu
liawrdhani,tweet seperti kandung bawang haru
liawrdhani,langsung diomelin cuma canda tanya
liawrdhani,drama sekali menit seblm kuliah online mules
liawrdhani,saat teman saat wisuda pakai softlens saya pilih tetap pakai kacamata takut makenya
liawrdhani,saja teori kalau benar netijen cengang
liawrdhani,pakai kupat
liawrdhani,gin saya saudara wanita
liawrdhani,tawa
liawrdhani,budak cinta begitu mau suruh
liawrdhani,rsud daftar putar belum tamat kalau suka drama selingkuh itu dunia dari itu meni vip ibu bagus
liawrdhani,neraka sekali
liawrdhani,kadang selera beda lingkar teman saya bingung mau cerita seru habis tonton drama korea
liawrdhani,baik tonton drama korea
liawrdhani,sering kadang ke instropeksi atau tidak ngejauh agar tidak sakit
liawrdhani,sadar
liawrdhani,iya baru sadar
liawrdhani,rumah ramai anak utama kejar an tidak pikir musim corona
liawrdhani,benar bude endang saya wanti begini tawa
liawrdhani,benar saya saya doang yang rasa
liawrdhani,untung sodaraku tidak yang
liawrdhani,kasih
liawrdhani,rsud daftar putar
liawrdhani,tuhan ingin ponakan bayi
liawrdhani,ingin ngretekin leher agar gel hilang
liawrdhani,ingin ponakan bayi sudah tapi tidak dekat rumah
liawrdhani,tapi hari rabu solo
liawrdhani,tidak berani naikin volume suara takut haru
liawrdhani,sudah terus
liawrdhani,tidak ke starbucks suka teh pait
liawrdhani,mimpi sedih tidur siang mimpin ayah beliau hidup dan saya sadar mimpi kalau tidak jadi nang senguk
liawrdhani,untung dapur ada cemil
liawrdhani,yang edit aman
liawrdhani,jam gin perut jatah
liawrdhani,rsud daftar putar ibu
liawrdhani,tawa
liawrdhani,dengar suara glodakan tidak mau ambil cemil dapur parno antara tikus orang benar
liawrdhani,salting tawa
liawrdhani,peta ibu juga tawa
liawrdhani,dulu obrol dosbing dipangil saudara laki gara dpnya foto pria
liawrdhani,pakai aplikasi fi
liawrdhani,an suruh begitu tidak wisuda gandeng yang baru sadar
liawrdhani,ginu tawa hai
liawrdhani,sial
liawrdhani,anda saya sama
liawrdhani,diginian saya lemah
liawrdhani,jam malam bawa lapar ingin cemil nasi tapi kayak gin jadi bias masuk melar
liawrdhani,dapat jadi segera
liawrdhani,memang suka buat budak cinta terus hilang
liawrdhani,tidak rajin bagaimana lulus uji nyontek tidak
liawrdhani,niat akan ngehubungin duluan nekat ambyar
liawrdhani,tonton kali mau atur
liawrdhani,artis memanh
liawrdhani,saja yang edit
liawrdhani,restock masker mumpung uang jatah ini utuh
liawrdhani,malu
liawrdhani,saya tidak perhati peta
liawrdhani,lihat iklan milna tawa
liawrdhani,nelfon ibu tidak angkat gugup an takut atau takut ngambek
liawrdhani,tidak mati tidak mati
liawrdhani,belum yang nge tanda
liawrdhani,betapa tabah tinggal mati pasanganya yang jalan hidup suka duka
liawrdhani,benar yang dekat kita mati
liawrdhani,dulu dikagetin berita suami bcl mati lembah kecil fredly
liawrdhani,pasar pikir kalau tidak ke pasar tidak sedia cemil cemilan
liawrdhani,benar hindar picu tidak tidak aman diri
liawrdhani,sial fakboi jamanya
liawrdhani,vip muncul drama selingkuh yang greget itu dunia dari itu meni tidak tonton vip sempat pikir takut tidak menikah diselingkuhin tapi suka drama topik sih
liawrdhani,sudah ada sop obrol balas iya oalah pikir kadang sudah malas obrol dar lagi apa sudah cemil tapi banyak juga saya kesal dasar
liawrdhani,mie telur
liawrdhani,baru saja baca benang horor takut bonus sedih
liawrdhani,jijik sekali sial mendengarkan sinetron apa yang televisi
liawrdhani,kesal lihat keluh jadwal ujian seminggu anda tidak lihat anak farmasi uji minggu penuh
liawrdhani,saja tawa
liawrdhani,siang baru ingat film yang sempat tonton along dengan itu gods tidak sabar tunggu cerita yang tunggu kyungso wamil
liawrdhani,tapi
liawrdhani,pusing lihat siap menikah
liawrdhani,tunggu sedia masker saudara
liawrdhani,tidak sih kurang umur dunia di selamatin kadang sedih sih sudah perkara selamat ulang tahun
liawrdhani,tidak
liawrdhani,ruang antre obat deketan ruang rontgen ct scan dk bolak tugas pakai apd lengkap pakai jas hujan lebih
liawrdhani,sekal ngangepnya wajar kalau juga akan risih
liawrdhani,bisa rapi gin
liawrdhani,ain sabun cuci tangan kamar mandi cuma tidak akre dipenuhin lelah
liawrdhani,flu saat musim corona gin buat parno
liawrdhani,tidak bayang bagaimana hancur hati ibu keluarga sudah tunggu lalu ambil sama tuhan
liawrdhani,teman mau lulus tonton konser
liawrdhani,saking kesal orang hapus kontak sayang saya namain tidak aman
liawrdhani,tuhan ingin saudara
liawrdhani,lelah ajar undang undang ujan sebrangku tidak diam rumit ngawasin tugas buka contek yang bawa
liawrdhani,semua buat kesal
liawrdhani,ujan frs yang tidak sangka keluar dulu tri sehat direktur rumah sakit
liawrdhani,kadang humoris lihat saya miskin diri barang yang brended jajan habis tinggal ini tidak lihat segi
liawrdhani,lihat buat cerita ajar tambah semangat buat panik
liawrdhani,benar ngadepin ujan tidak semangat kayak gin ingin lewat tapi bagaimana saya lulus tidak ujan
liawrdhani,malah waktu bimbing janji ngingetin saya mahasiswa bimbinganya
liawrdhani,dosbing saya mana kayak gin
liawrdhani,gobloqan saya
liawrdhani,baik tidak tahu tidak aman
liawrdhani,pagi uji lihat kartu uji lain punya beda panik takut tidak uji nyata uji uji lumayan ngelatih mental
liawrdhani,ingin nge lewat ini bodoh bilang lebay benar gugup an tjuy tidak tahu bagaimana buat saja
liawrdhani,jadi kayak senam
liawrdhani,tidak ubah orang dan yang sudah tidak
liawrdhani,tangan kumat gatal daritadi pikir habis cemil dan nyentuh
liawrdhani,kadang bingung ditanyain semester saudara wanita
liawrdhani,obrol saja sudah kayak antem
liawrdhani,kadang rasa bodoh sekali semua peduli peduli fakta cuma ingin tahu dan yaudh urus awal peduli kayak apa anda loncat hanya ujung tetap pendam
liawrdhani,tawa
liawrdhani,coba tulis resep kayak gin
liawrdhani,sedih marah kenapa pasanganya diam deh gemas maki maki
liawrdhani,dasar
liawrdhani,apa grup atau ramai ujung diri yang racun kejut racun racun racun
liawrdhani,cerewet sekali gosip mati rem sial
liawrdhani,tidak cuek yang bodoh punya teman tidak karena kesini rasa walaupun tidak apa apa toh mati juga sendiri
liawrdhani,mikirnya pokok yang salah dan yang benar pokok lia memang baperan begitu
liawrdhani,kadang suka tarik dari teman karena tidak aman malah rasa sendiri yang tidak aman rasa racun teman yang jadi tarik
liawrdhani,cara temenan saya yang salah bagaimana ada tidak teman kumat baperan gin tawa
liawrdhani,wakil suara hati tan
liawrdhani,halusinasi
liawrdhani,kalau ibu rumah mampir
liawrdhani,panas keluh dingin keluh dasar
liawrdhani,kamar kedengeran suara televisi nayangin sinetron geli mendengarkan percakapanya
liawrdhani,lama nge cerewet ditwiter
liawrdhani,saudara laki agung
liawrdhani,hari tidak hanya utama media sosial karena tidak kuota wifi kos mati bantu akre rumah sakit gin tidak balas whatsap cepat utama instagram jam jam seru
liawrdhani,wifi salah pakai kuota tidak sinyal
liawrdhani,tawa beda yang
liawrdhani,papas motor yang knalpot kayak gin ingin misuh
liawrdhani,hasil selesai dan foto bareng teman angkat siwal
liawrdhani,tahun lembur sedia opname rumah sakit
liawrdhani,kos buka rumah natal motor tidak masuk parkir dan posisi motor tengah saya kunci ganda motor hujat memang
liawrdhani,waktu wisuda tahan nang tapi jebol kesal memang jadi peka gin
liawrdhani,memang suka beranda pikir tidak acara coba ayah ada hampir nang bagaimana kalau tidak acara bisa nang
liawrdhani,ada bodoh sekali pergi jam sampai belum pergi
liawrdhani,kadang humoris baca komenan masa sangah cpns sudah ada syarat ungah surat sehat jasmani rohani malah tidak unggah alesanya surat sehat jasmani surat sehat rohani kadang kesal baca cari info cuma nya doang
liawrdhani,terima kasih saudara wanita
liawrdhani,bakso brewok belah ya saudara wanita
liawrdhani,apa
liawrdhani,lebih hindar daripada iri endap ujung jadi sakit hati lain
liawrdhani,orang iri an
liawrdhani,kadang suka mesenyapkan cerita karena iri lihat dekat sama
liawrdhani,igd depo tersantuy daritadi bingung apa jarang resep
liawrdhani,ketemu dokter jaga yang tidak tahan senyum ada berkah
liawrdhani,memang saya waktu selain bersih putar tidak motor
liawrdhani,pagi jail putar salatiga jalan yang ayah rawat ingat jalan doang tapi sudah tidak ingat mana bingung jalan naik putar karena takut
liawrdhani,telek
liawrdhani,gin
liawrdhani,obrol lama rengang sikap batu sama kayak
liawrdhani,beberapa lalu pikir tidak kanker ginjal salah artis yang itu
liawrdhani,rencana minggu tidak pulang terus sudah pikir hari libur mau masak pasar tidak tahu
liawrdhani,sadar dipangil ibu nduk mangil nama lagi gregetan suruh tidak pergi tawa
liawrdhani,tadi malam lihat daging daud jelajah instagram terus bawa mimpi lihat dion mulya bawa mimpi juga
liawrdhani,hobi datang pergi senak gin
liawrdhani,laku yang badan
liawrdhani,kadang pikir tidak ingin ketemu tesis
liawrdhani,saya tk belum masak telur
liawrdhani,habis baca sinopsis drama vip drama selingkuh memang menariq
liawrdhani,drama garuda sudah kayak drama korea gin
liawrdhani,yang cuci sekarang ngelaundry parfum laundrynya tidak nyenget kayak biasa
liawrdhani,bodoh ngebacot twitter tidak suka tinggal henti ikuti
liawrdhani,memang dasar hidup hubung sosial ada formalitas
liawrdhani,lihat peduli asli bodoh kampret memang
liawrdhani,karma bayar tunai gin
liawrdhani,ada nge bodoh in sendiri
liawrdhani,ktp serang sekolah wonogiri orang tua tinggal serang eh di boyolali keluarga mencar
liawrdhani,kadang kesal ditanyain asal darimana bilang wonogiri logat aneh bilang serang tampang tidak sunda
liawrdhani,bisa mimpi sedeket tidak jarak sekarang bisa ngehubungin tidak
liawrdhani,kayak orang bohong
liawrdhani,suka sekali hawa salatiga
liawrdhani,kecewa kecewa sudah kayak siklus begitu terus tidak bosan
liawrdhani,rumah tamu pilih tidak malas ditanyain siapa bantu
liawrdhani,pikir minum nanti sholat tidak terima ujung mendengarkan lagu doang utama game nge spam ditwiter
liawrdhani,jail rumah bawa mobil sudah pikir bagaimana muternya terus halaman rumah parkir mobil tetangga tidak jadi karena bingung muternya bagaimana
liawrdhani,nama mahasiswa kadang suka tidak cerdas
liawrdhani,huni kos waktu siang anteng hidup waktu malam ngobrol nyanyi
liawrdhani,beberapa jam dikos sebrang kamar teriak tolong nang tidak saya teman bengong bingung harus bagaimana huni lantai tapi habis yaudh diam biasa tapi senyum tidak rem juga
liawrdhani,sial drama gin kosnya
liawrdhani,tawa lihat motor di jok ada kardus mau lebaran
liawrdhani,cinta nge cerewet twitter
liawrdhani,yang pisah jelang pkpa cemil gerombolanya saya boro ingat saya sudah syukur
liawrdhani,packing
liawrdhani,kyknya tinggal pergi baru sadar
liawrdhani,memang ngelampiasin orang enak
