username,tweet
liayurh_,wl
liayurh_,tuhan maha baik apa memang titik rendah memang butuh tiba tiba ajaib tuhan kasih syukur kita tidak hidup dunia yang kita pikir
liayurh_,ini pulang sore biasa naik angkutan umum belum tumpang bapak sopir ada ada sekolah saudara
liayurh_,rasa semangat saudara
liayurh_,sudah pacar ter sesal
liayurh_,kurang bulan pulang pergi seperti harus seperti
liayurh_,bunga matahari seperti cahaya hidup semangat lihat
liayurh_,saudara
liayurh_,ini seton favorit sekali tangis
liayurh_,yang bilang tetap hidup tidak lalu apa hidup tidak
liayurh_,yang parah
liayurh_,ini
liayurh_,hula
liayurh_,ayo ayo
liayurh_,kuripik
liayurh_,hadju
liayurh_,pernah libur ditangal merah libur bagi libur
liayurh_,salah terima galon yuli besok struk galon ini bawa pulang rumah
liayurh_,orang bilang jadi lee admin ho ada depan atm
liayurh_,sudah bosan mulut seperti gadis
liayurh_,risih taruh
liayurh_,yang syukur
liayurh_,yoyic mirip yakult
liayurh_,usia tahun anda pikir yang anda baik yang anda dan jawab ingat
liayurh_,wadu
liayurh_,humoris tempat tidur
liayurh_,akan marah selamat kuat iya
liayurh_,tonton tengah malam dong
liayurh_,sedih hidup
liayurh_,jasa titip wuw
liayurh_,sekali hwuhu
liayurh_,rajin keju
liayurh_,maret
liayurh_,tak ujung cinta
liayurh_,semoga cepat
liayurh_,memang beud cari vieneta si juga belum coba hwuhu
liayurh_,asli sih sudah murah anak
liayurh_,tidur
liayurh_,lwup
liayurh_,singkawangku
liayurh_,tolak lupa
liayurh_,cinta
liayurh_,teh hijau pahit hidup
liayurh_,tiap jam gin dagu bentol kekgini tangis
liayurh_,sudah magrib atm rumah lumayan tidak kendaran sekali coba sepeda tengah jalan hujan pulang nangung coba jalan ujanya besar sudah dekat jalan habis hujan tidak renti sudah isya pulang keujanan hilang kabar
liayurh_,waktu banyak cari inituh
liayurh_,buah naga
liayurh_,lucu
liayurh_,ac
liayurh_,malah ikut
liayurh_,bisa nafas saat juga rezeki
liayurh_,selamat tua
liayurh_,surga tidak rindu
liayurh_,haduh
liayurh_,mafkan yang besok ulas malam ngebut kerja makalah malu
liayurh_,menang
liayurh_,alhamdililah lupa syukur selamat pengirim
liayurh_,sayang murni sudah
liayurh_,senja saat anda pergi
liayurh_,salam
liayurh_,morgan
liayurh_,tim prabis ini tawa
liayurh_,cianjur
liayurh_,mari
liayurh_,biore
liayurh_,senin jumat sabtu minggu kerja pulang rumah sekali pernah minggu pulang selasa anak jatuh pulang rumah
liayurh_,buat bahagia ke sendiri bahagia
liayurh_,asli greget sekali tangis
liayurh_,pakai rinso molto agar tidak rumit ehe
liayurh_,saya
liayurh_,beli coklat niat memberi sepupu saudara tahu tinggal tidak tahu padahal simpenya tas kos tangis
liayurh_,tangis
liayurh_,mungkin kita
liayurh_,iya tuhan
liayurh_,tina
liayurh_,tawa
liayurh_,oke teh tidak ditawarin oiya peta sq saudara wanita tidak anggota ada nama itu membernya atas nama marwan ya bukan jo jodoh coklatny buat saudara wanita pergi ingat istri
liayurh_,tawa saya sb
liayurh_,laki laki pada suka nyapu ngepel tangis
liayurh_,twibi anda
liayurh_,sampai dengan hapal sekali lagu
liayurh_,biore relaxing aromating wangi sekali tangis
liayurh_,bodoh anda anak
liayurh_,tidak mana mikirnya
liayurh_,ada tapi percaya beda sakit
liayurh_,semangat pengirim
liayurh_,bulan sama hati sudah beda
liayurh_,administrasi yul input dus spbrt spbrt itu dulu pa masuk ke dokumen terus cari spbrt cetak sudah oiyaiya lupa iya
liayurh_,zafron hijabic tangis
liayurh_,iya sekali
liayurh_,bayang dulu
liayurh_,saudara laki tahun ehe
liayurh_,sudah serius baca
liayurh_,rasa anda saudara wanita
liayurh_,sudah gaji sudah habis
liayurh_,adonai
liayurh_,ow
liayurh_,cemil lebih enak cemil terus tapi gendut gendut
liayurh_,bukit baros
liayurh_,lays
liayurh_,rumpang saat anda pergi sana
liayurh_,isi tas saya dompet sama telepon lipstik hadap kabut serum kapas micelar air parfum permen coklat koyo pulpen peniti
liayurh_,ow
liayurh_,hilang kos lim
liayurh_,yang seperti lim tangis
liayurh_,iya barang hilang
liayurh_,pikbery eyeshadow pakai astaga disimpenya ingat sekali tidak
liayurh_,headset sempat pakai di dus tidak
liayurh_,tuperware tutup kuning tidak
liayurh_,cerita beli eyeliner pakai tidak kerja baru kali pakai disimpen dan ada juga
liayurh_,minyak zaitun lagi tidak juga
liayurh_,habis pulang rumah dibekelin susu ibu disimpen dikos tidak pulang tidak
liayurh_,beli coklat disimpen terus tidak pulang sudah ada
liayurh_,baiq
liayurh_,fau
liayurh_,sayang
liayurh_,tanda
liayurh_,foto pakai snapchat
liayurh_,iya tuhan saudara
liayurh_,kali apa teman sudah bilang mau ngulang lagi mau tangis
liayurh_,masih sayang facebok cung
liayurh_,bogor
liayurh_,coba saudara laki
liayurh_,tawa
liayurh_,andro kapasitas
liayurh_,humoris nol tangis
liayurh_,tangis
liayurh_,yulia rihmsyilah
liayurh_,pilih satu fess acak sate madura mie ayam bakso kfc bakso solo goreng ayam bakar bubur ayam cianjur garpu
liayurh_,kasi sayang
liayurh_,santai
liayurh_,hai hilang anda
liayurh_,ber
liayurh_,tangis
liayurh_,iya tuhan
liayurh_,ken nang kencang kencang
liayurh_,sosad
liayurh_,tiap pagi jadi tangis
liayurh_,snepcet humoris sekali
liayurh_,iya tuhan sakit sekali ini
liayurh_,inginya hari bahagia nyata tanjung jelas beberapa menit tempat cukup tenang
liayurh_,tato pakein oreo
liayurh_,sahabat
liayurh_,alas mau buat mbanking pertama yang karena sudah tahu ada saldo tanggal saja
liayurh_,iya tuhan
liayurh_,retweet banyak bisa tangis
liayurh_,tawa
liayurh_,masuk tanggal tanggal lama yak
liayurh_,kala
liayurh_,sekali tangis
liayurh_,tuhan
liayurh_,whoa
liayurh_,sabar dulu
liayurh_,tanda
liayurh_,yah tangis
liayurh_,di kantong tidak apa memang sudah tidak sini ada bogor sudah tidak ada
liayurh_,saya tidak tahu tidak rek tangis
liayurh_,pa kemarin main lutut sakit kemarin rcg terus pulang jalan cikancana yah jauh dekat saja iya tangis bapak sakit yang cerita sakit yang berapa
liayurh_,lutut sudah pakai koyo hangat gin iya tuhan
liayurh_,laki laki hebat telah bapak
liayurh_,pasminaku sesuai iya angkotnya
liayurh_,telah beri hidup mesti beri coban kali kali sedih lipat lipat
liayurh_,ke ini benar keluh sedih sedih itu sini
liayurh_,tuhan
liayurh_,ken nang banyak
liayurh_,syukur
