username,tweet
silvihoroni,anak uya kuya kali kalau susah tidur tinggal yah bakarin tisu saya susah tidur ini anda lelap
silvihoroni,kayak virus ikut bandara
silvihoroni,asik ajak antem seperti utama teka teki pakai logika kompromi tidak pernah kasar mintain saja terbaiq
silvihoroni,lawan terimakasih perangkat skincareku
silvihoroni,sekala humoris sekali
silvihoroni,tawa sial
silvihoroni,maaf lahir batin bebqu
silvihoroni,tawa
silvihoroni,tawa
silvihoroni,pikir latih jadi motivasi cemil malam ini tawa
silvihoroni,tawa bagaimana kurus tidak ada yang apalage gendud pikir
silvihoroni,ngantuk tapi perut lapar jamin tidak bisa tidur cemil ini tuhan takut gendud tapi ken cemil
silvihoroni,jadi tunggu dia virus pikir
silvihoroni,humoris kasmaran seperti anak remaja tawa
silvihoroni,kadang teman saja yang tidak suka lihat bahagia
silvihoroni,brownies saya lihat youtube saudara platingnya yang koda tawa
silvihoroni,versi medan saudara laki tawa
silvihoroni,wagelaseh semua lee tae cakep jijik
silvihoroni,kalau suka kucing jadi pcrku kalau tidak suka kucing temenan tapi kalau anti kucing neraka sama kucing baik kita tidak jadi teman tawa
silvihoroni,juga pernah saudara laki antem sama gebetan karena lagi cemil pinggir jalan ada kucing yang datang ndusel saudara nah sepak kucing marah saya jauhin sampai tidak pernah balas chatnya sedih sekali saya lihat kucing jahatin begitu
silvihoroni,jam gin lapar ken cemil takut lihat pipi
silvihoroni,tangan capri gatal
silvihoroni,sampai episode jamin tadi ini karena kesal
silvihoroni,episode sudah epik ken nabok lakiknya selingkuh lakiknya sama teman pakai kulit duren kulit landak
silvihoroni,seminggu
silvihoroni,lucu
silvihoroni,anti lihat teman gadis ngambek sama teman cewenya manja sekali sudah anda tidak samain kayak pacar anda yang bujuk sayang maaf iya salah hai teman anda gadis ngimpi kalau digituin
silvihoroni,karena laki saja ngilangin teman yang dari semua bareng bodoh
silvihoroni,yang antem sama pacaranya marah sama aneh manusia
silvihoroni,juga tidak pulang medan habis dari jakarta kemarin semprot halaman rumah baju koper cuci padahal pulang habis cuci
silvihoroni,tangan gatal sekali ken masak masih jadi odp rumah tangis
silvihoroni,hati seperti peri fisik seperti wonder wanita
silvihoroni,kalah kadang tanjung
silvihoroni,bisa tahan emosi ngeredam egoisme tapi orang diam buat semena sama orang yang tidak paham dibaikin
silvihoroni,minum
silvihoroni,syukur sayang eh bagaimana anda
silvihoroni,ketika anda ldran tidak ketemu tidak boleh saya ikut teyus
silvihoroni,kemarin ken geser siang agar bangun siang nyata tetap masuk pagi tapi pulang malam badan tanjung tapi timbang syukur
silvihoroni,bangun pagi harus masak saudara yang kuliah pagi semua cemil pergi kuliah tinggal wisma gilir cuci piring cuci baju pikir jam padahal geser siang jam tapi karena suluh jadi cepat masuk
silvihoroni,sama iya
silvihoroni,dek maaf saudara ketawain ganiat anda tapi humoris natural sekali tawa
