username,created_at,text,retweet,favorite
9ita7unn,2020-07-05 13:57:44,@mahelda_nining @dayfjr @mardiasih Chakeeep analisisnya 😂😂 Jujur awalnya aku juga mikir gitu. Tp negatif thinking sekali yaAllah 😥 masa ada manusia kek begitu ya,0,0
9ita7unn,2020-07-05 11:37:35,"Inget. Kasus ini jadi bahan diskusi sama Mbak Ipar. Diskusinya kayak gini: “eh, dia pake triknya di Conan nomor 26, yg racun sianida dimasukin dalam es batu itu loh”. https://t.co/TkYicguD7k",0,0
9ita7unn,2020-07-05 10:08:33,"@captainyayyy @agnessha @conanfansclub Anime gak tahu deh, Kak. Kalo komik nmr 75",0,0
9ita7unn,2020-07-05 09:21:32,BAHAHAHA SUMPAAAAHHH GILA SIKKKK https://t.co/vsujgMiLkF,0,0
9ita7unn,2020-07-05 08:33:44,"Dari sekian banyak foto yg dikirim via WA, saya ambil yg ini saja. Soalnya foto orangnya kecil banget di bawah, jd nggak mengganggu keindahan alam 🤭😂 Gradasi warnanya bikin kangen bau laut, the smell of salt and the voice of wave. Lokasi: Nikosia, Cyprus. https://t.co/XtF4BLwIY7",0,1
9ita7unn,2020-07-05 06:52:45,"@agnessha @conanfansclub Ya ampun sedih banget itu endingnya. Kasus plot twist lainnya yg bikin nyesel itu kasus yg pasangan mau nikah, tp ternyata sodara kembar.",0,0
9ita7unn,2020-07-05 06:39:30,@conanfansclub Yg cewek : Dokter Narumi. Kejadian di pulau. Yg pegang pohon : lupa namanya. Dia penulis yg membunuh teman sesama penulis. Yg bapak2 : membunuh rekan kerjanya di lift perpustakaan krn rekan kerjanya menemukan obat bius.,0,0
9ita7unn,2020-07-05 06:35:53,"@mardiasih Sudah ku duga sih, mbak. Hahaha. Logikanya : suami di rumah sendirian, makanya dia perkosa anak. Oleh sebab itu, solusinya adl suami punya istri lagi biar nggak perkosa anak 🐷",1,4
9ita7unn,2020-07-05 06:04:30,Tahun 2010-an nonton film2 fiksi kayak gini loh. 10 tahun kemudian udah ada yg dekor kamar begini 🤩 https://t.co/5orjIALNQh,0,0
9ita7unn,2020-07-05 06:00:42,"@tim_katak @collegemenfess Mereka yg kuliah lg krn keinginan sendiri &amp; keluarga mendukung, itu menjadi salah satu hal yg harus disyukuri. Ada yg pengen, tp dia generasi sandwich. Bayangin aja deh. Ada yg pengen, tp dituntut ortu utk nikah krn adeknya udah nikah. 🤷🏻‍♀️Termasuk yg kena stigma sprti yg di atas.",0,0
9ita7unn,2020-07-05 05:49:26,"@tim_katak @collegemenfess mudah berteori, tp sulit utk diaplikasikan dan diterapkan ke cewek2 yg goalsnya adl nikah di umur sekian. Mereka punya target umur sekian udah nikah. Aku juga punya banyak temen2 cewek yg kayak gitu kok :))",0,0
9ita7unn,2020-07-05 03:41:01,@jspradana @fierza Hahahaha iyalah. Yg lain aja pd guyon ttg conversation maudy dan cowoknya,0,0
9ita7unn,2020-07-05 01:33:56,"@literatoer @collegemenfess Menemukan orang nyaman gak 100% harus setara pendidikannya kan? Kan niat mau cari jodoh, bukan cari pekerjaan yg mewajibkan S1 S2 linear yg IPK wajib di atas 3,25 🤭",0,0
9ita7unn,2020-07-05 01:03:32,"@literatoer @collegemenfess Buat aku sih gelar gak bisa disandingkan dg pasangan/jodoh. Manusia biasanya mencari pasangan yg ‘cocok’ dlm segala hal. Lulus S2, tp kelakuan masih kek bocil, mikir cinta romantis ala2 Korea, itu juga ada loh 🤭 ada juga yg masih S1, D3, tp working hard &amp; pinter.",1,0
9ita7unn,2020-07-05 00:54:26,"@fierza She’s teaching listening for IELTS, kak 🤭",1,0
