username,created_at,text,retweet,favorite
achadianrani,2020-07-05 05:06:54,"Terima kasih kepada suami w yg gak pernah rewel soal makanan. Masak sendiri hayuk, w masakin tapi masakannya b aja hayuk, beli makanan hayuk, yg penting kenyang. Mengingat banyak suami suami di luar sana yg rewelnya minta ampun soal makanan.",0,0
achadianrani,2020-07-04 06:46:55,"W sama nyokap bondingnya kuat bgt. Walopun dah beda rumah, ngegosip dan ngejulidnya tetep lancar bgt di wa wkwkwkw",0,0
achadianrani,2020-07-03 11:45:41,Jadwal wfo yg ganti2an gini knp malah bikin cepet capek ya,0,0
achadianrani,2020-06-30 11:58:25,"Kerja gamau yg sulit, tapi gaji mau yg gede. Bajingan semua emang. https://t.co/XTDqHNOc75",1,2
achadianrani,2020-06-30 10:49:07,@asepsahrudin7 Mention orangnya dong 🙃,0,0
achadianrani,2020-06-30 05:19:06,Bayarnya pake kredivo w lagi wkwkwk. Dia gatau aja bininya lintah darat https://t.co/ROSxAxPz3R,0,0
achadianrani,2020-06-30 05:09:48,Laki w ada2 aja hari ini. Pagi2 heboh gegara hapenya nyemplung di ember kamar mandi. Trs panik lgsg beli hp baru krn takut kerjaan jd ketunda. Sampe sengaja milih pengiriman yg same day biar besok hapenya udh bisa dipake kerja lg. Eh gataunya hp yg nyemplung idup lg dong wkwk 🙃,0,0
achadianrani,2020-06-29 23:54:00,@yudeeMATTA @xximbecile Aokwowkowkok,0,1
achadianrani,2020-06-29 13:06:29,Jangan sampe jadi orang kaya yg kayak gini. Jangan sampe amit-amit. https://t.co/bJyprdpEvT,0,0
achadianrani,2020-06-29 08:14:16,"Pengen banget ke jepang pas wedding anniversary. Entah ke yg berapa, pokoknya pas wedding anniversary.",0,0
achadianrani,2020-06-29 04:08:49,@tubbirfess Gak sih ini lebih ke bapak bapak yg suka buang reak di tengah jalan,0,0
achadianrani,2020-06-28 05:33:33,Ii kangen maen ini 🥺 https://t.co/qYW8AWRiEq,0,0
achadianrani,2020-06-27 11:50:58,Gapernah segininya ngebet buat belajar,0,0
achadianrani,2020-06-27 11:19:06,"Gapapa sih sbnrnya abis nikah tinggal di kontrakan kalo emg gajinya blm cukup untuk kebeli rumah. Yg jadi masalah itu, udah harus ngontrak, terus jg harus nutupin hutang yg dikeluarkan untuk pesta pernikahan yg jumlahnya wadaw. https://t.co/M90ALYGJJa",0,0
achadianrani,2020-06-27 07:54:02,"Nyobain brisket sambel koreknya mangkokku, mayan sih dagingnya banyak bisa buat 2 kali makan, nasinya malah dikit bgt. Tp grilled beefnya MangGang tuh tetep juara sih buat w. Lebih murah juga lagian wkwkwk",0,0
achadianrani,2020-06-27 07:29:45,Julidin tweet yg mengandung sari-sari kebahagiaan orang lain kayak gini tuh cuma bikin u makin keliatan sebagai pribadi yg hateful dan unblessed sbnrnya https://t.co/5tAGME9b5B,0,0
achadianrani,2020-06-27 06:27:20,Jadi dia w degdegan sih https://t.co/iRhYIP6L9O,0,0
achadianrani,2020-06-27 05:54:33,"Browsing ttg boleh tidaknya minum kopi pada saat lg flu dan batuk. Ada artikel yg bilang boleh, ada yg bilang jangan. W ikutin yg bilang boleh 🙃",0,0
achadianrani,2020-06-27 05:30:13,Nemu harta karun di superindo. Ena bgt sampe gamau meninggal 🥰 https://t.co/4weBhMjtAB,0,0
achadianrani,2020-06-26 14:37:44,"W tuh bingung sbnrnya ya, emang kenapa dah kalo ada yg minum amer terus diposting kok pada sewot bgt. Lah ya suka suka sbnrnya mah. Kalo dia emang demen posting lagi minum gitu kenapa mesti diomelin sih heran wkwkwk",0,0
achadianrani,2020-06-26 06:31:20,Nah yg kayak gini nih idaman mba mba cringe rahim anget. Yang berseragam dan demennya nginjek pala orang sampe bocor. https://t.co/oYNvZKylYS,0,0
achadianrani,2020-06-26 05:44:28,"Dark season 3 udh mau nongol aja, w season 1nya aja blm kelar nonton",0,0
