username,created_at,text,retweet,favorite
adewiana14,2020-07-05 17:38:25,"Badan capek bgt, rasanya ngantuk bgt juga tapi gabisa tidur tuh ngeselin bgt astaga",0,1
adewiana14,2020-07-05 13:08:37,"@ayasdepay Aja bun, bahayaa wkwkwkwkww tahan tahan",0,0
adewiana14,2020-07-05 12:58:21,@ayasdepay HEHEHEHEHHEHEHEHE sekalian aja bun omongin orang nya siapa kalo perlu nge tag :)))) #sarkasmodeon wwkkwkwkwkwkw,0,0
adewiana14,2020-07-05 12:52:16,@ayasdepay Waduhhh jadi first love km jaman smp bunn😋😋😋😋,0,0
adewiana14,2020-07-05 12:51:57,@bellariskytaa Tapi seru bgt nge mall sendirian ngangenin bgt 😭😭,0,0
adewiana14,2020-07-05 12:45:27,@ayasdepay Ya Allah film jaman kapan kui bun hahahah,0,0
adewiana14,2020-07-05 12:35:31,Kangen bgt nge mall sendirian random ga jelass 😭😭😭,0,0
adewiana14,2020-07-05 07:18:09,"Keknya semua video liziqi udh aku tonton deh, bahkan sering aku ulang2 tontonya saking senengnya sama video nya :"" https://t.co/XY7DzTNBRP",0,0
adewiana14,2020-07-05 06:56:09,@vidyalida Kayaknya bisnis ini di mulai dri jadi WO di nikahanmu mbakk😋😋,0,0
adewiana14,2020-07-05 05:59:38,@rizqinaslm Heh iyaa Maap yaa sist 😂😂😂😂,0,0
adewiana14,2020-07-05 05:59:29,@vidyalida Semoga beneran ya aku bisa punya usaha eo/wo wkwkwkw siap dimodalin aku mba 😂,0,0
adewiana14,2020-07-04 14:31:53,Pasti seru bgt kalo punya usaha EO sendiri yampun,0,0
adewiana14,2020-07-04 12:00:41,@gilarpanjis Di dunia ini apa yg gratis njii,0,0
adewiana14,2020-07-04 11:36:35,"Ketika bangga, seneng, dan insecure menjadi satu untung selalu di support bgt bgt bgt 😭😭😭❤️❤️❤️",0,0
adewiana14,2020-07-03 13:27:15,Badmood bgt astaga gegara cupang e mati -_-,0,0
adewiana14,2020-07-03 13:16:00,@gilarpanjis Sini aku editin :)),0,0
adewiana14,2020-07-03 13:02:26,"Aku emg ga bisa dikasih apa apa sama abby, dikasih kaktus mati dikasih cupang mati :"") bye lah gausah kasih aku apa apa lagi.",0,0
