username,created_at,text,retweet,favorite
akhsaraa,2020-07-05 13:28:37,@seterahdeh Bahasa qalbu : bego,0,0
akhsaraa,2020-07-04 07:09:49,@imanlagi Jangan lupo ngerooop cuko pagi,0,0
akhsaraa,2020-07-02 00:12:01,@dsuperboy Kita bangeeets ini @arjunromanda wkwk,0,0
akhsaraa,2020-06-29 07:17:02,@BukuMojok Kok ribet kek cewe :(,0,0
akhsaraa,2020-06-28 23:44:35,"Yang mau sepedaan hari ini jangan lupa pakai masker, juga otaknyaa~",0,0
akhsaraa,2020-06-15 15:17:04,@zarryhendrik Padahal online tp ga bls chat. Jam tidurku berantakan :(,0,0
akhsaraa,2020-06-13 11:08:03,"Buku feminist rom, butuh banyak referensi :( https://t.co/oR3fMNFrju",0,0
akhsaraa,2020-06-08 00:49:49,Kemana perginya semua niat untuk olahraga :(,0,0
akhsaraa,2020-06-07 11:02:13,@radenrauf Jangan lupa topi ma dasi besok upacara :(,0,0
akhsaraa,2020-06-07 10:30:49,"Gini aja udah bersyukur banget, Alhamdulillah~ https://t.co/aTGTvZzWN5",0,0
akhsaraa,2020-06-07 10:24:01,@BukuMojok Jajan terooos~,0,0
akhsaraa,2020-05-30 12:27:25,"@BudeSumiyati Aku mau yang sebaliknya bisa ga, tersiksa banget :(",0,0
akhsaraa,2020-05-29 20:49:08,"Kangen letih-letihan, kangen muncak, kangen pantai, kangen kamu jg ding :(",0,0
akhsaraa,2020-05-29 20:15:04,@andihiyat Yaah mendingan sombong daripada sumbing,0,0
akhsaraa,2020-05-28 09:42:54,@BukuMojok No action = hoax,0,0
akhsaraa,2020-05-26 13:58:52,@jek___ Lagi LDR-an sm orang tua dari sebelum puasa. padahal tanah kelahiran tp macam anak rantau. Bolehlah di tolong anak yatim ini :(,0,0
akhsaraa,2020-05-21 15:00:11,"@jek___ Ikutan lebaran tapi ga bisa ikutan mudik. Orang tua, adek, kk, semua kena isolasi di zona merah. Mereka ga bisa dan ga mau pulang karena takut jd carier. Alhamdulillah, masih bisa bertukar kabar selama msh ada kuota.",0,0
akhsaraa,2020-05-19 21:33:36,"Kita menjelma pagi dingin yang dipayungi kabut, tak lagi bisa bercerita apa adanya~",0,0
