username,created_at,text,retweet,favorite
alaniafitri,2020-07-03 08:58:30,@azkiaf19 Wkwk kirain gua udah paling telat karna baru selesai nonton. Tonton az!,0,0
alaniafitri,2020-07-03 03:21:34,favorit🤗 https://t.co/QfQPGNizxQ,0,0
alaniafitri,2020-06-28 05:25:08,@Kivodewo Iya sayang,0,0
alaniafitri,2020-06-23 08:43:46,@luthfianamiftas @febriyanisaa Kangen makanan tembalang😭😭😭,0,0
alaniafitri,2020-06-20 10:52:45,@Kivodewo Maunya tp ketemu abda ya hehe,0,0
alaniafitri,2020-06-20 10:26:44,Pertama kali ke pamulang bawa motor sendiri mantap jg nih pegelnya,0,0
alaniafitri,2020-06-19 07:19:33,"Sumpah kemaren gua jg hampir bgt gini nih, untung tuh benang masih keliatan dan gua refleks nunduk, kalo enggak jg udah jatoh dari motor https://t.co/V22qcjx2og",0,0
alaniafitri,2020-06-18 15:21:47,@Kivodewo haha anjir samsung ajaib lg:( masih w pake sampe detik ini!,0,0
alaniafitri,2020-06-18 15:10:26,@Kivodewo Blm semua ios bisa jg kokk,0,0
alaniafitri,2020-06-17 13:25:28,"Kayak pernah denger dexamethasone, ternyata salep kulit aing:(( tp sekarang udah ga pake ini sih. Tp kyknya emang jenis dexamethasone punya banyak khasiat ya sampe sekarang beritanya bisa buat covid https://t.co/1xYomcBxw9",0,0
alaniafitri,2020-06-16 13:50:03,@azkiaf19 Haha parah jadi ketagihan!,0,0
alaniafitri,2020-06-16 13:49:00,"Knp sih ini sering berseliweran di tl, kan makin gabisa move on dan ga menerima kenyataan😭😭 wkwk luv jungpal💛💛💛 https://t.co/t6moPdm8Z4",0,0
alaniafitri,2020-06-16 01:43:09,"@azkiaf19 Dan gua baru nonton itaewon class dong, telat bgt :(",0,0
alaniafitri,2020-06-13 13:30:22,@TikaOfficial Tikaaaa happy birthday!!✨,0,0
alaniafitri,2020-06-13 07:32:44,Gemesssh😍 selamat ulang tahun atuy! https://t.co/KJwjwM6ZVr,0,0
alaniafitri,2020-06-12 12:05:29,@aMrazing Salah satu kesayangan💛 @FajarAlviaan https://t.co/dfc5YI4NQA,0,0
alaniafitri,2020-06-10 13:50:26,Ini gua salah makan apalagi sih anjir capek bgt dah masalah mulu nih kulit,0,0
alaniafitri,2020-06-10 13:48:16,@langittulus Siap2 gua jg mau dagang wkwk,0,0
alaniafitri,2020-06-05 12:16:32,Ngakak bgt gasihh😭 gemesshhh https://t.co/oBeuyPG5Sz,1,0
alaniafitri,2020-06-05 01:00:29,@luthfianamiftas Mantap tmn w debut internasyionel,0,0
alaniafitri,2020-06-03 11:26:42,Tulus kenapa sih selalu makin cinta jadinya💛💛💛 https://t.co/kaIQA48LSj,0,0
alaniafitri,2020-06-03 06:43:52,"YaAllah udah lama gabuka twitter, hari ini buka lg dan ga berenti ngakak liat tl. Emang de bes bgt dah twitter ni👌🏻",0,0
alaniafitri,2020-06-03 01:28:44,Mas agung ini lg kenapa si:( hiburan sekali https://t.co/gp7Nu35Z2y,1,0
alaniafitri,2020-03-28 04:24:36,"2020: Jago masak ❌ Bisa bedain kencur, kunyit, lengkuas dan teman2nya ❌ Bisa pasang gas sendiri✅✅",0,0
alaniafitri,2020-03-16 05:41:06,Wkwkwkwkk ini gimana sih nadanya lupa dah😂 https://t.co/knUQVMJI2i,0,0
alaniafitri,2020-03-16 04:32:27,@al_azroq Yes💯,0,1
alaniafitri,2020-03-15 18:22:02,"Bener2 harus sabar lawan yuta endo, pertahannya BAGUS BANGETTTT GA NGERTI LAGI😭 https://t.co/mEOrZDLj6d",0,0
alaniafitri,2020-03-15 18:14:15,"Walaupun kalah tp perjuangan kalian bener2 kereenn. Semoga next bener2 bisa ngalahin mereka ya minions. Congrats jg buat bapak dan anak, haji endo dan yuta. Kalian kerenn👌🏻 https://t.co/bPRr7gWn0v",0,0
alaniafitri,2020-03-15 15:47:54,Congrats honey couple✨ https://t.co/lNh7mwUQAc,0,0
alaniafitri,2020-03-15 15:37:43,Parah keren banget ucok melati mainnya🔥🔥 dan akhirnya bisa liat mereka pelukan lagi di lapangan🥰 https://t.co/3iY9liSlj4,0,0
alaniafitri,2020-03-15 15:11:52,Ayo cok jangan kasih kendor🔥🔥,0,0
