username,created_at,text,retweet,favorite
amalianadiene,2020-07-05 05:37:29,@triyuniisabella mikisi yi bili,0,0
amalianadiene,2020-07-05 05:01:59,alhamdulillah bgt weekend jam segini udah tidur dua kali 👌🏻✨,0,0
amalianadiene,2020-07-05 04:43:00,100000 TIMES AGREE https://t.co/qV8e6pG0sN,0,0
amalianadiene,2020-07-05 01:59:27,"when you’re having fun and literally do no harm to people but there’s always this person who nyinyir on those kind of things LOL... *this tweet belongs to somewhere in October 2019, not related to any recent updates/activity",0,0
amalianadiene,2020-07-04 00:35:24,😄 https://t.co/oF2WPRpwZl,0,0
amalianadiene,2020-07-03 15:07:20,baca history whatsapp sama mami dari th 2016 hahaha asli bahasannya udah kayak temen segeng senior ke junior dibandingin ibu ama anak #ilovemymom #eventhoughwealwaysfight,0,0
amalianadiene,2020-07-03 12:01:26,@brozega @maymyg wkwk setuju ama mas jigi,0,0
amalianadiene,2020-07-03 09:09:41,ehwep @thepan_316 https://t.co/1tM6iInmm4,0,0
amalianadiene,2020-07-03 06:27:08,"“- kl janjian sm orang, hari H kasih kejelasan/kabarin tentang pertemuannya” YAAASS 👏🏻👏🏻👏🏻 https://t.co/LKkgrqO4W7",1,0
amalianadiene,2020-07-03 03:19:38,CRY 😭😭 https://t.co/KovM4k2nHR,0,0
amalianadiene,2020-07-03 03:16:14,@teberumopa serem bgt anjir,0,0
amalianadiene,2020-07-03 02:12:08,@AmirahWahdi @mnadielmadani7 👏🏻👏🏻👏🏻,0,0
amalianadiene,2020-07-02 15:04:35,sama aku juga https://t.co/Bn8gl08FiF,0,0
amalianadiene,2020-07-02 03:33:19,INI https://t.co/vdL8kRssw1,0,0
amalianadiene,2020-07-02 02:11:57,tanggal ini genap 5 bulan ga ketemu panji hahaha 🤣😅 #tetapsemangat #LDR,0,0
amalianadiene,2020-06-30 08:56:30,Ario Bayu tu bentuk laki-laki Indonesia yg paripurna,0,1
amalianadiene,2020-06-30 08:55:18,"maruk bgt ni orang, gantengnya kebanyakan https://t.co/OjDbN5yZIr",0,0
amalianadiene,2020-06-29 15:57:57,🤣🤣🤣 https://t.co/JPAT3NrdIq,0,0
amalianadiene,2020-06-29 15:52:40,kasian :( https://t.co/oDW8w86Bpc,0,0
amalianadiene,2020-06-29 07:17:48,i really wanna go hereee https://t.co/uVlUnryXci,0,0
amalianadiene,2020-06-29 05:44:22,listening to Nat King Cole songs while working just gonna leave me in tears bcs his greatest collection playlist was the last thing i gave to Papi before he died ☹️☹️,0,0
amalianadiene,2020-06-28 14:43:05,@thepan_316 sabaarr ♥️,0,0
amalianadiene,2020-06-28 11:03:33,i dunno it’s just wow me everytime i met someone who’s really into their passion and has their own uniqueness ✨✨,0,0
amalianadiene,2020-06-28 11:02:11,"met two photographers this week, one of them is landscape and nature specialist, using dark greenish tone. and the other one is human interest photographer with warm yellowish tone.",0,0
amalianadiene,2020-06-28 11:00:11,"it’s amazing to see every photographer has their own desirable mood and tone for their photos, and presets to apply on 👏🏻",0,0
