username,created_at,text,retweet,favorite
andrisuartikaa,2020-07-05 12:17:16,"Udah dua kali dalam seminggu ini ngedenger tetangga yang berbeda berantem adu mulut teriak-teriak ke pasangannya, jujur bikin takut sih tapi emang berumah tangga tuh sulit",0,0
andrisuartikaa,2020-07-05 08:47:09,@GitaaLauraM Kirain aku aja☹️,0,0
andrisuartikaa,2020-07-05 07:35:17,@lanikus__ Siaaap tehlan insyalloh nanti aku order yaccc😍,0,0
andrisuartikaa,2020-07-05 03:11:06,@nursyif10 Sayang mamihhhhh😍 aamiin untuk mamih dan keluarga jg yaaaah🙏🏻,0,0
andrisuartikaa,2020-07-05 02:55:48,@nursyif10 Hahaha aamiin mam doain aku ada rezekinya terus ntar kubeli yachhh😍,0,0
andrisuartikaa,2020-07-05 02:48:21,Semoga selalu dicukupkan rezeki aku supaya bisa tetep support dan beli barang jualan temen-temen huhu,3,0
andrisuartikaa,2020-07-04 15:49:27,@mluthfinr Jadi rame pi😅,0,0
andrisuartikaa,2020-07-04 04:01:46,Penyelamat pagi hariku!🤣 https://t.co/c0zNXVCVuY,0,0
andrisuartikaa,2020-07-04 03:12:44,Ribet bgt mau makan doang ih😩,0,0
andrisuartikaa,2020-07-03 15:32:17,"@MUSIC_FESS Dimanapun kalian berada, ku kirimkan terima kasih untuk warna dalam hidupku dan banyak kenangan indah~ Monokrom!",0,0
andrisuartikaa,2020-07-03 15:29:23,@Bandungfess Kesepet bgt inimah,0,0
andrisuartikaa,2020-07-03 13:50:19,@Baharudin97 Iya har aku suka ikutan tp suka ke skip waktunya sm ga ke download trs inget hrs panjangin str. makaaasihhhhh,0,0
andrisuartikaa,2020-07-03 09:32:07,@meilindadc Meeeee kan biar dedenya anteng sambil menyusui sambil liatin baju😅,0,0
andrisuartikaa,2020-07-03 09:30:56,Sumpaaaaaah lupa bgt harus nyicil sertifikat buat perpanjang str,0,0
andrisuartikaa,2020-07-03 05:39:04,@Regitaanggia Mama Irma anaknya suka ngadu nih,0,0
andrisuartikaa,2020-07-03 05:36:52,Mamah pergi ke Pamengpeuk sampe minggu artinya beberes rumah juga libur ya sampe minggu wkwk,0,0
andrisuartikaa,2020-07-02 15:32:27,@shindyjulieta Shindykuuuuuuuu selamat ulangtahun semangat wisudaaaa😛❤️,0,0
andrisuartikaa,2020-07-02 15:31:22,Atau project barenggg ?,0,0
andrisuartikaa,2020-07-02 15:28:28,Hueeey prilly sm dikta ku baru tau dong,0,0
andrisuartikaa,2020-07-02 10:21:18,@MilaFaradilaa Udh ada yg adopt leeee,0,0
andrisuartikaa,2020-07-02 00:37:37,@_DerisRS Udah ada yang adopsi der 😅,0,0
andrisuartikaa,2020-07-02 00:36:52,@flaiyayaya @bapaupaupau Betullll tp udah ada yang ambil hihihi,0,0
andrisuartikaa,2020-07-01 16:47:38,Yang punya auto check aku hibahin strip lengkap (kolestrol asam urat dan gula) beserta blood lancet gratististis. Karna sayang bgt gadipake sama aku soalnya alatnya rusak kegeleng motor aku. Lumayan kan guys ngirit beratus ratus ribu buat beli strip doang https://t.co/z77JxQ22NE,0,0
andrisuartikaa,2020-07-01 15:31:02,@Regitaanggia Welcome to the club🤗,0,0
andrisuartikaa,2020-06-30 13:24:44,Makan mulu hari ini dietku gagal lagi bukan karna gofood tp karna jajan yg di storyin cm sebagian itu😩,0,0
andrisuartikaa,2020-06-29 13:20:47,@doriwirawan Jadi kangen dateng ke resepsian...,0,0
andrisuartikaa,2020-06-28 17:16:37,"@FOODFESS2 Ih iya ini oishi enak bgt kaya yang disana, aku waktu itu jatuh cinta pada gigitan pertama apa karena minta sodara aku ya jd beli terus beli terus🥺",0,0
andrisuartikaa,2020-06-28 10:30:06,@Telkomsel Udah udah di dm min,0,0
andrisuartikaa,2020-06-28 10:25:28,"Min, kenapa telkomsel aku gangguan terus lagi kuliah ih @Telkomsel 😭",0,0
andrisuartikaa,2020-06-28 04:58:02,@rizkimel Hueeee asliiii knpyaaa😩,0,0
andrisuartikaa,2020-06-27 14:16:53,Kenapa ya perkara thread nyiapin bekal suami ko jadi rame kemana-mana ya buat diri sendiri juga bisa kalo belim ada pasangan,0,1
andrisuartikaa,2020-06-26 17:46:07,@bintangforza Kesana lagi mos @Atmosphere47 https://t.co/HxbVxNKgF9,0,0
andrisuartikaa,2020-06-26 17:18:56,"*buka laptop* namu dua foto tahun 2015 abis kelulusan terus opname di St. Yusuf ternyata perawat yang lagi nensi di foto itu Bu Widi, perawat yang sekarang jadi temen sekelas masya alloh🥺",0,0
andrisuartikaa,2020-06-26 02:21:24,@bebasih Mirip beliauuuuuuuu https://t.co/c3Li3LCL0v,0,0
andrisuartikaa,2020-06-26 00:18:34,Berisik🤣 makasihhhh mentemen,0,0
andrisuartikaa,2020-06-25 22:10:50,Temen-temen yang punya wa aku tolong bangunkan aku jam 7 karena aku presentasi jam segini baru beres luar biasa sistem kebut semalam❤️,0,0
andrisuartikaa,2020-06-25 14:59:58,Siapa yang ganti jadi bahasa Jawa https://t.co/8hqXZHZtn6,0,0
andrisuartikaa,2020-06-25 11:18:39,@tekoemas @PRFMnews Banyaaaaak bgt des aku kirim di dm ya,0,0
andrisuartikaa,2020-06-24 17:35:45,@anggasetyoi Pasti ngerti knp deh ang🤣,0,0
andrisuartikaa,2020-06-24 04:48:18,@_DerisRS Udeh,0,0
andrisuartikaa,2020-06-24 04:24:00,@annemayliani Aku baru mau ganti jd indihome wkwkw☹️,0,0
andrisuartikaa,2020-06-24 02:54:41,Ya Allah aku benci kerja kelompok,1,2
andrisuartikaa,2020-06-23 13:46:16,"@shindyjulieta Isinya nama, alamat, jarak dari rumah ke mall, sosial media dan lain-lain juga ga shin ? wkwk",0,0
andrisuartikaa,2020-06-23 09:28:10,@angelapryn Why u so daekan🙃🙃🙃,0,0
andrisuartikaa,2020-06-22 23:15:54,"@hudialfarich Pernah nih selama bertahun tahun warung aku terus turun sampe minus banyak kejadian aneh, tanah kuburanlah, tulang, mamah sakit terus, warung di kira tutup terus padahal itu pintu segede tronton kebuka terus. Emang ya orang-orang sirik bener-bener deh nguji",0,0
andrisuartikaa,2020-06-22 04:58:56,@kartikandyt Malesin ih teh aku mah gapernah bales yang kaya gitu se urgent apapun,0,0
andrisuartikaa,2020-06-21 16:08:43,@sfrfawzia @infobdg Di temen aku @abizararia,0,0
andrisuartikaa,2020-06-21 14:11:05,@ugitriana Aku syaapp ke cikadut cok,0,0
andrisuartikaa,2020-06-21 14:08:03,Butuh baso Akung yang bptsc alias komplit🥺,0,0
andrisuartikaa,2020-06-21 11:09:19,@citramr Janlup requestan aku wkwk citcit sukses selalu🥰,0,0
andrisuartikaa,2020-06-21 00:15:15,@selymutiazein Aaamiiin tp sely dl deh kayanyaaaa kan minggu depan lamaran cenah kamu🤣🤣🤣🙏🏻,0,0
andrisuartikaa,2020-06-20 15:00:40,"Gaboong, banyak bgt undangan nikah dan lamaran sebayaku",0,0
andrisuartikaa,2020-06-20 03:34:50,@angelapryn @nadyabelason @andihiyat Tp ktnya error doang🤣 https://t.co/f0f8ThcD6p,0,0
andrisuartikaa,2020-06-20 03:28:25,"Temen aku nikah, mas kawinnya luar biasa masyaalloh.",0,0
andrisuartikaa,2020-06-20 03:13:31,@angelapryn @nadyabelason @andihiyat Tapi aku msh bisa da beda2 kali waktu updatenya https://t.co/eZV1Jqc3h8,0,0
andrisuartikaa,2020-06-20 02:16:57,@andihiyat @nadyabelason,0,0
andrisuartikaa,2020-06-19 17:14:49,Ih https://t.co/rgkh0mGIF7,0,0
andrisuartikaa,2020-06-19 12:05:46,@collegemenfess Pgn silaturahmi ke nomer wa nya🙏🏻,0,0
andrisuartikaa,2020-06-19 10:12:34,Itu yang melet orang pake bangke ayam serem bgt ih mantranya,0,0
andrisuartikaa,2020-06-19 09:02:06,Malu-maluin aja tadi dikantor notaris semuanya ngetawain gara-gara gabisa ngeparaf dan tanda tangan selalu beda. Yagimana aku lupa dan degdegan nandatangan berkas penting banyak bet🥺,0,0
andrisuartikaa,2020-06-18 10:10:35,Sebelum ngedetox aku harus beli flip dulu harusnya,0,0
andrisuartikaa,2020-06-18 08:16:37,@guildarani Tunangan apa nikah tara ?,0,0
andrisuartikaa,2020-06-17 14:22:08,@citramr CIT HAUL BARANG BARANG LUCU DONG APA AJA YANG LUCU YANG GEMES 🤣 aku komen disini ah biar ke notice,0,0
andrisuartikaa,2020-06-17 13:35:16,Niatnya cuma mau liat-liat aja barang tapi ko pulang-pulang gembol☹️,0,0
andrisuartikaa,2020-06-16 12:51:21,"Ngegofood tergabut cuma 0,1 KM🥺 https://t.co/5esPv5Ufme",0,0
andrisuartikaa,2020-06-15 15:54:03,@citramr Alhamdulillah full cit🤣 kalo gagitu aku masuk isolasi tdr sm mdr aku udh kena🥺,0,0
andrisuartikaa,2020-06-15 15:47:53,Knp aku tidak punya tanda ini https://t.co/7fWsilAKhl,0,0
andrisuartikaa,2020-06-15 09:46:45,@risa_saraswati Arikingking❤️,0,0
andrisuartikaa,2020-06-14 12:46:34,"Kebiasaan aku makan junkfood, aku menyesal ditambah di kasih warning gini😭☹️ https://t.co/8EoTDE0IDm",0,0
andrisuartikaa,2020-06-13 07:15:52,@ferdiriva Lagi kulon kondisi saat itu lagi ditukang susu lembang lagi transaksi lupa di mute selama itu mereka ngedengerin aja aku nawar susu,0,0
andrisuartikaa,2020-06-12 16:32:07,@kartikandyt Udah bisaaaa! Wkwk udh dikirim bantuin nyawa tetehhhhhh😁,0,0
andrisuartikaa,2020-06-12 16:31:46,"Salah ngeklik orang, harusnya minta bantuan nyawa ke temen malah ke dosen jam segini lagi☹️",0,0
andrisuartikaa,2020-06-12 10:38:03,@kartikandyt Gadaa diakumaaah tehtikkk,0,0
andrisuartikaa,2020-06-12 10:09:43,@kartikandyt Teteeeeh aku kesel karena gada option bantuan kaya di candy crush ih wkwk nunggu nyawanya lama bgt🤣,0,0
andrisuartikaa,2020-06-11 23:48:14,@Regitaanggia @rizkimel Alhamdulillah acara telah selesai waktunya foto walau belom mandi dan muka sembab abis nangis mau sertijab🙏🏻😂 https://t.co/smrRk59XfR,0,0
andrisuartikaa,2020-06-11 16:03:27,@LSulthantio @angelapryn Suka bener deh pi kalo ngomong🤣,0,0
andrisuartikaa,2020-06-11 15:45:55,@ilhamghazali @rizkimel Heeh ih bener kimel rewog:( tp gagendut gendut masa,0,0
andrisuartikaa,2020-06-11 15:45:34,@rizkimel @Regitaanggia Acara cape iya ? Personalia cape iya ? https://t.co/m1PCVIQZsP,0,0
andrisuartikaa,2020-06-11 14:54:00,@rizkimel LKO mel ?,0,0
andrisuartikaa,2020-06-11 14:53:51,@Regitaanggia Hmmm makasih rere🤨,0,0
andrisuartikaa,2020-06-11 14:53:35,Kgn bgt si gendut ini!!!!! Tiap temen aku yg baru ktm sama dia ko pasti kaget y?🤣 https://t.co/XhJ2xhaQGr,0,0
andrisuartikaa,2020-06-11 14:36:54,Sama aja boong https://t.co/VFIQubuKf0,0,0
andrisuartikaa,2020-06-11 13:55:04,@kartikandyt @thenasalma Makan bareng temen-temen apalagi😋 yuk teh ten teh tik,0,0
andrisuartikaa,2020-06-11 11:59:50,@nasgorbbqnyoy Geprek bebas du ftw.....,0,0
