username,created_at,text,retweet,favorite
athayaanabila,2020-07-05 12:37:33,Huft capek bgt idup iduupp,0,0
athayaanabila,2020-07-05 10:45:49,Urip koyok taek,0,0
athayaanabila,2020-07-05 10:28:39,@IqbalFaisR Opo cobak maksude:( wes embo bal mumet aku,0,0
athayaanabila,2020-07-05 10:17:04,"Gatau ya speechless bgt, mungkin buat orang lain nominal 12.5 juta itu ga seberapa tapi buat keluargaku itu angka yg gede bgt. Buat yg token listriknya tiap hari bunyi2 tu uang gede bgt wkwk. Ya allah.",0,0
athayaanabila,2020-07-05 09:08:33,"Rek plis bgt ya, pliiss bgt, kalo emg ga niat jadi manusia at least jadi batu aja. Diem. Gausah ngapa2in. Jangan kayak dajjal gini. Semoga 12.5 juta-nya kepake dg tidak barokah ya.. Biar di neraka ga diampuni. Aamiin🙏❤ Yg bisa bantu lacak/ngapainin kek tolong bantu ya hehe https://t.co/3lloL3FueQ",0,0
athayaanabila,2020-07-05 08:55:20,Nangis,0,0
athayaanabila,2020-07-05 07:33:42,Help rek😭,0,0
athayaanabila,2020-07-05 07:33:16,Aku bingung bgt kudu gmn dan apakah lapor polisi bisa jd solusi?,0,0
athayaanabila,2020-07-05 07:32:48,Rek tolong adekku digendam dan ini rumit karena ada hubungannya sm alfamart dan kudu ganti rugi,0,0
athayaanabila,2020-07-05 05:47:55,@smokeweed37 @dhifaslm Jir aku mau ikutan reply tapi trs begitu ngecek 3rd @-ku kok ternyata... :),0,0
athayaanabila,2020-07-05 05:26:40,Alias kangen solo bgt https://t.co/T4lNZsrjkJ,0,0
athayaanabila,2020-07-05 05:18:18,"YA ALLAAH NGUAWOR WKWKW:"")😭 https://t.co/XWsi3HGueE",0,0
athayaanabila,2020-07-05 05:10:22,"Barusan kelar makan nasi pecel yg porsinya BANYAK BANGET. Ternyata aku abis ga bersisa padahal mas ga habis. Lalu mama geleng2, ""mama ga ngerti knp km ga gede2 padahal makanmu kayak gitu tiap hari"" wkwk🙏",0,0
athayaanabila,2020-07-05 03:41:03,Pusing trs nangis,0,0
