username,created_at,text,retweet,favorite
azharizkita,2020-07-05 17:07:11,@curedsalt Looks miserable but totally enjoyable tho,0,0
azharizkita,2020-07-02 23:36:19,6:35 and still waiting. Enaknya kasih bintang 1 kali ya https://t.co/VXpzjhKrUU,0,0
azharizkita,2020-07-02 14:48:12,@ongisengas Aww,0,0
azharizkita,2020-06-28 14:16:33,@txtdaricewe This is what I called feminazis. So fucking stupid and illogical.,0,0
azharizkita,2020-06-27 16:30:08,"@serlywlndrs So, “generalizing my personal problem” is a thing right now? Buat yg ada di ss, fuck you and your personal problems, bitch!",0,0
azharizkita,2020-06-25 13:46:59,@curedsalt Mine pp pro full dlc,0,0
azharizkita,2020-06-25 02:16:27,Fucking hypocrite. Name me something more annoying than people that being completely sok suci 👇,0,0
azharizkita,2020-06-25 02:06:01,Fuckkkk I really want to move to canada https://t.co/i4L0dRrkvM,0,0
azharizkita,2020-06-25 00:41:34,@arangkecap @taufanahadiat WAKAKAK,0,0
azharizkita,2020-06-24 05:42:53,https://t.co/bsH7RgXFRk,0,0
azharizkita,2020-06-24 04:04:52,Abis ngomelin nyokap karena abis forward hoax,0,0
azharizkita,2020-06-23 14:20:42,@farhanrbnn Why tho ☹️ the new home theater algorithm seems promising,0,0
azharizkita,2020-06-23 11:06:36,"Ok sudah ditentukan, target nabung kali ini untuk AirPods Pro",0,0
azharizkita,2020-06-23 05:06:46,@soapwomun Go sms pro I remember using that shiettt,0,0
azharizkita,2020-06-23 05:02:44,@shitmemeexe Teknik memasak menggunakan bumbu aerosol,0,0
azharizkita,2020-06-22 08:27:47,@txtdarionlshop Miskin + males baca = perfect combo,0,0
azharizkita,2020-06-21 18:36:12,@alfahrezi23 Tampan pisan kitu euy,0,0
azharizkita,2020-06-21 07:00:26,"If my final assessment’s topic is about race classification, am I automatically a racist 🤔",0,0
azharizkita,2020-06-21 06:50:21,@hrdbacot Issa nicely done free scheduled overpopulation control. What’s so bad about it? 🤷‍♂️,0,0
azharizkita,2020-06-19 00:03:54,Saya sudah merasa cocok jadi bapak2,0,0
azharizkita,2020-06-19 00:03:54,Working hard for me and my gf so she wakes up daily with smile and no worries time 🕰,0,0
azharizkita,2020-06-16 16:31:28,@naiww__ Batteries exist bro. We haven’t even tried,0,0
azharizkita,2020-06-16 16:26:07,"Punya plan, kalo dah punya rumah mau secara total replace supply listrik via PLN dengan solar panel. Biaya awal emang mahal, tapi bisa ketutup dalam waktu 2-3 tahun. Setelah itu? Profit.",0,0
azharizkita,2020-06-16 07:53:01,@taufanahadiat Can relate 💯,0,0
azharizkita,2020-06-15 02:32:18,@monsouleil Yes. Canada for sure.,0,0
azharizkita,2020-06-14 01:34:19,Tanpa penggerebekan oleh warga dan polisi moral tentunya,0,0
azharizkita,2020-06-14 01:33:40,Pengen banget bisa tinggal serumah bareng pacar sebelom nikah kaya di luar negri,0,0
azharizkita,2020-06-12 14:16:21,@LifeNugg @kencotkoh The web is legit tho 💯,0,1
azharizkita,2020-06-12 12:38:07,Go chek this out https://t.co/EZhxeZH8lW,0,0
azharizkita,2020-06-11 05:22:14,@curedsalt Press F,0,0
azharizkita,2020-06-11 02:26:04,Press F to pay respect to my $30. https://t.co/QPgRMDZ1cM,0,0
azharizkita,2020-06-10 20:18:22,Man I high as fuck,0,0
azharizkita,2020-06-10 13:07:19,Fuck,0,0
azharizkita,2020-06-10 11:19:42,@ongisengas Mood ingin teriakkk,0,0
azharizkita,2020-06-10 05:11:43,https://t.co/vCpPlGnCgA,0,0
azharizkita,2020-06-10 03:25:28,LaTex &gt; ms word. No debate. https://t.co/A0XmVtDI0k,0,1
azharizkita,2020-06-09 10:55:39,"Berhubung PSBB kemarin gagal, sepertinya memang harus menjalani kehidupan normal dengan mengimplementasikan protokol kesehatan untuk kasus covid ini. I think this is inevitable (especially I lived in Indonesia).",0,0
azharizkita,2020-06-09 08:04:48,@naiww__ @blondedivy No.,0,0
azharizkita,2020-06-09 07:26:53,@blondedivy My personal preference,0,0
azharizkita,2020-06-08 20:21:18,😣,0,0
azharizkita,2020-06-08 13:42:24,@kencotkoh And it does give em the spotlight. That’s why I feel it is unnecessary. But still some people really deserves 7 fucking slaps on the face 👋 🤦‍♂️,0,0
azharizkita,2020-06-08 13:38:11,@kencotkoh Idk man I feel it is unnecessary to reply over stupid shit. It drains your energy fr. But some people really deserve 7 fucking slaps on the face like shkevsjsgsjsbjwksvhskdvdjw,0,0
azharizkita,2020-06-08 12:53:20,https://t.co/ngQDQMXOFi,0,0
azharizkita,2020-06-08 10:52:14,"The hardest test is not the faith test. It is actually to not to throw an offensive reply to a fucking stupid Tweet. Look, I tried to change into a more polite account but damn not mocking stupid tweets is inevitable as fuck.",0,0
azharizkita,2020-06-08 04:44:47,https://t.co/bHe238vtmY,0,0
azharizkita,2020-06-07 15:09:22,@h3llatrash @danarjon Cakep amat neng,0,0
azharizkita,2020-06-07 12:52:02,@TwisterFilm @jk_rowling Idk if people who thinks biological sex is an illusion does exist... we finally reached this level..,0,0
azharizkita,2020-06-06 10:54:10,"New things, new possibilities. https://t.co/pCR5Ens2nt",0,1
