username,created_at,text,retweet,favorite
betyratih,2020-07-05 03:32:01,"Coba itu akunmu jgn diprivate, aku mau bertamu.",0,0
betyratih,2020-07-04 13:46:21,I'm off. Too hard to handle 💔,1,0
betyratih,2020-07-04 01:15:01,"Dimute aja ya, bakalan banyak retweet. Eh dari kemarin nding, maaf.",0,0
betyratih,2020-07-03 13:53:36,@selalurabu 💔💔😭😭😭😭,0,0
betyratih,2020-07-03 13:28:12,"@selalurabu Capek ya hen, 2 taun ini fangirling bener-bener bikin capek",0,0
betyratih,2020-07-03 13:01:23,@selalurabu Aku kira 2020 bakal tenang-tenang aja ☹,0,0
betyratih,2020-07-03 11:16:15,Beneran berat banget jadi FNC stan 💔,0,0
betyratih,2020-07-02 12:14:24,My triplet ❤ https://t.co/sfi22HgVwV,0,0
betyratih,2020-07-01 14:09:31,"@iinoranye Lightstick aja gak kebeli in, apalagi tiket konser 😅😂",0,0
betyratih,2020-07-01 13:46:29,"Kalau jadi fansnya Yonghwa, Nflying, SF9, Cherry Bullet bakalan tekor banget tahun ini. Beli lighstick teruus cuyyy, belum album jugaaaa",0,0
betyratih,2020-07-01 13:42:43,"Wah ada versi ke 2. Fantasy be likes ""cuan lagi, cuan terus!!!"" https://t.co/0Vm2oGObNP",0,0
betyratih,2020-07-01 10:45:29,In Jungshin we trust,0,0
betyratih,2020-07-01 10:11:46,"@meilanilnk Seneng banget ya, padahal cuma bilang annyonghaseyo 😭",0,0
betyratih,2020-07-01 10:10:27,@JYHeffect Comeback palli,0,0
betyratih,2020-06-28 21:56:40,@awrinuk Aku mah ketagihan tidur,0,0
betyratih,2020-06-27 03:35:54,Tolong info dokter gigi di ngawi yang hari ini buka. Makasiih,0,0
betyratih,2020-06-26 06:33:43,Oh NO 😭 https://t.co/Hri4dlcvm0,0,0
betyratih,2020-06-24 01:36:12,"Level game-ku adalah candy crush, ini sebaiknya aku donlod game apalagi?",0,0
betyratih,2020-06-23 22:32:05,"@rozaruspita Pitu, tapi deket desaku. Kerja di Sby, sakit, dibawa pulang sama keluarganya, tnyta positif covid. Keluarga&amp;tetangga harus isolasi mandiri (-+ 7 KK). Iyaa, kamu juga ya. Semoga selalu sehat.",0,0
betyratih,2020-06-23 16:33:15,@rozaruspita Iyaa,0,0
