username,created_at,text,retweet,favorite
cipipiw,2020-07-03 09:24:34,@shadygurr Cybercrime,0,0
cipipiw,2020-06-30 09:44:22,@idhmkhalk makasi gmtnk,0,0
cipipiw,2020-06-29 12:04:25,@siapatebaksok kok bisa,0,0
cipipiw,2020-06-29 11:50:38,"lagi di fase ngerasa bener² sendiri, gaada yg perduli kecuali diri sendiri, sama orang tua. Temen yang pada sibuk sama dunianya masing² udah beda lingkungan sama kita, udah gabisa kaya dulu yg suka cerita suka dukanya, saling support. Semangat for me, km yg ngerasain ky gn ✨",1,5
cipipiw,2020-06-28 13:20:29,@anabnormalhuman https://t.co/SczKKQvuIc,0,1
cipipiw,2020-06-28 13:07:36,@qotrunnadaa86 @aldinf_ @Shivakireina1 @notyourxxsenpai @lrlxn avanya sama 😭,0,0
cipipiw,2020-06-28 13:01:51,@anabnormalhuman https://t.co/y7WevCX6ga,0,1
cipipiw,2020-06-28 12:47:30,@fndiiahh sabar ya a,0,0
cipipiw,2020-06-28 12:30:59,mls bikin snap gaada yg peduli,0,1
cipipiw,2020-06-28 12:16:53,"tapi ga punya ""dia"" https://t.co/887iO72X9m",0,2
cipipiw,2020-06-28 11:14:59,"ga, salah, lagi. https://t.co/znjm722n9I",0,1
cipipiw,2020-06-26 12:34:43,@rainydecember Nitip calon suami spa tau beneran https://t.co/OenAnK1PYt,0,0
cipipiw,2020-06-24 04:09:25,@WhatsAppss_ Anjai,0,0
cipipiw,2020-06-23 00:25:59,@faizsadad_ @bintangemon ngakak 😭😭😭,0,0
cipipiw,2020-06-22 15:11:28,@idhmkhalk @dsuperboy men,0,1
cipipiw,2020-06-22 13:19:45,@faizsadad_ adeknya ko gemoyyy 😭,0,0
cipipiw,2020-06-22 13:17:42,@anabnormalhuman @sadboybintaro lah kok,0,1
cipipiw,2020-06-22 07:19:28,@sadboybintaro selamatt ✨,0,1
cipipiw,2020-06-21 05:21:10,@volcadux P,0,1
cipipiw,2020-06-21 05:19:35,@bestboytxt @collegemenfess 2in,0,1
cipipiw,2020-06-21 05:15:34,@subtanyarl auto di julidin sma keluarnganya 😭,0,2
cipipiw,2020-06-21 04:20:07,@subtanyarl yg dagang positif thinking,0,3
cipipiw,2020-06-21 04:18:23,@WetanKulonn @txtdarionlshop iya hyung 😭,0,0
cipipiw,2020-06-21 00:40:02,@txtdarionlshop Asu,0,0
cipipiw,2020-06-21 00:38:44,@danibahrii benerrrrr,0,0
cipipiw,2020-06-21 00:38:09,@txtdarionlshop PLIS KO YG KY GN SERUU 😭😭,0,0
cipipiw,2020-06-21 00:34:15,@intanapl @drawanorange deep bngt 😭,0,0
cipipiw,2020-06-21 00:32:49,@dongpyoeoma uwu teross 😭,0,0
cipipiw,2020-06-20 23:49:42,@faizsadad_ gina panutan para ade,0,0
