username,created_at,text,retweet,favorite
deliahndt,2020-07-05 17:56:04,@ctbzale aku adaa photozine sama film pc moon,0,0
deliahndt,2020-07-05 17:01:39,hah kcon ny udah setaun,0,0
deliahndt,2020-07-05 16:21:40,@yobanatampan @notrichfans ingat masih available di mercari,0,0
deliahndt,2020-07-05 16:19:08,@notrichfans astaghfirullah ga boleh bohong,0,0
deliahndt,2020-07-05 16:15:01,@notrichfans maaf ga punya duit,0,0
deliahndt,2020-07-05 16:09:29,@ctbzale @yobanatampan dia nderrr,0,0
deliahndt,2020-07-05 12:36:09,lanjut https://t.co/G7kBK8TYg3,0,0
deliahndt,2020-07-05 12:25:39,@bbangkyi fotonya uniform namanya yellow😌,0,0
deliahndt,2020-07-05 11:15:52,rebahan for lyf,0,0
deliahndt,2020-07-05 11:15:36,yes https://t.co/4hu3YuoLTK,0,0
deliahndt,2020-07-05 10:24:41,@ctbzale eh salah 70k wkwk,0,0
deliahndt,2020-07-05 10:24:13,@ctbzale 75k bisa kirim besok,0,0
deliahndt,2020-07-05 08:43:19,@notrichfans won🥴,0,0
deliahndt,2020-07-05 08:42:24,makannya berisik bgt dbshshs https://t.co/CXQtv0nMZ4,0,0
deliahndt,2020-07-05 07:42:52,@notrichfans aul jajannya 110rb,0,0
deliahndt,2020-07-05 07:35:00,gue abis kena dibadutin jongin solo debut bln depan☺️,0,0
deliahndt,2020-07-05 06:15:48,"@sellkpopfess fee wh biasanya 15k, ems tax 5-7k",0,0
deliahndt,2020-07-05 03:57:51,@yobanatampan @ctbzale ama album wey,0,0
deliahndt,2020-07-04 17:24:29,@tbztheuniverse ya allah maaf🙏🏼🙏🏼,0,0
deliahndt,2020-07-04 17:24:10,@yobanatampan @ctbzale aku simpen dibeli aul :-)),0,0
deliahndt,2020-07-04 17:21:20,mana ada https://t.co/DiH6wIoHkx,0,0
deliahndt,2020-07-04 17:09:36,@ctbzale sunwoo dreamlike ver..,0,0
deliahndt,2020-07-04 16:34:52,jualanku terhalang ga bisa rln,0,0
deliahndt,2020-07-04 16:19:29,@ctbzale album set ver signed mwave dpt pc sonu eric!!😍,0,0
deliahndt,2020-07-04 14:57:06,@yobanatampan @WE_THE_BOYZ iya aku request krn stress🤯,0,0
deliahndt,2020-07-04 14:55:45,@WE_THE_BOYZ p admin juyeon update dong huhu,0,0
deliahndt,2020-07-04 13:27:26,@WE_THE_BOYZ nder dm dong aku take all,0,0
deliahndt,2020-07-04 13:26:54,@tbztheuniverse aku tetangga ui,0,0
deliahndt,2020-07-04 12:15:35,ayo kapan https://t.co/B8LgmIk8HU,0,0
deliahndt,2020-07-04 11:30:15,@yobanatampan @bbangkyi diam lu,0,0
deliahndt,2020-07-04 11:28:22,@bbangkyi nata bisikin dong depannya berapa wkwk,0,0
deliahndt,2020-07-04 09:17:03,@WE_THE_BOYZ cakeeep bgt😭,0,0
deliahndt,2020-07-04 06:19:56,@cuitantheboyz https://t.co/P4CCO4ZbBR,0,1
deliahndt,2020-07-04 05:48:55,@shmilyhyunjae apa baru ganti kali ya wkwkw,0,0
deliahndt,2020-07-04 05:48:43,@yobanatampan langsung menyelam yangdo wkwkwk,0,0
deliahndt,2020-07-04 05:48:14,@ctbzale photozine sama film pc moon,0,0
deliahndt,2020-07-04 05:37:38,@yobanatampan DGSHHSS GAPAPA LA WALOPUN KESAMPEANNYA GA NYAMPE DOBEL JYN,0,0
deliahndt,2020-07-04 05:32:18,@yobanatampan AKU YG DOAIN DAPET PC DOUBLE KAN WAKTU ITU WKWKWK,0,0
deliahndt,2020-07-04 05:31:29,@yobanatampan ga deng w engga rahma doang WKWKWK,0,0
