username,created_at,text,retweet,favorite
devaina,2020-07-02 04:34:52,"Setiap mau ngeluh di twitter, ngetik, mikir2, trus akhirnya dihapus lagi. Ga jadi diposting. Jd twit nyampah kayak gini aja gpp lah ya.. 😂",0,0
devaina,2020-07-01 12:57:37,@djaycoholyc Hari untuk Amanda,0,0
devaina,2020-06-30 08:01:07,"@trianovandaptr Wah kereeen... di sekolah anakku semua anak malah diajarin knitting, karena katanya knitting juga bisa sekalian belajar matematika sederhana. bisa ngelatih kordinasi mata, tangan dan otak jg. Aku ibunya yang ga bisa jadi pengen ikutan belajar.",0,0
devaina,2020-06-30 07:56:30,@nya_nyi yeaaay... selamat kaaa... aku masih beraninya di reksa dana doang nih. itu juga ga banyaak,0,0
devaina,2020-06-18 07:59:58,"@aharyops Dia kira 2000 kali, atau emang belaga ga tau aja. hahaha.. Dermawan sekali bayar parkir motor 20rb",0,0
devaina,2020-06-16 14:00:22,@aMrazing Kopi Susu rumahan dari tahun 2017. Rasanya ga kalah dengan kopi di cafe kekinian. Higienis dengan harga ekonomis. Lokasi Bogor. https://t.co/M6fHrxdIR9,2,6
devaina,2020-06-15 12:43:34,@rakais_me @drhaltekehalte Alhamdulillah kalo suka... sehat2 yaa.. semoga makin banyak orderannya..,0,0
devaina,2020-06-15 12:25:24,Terima kasih mas @rakais_me sudah mengantarkan makanan heits ala @drhaltekehalte. Bahagianyaa orang Bogor akhirnya bisa nyobain juga https://t.co/4ua75uKQh9,0,0
devaina,2020-06-12 11:15:32,"Tadi pagi panik kepikiran mikirin masalah keuangan, eh sorenya dikasih jalan. Emang yaa rejeki tuh udah diatur... Ajaib banget lah...",0,1
devaina,2020-06-09 22:34:41,"Mimpi sesuatu yg sepertinya menyenangkan, tapi belum sampai selesai udah kebangun. Kan penasaraan. 😑 coba tidur lagi biar bersambung ga bisa",0,0
devaina,2020-06-09 03:16:49,"Sedang mencoba nntn TVRI, materi matematika SMA. Aku tak mengerti sama sekali 😂 emang pas SMA masa2 paling bodoh dalam akademis sih",0,0
devaina,2020-06-06 07:57:45,@AndyNotowijoyo Ishh.. Kmrn ga sempet yaa sebelum lo brgkt seharusnya.. Kirim kesana ga ngerti caranya 😂,0,0
devaina,2020-06-06 06:26:15,"Masih punya banyak stok baju anak bekas jualan Tachi.clo. Kalo dijual murah ada yg mau beli ga sih, mau ngurang2in barang di rumah biar bisa dipake jadi ruang kerja.",0,0
devaina,2020-06-06 01:43:44,@CindyEfrilia Tapi di sini jg sama2 toxic sih kalo salah2 follow. 😅 serem2 bgt orangnya kalo salah ngomong dikit. Cari yg receh2 aja akumaah...,0,0
devaina,2020-06-02 01:01:19,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary 11 tahun bgt nih 😂 https://t.co/1gmyL5x8ZE,0,0
devaina,2020-06-01 12:48:46,"Habis bikin kopi 17 liter, udah mau rebahan tetiba ada yg mau pesen lagi 2 liter. Mau ngeluh cape tapi ya rejeki.. 😅 Alhamdulillah..",0,0
devaina,2020-05-28 04:21:58,"Stok kopi, susu, gula, aman semua. Yang habis justru botolnya dan baru buka tanggal 2 🙈 gimana mau jualan ini.",0,0
devaina,2020-05-27 01:00:50,@khadadyp Gue sih masih serem ya keluar2 dengan keadaan yg blm kondusif2 amat. Sekolah aja bingung nih g berani ngasih anak keluar kalaupun udah boleh masuk.,0,0
devaina,2020-05-26 20:09:41,@khadadyp Pandeminya aja entah kapan selesai 😔,0,0
devaina,2020-05-24 05:27:50,@dhimasbagus13 Iyaa tp ini gw tahan2 pas video call jg. Anaknya gengsian biasanya ga pernah nangis2an. 😅 maaf lahir batin jg ya dhiim.. 🙏,0,1
devaina,2020-05-24 03:02:41,"Pagi2 abis beberes rumah tetiba mata berkaca2 pengen nangis. Lagi sholat ied baru rakaat pertama pengen nangis lagi. Pas salam2an sm keluarga jg pengen nangis, tp ditahan2 biar ga bengkak matanya pas foto keluarga 😂 video call sm keluarga di Jkt jg ud berkaca2. Sensitif sekali..",0,1
devaina,2020-05-23 09:33:25,"Paxel kalo buat kirim makanan paling aman sih. Kirim Kopi Pak Suami jg paling cm 2x meleset dikirim besoknya, tp aman karena dimasukin freezer selama transit. https://t.co/XZXYqvwEez",0,1
devaina,2020-05-23 06:15:18,"@mrshananto Kopi Pak Suami, kopi susu rumahan sejak 2017. Pengiriman dari Bogor Selatan. Bisa kirim jadetabek via paxel. Nuhun teh 🙏 https://t.co/uwHRLQFodP",1,1
