username,created_at,text,retweet,favorite
firstyfelanda,2020-07-05 17:48:49,such a pisces answer lol good night all!,0,0
firstyfelanda,2020-07-05 17:48:48,dibawa tidur adalah jawabannya😁👍🏼 https://t.co/iWAltQ1re9,0,0
firstyfelanda,2020-07-05 17:31:21,"@FiersaBesari (((suka enggak suka, ya suka-suka kamu))) 🥺",0,0
firstyfelanda,2020-07-05 15:37:04,"gapapa, gapapaaa https://t.co/csR5SS7VUW",0,0
firstyfelanda,2020-07-05 15:21:25,tweet di atas menandakan ada tweet yg mau ku tenggelamkan tapi ga mau dihapus wqwq pokoknya kalau aku udah ngetweet banyak antara aku emang lagi bawel atau ada tweet yg mau disingkirin dari recent timeline,0,0
firstyfelanda,2020-07-05 15:20:45,@oopsiew_ @ohmybeautybank hooo oke makasih koreksinya😁,0,1
firstyfelanda,2020-07-05 15:19:25,ngetweet apalagi ya🤔,0,0
firstyfelanda,2020-07-05 15:11:21,aku ngeliat iklan makanan: oh ok aku ngeliat teaser exo bawa makanan: jadi laper https://t.co/RkntpJx9s0,0,0
firstyfelanda,2020-07-05 15:09:35,@weareoneEXO mampus ganteng banget,0,0
firstyfelanda,2020-07-05 15:07:25,@JunMydy @ohmybeautybank samaaa2👌🏼,0,1
firstyfelanda,2020-07-05 15:06:40,@JunMydy @ohmybeautybank aku waktu itu di sociolla dapet free pas beli tonernya hehehe kurang tau ya di watson atau guardian ada atau enggak soalnya udah lama ga kesana gara2 covid,0,0
firstyfelanda,2020-07-05 15:03:35,"@ohmybeautybank setauku ini ga bisa di-versus-in, soalnya beda fungsi. yg satu toner, yg satu moisturizer. yg hadalabo strip pink ga pernah pake, pernahnya yg strip ijo, itu mantul bgt biar muka ga dehidrasi yg hatomugi juga oke, bikin kulit super soft parah abis pake, trus lumayan glowing lah",0,0
firstyfelanda,2020-07-05 14:55:37,"@deditrii bentar2, emang udah pada bisa adil kayak rasulullah? https://t.co/3imAw73iio",0,0
firstyfelanda,2020-07-05 14:46:19,@memefess nih biar ga pada ribet mikir: pertama banget cuma gambar yg berkedip2 trus berkembang jadi cahaya dan bayangan. kalau program tv pertamanya itu kepala dua boneka yg digerakkan ventriloquist. sisanya baca sendiri yaaa source: https://t.co/bBoED3Q1St you’re welcome! https://t.co/weIJi8dG7H,0,9
firstyfelanda,2020-07-05 13:47:51,@ngalamfess HAH MASA INI MAU JADI CGV?!?! yaampun plis ini beneran kek biar kalau nonton ga usah jauh2😭 padahal ku kira mau jadi mcd soalnya ada merah2nya wkwkwk,0,5
firstyfelanda,2020-07-05 13:42:19,ih apaan sih aku.. pokoknya ga mau dan ga boleh sedih hari ini 💪🏼,0,0
firstyfelanda,2020-07-05 13:08:18,“emang kamu bisa apa? kamu tuh penuh privilege sama cuma bisa ngandelin muka doang kan hahahahaha” “🥺🥺🥺” “kenapa sih? aku muji loh itu” lalu sampai detik ini ga pernah bener2 percaya pujian orang ke aku (terutama pujian tentang fisik) dan selalu ngerasa ga bisa ngapa2in🙂 https://t.co/fEomeWwADD,0,0
firstyfelanda,2020-07-05 01:50:27,"@ninamrtna aw thank you ninnn, you too yaaa💖",0,0
firstyfelanda,2020-07-05 01:23:40,mood https://t.co/DOfJ0YpgPn,0,0
firstyfelanda,2020-07-04 10:24:54,"alasan untuk seneng hari ini: lipstick udah kena masker, dipake wudhu 2 kali, dipake makan minum, masih ngestain cantik banget padahal bukan liptint💕",0,0
firstyfelanda,2020-07-04 07:42:01,🤣🤣🤣 https://t.co/t68HgGAVJ8,0,0
firstyfelanda,2020-07-04 00:49:33,"dear papa, happy birthday! sincerely, forever princess of yours🌼 - #explorejogja #jogja #feyinjogja @ Tebing Breksi https://t.co/vIF6AYNn9J",0,0
firstyfelanda,2020-07-03 23:57:23,"@Asknonym biasanya pikiran yg lagi berantakan gampang teracuni negative vibes, termasuk mikir kalau positivity dari orang lain adalah toxic, karena pikiran kita terlanjur corrupted sama hal2 yg kurang baik. inget2 deh, kalau lagi seneng, jarang kan mikir negative? hehehe have a nice day🥰",0,0
firstyfelanda,2020-07-03 23:55:35,"@Asknonym ada beberapa konteks dimana positivity itu bentuk simpati terbaik dari orang lain yg mungkin karena lingkungannya emang gitu (kita juga ga tau apa2 tentang kehidupan orang lain, kan?) atau keadaannya yg ga memungkinkan buat sampai berempati, dan hal2 lainnya.",0,0
firstyfelanda,2020-07-03 23:53:44,"@Asknonym just because someone can’t be positive doesn’t mean others’ positivity is wrong :)) aku tau banget kok toxic positivity ga baik dan jadi positive itu susah, tapi aku ga pernah menyalahkan orang2 yg bilang kayak gitu waktu aku down. anggep aja itu gesture baik dari orang lain😄",0,0
firstyfelanda,2020-07-03 00:04:49,@juliabeaugerard https://t.co/oJGFrC6pIe,0,0
firstyfelanda,2020-07-03 00:00:35,@juliabeaugerard are these memes tho https://t.co/dUAuoBttSk,0,1
firstyfelanda,2020-07-02 15:10:28,@weareoneEXO SM knows that one sehun is not enough for us🔥🔥🔥,0,0
firstyfelanda,2020-07-02 15:08:36,@weareoneEXO sehun is not real😍,0,0
firstyfelanda,2020-07-02 11:58:20,"bukannya diet, aku pun masih makan yg lemak2 kok (my favorite😭❤️), tapi porsinya wajar jadi ga terlalu ngaruh ke bb. lah itu sekotak kecil tapi dosanya melimpah wkwkwk apakah worth it untuk dicoba😂😂😂🤔🤔🤔🤔",0,0
firstyfelanda,2020-07-02 11:58:19,dari kemarin banyak banget iklan dessert box lewat... rada penasaran tapi kepikiran juga kalau aku makan sekotak itu udah dipastiin bakal nambah bb sekilo ya ga sih🤣,0,0
firstyfelanda,2020-07-02 00:15:15,"monmaap soalnya aku males sama tukang sayur yg ke rumah pasti ada ibu2 gosip, mager ketemu orang banyak di tukang sayur yg gedean dikit apalagi di pasar, ke supermarket yg aman harus ke mall, dan mama ga aku bolehin pergi ke luar, jadilah beli lewat app yg penuh suka duka ini😂😂",0,0
firstyfelanda,2020-07-02 00:15:14,"akhirnya nemu yg bisa anter ke rumah, ongkir wajar, trus produknya bisa beli dikit2.... tapi appnya jelek banget huft suka error dan harus force close tiap 1-2 menit wkwkwk okelah gapapa daripada ga ada sama sekali😌",0,0
firstyfelanda,2020-07-02 00:15:13,"susah banget nyari aplikasi belanja sayur yg pas... ada yg ga bisa anter ke rumah soalnya over area, ada yg ongkirnya mahal bgt (gila 60k udah kayak kirim dari jakarta😩), ada juga yg produknya ga bisa beli dikit2 (mesti beli sekilo padahal cuma butuh dikit) 😬",0,0
firstyfelanda,2020-07-01 15:31:59,still the first day of july and I’ve been blessed. july is good. july is better. 🥰,0,1
firstyfelanda,2020-07-01 15:24:46,so far this is my most favorite photo of EXO-SC upcoming album. such a blessing for my eyes omg https://t.co/M6arvU1qjy,0,0
firstyfelanda,2020-07-01 15:12:29,@weareoneEXO PERFECT.,0,0
firstyfelanda,2020-07-01 15:12:03,@weareoneEXO ma boiii😍😍😍,0,0
firstyfelanda,2020-07-01 15:10:09,@weareoneEXO plis ntar photocardnya ini aja🥺💕,0,0
firstyfelanda,2020-07-01 15:07:16,@weareoneEXO duh konsepnya😍,0,0
firstyfelanda,2020-07-01 00:11:16,"welcome, july☀️",0,0
firstyfelanda,2020-06-30 10:44:00,alhamdulillaaah☺️✨,0,0
firstyfelanda,2020-06-30 05:31:33,@ngalamfess pake group chat sama adek padahal isi groupnya cuma kita berdua doang😂 https://t.co/j9FHk2LKsi,0,1
firstyfelanda,2020-06-28 04:40:45,this filter is unbelievable https://t.co/dzTlGRu9vW,0,0
firstyfelanda,2020-06-27 14:55:00,@natashax625 this is sweet and sad at the same time... https://t.co/RLNwEJs7DN,0,0
firstyfelanda,2020-06-27 10:27:49,🥺🥺🥺 https://t.co/iGfFth3iZM,0,0
firstyfelanda,2020-06-27 07:00:05,"yes, Mr Bear? 🐻 - #aisyahjayawisata #bangkok #thailand #explorebangkok #explorethailand #feyinbangkok #feyinthailand @ Baan Thai Boutique Hotel https://t.co/W1Rr3XmLC3",0,0
firstyfelanda,2020-06-26 03:55:47,@lagi_ngapainsih @ohmybeautybank monmaap ya kita aquarians emang seaneh itu jadi harap maklum😌,0,0
firstyfelanda,2020-06-25 15:14:37,"@srfebryanti @ohmybeautybank iyaaa hahaha tapi aku ga diet, aku tetep makan yg biasa ku makan cuma dikurangi aja porsinya, banyak minum air putih, sama rajin workout juga. tiap hari aku workout tapi beda2 yg dilakuin😄",0,0
firstyfelanda,2020-06-25 13:28:37,@tiiingkerbell @ohmybeautybank sama2 yaaa,0,0
firstyfelanda,2020-06-25 12:59:23,@tiiingkerbell @ohmybeautybank itu fladeo beli di matahari dept store tapi udah lama belinya kayak udah setahunan lebih gituu,0,0
firstyfelanda,2020-06-25 12:47:47,"@lagi_ngapainsih @ohmybeautybank cuma bisa dirasain, ga bisa dijelasin wkwkwk kalau aquarius sejati pasti ngerti🤪",0,0
firstyfelanda,2020-06-25 12:45:24,@EvaNirmala14 @ohmybeautybank cuma di foto aja itu wkwkw btw maaciw😙,0,0
firstyfelanda,2020-06-25 12:44:24,@adnidinda you’re welcome! 😄,0,0
firstyfelanda,2020-06-25 08:07:51,"@adnidinda @jee_creepers bantu jawab, sekarang udah boleh salah satu pcr atau rapid aja kalau ke jakarta naik lion air source: https://t.co/sU2H05GZpK",0,1
firstyfelanda,2020-06-25 07:58:57,@ngalamfess 💙💙💙,0,0
firstyfelanda,2020-06-25 07:50:37,@lagi_ngapainsih @ohmybeautybank ya gitu wkwkwk mukanya tuh kayak ada feel aquariusnya gitu🤣,0,0
firstyfelanda,2020-06-25 07:36:14,"@ohmybeautybank andalanku selalu manfaatin tangan wkwkwk asal2 aja pose tangannya diapain gitu. kaki juga bisa. kalo outdoor malah lebih oke soalnya kebantu angin sama lighting. anyway kalau mau liat foto2 lainnya bisa buka ig ku aja ya, usernamenya sama kayak twt kok. mau follow juga boleee😋 https://t.co/TzrLgkaMaE",0,24
firstyfelanda,2020-06-25 07:11:26,"@ohmybeautybank love yourself first. pake skincare itu bentuk rasa sayang sama diri kita sendiri, dan hasilnya juga untuk kesenengan kita sendiri kan. kalau udah sayang sama diri sendiri, baru sayangin yg lain, termasuk oppamu😙",0,0
firstyfelanda,2020-06-25 01:36:58,"ini kalau ku checkout lewat zal0ra pasti hari ini baru dikirim dari sana, untung brandnya punya account shopee. mana dapet cashback pula😂😂😂👏🏼👏🏼👏🏼👏🏼",0,0
firstyfelanda,2020-06-25 01:36:58,"baru order kemarin jam 2 siang, pagi ini udah dibawa kurir dong... emang shop yg packingnya express plus jnt adalah sebuah duo maut🤣👍🏼 https://t.co/mfBJDwKK2U",0,0
firstyfelanda,2020-06-25 01:00:28,@planetpng omg what kind of dog is this?! this one is too cuteeee😍,0,0
firstyfelanda,2020-06-24 18:32:14,@ohmybeautybank here’s the close up of all my favorite pretty faces of indo influencer! gila ya orang kok bisa cakep2 gini... aku kapan bisa secantik mereka🥺 https://t.co/LsatygJlQD,0,10
firstyfelanda,2020-06-24 18:06:13,@ohmybeautybank paola tambunan: absolutely the prettiest face I’ve ever seen! sasyachi: ini ibu2 yg masih cute parah huuu aku mau jadi kayak dia pas udah punya anak nanti!! patricia devina: idk why tapi menurutku cantiknya dia itu cantik yg aquarius bgt lol claudia novira: I love her eyesss😍 https://t.co/shkN3KYqhn,0,19
firstyfelanda,2020-06-24 17:23:47,@aMrazing ini overthinking yg bermanfaat😂,0,0
firstyfelanda,2020-06-24 15:24:39,"@BigAlphaID intinya: cc = kartu sakti kalau pakenya bener, ga konsumtif, bisa manfaatin kesempatan sebaik mungkin, berpegang teguh sama budget👍🏼 cc = kartu setan kalau dipakenya buat ngutang apalagi yg di luar budget, asal belanja dan ga pernah diitung bener2 yg penting swipe card aja dulu🤪",8,9
firstyfelanda,2020-06-24 15:23:46,"@BigAlphaID komen2nya😂😂😂 cc ≠ cicilan/utang kalau payment full pas billing statement keluar. selama ga konsumtif pasti aman kok. aku yg suka banget belanja masih bisa ngerem dan tetep on budget kok, kuncinya sadar aja kemampuanku seberapa. masih bisa nabung sama invest kecil2an juga. 😄",0,1
firstyfelanda,2020-06-24 08:27:28,"@andicahyo_ a legend! dari aku kecil udah suka banget, sampe pernah minta ke mama buat masukin aku ke sanggarnya padahal jauh😂 buat aku dulu tuh: masuk sanggar didik ninik thowok &gt;&gt;&gt; les balet",0,0
firstyfelanda,2020-06-24 00:44:43,"but honestly I don’t really follow recent indonesian songs tho, the old songs are more like my taste I think? oh and some fun facts, I prefer alay indo songs more than most of hit dangdut songs hehehe",0,0
firstyfelanda,2020-06-24 00:44:42,"who says I’m not into indo thingy? yes I don’t really like indonesian food or always skeptical with indonesian movies, but indonesian songs? omg I’m living with it during my teenage years especially in junior high school🤣 I downloaded every new song to keep updated lol",0,0
firstyfelanda,2020-06-24 00:44:41,my current jam. some indonesian old songs are gem💖 https://t.co/v45phPTjdX,0,0
firstyfelanda,2020-06-23 04:44:13,"lagi ngecek email, ada email judulnya rebook, trus mikir dong... perasaan aku pesennya adidas, kok ada email dari reebok🤔 ternyata salah baca itu email dari lion buat rebook astaga🤣🤣🤣 #gagalfokus",0,0
firstyfelanda,2020-06-23 00:11:08,"@moviemnfs film anak kembar cari aja semua filmnya the olsen twins. favoritku it takes two, new york minute, our lips are sealed, the challenge, when in rome, double double toil and trouble👍🏼",0,0
firstyfelanda,2020-06-22 16:31:10,"makanya lebih suka belanja offline kalo buat baju lebaran cuma berhubung pandemi jadi mau ga mau harus online. mending keliling2 semua mall sama outlet baju yg ada biar warnanya sama persis. di zalora aja yg segitu banyak produknya, aku ga bisa nemu warna yg sama buat semuanya😂",0,0
firstyfelanda,2020-06-22 16:19:23,"@txtdarionlshop WKWKWK mirip waktu aku lagi nyari baju seragaman buat lebaran kemarin😂😂😂 nanya birunya kayak gimana kan supaya mirip sama seragam biru yg lain, eh dijawab pokoknya sesuai foto... tapi fotonya juga ga jelas mirip2 semua gitu🙂",0,0
firstyfelanda,2020-06-22 06:49:08,she wakes up and suddenly everything is a fairytale💫 @ Malang https://t.co/CdHpsSkN9w,0,0
firstyfelanda,2020-06-21 12:41:50,tapi deg2an banget mau masuk cancer season...,0,0
firstyfelanda,2020-06-21 12:41:49,yeay finally gemini season is ended🎉,0,1
