username,created_at,text,retweet,favorite
hasinanr,2020-07-02 06:18:29,@lidyanovega Cieh hbd lidd,0,0
hasinanr,2020-07-01 04:58:43,"@ansmtnbl @alyanuref @remahremahciki Dan kalo tiap hari konsumsi lbh dari kebutuhan jg bisa jadi masalah kesehatan, hipertensi. Kebutuhan garam jg sbnr nya cuma 1sdt/hari hehe",0,0
hasinanr,2020-07-01 04:56:53,"@ansmtnbl @alyanuref @remahremahciki Yap bnr bgt wkwk AKG 2019 keb natrium orang dewasa 1500 mg, itu baru di 1 bks mie goreng udh memenuhi 71% keb natrium orang dewasa, blm ditambah konsumsi makanan lainnya, jadi rentan bgt seseorang konsumsi natrium lebih dari kebutuhan,",0,0
hasinanr,2020-06-29 08:09:30,@VICE_ID Wkwk,0,0
hasinanr,2020-06-28 12:53:49,@Anwarhm_ @manglaksa Dah wkwk,0,0
hasinanr,2020-06-28 08:54:37,@manglaksa Gini an.... @Anwarhm_,0,0
hasinanr,2020-06-27 10:59:57,@sesisekk @PolJokesID @Ronifirmansyah_ @Anwarhm_ Wkwk dah nebak pasti ada yg mensen aan😂😂,0,0
hasinanr,2020-06-27 09:48:20,@Anwarhm_ Aww takut an,0,0
hasinanr,2020-06-27 09:15:31,@Anwarhm_ Huhu :') smangat untuk mndpt penyemangat🔥,0,0
hasinanr,2020-06-24 11:12:04,"@feeelllinnee Congrats cell, smoga berkah dan lancar terus buat selanjutnyaa!😍",0,0
hasinanr,2020-06-22 22:41:52,@jawafess Iwak banyu/ iwak laut wkwk,0,0
hasinanr,2020-06-22 13:51:19,@remahremahciki Smangatt sa 9 menit again😘,0,0
hasinanr,2020-06-22 12:17:54,@remahremahciki Pdd sa? Horor skale wkwk,0,0
hasinanr,2020-06-20 09:05:27,@ansmtnbl @remahremahciki Aku kangen geprek umi :( wkwk,0,0
hasinanr,2020-06-17 12:52:40,@RStyaaa Besok2 deh kalo sempet wkwk,0,0
hasinanr,2020-06-17 12:48:51,"Follow tama alias tiwi alias tiwul G53, naks karangjambu gizi unes mayan nih bisa buat konsul gizi https://t.co/Xoug7lfTY4",0,0
hasinanr,2020-06-17 11:27:13,"@peyeay Iya kaya e pey, realisasikan kali ya biar bpk nya ga kecewa",0,0
hasinanr,2020-06-17 11:24:39,@kentangkentunk Baru nyadar kalo smg-pbg nya bikin ambigu sa wkwk,0,0
hasinanr,2020-06-17 11:23:21,@RStyaaa Aku kasian ke bpk nya res takut ga dpt trevel :(,0,0
hasinanr,2020-06-17 10:29:14,Ga berpikir sampe sini pas bikin nama skincare smg-pbg. Wkwk maap ya pak usaha travel nya tunggu ada duit dulu https://t.co/Jk8u1pNztY,0,0
hasinanr,2020-06-13 07:23:51,"@ansmtnbl Nah makannya mit, dah ati2 aja kadang masih ada rasa efek samping dari larutan2 itu wkwk",0,0
