username,created_at,text,retweet,favorite
indahpl03,2020-07-05 17:43:33,@triindonesia min cara non aktifkan paket gprs gimana ya min?,0,0
indahpl03,2020-06-26 03:43:02,@rochequart13 https://t.co/31TI5EhmmM,0,1
indahpl03,2020-06-16 08:34:59,@dimazdmagan Happy birthday mas.. Barakallahu fii umrik 🎉 https://t.co/GR7OtECM81,0,0
indahpl03,2020-06-15 09:43:11,@pencarirezeki81 Done,0,0
indahpl03,2020-06-15 09:32:52,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @ucahufflepuff,0,1
indahpl03,2020-06-15 09:31:31,@naegajeii Sakit hati saya bintang di fitnah begituan 🙃,0,0
indahpl03,2020-06-15 09:30:06,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @glycolene,0,1
indahpl03,2020-06-15 09:29:53,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @nakkecilll,0,0
indahpl03,2020-06-15 09:29:37,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @gataubarubangun,0,0
indahpl03,2020-06-15 09:29:25,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @ztrm_,0,0
indahpl03,2020-06-15 09:29:14,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @carissasoe,1,0
indahpl03,2020-06-15 09:28:36,@naegajeii BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY BINTANG EMON BEST BOY SAYA PERCAYA BINTANG EMON ORANG BAIK-BAIK @yoziberlianda_,1,0
indahpl03,2020-06-15 09:26:47,"@Qiswah_Nabila Semoga menang, aamiin",0,1
indahpl03,2020-06-15 09:25:55,"@tdkberguna Semoga menang, Aamiin",0,0
indahpl03,2020-06-14 16:32:16,@collegemenfess Boleh,0,0
indahpl03,2020-06-14 13:16:15,@nutrijeII Mau ovo kak,0,0
indahpl03,2020-06-14 13:14:21,@haanjongin Done https://t.co/qOGJvr4mrk,0,0
indahpl03,2020-06-14 10:24:26,"@unnesmenfess Adikku smp, sini nder",0,0
indahpl03,2020-06-14 10:24:02,"@collegemenfess Boleh, sini",0,0
indahpl03,2020-06-14 10:23:25,"@Jakabilang Saya bukan orang bekasi, jadi saya bantu RT aja ya",0,0
indahpl03,2020-06-14 01:54:21,"@arcipedes @collegemenfess Done, semangat skripsiannya kak",0,0
indahpl03,2020-06-14 01:47:34,@helloagaaiinn Done https://t.co/Pi8F5TxdgP,0,0
indahpl03,2020-06-14 01:04:34,https://t.co/odIIlHpF9Q,0,0
indahpl03,2020-06-14 01:03:24,@GiveawayRecehh @fiafilia95 Done,0,0
indahpl03,2020-06-13 12:43:43,@collegemenfess Sini kak,0,0
indahpl03,2020-06-13 05:16:11,@seorangcapitan Mau kak,0,0
indahpl03,2020-06-13 02:48:47,@collegemenfess Skp nya dari lembaga apa kak?,0,0
indahpl03,2020-06-12 17:22:03,@Paf0wel Jawa,0,0
indahpl03,2020-06-12 14:47:22,@lyingonthesand 57,0,0
indahpl03,2020-06-12 14:42:59,"@kintakakilann Semangat semoga lulus, jangan lupa doa dan ikhtiarnya kencengin hehehe",0,1
indahpl03,2020-06-12 14:17:48,@lvnyas New normal? Ak dpt info ini dari dosenku yg buat perancangan dan perkiraan fakta tntng covid di Indo Faktanya Indonesia belum bisa untuk melakukan new normal Karena 1. Pertumbuhan kasus baru masih tinggi 2. Tingkat kesembuhanasih rendah 3. Dan masih terdapat kasus selama 30 hari,0,0
indahpl03,2020-06-12 14:12:59,"@morsmordreus Selamat kak, semoga untuk urusan yang lain juga dilancarkan aamiin",0,0
indahpl03,2020-06-12 14:10:56,@jaehyungbit Done,0,0
indahpl03,2020-06-12 14:10:42,@capritude Boleh minta cp nya kak?,0,0
indahpl03,2020-06-12 14:09:26,"@ecstasuh Bismillah semoga segala urusan kakak dilancarkan, dan terkhusus untuk koass nya semoga lnacar-luncur jalan tanpa hambatan aamiin!! Berdoa dan berikhtiat jalan menuju kesuksesan semangat kak",0,0
indahpl03,2020-06-12 12:35:55,@qnafess Done https://t.co/if32Vfk4G7,0,0
indahpl03,2020-06-12 12:17:13,@jelaspisan Done,0,0
indahpl03,2020-06-12 12:16:33,@sxnaini Happy birthday 🎉🎈 may god blessing u 🙏 https://t.co/Nn1MOL7V7o,0,0
indahpl03,2020-06-12 12:13:25,@nayeonri Done kak,0,0
indahpl03,2020-06-12 12:11:32,"@lajtte Done, sekalian aku banti share https://t.co/oUg8myDuDC",0,0
indahpl03,2020-06-12 12:06:03,@soondaelion_ Thankyouu kak,0,0
indahpl03,2020-06-11 14:31:37,@crzwow 927 TEBAK TIGA ANGKA,0,0
indahpl03,2020-06-11 04:50:39,@nnv198 Done,0,0
indahpl03,2020-06-11 04:49:49,@MyBebOfficial 74 #MyBeb #UntungAdaMyBeb @saya_manusiaaaa @qyutiy @Raffa0870 @Laaaahk @ywndxx,1,1
indahpl03,2020-06-11 04:48:26,@MyBebOfficial 74 #MyBeb #UntungAdaMyBeb @arthessss @yeshynoya @aksukabengbengg @BCYNESS @Nsywaatllh,0,0
indahpl03,2020-06-11 04:47:39,@MyBebOfficial 74 #MyBeb #UntungAdaMyBeb @aburijalbahri2 @boondaaan @fiafilia95 @callmebapsae95 @ilytucm,0,0
indahpl03,2020-06-11 04:45:10,"@chomahmoodz Done, mau dana",0,0
indahpl03,2020-06-11 03:23:14,@level_lima Done,0,1
indahpl03,2020-06-10 11:50:36,@jenoxns @kpopzns Udah follow + tri https://t.co/Ias0T6P4SZ,0,0
indahpl03,2020-06-10 03:51:33,@Its_Adiespa Done,0,0
indahpl03,2020-06-10 03:51:16,@Mi_Virdadaf Stimuno jaga dan perbaiki sistem imun untuk hadapi new normal membangkitkan semangat lawan Covid-19 :),0,0
indahpl03,2020-06-10 03:26:47,@ciin_eo @ygofficialblink Tri @ygofficialblink,0,0
indahpl03,2020-06-10 03:19:52,@MMJuiceRestoran @mmjuice 1. SOP BUNTUT 2. SIOMAY #mmjuicegiveaway @jennynuramelia @adis_mj @peachyyycat_,0,0
indahpl03,2020-06-10 03:03:17,@paychannn #BLACKPINKISCOMING #BLACKPINKCOMEBACK,0,0
indahpl03,2020-06-09 11:07:49,@rrhstorekpop_ Done &amp; indahpl_03 https://t.co/7VrPUcxApw,0,0
indahpl03,2020-06-09 11:01:43,@GamesMenfess @yumeshopid Indahpl_03 &amp; aku mau dana https://t.co/jZ28lWmpV1,0,0
indahpl03,2020-06-09 10:55:49,"@adeevanai Bismillah, mau dana buat beli kuotaaa 😭 Buat mbaknya sehat selalu ya",0,0
indahpl03,2020-06-09 10:53:14,@brattydoII Mau banget,0,0
indahpl03,2020-06-09 10:52:43,"@Pinkfai86537432 Doneee Semoga rezekinya makin berlimpah dan dilipat gandakan, selalu diberi kesehatan untuk kamu dan keluarga Aamiin https://t.co/gtAOcfapWk",0,0
indahpl03,2020-06-09 10:47:16,@bucinjongjae Semoga apa yang kamu inginkan segera dikabulkan tuhan.. Aamiin,0,0
indahpl03,2019-07-08 04:09:26,@Atasawan_ Happy - skinnyfabs,0,0
indahpl03,2019-07-04 05:07:37,@darmafa #DRMJuliGiveaway #Day4,0,0
indahpl03,2019-07-04 05:06:39,@sweetioreo Wish me luck 🙏,0,0
indahpl03,2019-07-04 05:06:01,@denanschan Tri,0,0
indahpl03,2019-07-04 04:10:33,@tanya2rl Indahpl_03,0,0
indahpl03,2019-07-03 13:20:54,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @masayuanastasia @nyimaswulandari @sukangegas,0,0
indahpl03,2019-07-03 13:20:12,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @sightlysoo @kacangratuliu05 @felia_nyimas,0,0
indahpl03,2019-07-03 13:18:56,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @Selyfd @dlsehalq @pingby_twt,0,0
indahpl03,2019-07-03 13:17:50,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @Man9gis @asthewrongside @teIevisi,0,0
indahpl03,2019-07-03 13:17:06,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @nasgorpedes123 @nasgor33 @YapuraMelisa,0,0
indahpl03,2019-07-03 13:16:02,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @dianapriliia @Azkiaimanniaa @syifaamalina01,0,0
indahpl03,2019-07-03 13:15:20,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @zafirsydh @zaynacip @AzkiaNur,0,0
indahpl03,2019-07-03 13:14:52,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @happygurllss @DindaOktarini @nileaadnan,0,0
indahpl03,2019-07-03 13:13:42,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @sightlysoo @Denissetianta @gilang_sandi,0,0
indahpl03,2019-07-03 13:12:55,@yukk_id Menurun 1. Yukkers 3. Untung 5. Hemat Mendatar 2. Discount 4. Reward #YUKKuis #YUKKTekaTeki @aisyahmnf @auliyeeah @Unhumanwkwkwk,0,1
indahpl03,2019-07-03 09:44:20,"@dalietpeach @awmissqueen Lip sugar emina, primer maybelline, sama viva face tonic lemon Palembang",0,0
indahpl03,2019-07-03 09:40:05,@silviranbin Tri,0,0
indahpl03,2019-07-03 09:19:58,@heyyucok Gua sampe cowok ya mau deketin gua malah nyantol ke teman gua gara2 gua cuek sangat 😹😹,0,0
