username,created_at,text,retweet,favorite
kepikbesar,2020-07-05 13:42:04,"Bayangin banjir terus tainya pada ngambang semua, OMG GROSS 😭😭 https://t.co/FSsL7MD342",0,0
kepikbesar,2020-07-05 12:49:50,@macabaee @collegemenfess Di pos satpam pula wkwkwk,0,1
kepikbesar,2020-07-05 05:27:49,@macabaee @GRESAIDS Udah malaq minta discount ugha awkoawko,0,0
kepikbesar,2020-07-05 05:21:57,Pantes ciwi ciwi nempel mulu sama lu anying 🙂 https://t.co/dxJ20HbDgL,0,0
kepikbesar,2020-07-05 05:01:39,@subtanyarl Tim ga jongkok di wc duduk.,0,0
kepikbesar,2020-07-05 03:09:07,@GRESAIDS @macabaee tolonkkkk... 🤣,0,0
kepikbesar,2020-07-04 16:18:00,@lunaestrellados The way she laugh 🤣,0,0
kepikbesar,2020-07-04 14:46:21,@animalfess2 Ngadem donggg 😭😭,0,0
kepikbesar,2020-07-04 10:45:43,"@UJustBitjc @subtanyarl Keknya sih gitu yaa, makanya kalo buat pipis ya popok bukan pembalut 😭",0,0
kepikbesar,2020-07-04 09:18:19,"@subtanyarl Gabisa weyyyy, bakal tembus kemana2. Soalnya pernah coba pembalut bersih aku kasih air ternyata bleber. Mending cari alfaindo aja numpang pipis",0,1
kepikbesar,2020-07-03 16:02:54,Ketika doi pengen gemes gemesan tapi aku lagi ga mood 🤣 https://t.co/Dyz8G0rXka,0,0
kepikbesar,2020-07-03 13:04:04,@tanpasiapa2 @subtanyarl Beri mas ini nasi padang!!,0,0
kepikbesar,2020-07-03 12:59:56,@animalfess2 Bentar lagi paling lo diamuk nder 🙂,0,0
kepikbesar,2020-07-03 06:34:37,"Sooooo cute, I can't 🤣 https://t.co/0ki2FbkYq3",0,0
kepikbesar,2020-07-02 13:18:16,"@animalfess2 Kitten segitu kecil kemungkinan buat survive sendiri. Yakin induknya ga ada? Kalo mau kasih susu ya harus disuapin beberapa jam sekali, belom lagi kalo dia kedinginan. Coba liat tempat asalnya ada induknya ga",0,0
kepikbesar,2020-07-02 09:11:49,"@ohmybeautybank Coba sekalian rep statusnya ""cobain SK-II doOo00ng""",0,0
kepikbesar,2020-07-02 06:50:36,"T O L O L, CALON RAPIST GINI NIH. YANG DI SALAHIN ORANGNYA, BAJUNYA. MAKAN NOH KEBEBASAN BERPANDANGAN KNTOL https://t.co/R17MISW8CF",0,0
kepikbesar,2020-07-01 16:42:22,@animalfess2 Bop-in idungnya plis 😭😭😭,0,0
kepikbesar,2020-07-01 11:45:25,@animalfess2 Penculiq km meng!! 😭😭,0,0
kepikbesar,2020-07-01 06:30:54,"@collegemenfess Skip anjir, lama2 tambah ngelunjak.",0,0
kepikbesar,2020-07-01 03:45:32,"@collegemenfess ""aku oleh wisuda, tapi jare ibu maem sek"" wkwkwk",0,0
kepikbesar,2020-06-30 05:15:17,"Finished stream LMM, lagu macem apa bisa sedih banget feel nya 🙂",0,0
kepikbesar,2020-06-30 04:53:54,@KIWIarry Someone please tag her on instagram 🤣,0,1
kepikbesar,2020-06-29 16:07:57,Pengen jelly aja anj jam segini 😭😭,0,0
kepikbesar,2020-06-29 15:57:17,@subtanyarl ❤ https://t.co/wkJ1p87vji,0,0
kepikbesar,2020-06-29 15:15:17,@AREAJULID Itumah yang di jkt melipir kali makanya norak 💅,0,0
kepikbesar,2020-06-29 15:06:32,"Dahlah selow, dah mati rasa.",0,0
kepikbesar,2020-06-29 11:02:58,Kelebihan cuan efeknya gini ternyata 🙂 https://t.co/v7pm7IIdjK,0,0
kepikbesar,2020-06-29 11:00:40,@___maulmaul @subtanyarl Bener sampe bingung lagunya bisa enak2 bngt 😭 yang mamamoo di immortal song juga best vocalnya,0,0
kepikbesar,2020-06-29 10:35:48,"Habis stream mv barunya part ""Maria Maria"" keinget terus 😭😭😭 #MarialsHwasa #HwasaMaria",0,0
kepikbesar,2020-06-29 10:31:33,@ilkomugm2020 @subtanyarl Wahh daebakkkkk!! Kamu aku peluk virtual ya!! 😭😭,0,0
kepikbesar,2020-06-29 10:30:28,@ejoohyu @subtanyarl Aaaa welcome 🎉 sekalian stream mv Hwasa cpett 😭😭😭,0,0
kepikbesar,2020-06-29 09:45:15,"@ilkomugm2020 @subtanyarl Oh edit, ternyata udah keluar. Telat wkwk",0,0
kepikbesar,2020-06-29 09:43:02,"@ilkomugm2020 @subtanyarl Yeayyy, salah satu member nya Hwasa nanti sore bakal come back siapa tau masih mau kepo 😻😻",0,1
kepikbesar,2020-06-29 08:03:58,@ftaetae_ @subtanyarl Glad to know it 😻😻,0,1
kepikbesar,2020-06-29 08:01:45,"@ilkomugm2020 @subtanyarl Mamamoo, ayo take a look video mereka 🎉😻",0,0
kepikbesar,2020-06-29 02:52:22,@ramaargh @subtanyarl Yakk btull https://t.co/yvFTpj39cd,0,0
kepikbesar,2020-06-29 02:39:59,"@ftaetae_ @subtanyarl Huhuhu keknya aku salah sangka nih, kukira fans bts ga suka sama mamamoo soalnya anu... banyak negative comments dari org2 yang ngakunya fans bts 👉👈 Tapi ternyata banyak yang support mamamoo juga, terimakasihh 😭😭🎉",0,0
kepikbesar,2020-06-28 16:39:22,"@FOODFESS2 Wanginya enak bangetttt tapi rasa kurmanya kurang kerasa sih kalo di aku, not bad lah",0,0
kepikbesar,2020-06-28 16:05:10,Scary yet so cute 🤣🤣 https://t.co/rjAOzQlyCS,0,0
kepikbesar,2020-06-28 15:58:06,"@salmanabia @subtanyarl Yap betul, awal hwasa debut kan banyak yang gasuka karna beda sama beauty standard nya korsel Tapi honestly hyorin, hwasa sama mereka yang 'beda' ga kalah gorgeous nya sama yang lain 😻",0,0
kepikbesar,2020-06-28 15:48:34,@aycebearr @subtanyarl Ayo pelukann 😭 wkwkwk,0,0
kepikbesar,2020-06-28 15:41:26,"@salmanabia @subtanyarl Engga setau ku, doi lahir di Jeonju",0,0
kepikbesar,2020-06-28 15:03:58,Hmm anu dek nyemplung buntutnya 👉👈 https://t.co/G7FUd8YzHW,0,0
kepikbesar,2020-06-28 14:36:29,@aycebearr @subtanyarl Seneng banget banyak yang suka mamamoo 😭😭😭😭,0,0
kepikbesar,2020-06-28 13:58:41,@liliaess @subtanyarl https://t.co/rTHO5qe9VK,0,1
kepikbesar,2020-06-28 13:53:21,"@seraphinarose_ Aku semangat nanti, kepiknya lagi di charge 💃 Terimakasihhh uwu",0,0
kepikbesar,2020-06-28 13:51:40,"@seraphinarose_ Mungkin dia ngerasa aku aja yang ngedosa, dia engga. Yauda gpp wkwk",0,0
kepikbesar,2020-06-28 13:50:23,@spongienana @subtanyarl Mba nya pengen aku kirim love se truck ga? Wkwk,0,0
kepikbesar,2020-06-28 13:17:30,@tehbotolmilkita @subtanyarl https://t.co/JhomziZ6aH,0,1
kepikbesar,2020-06-28 12:32:05,"Baru tau rasanya ""kalo kamu udah gede baru ngerti"" Kasian jadi orang dewasa, terpaksa harus terima apa yang bukan dimau. Lagian ngapain ya pas jadi bayi gw nyanggupin buat hidup 🤣",0,0
kepikbesar,2020-06-28 12:05:38,@subtanyarl Y'all got taste *chef kiss*,0,0
kepikbesar,2020-06-28 09:31:33,@subtanyarl https://t.co/pBlikONwL9,4,168
kepikbesar,2020-06-28 07:16:18,Katanya gitu Nyatanya gini https://t.co/9vb90kzMvq,0,0
kepikbesar,2020-06-27 10:31:24,Eurus atau Enola (?) https://t.co/KiJBoMWAz5,0,0
kepikbesar,2020-06-26 11:02:56,@MUSIC_FESS Black magic Love me or leave me,0,0
kepikbesar,2020-06-26 06:28:16,@migdrop @animalfess2 Bitj I know I'm cool 💅,0,0
kepikbesar,2020-06-25 16:28:56,@MyDamnStuffs mau tagg,0,0
kepikbesar,2020-06-23 17:43:34,@kochengfess Nih meng aku editin dikit 👉👈 https://t.co/dX1HQsj7LB,0,0
kepikbesar,2020-06-23 16:51:34,Pusink ngakak mulu 😭😭 https://t.co/tVsdI79oWs,0,0
kepikbesar,2020-06-20 13:44:50,@collegemenfess Calon fucek boi #mahasiswaCM https://t.co/pk84TQdhIz,0,0
kepikbesar,2020-06-19 16:03:30,"@animalfess2 Mau samaan ga sama laptop aku namanya ""goji"" artinya protection dari bahasa jepang 😂",0,0
kepikbesar,2020-06-18 16:02:34,@MUSIC_FESS https://t.co/kG1eqsRpGS,0,0
kepikbesar,2020-06-18 12:42:50,Apakah bakal nambah couple fav? 😭 Btw CONGRATULATIONS 💃💃💃 https://t.co/dnRhnh0zep,0,0
kepikbesar,2020-06-18 11:15:35,@assfess :) https://t.co/ZFnM88F87p,1,2
kepikbesar,2020-06-18 08:47:43,Nonton last episode Hi bye mama nahan2 biar ga nangis akhirnya malah sakit tenggorokan 😭🤣,0,0
kepikbesar,2020-06-17 02:18:23,"@seraphinarose_ @collegemenfess @macabaee @awrinngapakeka Dia sibuk menanam tauuu, menanam kebencian :)",0,0
kepikbesar,2020-06-15 15:49:50,"@collegemenfess Almost every girl in my university wearing hijab, karna w ga pake hijab tiap ketemu orang ditanya ""kamu kristen ya? Soalnya muka sama bajunya kyk kristen"" W cengengesan aja :)",0,0
kepikbesar,2020-06-14 16:13:16,Mainan memancing Memancing emosi :) https://t.co/jvSxXcmfTw,0,0
kepikbesar,2020-06-14 13:36:57,@seraphinarose_ https://t.co/SKLMTNPitO,0,0
kepikbesar,2020-06-14 13:26:11,Hadeh sesek dada gue :),0,0
kepikbesar,2020-06-14 13:20:16,"Mau in relationship atau engga hidup sama sama aja kyk gini, so yeah kyknya karir lebih penting Im coming....",0,0
kepikbesar,2020-06-14 11:00:19,@seraphinarose_ @FOOD_FESS Kan kannnn emang ga boong anjir,0,0
kepikbesar,2020-06-14 10:59:55,@macabaee @FOOD_FESS Demi alex miyy coba dah 😂😂,0,0
kepikbesar,2020-06-14 10:50:02,"@FOOD_FESS DEMI ALEX INI ENAK BANGET, SEGER, BUAH NYA JUGA GA BOONGAN 😻 https://t.co/96oWbS6m3W",0,0
kepikbesar,2020-06-14 08:03:03,"Annoying banget, pagi2 mau cuci muka biar seger alhasil malah sebel :( https://t.co/NmbTJIrvHy",0,0
kepikbesar,2020-06-12 15:37:54,@animalfess2 Beda jenis kelamin ga? Biasanya yang cewe emang lebih kecil,0,2
kepikbesar,2020-06-12 13:13:13,BAcOoooooT,0,0
kepikbesar,2020-06-12 12:47:49,Paling ga minat sama manusia kalo lagi marah malah basa basi. Puss aku pengen nangis :) https://t.co/tPUqTJ6QzF,0,0
kepikbesar,2020-06-12 12:45:25,"Paling gabisa bohong kalo lagi marah, nada ngomongnya pasti naik 😊",0,0
kepikbesar,2020-06-12 11:17:44,@animalfess2 Di lap plis kasian muka mengnya kotor 😭,0,0
kepikbesar,2020-06-12 09:07:22,C a p e k :),0,0
kepikbesar,2020-06-12 09:04:04,This Moonbyul.... https://t.co/JYpQW579gh,0,0
kepikbesar,2020-06-12 08:59:16,Ya Allah pengen kaya hehe,0,0
kepikbesar,2020-06-11 17:27:33,"@subtanyarl https://t.co/lDqaretU1X dari avatar aang malah, lengkap 😻",0,8
kepikbesar,2020-06-09 13:51:38,Sorop nya Simpleman belom kelar ya? :(,0,0
kepikbesar,2020-06-09 08:18:20,"MAU MATI, MATI SENDIRI AJA Y. BERSYUKUR NTAR INDONESIA BERKURANG ORANG TOLOLNYA 😊",0,0
kepikbesar,2020-06-09 08:10:32,"Jenazah terinfeksi c0vid dipaksa bawa pulang, tolak rapid test dan blokade jalan plus nge claim sehat. LU TOLOLNYA KAGAK ABIS2",0,0
kepikbesar,2020-06-08 18:03:18,"Baca postingan horor tengah malem be like ""KENAPA BACANYA JAM SEGINIIII"" https://t.co/wr4wXiffgP",0,0
kepikbesar,2020-06-08 03:58:48,Hiding away my feelings is my new job :),1,0
kepikbesar,2020-06-07 17:51:34,Jangan bilang dia ngadu ya abis jatoh 🤣 https://t.co/INWkxugjK5,0,0
kepikbesar,2020-06-07 05:16:53,"@FOODFESS2 Sering banget protes sama @seraphinarose_ ""asin banget"" ""namanya juga cumi asin ajg"" Abis itu dia kesel pengen nonjok :"")",0,0
kepikbesar,2020-06-06 08:50:14,"@yuandditta @animalfess2 Dat ""wuwu"" wkkwkwkk sehat2 ya mbanya sama bobo ✨",0,1
kepikbesar,2020-06-06 05:20:00,@yuandditta @animalfess2 kind of relationship yang aku mau uwu 😻,0,0
kepikbesar,2020-06-05 10:50:05,"@aMrazing Kalo pisang yang dicocol sambel gini, tepungnya manis ga sih? 🤔",0,0
kepikbesar,2020-06-03 15:07:56,Call me grand grand 🙂 https://t.co/L8Pqqzjir7,0,0
kepikbesar,2020-06-03 15:05:50,Dengerin nih yang kemaren asal comot tweet nya koh Alex tanpa nyertain tweet lengkapnya Yang asal nyomot harus klarifikasi juga ga koh? 🤣🤣 https://t.co/PfBwviJTDc,0,0
kepikbesar,2020-06-03 14:00:38,@kochengfess Adem kali di jalan wkwkwk,0,0
kepikbesar,2020-06-02 03:04:03,NOOOOO 😭😭 https://t.co/E9fgTTJeWf,0,0
kepikbesar,2020-06-01 10:54:23,"@Asknonym Sekelas Maudy dapet lpdp, gw yang biasa2 aja ngarep lpdp tuh gimana... harus semana lagi usahanya 🙂",0,0
kepikbesar,2020-06-01 02:22:38,"@kochengfess Lebih takut di ambil orang :"")",0,0
kepikbesar,2020-05-31 06:16:33,@animalfess2 Ayo kasih nama Kibby 😂,0,0
kepikbesar,2020-05-31 05:33:36,@kochengfess Mainin kaki babu mu aja Ciponnn :),0,1
kepikbesar,2020-05-30 14:52:43,YA ALLAH LAGI SEDI BACA REP KEK GINI LANGSUNG KESEMBUR MINUM GW 😭😭 https://t.co/DHL6xW8cIU,0,0
kepikbesar,2020-05-30 12:15:25,@seraphinarose_ Is it what u mean? Lol https://t.co/zDXFyGxY3W,0,0
kepikbesar,2020-05-30 11:06:09,Yes or no? https://t.co/61G8PvlaJB,0,0
kepikbesar,2020-05-30 08:49:01,@pinkeufanz Keselll kyknya hopeless banget kyk cowo sebiji doang 😐,0,0
kepikbesar,2020-05-30 08:46:38,@seraphinarose_ Her brain only for decoration~,0,0
kepikbesar,2020-05-30 07:26:22,"Orang lagi jatuh cinta sama patah hati logikanya bisa ilang ya. Parah ""sekarang gw putus, muka gw glowing buat siapa lagi?"" YA BUAT LU SENDIRI LAH GILA APA, SICK OF THIS",0,0
kepikbesar,2020-05-28 15:40:19,@seraphinarose_ Kagak ade akhlak emang 🤣,0,0
kepikbesar,2020-05-28 15:15:33,G o b l o k.... Mampus. Baru ngomongin sweet revenge langsung kejadian awkaowko Bye boy. https://t.co/W28zFDL96c,0,0
kepikbesar,2020-05-25 17:57:10,#ParkJihoon come back kali ini bikin pusing #JihoonWingParty 💃💃 Stream : https://t.co/athLTqxszS https://t.co/UgXhmg9UxW,0,0
kepikbesar,2020-05-25 09:53:07,Appreciation post buat rambut yang mulai shinning shimmering splendid yang sekarang udah ganti kyk rambut bocah yang main layangan 2thn :) https://t.co/33UN2i9bQ8,0,0
kepikbesar,2020-05-25 09:41:43,@pinkeufanz Sekarang bingung mikirin gimana bagusinnya lagi 😭😭,0,0
kepikbesar,2020-05-25 09:02:31,"Jadi rambut udh bagus dan terawat hampir setaun belakang tapi hari ini rambut di bleaching terus jadi kering naudzubillah 😭 Rawatnya berbulan bulan, ngerusaknya sehari doang, sip",0,1
kepikbesar,2020-05-24 15:44:10,"@Asknonym Bisa kok mereka sama aja, kalo dipake di atm namanya kartu atm, kalo dipake buat bayar atau belanja namanya kartu debit. Tinggal tanya aja pembayarannya bisa via debit ga",0,0
kepikbesar,2020-05-24 02:48:41,"met lebaran dari aku yang mupeng liat orang2 bisa lebaran :"")",0,0
kepikbesar,2020-05-23 14:54:04,@animalfess2 Yahilah penyok dah itu ketupat 😂,0,0
kepikbesar,2020-05-23 14:33:09,"@subtanyarl Kalo kata dosen functional grammar sih yang bener ""I speak Bahasa Indonesia"" soalnya kalo cuma pake bahasa aja jadinya bias artinya dan bahasa disitu bukan represent 'bahasa Indonesia' aja. Dan kalo jelasin ke foreigners mereka bakal bingung artiin 'bahasa' itu maksudnya apa",0,3
kepikbesar,2020-05-23 08:48:32,"@collegemenfess Challenge diri kamu, jangan mau kalah terus2an sama weakness diri sendiri. Kalo kamu nyari2 terus gabakal ada ujungnya, pasti kurang terus. Mending find out caranya gimana biar lebih bagus speaking nya, practice a lot, minta tolong sama orang2 yang bisa bantu. Semangat",0,0
kepikbesar,2020-05-23 00:55:39,@palungmarianaa @subtanyarl Underrated comment lol 😂,0,0
kepikbesar,2020-05-22 21:38:46,"@BonbonXOV @Asknonym Tambahan ""bawain tuh bajunya""",0,0
kepikbesar,2020-05-22 14:20:11,"@Asknonym Anj tetep ae terakhirnya ""untuk kepentingan keluarga DulLu"". Yang bener mah jangan selingkuh koplok.",0,0
kepikbesar,2020-05-22 12:54:22,"@seraphinarose_ @animalfess2 Dagunya memanjang :""))))",0,0
kepikbesar,2020-05-22 10:54:53,"@animalfess2 Adanya sapi punya doi, say hi namanya Rawon😻 https://t.co/rip705oJXL",0,0
kepikbesar,2020-05-22 10:46:06,Betrayal is my old friend 😊,0,0
kepikbesar,2020-05-22 01:37:28,@kochengfess Malaknya alussss 😂,0,0
kepikbesar,2020-05-21 14:02:50,@bukananjay @collegemenfess Ayo semangat jadi agent of change 🤩,0,3
kepikbesar,2020-05-20 21:46:34,"@subtanyarl Lu dikatain tai sama modelan manusia begini terima2 aja, giliran gw ngatain lu tai ntar lu marah nder. Udah tau ga baik2 mau pertahanin apa lagi, save yourself.",0,0
kepikbesar,2020-05-20 12:29:20,@subtanyarl https://t.co/CkZEhxBFYn,0,1
kepikbesar,2020-05-20 12:18:19,@subtanyarl https://t.co/EGOiALdjAT,0,1
kepikbesar,2020-05-20 11:31:39,@FOOD_FESS @Cahwadonnn TAHHH KUE GARPU,0,0
kepikbesar,2020-05-20 09:34:50,"@subtanyarl Nanti pas periksa diliat riwayat orangnya ""habis dari mana aja pak/bu?"" ""saya kmrn belanja dok di emol"" ""satpamm, tolong yang ini suruh keluar aja. Tuman.""",0,0
kepikbesar,2020-05-19 21:36:25,@FOODFESS2 Mission completed ✔️,0,0
kepikbesar,2020-05-19 16:51:21,"@animalfess2 Kenapa sii dia ngelamun mulu, ada masalah apa :""))",0,0
kepikbesar,2020-05-18 10:22:34,@animalfess2 Ngapa ada yang oren sendiri wkwkwk,0,0
kepikbesar,2020-05-18 09:14:11,"Masih mau jalan2 lagi? Kok bisa ya orang gapeduli, malah pulkam, malah belanja sedangkan nakes usaha sampe segininya. https://t.co/WPfOINhFod",0,0
kepikbesar,2020-05-18 03:37:03,@animalfess2 Kamu pelihara anak singa sebenernya nder :)),0,0
kepikbesar,2020-05-18 03:31:32,@seraphinarose_ @collegemenfess https://t.co/hmZ2ayUru5 jawaban mba satu ini paling cocok :),0,0
kepikbesar,2020-05-17 17:25:12,@AREAJULID Give mba Negara award!,0,0
kepikbesar,2020-05-17 15:36:29,Tiap kali inget kejadian itu yang bikin sakit ya kenyataan kalo gw disia-sian :),0,0
kepikbesar,2020-05-16 00:22:41,"Whoopsie, makan tuh farewell farewell taik ledig https://t.co/CHW7h7vowb",0,0
kepikbesar,2020-05-15 16:14:50,@FOODFESS2 Yang punya slither io bangga sama kamu nder :),0,0
kepikbesar,2020-05-15 13:30:41,Suruh nyantumin sumber validnya malah ngasih videonya deddy. Dahlah,0,0
kepikbesar,2020-05-15 13:28:38,@kochengfess Makanya karung beras jangan digotong2 gitu nder :),0,0
kepikbesar,2020-05-15 13:18:31,"Bct lo kntol, otak kosong tapi koar2 nomer 1. Mending makan nastar. https://t.co/AJZBh4uhKn",0,0
kepikbesar,2020-05-15 13:16:03,"Lagi pandemi gini gausah nonton konspirasi2 yang katanya corona itu ga ada lah, mending waktunya dibuat makan sehat, belajar new skill, improve yourself to be better. Capek denger kebodohan mulu.",0,2
kepikbesar,2020-05-15 11:36:59,@ibaaaa_ @txtdrberseragam Ikhlasin ya mba/mas cocok buat koleksi meme soalnya :),0,0
kepikbesar,2020-05-15 11:10:00,@ibaaaa_ @txtdrberseragam Sudah milik bersama ya? 😂 https://t.co/mMP8ePloBT,2,33
kepikbesar,2020-05-14 22:24:31,"@ezash Bonbinnya banyak yang kekurangan dana buat pakan, fortunately banyak yang galang dana 😊",1,1
kepikbesar,2020-05-14 22:10:56,@subtanyarl Emang mba indira ini suka blunder meh...,0,0
