username,created_at,text,retweet,favorite
kharismagpri,2020-07-02 11:59:16,kok pas ya 😅 https://t.co/fW4oCCEorJ,0,0
kharismagpri,2020-06-28 12:19:42,sptnya karakter son oh gong emg pas bgt di lee seung gi 😅,0,0
kharismagpri,2020-06-28 10:40:51,Twogether kocak beuud lah..🤣,0,0
kharismagpri,2020-06-27 06:59:50,pertanyaan sulit 🤔 https://t.co/xWuxwe0T9H,0,0
kharismagpri,2020-06-14 06:13:20,"ini jagoan beud sih, langsung kering lukanya.. https://t.co/AtFPlQVoiT",0,0
kharismagpri,2020-06-05 10:47:56,ditarik papernya 🙈 https://t.co/tyvydrhigC,0,0
kharismagpri,2020-06-03 13:08:15,"salah satu contoh nyata teman bucyn tingkat dewa: auto histeris pas disapa pertama di ig live, padahal ngga cm dia yg disapa 🤣 🤣 gpplah ya penting bahagia katanya",0,0
kharismagpri,2020-06-01 05:49:37,Baru tau 🙈🙈 https://t.co/cAnuP9TF7U,0,2
kharismagpri,2020-05-25 10:34:40,"setelah dua hari hujan, dikasih liat pelangi 🤭😇🙏 https://t.co/KpfDXrti1M",0,1
kharismagpri,2020-05-24 15:49:49,"@gamgim16 reply 1998, prison playbook, hospital playlist 🤭 ada romance-nya tp bukan yg utama, krn kejadian sehari-hari yg diangkat, sptnya prison playbook yg paling sedikit romance-nya dari tiga itu 😅",0,0
kharismagpri,2020-05-22 15:41:55,🙈🙈 https://t.co/OsPeJQ2Jif,0,0
kharismagpri,2020-05-16 09:33:56,🔂😇 https://t.co/jlAUcR0SYv,0,0
kharismagpri,2020-05-09 02:03:29,😅 https://t.co/yjTo0GjKCL,0,0
kharismagpri,2020-05-04 04:54:05,may the 4th be with u 🌌⚔️,0,0
kharismagpri,2020-04-13 15:03:23,"efek biasa disediain ibu kosan, giliran abis bingung 😔 ternyata udh beberapa wktu langka, tp baru sadar 🤦 https://t.co/2EhfpI5aH9",0,0
kharismagpri,2020-04-13 14:56:10,"sptnya bukan krn psbb, tp krn org banyak trial dalgona coffee 🧐 gula jd pada abis 🤦",0,0
