username,created_at,text,retweet,favorite
kumanokabe_,2020-07-05 08:14:26,But nah too dangerous,0,0
kumanokabe_,2020-07-05 08:13:58,A lil staycation would be great...,0,0
kumanokabe_,2020-07-05 03:52:40,"@teletublog Bener kan asumsi kami semua, lu tuh bukan temen yang suportif",0,0
kumanokabe_,2020-07-05 03:48:30,Haikyuu snob ngomongin pesan moral yang ada di haikyuu ((penuh dengan kesotoyan ini isinya btw)) https://t.co/pkpd2m5IeQ,0,0
kumanokabe_,2020-07-04 19:17:24,Laper,0,0
kumanokabe_,2020-07-04 18:41:58,I mean it’s not illegal right....,0,0
kumanokabe_,2020-07-04 04:44:43,Hahaha.......,0,0
kumanokabe_,2020-07-04 00:10:08,@rideralapalap @homo_mendax Sawo manila tu dimananya sertu bang,0,0
kumanokabe_,2020-07-03 23:06:22,@homo_mendax @rideralapalap Yah pejaten mah adanya hisana sama sabana bro,0,0
kumanokabe_,2020-07-03 22:09:33,Iklan tinder suggesting that you CAN take podcast with someone you met on tinder smh 😩,0,0
kumanokabe_,2020-07-03 15:12:53,@rideralapalap Cui qebul deket rumah Icha masih buka gak sih,0,0
kumanokabe_,2020-07-03 13:37:49,@teletublog PLZ reference their title or power i have no memories of their name,0,0
kumanokabe_,2020-07-03 13:35:31,@teletublog Adeknya wind hashira’s character development 💯💯💯🥰,0,0
kumanokabe_,2020-07-03 04:43:07,Tentu saja habis itu metong dan besoknya gak bisa berangkat kuliah karena energy drained banget anjeer,0,0
kumanokabe_,2020-07-03 04:42:08,"Muter otak banget anjir itu bikin percakapan menarik, ngelawak, even conv abt future deh keknya. Sebuah achievement si buat gua yang kek gini bisa bawa percakapan 5-6 jam gak putus2",0,0
kumanokabe_,2020-07-03 04:39:56,Habis begadang trus semua orang di mobil cuman bisa tidur 2-3 jam deh kayaknya. Terus yea pada ngantuk dong. Termasuk gua. Ketiduran lah gua. Tapi pas setengah sadar kayaknya driver juga ngantuk ni. Biar gak ngantuk ngobrol2 lah,0,0
kumanokabe_,2020-07-03 04:37:49,Jadi inget perjalanan semarang-surabaya jadi co-diver and I HAVE TO MAKE CONVERSATION THE WHOLE 5-6 HOURS https://t.co/wVCKvVfCZA,0,0
kumanokabe_,2020-07-02 19:36:48,Semoga ntar balik lagi ya gan https://t.co/rL1ix779BL,0,0
kumanokabe_,2020-07-02 19:05:44,@fildzaas @teletublog HAHA,0,0
kumanokabe_,2020-07-02 11:13:10,Pembelian terbaik akhir-akhir ini adalah bando alias kangen botak tapi rambut yang sekarang once in a lifetime experience,0,0
kumanokabe_,2020-07-01 12:45:14,@teletublog BAGUUUUS,0,0
kumanokabe_,2020-07-01 10:59:13,@NadyaHore Visualisasi marmer lantai rumah golongan middle-high,0,0
kumanokabe_,2020-07-01 10:17:11,Me vs animated me alias aren’t we all just a soulless mecha wandering in this chaotic land called the earth https://t.co/j7DTdSrqas,3,7
kumanokabe_,2020-07-01 10:01:19,*Kemenko,0,0
kumanokabe_,2020-07-01 09:46:50,"Padahal menko kemaritiman dan investasi teriak2 tentang hilirisasi industri, ini yang aturannya udah settle di periode sebelumnya kok malah merusak hilirisasi tersebut ya 🤔 https://t.co/7KG5D5q5rZ",0,1
kumanokabe_,2020-07-01 09:40:30,@rideralapalap Padahal sepeda gak ninggalin carbon footprint dalam penggunaannya sehari2 smh inilah kenapa pentingnya assessment pajak kerusakan lingkungan biar motor mobil pribadi aja yang pajaknya dinaikkin,0,0
kumanokabe_,2020-07-01 08:07:35,@fildzaas @teletublog Fil kalo mau ngajuin diri harus ngirim proposal kemana? lewat kantor pos atau bisa lewat email?,0,0
kumanokabe_,2020-07-01 04:39:28,@teletublog Ok,0,0
kumanokabe_,2020-07-01 04:36:28,@begybegydong @prmndht Main lewat zum bisanya wakwaw,0,0
kumanokabe_,2020-06-30 12:39:30,Setelah potong facial hair i feel.... exposed.....,0,0
kumanokabe_,2020-06-30 08:59:42,@programmerpacil Iya jir kapan ya gua punya pacar hadeh,0,0
kumanokabe_,2020-06-30 08:55:35,@teletublog Annoying si lu,0,0
kumanokabe_,2020-06-30 08:46:50,@programmerpacil Berlatih rasengan dengan memperhatikan aspek lingkungan seperti penggunaan kayu target yang tak berlebihan dan bekerja sama dengan NGO untuk mengolah sisa-sisa latihan dalam rangka responsible consumption,0,0
