username,created_at,text,retweet,favorite
maulanariandi,2020-07-05 14:46:23,NORRIS 1ST PODIUMMMMM YEAYYYYY #AustrianGP,0,1
maulanariandi,2020-07-05 14:45:20,Hamilton wkwkwkwkwkwkwk,0,0
maulanariandi,2020-07-05 13:00:54,Hadeh totalsportek ternyata kena block telkomsel ya,0,0
maulanariandi,2020-07-05 10:57:35,@javafoodie_ Karo warung jepun endine mas? Isih adoh kah?,0,0
maulanariandi,2020-07-05 10:54:25,"@javafoodie_ Arep pindah ngendi ki om bakso oyo, sering langganan neng kono jhe wkwk",0,0
maulanariandi,2020-07-05 05:18:34,@eris_STS Kucingnya tdk jd bersuka cita krn mendapat hukuman,0,0
maulanariandi,2020-07-05 05:18:11,@denish_m @nganggurfriend Sedih huhuhuu,0,0
maulanariandi,2020-07-05 05:18:05,@nganggurfriend Terimakasi ucapan dukanya,0,0
maulanariandi,2020-07-05 01:47:29,Pie ya rasanya tuh tetep gelo banget. Udah sempet mikir buat masukin Nemo ke dalem kamar krn takut digangguin kucing. Eh kejadian beneran 😭,0,0
maulanariandi,2020-07-05 01:45:49,Sejatinya kalo punya kucing tuh jangan pelihara ikan. Hari ini Nemo mati karena tempat ikan dia dijatuhin kucing dan akhirnya buat mainan. Sedih banget rasanya. Ya walaupun baru dibeli belum ada seminggu tapi tetep rasanya udah jd bagian dr keluarga. Ini kenang2an terakhir Nemo. https://t.co/cxCB4EGv7t,0,0
maulanariandi,2020-07-05 01:34:25,I am always wondering this... https://t.co/KT7KUbqCt8,0,0
maulanariandi,2020-07-04 15:32:40,The Most Influential Transfer since Eric Cantona 🤣🤣🤣,0,0
maulanariandi,2020-07-04 15:23:18,Rashford ⚽️ Martial ⚽️🅰️ Bruno 🅰️⚽️ Greenwood ⚽️⚽️,0,0
maulanariandi,2020-07-04 15:17:03,"Sehat-sehat ya Greenwood, jangan cedera.",0,0
maulanariandi,2020-07-04 15:12:48,Beknya lawak semua kan. Mulai.,0,0
maulanariandi,2020-07-04 15:11:22,Kelakuan bek emyu ini ada2 saja sih,0,0
maulanariandi,2020-07-04 15:08:47,@eris_STS Yg bisa mengalahkan kesolidannya hanya cedera,0,0
maulanariandi,2020-07-04 15:03:53,MU unggul 3-1 aja akun bola rame bener bahas emyu. Memang komoditi panas kapten,0,0
maulanariandi,2020-07-04 14:58:02,"Sebelum Bruno datang, memprediksi Martial bakal panen banyak poin. Sayangnya doi malah cedera. Setelah Bruno datang, yg jelas hrs pasang antara Bruno, Martial, Rashy, atau Greenwood. Jangan pasang bek MU kalo kipernya msh De Gea https://t.co/QAwMSxjWTq",0,17
maulanariandi,2020-07-04 14:54:16,"@daffa_bonzo27 Wkwkwk, mengasah skill utk musim depan cuy",0,0
maulanariandi,2020-07-04 14:51:55,Rashford ⚽️ (c) Martial ⚽️ Fernandes 🅰️🅰️ More to come!,0,0
maulanariandi,2020-07-04 13:14:33,@upanyanyaan @nndta__ Gembel wkwk,0,0
maulanariandi,2020-07-04 11:37:38,Rendang+Paru+Nasi 👌 https://t.co/tiFH80KdFZ,0,0
maulanariandi,2020-07-04 03:50:53,"Fury kok belum komen ya, biasanya kalo masalah Maudy Ayunda cepet banget dia beloknya pas di tikungan",0,0
maulanariandi,2020-07-04 02:21:58,"Maudy Ayunda berantem sama pacarnya, eh malah dijadiin soal listening TOEFL sama Netizen https://t.co/DNQoUdc4vb",1,1
maulanariandi,2020-07-03 09:53:07,"Belum lagi yg beberapa tahun di atas mereka ada Willock, Mason Mount, Odoi, Brandon Williams. Tapi kalo kipernya macem Joe Hart ya podo wae wkwk https://t.co/9WrKj9qhSC",0,0
maulanariandi,2020-07-03 04:20:47,"@upanyanyaan Gimana Van Dijk ga jago, lawannya dia Ighalo, Tammy Abraham, Nketiah, paling jago mentok yo Pukki",0,0
maulanariandi,2020-07-03 02:05:44,"@eris_STS Iya bang maaf, liverpool emang jago seantero Galaksi Bimasakti Tukiman bang",0,0
maulanariandi,2020-07-03 01:56:10,Harusnya thread-thread seperti ini yg rame di twitter 👍 https://t.co/ef1lSQQLc3,0,0
maulanariandi,2020-07-03 01:43:52,Ada yang mau kena pecat tapi bukan Mourinho https://t.co/gpy4CwVbRT,0,0
maulanariandi,2020-07-03 01:42:33,@upanyanyaan T4P1 k4N k1t4 m3n4N9 Ch3mp10nS b4n9 Malu noh sama Milan yg menang lebih banyak,0,0
maulanariandi,2020-07-03 01:32:44,"Y4n9 p3Nt1n9 k4n jU4rA Iya bang maaf, iya jago 🙏 https://t.co/AvR2ohk60z",0,0
maulanariandi,2020-07-02 16:58:58,@indowf So Monday Night RAW is Undisputed? Wkwkwk,0,0
maulanariandi,2020-07-02 13:33:43,Dikasih hiding spot malah ndhelik terus hadehh https://t.co/I8uRWoHhHj,0,0
maulanariandi,2020-07-02 13:10:03,Okai. Captain Kota @DakotaKai_WWE is officially become my favorite NXT Divas 😘😘😘 . Credit to Bulballs Production from Youtube! https://t.co/o1tXlcqxy6,0,0
maulanariandi,2020-07-02 12:59:02,"Kalo aku mau hantaran action figure The Rock atau John Cena, McGregor juga gapapa deh https://t.co/YsNkTJ9xqR",0,0
maulanariandi,2020-07-02 12:57:06,@lazyykitty @upanyanyaan @syukrisalam_ @rifa_setyafani https://t.co/78gn8KWt0l,0,0
maulanariandi,2020-07-02 01:52:28,Belum ada 1 tahun pake Note 10 Yaa Rabb https://t.co/aS3zzyw7o5,0,0
maulanariandi,2020-07-02 01:38:00,@upanyanyaan Kui mbok ciat2 opo mbok hancurkan koyo berhala pan? Wkwk,0,0
maulanariandi,2020-07-02 01:36:03,"Masukin Moss dan Amazon, rodo makin semrawut koyo alas malahan yaa 🤣🤣🤣 https://t.co/CsWxIhx9M6",0,0
maulanariandi,2020-07-02 01:33:35,"@upanyanyaan Bisa digerak-gerakkin sih pak bagian lengan, kaki, sama pinggul",0,0
maulanariandi,2020-07-01 23:58:56,Dayummmm https://t.co/svkopjbYnY,0,0
maulanariandi,2020-07-01 23:57:55,This is sicccckkkkkk https://t.co/wSRegKxflN,0,0
maulanariandi,2020-07-01 23:57:45,Haduuuuuu https://t.co/yXXwNypmkf,0,0
maulanariandi,2020-07-01 12:59:55,"@upanyanyaan Beli 26 lg berarti pan, biar bs jd royal rumble",0,0
maulanariandi,2020-07-01 12:15:10,Ga ngungkit emyu ga rame broo. Sian amat https://t.co/O9F2cErFxj,0,0
maulanariandi,2020-07-01 09:29:00,Lama2 jd breeder cupang ini mah wkwk https://t.co/wXN7oRKhpE,0,0
maulanariandi,2020-06-30 11:58:12,War Games 2017 Highlight part 2 https://t.co/wM3pmQB6NE,0,0
maulanariandi,2020-06-30 11:45:09,Just post this match on IG. War Games 2017 Highlights part 1 https://t.co/bWhWdJxOAM,0,0
maulanariandi,2020-06-30 05:34:40,NAHHH!!!!! https://t.co/74DxrWvZCh,0,0
