username,created_at,text,retweet,favorite
mellamotis,2020-07-05 08:00:42,"Hobi nonton variety show sih, sekalinya nonton knowing bros eps suju, eh semalaman nontonin suju sampe jam 4🙃",0,0
mellamotis,2020-07-05 07:55:53,Tiska dalam episode candu suju dalam semalam 👌🏼,0,0
mellamotis,2020-07-03 05:06:37,Bisa gila aku kalo ngehalu sejauh ini hey help,0,0
mellamotis,2020-07-03 05:05:13,"Sesulit itu nyari yg ganteng di sekitar, akhirnya nyari yg ganteng di korea🙈🙈🙈 wkwkwkwk this whole quarantine things r driving me crazy",0,0
mellamotis,2020-07-02 02:17:17,@rebeldikit Benerrr👍🏻👍🏻,0,0
mellamotis,2020-07-02 02:15:57,@zhillan1 Mirip ocal kan?? Wkwk masi aja w tanyain,0,0
mellamotis,2020-07-01 15:25:46,@zhillan1 Panitiaan bareng,0,0
mellamotis,2020-07-01 13:28:17,@zhillan1 Temenku dari sem1 ituu,0,0
mellamotis,2020-07-01 12:45:06,@zhillan1 Kok km nda senang!?,0,0
mellamotis,2020-07-01 11:25:13,+ takot jg sih gais malsuin atau nyalahgunain berkas gt nanti ada apa apa kan ya seram sistur,0,0
mellamotis,2020-07-01 11:21:11,Efek mager buat ngurus berkas juga kali ya sampe akhirnya bener bener ga daftar. Padahal aku jg yg ngajakin temen2ku buat daftar wkwk,0,0
mellamotis,2020-07-01 10:57:42,Padahal awalnya smgt bgt tuh daftar dari hari pertama pendaftaran dibuka,0,0
mellamotis,2020-07-01 10:56:32,"Karna ada satu syarat yg aku ga sesuai. Sebenarnya mau aku 'manipulasi' juga bisa. Toh, hitungannya ya, gada yg tau. Tp rasa bersalahnya makin menjadi2 pas mikir ""daftar aja kali ya gpp kok gada yg tau""",0,0
mellamotis,2020-07-01 10:54:45,Tapi ngerasa dapat hidayah bgt sampe penutupan pendaftaran kmrn ga mood ngelengkapin berkas,0,0
mellamotis,2020-07-01 10:53:15,"Berkasnya pun ga perlu pake sktm, jadi buat semua 'golongan' dong hitungannya?",0,0
mellamotis,2020-07-01 10:51:12,"That cuan tambahan tho :( sayapun hampir aja daftar beasiswa, jujur, utk alasan nambah tabungan........... https://t.co/ocAJLXiXA0",0,0
mellamotis,2020-07-01 09:02:28,Look like ocaal teman akuu😣 kirain iyes ternyata bukan https://t.co/vQe9UKRCVO,0,0
mellamotis,2020-07-01 05:34:54,"OoOopsiE temen aku BM, hp iP daaaan tinggal di perumahan🙈🙈🙈 dan ga 1 org aja ternyata hahah https://t.co/mDOhBHW8Ti",0,0
mellamotis,2020-07-01 03:13:24,"@undipmenfess Gatau alay apa enga tp temen bikin story ss dia vidcall sama pacarnya dan mukanya full frame di hp w😭 w kaget + temen w smp nge-cie-in ""lagi vidcall sm pacarnya ya"" wkwkwk",0,0
mellamotis,2020-06-30 13:28:23,Oom ganteng banget seperti anak anaknya,0,0
mellamotis,2020-06-30 08:52:21,Suka sekali sm sombongnya pak lee disini😭😭😭🤣 https://t.co/gZrcY924Wj,0,0
mellamotis,2020-06-28 16:03:27,@undipmenfess Kalo akusi pilih 'paket lengkap'🤪🤪🤪,0,0
mellamotis,2020-06-28 05:08:06,"@undipmenfess karna it was my own fault wkwk suda cukup aku salahin diri sendiri, kalo cerita ntar nambah yg nyalahinn",0,0
mellamotis,2020-06-27 12:50:03,@undipmenfess Bucinnya sama anak undip malah makanya nyasar kesini🙃 wqwq no saltyyy,0,0
mellamotis,2020-06-26 09:16:28,Libur hari pertama tapi sudah kezel sampe ubun ubun,0,0
mellamotis,2020-06-26 09:10:35,@huseeeenn @rebeldikit Mo ikuuut bisaka mazuk,0,0
