username,created_at,text,retweet,favorite
nabilatunss,2020-06-20 01:17:49,@zrlszln @rahmaulid11 Wkwkwk ga punya adik tingkat gua mah,0,0
nabilatunss,2020-06-20 01:16:25,@zrlszln Udah siap2 aja buat rg sama rakor ya ini mah wkwk,0,0
nabilatunss,2020-06-20 00:46:41,I got the point lah udah mirip bgt beda2 tipis,0,0
nabilatunss,2020-06-20 00:46:40,"Diliat liat nih proses hcd ternyata sebenernya udah diimplemetasiin waktu nyusun acara hgtr, observasi brainstorming, evaluasi WKWKWK",0,0
nabilatunss,2020-06-19 16:10:56,"Coba untuk bisa hidup cukup tanpa harus melihat standar orang lain, tanpa harus menggunakan referensi hidup orang lain",0,2
nabilatunss,2020-06-19 16:08:20,"Coba bilang bahwa menjadi diri sendiri udah cukup banget untuk bisa jalan, tanpa harus melihat sesuatu yang tidak ada di genggaman tangan",0,0
nabilatunss,2020-06-18 15:11:31,Struggling with yourself is one of the hardest thing in life when you always feel haunted by those bad mind and when you feel you are never enough to face everything.,0,0
nabilatunss,2020-06-18 14:52:48,"Gimana rasanya struggling buat ngelawan isi kepala yang sepertinya gabisa diatur? Melelahkan ga? Padahal kamu cuma diem di tempat, ga kemana-mana. Tapi kenapa kamu seakan-akan sudah menghakimi sesuatu hal yang belum tentu terjadi?",0,0
nabilatunss,2020-06-12 16:10:24,:(,0,0
nabilatunss,2020-06-12 16:10:24,Berbobot ga si,0,0
nabilatunss,2020-06-12 16:10:23,Jelas ga si,0,0
nabilatunss,2020-06-12 16:10:23,Ini gapapa kan kalau kaya gini?,0,0
nabilatunss,2020-06-12 15:51:48,Ayo pergilah pikiran2 toxic pliss,0,0
nabilatunss,2020-06-12 15:37:37,Jadi harus fake gini;'( untung aku sabar dan berusaha ikhlas,0,0
nabilatunss,2020-06-11 13:21:15,Kenapa selalu susah sekali untuk percaya diri,0,0
nabilatunss,2020-06-10 13:31:08,@FOODFESS2 Wawwww ada saran nih wkwkwk @sharahfdlh,0,0
nabilatunss,2020-06-07 13:57:46,Terus mau sampai kapan?,0,0
nabilatunss,2020-06-07 13:57:45,"Berkali-kali bangun, runtuh lagi",0,0
nabilatunss,2020-06-07 13:57:45,"Berkali-kali niat, gagal lagi",0,0
nabilatunss,2020-06-07 13:57:44,"Padahal udah tau kan, tp kenapa bertindak seolah-olah lu gatau",0,0
nabilatunss,2020-06-07 13:56:17,Gimana si caranya supaya bisa tegas sama diri sendiri?,0,0
nabilatunss,2020-06-03 11:30:29,Kok banyak ya yg udh pernah cutting gitu hmm https://t.co/kOlqOmvFf9,0,0
nabilatunss,2020-06-02 07:39:54,Keliatan bgt kalau permasalahan sebenernya selalu ada di komunikasi. Jadi bikin ga nyaman untuk terbuka soal apapun.,0,0
nabilatunss,2020-06-02 07:39:53,"Kenapa ya harus menyikapi suatu masalah dengan nada tinggi, emosi, dan marah. Apa gabisa untuk bicara baik-baik?",0,0
nabilatunss,2020-05-24 01:29:43,Mohon maaf lahir dan batin yaa temen temen onlineku🙏🙏🙏,0,1
nabilatunss,2020-05-16 02:17:31,@hani_arini Wkwkkww ajarin aku dongg,0,0
nabilatunss,2020-05-15 19:08:33,Pede dulu aja,0,0
nabilatunss,2020-05-15 19:08:32,Bisa ah kalo bljr terus,0,0
nabilatunss,2020-05-15 19:08:32,Ga bakat kali ye,0,0
nabilatunss,2020-05-15 19:08:31,Setiap belajar baking gagal terus huhu,0,0
nabilatunss,2020-05-13 21:13:36,"Bukan ajang balapan kok, bukan jg siapa yg cepet2an dulu2an, tp siapa yg fokus untuk kejar taget dirinya sendiri. Jangan bandingin sm org lain.",0,2
nabilatunss,2020-05-11 03:52:17,"Well-planned iya, humoris iya, pinter iya, seru iya, family oriented bgtt pulaa",0,0
nabilatunss,2020-05-11 03:51:21,Beruntung bgt ga si anisa aziza jd istrinya raditya dika,0,1
nabilatunss,2020-05-07 22:24:28,"Manusia, Lahir dari rahim ibu, hidup dengan perkataan orang lain. Lalu kita hidup di dunianya siapa kalau begitu? -Rintik Sedu.",0,0
nabilatunss,2020-05-06 10:03:25,@Rifaulr tolooongg;(,0,0
nabilatunss,2020-05-06 03:39:14,Apaansi;( semangat yukk ahh,0,0
nabilatunss,2020-05-06 03:38:46,Kalo diliatin doang salting ntar,0,0
nabilatunss,2020-05-06 03:37:16,Plis aku mau ngerjain skripsi jangan dilatin doang dong itu skripsinya;(,0,1
nabilatunss,2020-05-06 03:36:51,Dulu gue ambis tp sekarang kok engga ya;((((,0,1
nabilatunss,2020-05-05 16:34:05,@rlthingy Pake! Gua kira cuma gua dong yg begini wkwkkw ternyata banyakkkk,0,0
nabilatunss,2020-05-05 15:55:30,Iyaaa banget:((( pagi siang sore malem selalu begini:( https://t.co/PL8L5lyQDT,0,0
nabilatunss,2020-05-05 07:11:22,@rdnlkmn Semangat jg dann,0,0
nabilatunss,2020-05-05 07:06:29,"Pede yok pedeee, fokus fokus fokus",0,0
nabilatunss,2020-05-04 08:17:49,@danarinho kenapa si orang suka banget komen soal hidup orang lain #cumananya,0,1
nabilatunss,2020-05-02 18:19:55,@FOODFESS2 Suka semuaaaa,0,0
nabilatunss,2020-05-02 15:47:49,"""Kita lebih sering hidup di kepala kita sendiri dibanding hidup di kehidupan nyata.""",0,4
nabilatunss,2020-05-01 17:57:40,Kayanya sekali kali perlu jjs nih jalan jalan sore,0,0
nabilatunss,2020-04-27 15:08:05,Indihome lg ada gangguan apesi lama bgt ga bener,0,0
nabilatunss,2020-04-27 15:03:57,Gapapa lah ya enjoy aja ya kannnnn,0,0
nabilatunss,2020-04-27 15:02:43,Iseng2 gajelas bgt gua wkwk,0,0
nabilatunss,2020-04-27 15:00:12,@JakaAdy Wkwkwkkwkw aihh gapapa seru ga siii,0,0
nabilatunss,2020-04-27 14:29:47,@Ginarhmtk Wkwkkwkw iseng aja gin iseng,0,0
nabilatunss,2020-04-27 13:12:02,Aku mau ke bikini bottom dehh biar ga di rumah terus;( https://t.co/P4whfdQwzq,0,0
nabilatunss,2020-04-27 13:05:14,Mantul jd pengen mainnn wkwk https://t.co/KxxkCHYYNV,0,1
nabilatunss,2020-04-27 13:04:12,@FOODFESS2 Keenakan sahabat kamu dong nderr wkwk,0,0
nabilatunss,2020-04-27 08:17:15,"Halo min, indihome sedang bermasalah atau gimana ya? Indikator los nya merah terus, udah coba dimatiin dan kabel fibernya dicopot dipasang lagi tetep gabisa udah 3 hari ini bermasalah. Teknisi jg tidak datang2, tolong ya @IndiHome",0,0
nabilatunss,2020-04-23 08:31:55,@rlthingy wkwk gajelas bgt,0,0
nabilatunss,2020-04-11 15:46:52,@danarinho Kok udah dapet si lu:( di grup gaada ngomong apa apa,0,0
nabilatunss,2020-04-06 07:33:48,@lambe_tinposs Cepet min aku tungguin versi lengkapnya wkwkw,0,0
nabilatunss,2020-03-28 05:38:42,@handokotjung nonton dari pagi udah 9 episode:(((,0,0
nabilatunss,2020-03-26 13:41:25,Iya udah deh cukup kayanya,0,1
nabilatunss,2020-03-26 13:38:55,Gajelass wkwk https://t.co/dOgT8kBMTA,0,0
nabilatunss,2020-03-26 12:19:19,Saya juga wkwkwk ngakak https://t.co/DwvNxSM4oY,0,1
nabilatunss,2020-03-22 18:24:40,Bibir apa bibir itu woy wkwk https://t.co/AynFsHFW0q,0,0
nabilatunss,2020-03-22 18:22:52,@PenaNetizen Woyy masih pada kecil piyik2 lu berduaa;((,0,0
nabilatunss,2020-03-22 18:21:09,Hiburanq wkwk😂 https://t.co/6Lc3VQiLcI,0,0
nabilatunss,2020-03-22 18:19:24,Pagi pagi ntar harus work lagi from home hayu semangat wkwkw,0,0
nabilatunss,2020-03-22 18:18:57,Udah seminggu work from home tapi tidak work;( astagfirullah dasar aku,0,0
nabilatunss,2020-03-22 18:17:58,Bodo amat;(((( https://t.co/rG5Kw8nwho,0,0
nabilatunss,2020-03-22 18:17:19,Jirr parah wkwkkw https://t.co/worp3zkShk,0,0
nabilatunss,2020-03-21 13:14:30,"Dear corona, Lu ga cape apa udah jalan2 ke luar negeri selama ini? Ga pengen istirahat dulu apa wey? Wkwkkw:(",0,0
nabilatunss,2020-03-20 08:30:27,Bodo amaaaattt wkwk😭😭😭 https://t.co/ppiik0nxm4,0,0
nabilatunss,2020-03-19 14:19:52,Jirrr wkwk sabi jg nih bikin ginian wkwk https://t.co/LcHpFjTwxq,0,0
nabilatunss,2020-03-19 14:04:47,Pengen ngakak baca reply nya jirr wkwkw jd ngebayangin kalo gua kuliah onlen gmn yak wkw😂 https://t.co/fVTATR1ufi,0,0
nabilatunss,2020-03-19 13:48:39,Wkwkwk😂😂😂😂 https://t.co/2NMTdV1uLz,0,0
nabilatunss,2020-03-19 11:59:41,Apalagi ini yaAllah😭 https://t.co/bDnllewxyk,0,0
nabilatunss,2020-03-19 11:56:57,@sitikhodijahp Lah udah balik ini jadinya?,0,0
nabilatunss,2020-03-19 09:27:35,@danarinho Iyaaa narr,0,0
nabilatunss,2020-03-19 07:28:12,Work from home jgn males-malesan dongg;(,0,0
nabilatunss,2020-03-19 07:02:48,@sitikhodijahp Aw wkwk yok main,0,0
nabilatunss,2020-03-18 10:17:44,"Kesel banget gua dengernya, emosional bgt tapi kalo disuruh ngomong baik2 juga gabakal bisa kayanya",0,0
