username,created_at,text,retweet,favorite
pujisay,2020-07-04 12:49:03,Gw pun juga pengen martabak 🙄,0,0
pujisay,2020-07-04 04:36:12,Paramon disteril 😽,0,0
pujisay,2020-07-04 01:47:24,@berlianidris @jokowi pops up in mind: kalung kutu kucing 😸,0,0
pujisay,2020-06-27 09:58:03,Bagi2 rapot ✔️,0,0
pujisay,2020-06-26 03:42:32,b.e.r.a.n.t.a.k.a.n.,0,0
pujisay,2020-06-20 07:16:14,"Kalo ngetiknya cepet2, ga bakal keitung ama mesinnya. Kudu santun nan gemulai serta lembut. Kapan kelarnya, pemirsa?",0,0
pujisay,2020-06-15 10:04:06,"Papoy perut kanannya sakit, marah kalo dipegang. Duduknya pun ditata sedemikian rupa biar dia nyaman. Hope she's fine. Observasi aja dulu sehari.",0,0
pujisay,2020-06-13 17:20:03,Ada teri di dalam bakwan. Bener kan tebakan ogut 😏,0,0
pujisay,2020-06-13 09:32:49,"Yg jaketan Go*ek di belakang, mungkin penumpangnya tukeran jadi rider-nya ☺",0,0
pujisay,2020-06-13 00:16:13,Basic no tofu self!,0,0
pujisay,2020-06-10 13:56:38,"Ingin ku berkata kasar. ""Kasar"" Dah tuh.",0,0
pujisay,2020-06-09 12:59:07,"@Katayudhaa Malam, Kak. Harga buat kaya gitu beneran 20rb? Kalo iya, saya mau 🙂",0,0
pujisay,2020-06-08 22:20:38,"@RAMujiyono 31740. Udah ga mau pake drama2an lagi, yg keliatan real diantara nama2 itu ya Pak Anies 😎",0,0
pujisay,2020-06-06 14:51:00,"Kalo malam Minggu, suaranya lebih keras karena yg nyanyi lbh banyak 😩 *tongkrongan kampung sebelah pinggir kali 🙉",0,0
pujisay,2020-06-06 13:31:59,"Steril Joe, di Cawang, sebelom RS Budhi Asih. Ternyata deket, alhamdulillah. Besok2 TNR di situ aja dah 😎",0,0
pujisay,2020-06-06 08:22:10,Tukang tahu bulat matiin 'lagu'nya pas azan asar 👍,0,0
pujisay,2020-06-06 02:16:34,"Kartu TJ saldonya kurang, numpang tap ama ibu2 ga dikasi. Gw salah ngomong kali yak. Ibunya senyum2 hooh2 aja tapi melengos 😬. Atau dikira gw minta sumbangan? 🤣",0,0
pujisay,2020-06-04 05:57:47,@AzzamIzzulhaq Murid2 saya (anak SMA) masih pake ini. Nabungnya di saya 😁,0,0
pujisay,2020-06-04 04:30:35,"@RAMujiyono Alhamdulillah, sudah masuk. Terima kasih, Pak 😽🙏",0,1
pujisay,2020-06-04 00:09:09,"@RAMujiyono Iya. Saya bingung ga bisa DM 😸, udah follow Bapak yes 😎",0,0
pujisay,2020-06-03 03:52:40,Kurma rasa semut,0,0
