username,created_at,text,retweet,favorite
punyauname,2020-06-30 14:24:11,@Lolastcontinent @txtdrberseragam fixed laporin aja cowok ginian,0,1
punyauname,2020-06-24 06:05:13,@cutierabbiet lewaaat,0,0
punyauname,2020-05-05 06:19:07,Setuju sih aku sama masnya https://t.co/Z3Ky1SR51k,0,0
punyauname,2020-02-02 04:25:26,@GamesMenfess Yuuuk :( Aku lose streak terus :(((,0,0
punyauname,2020-01-21 06:56:23,Nikmat mana lagi yang engkau sia2kan #ngemilGerySaluut sambil nonton drama India,0,0
punyauname,2020-01-21 06:48:21,"Skuuuy lah gais yang mau mabar, tapi aku mabar sambil #ngemilGerySaluut",0,0
punyauname,2020-01-21 06:43:34,Nyimak pertengkaran sambil #ngemilGerySaluut Kenapa owe jadi geram liat mbaknya https://t.co/JMaox3WRuy,0,0
punyauname,2020-01-21 06:39:43,@mporatne Sudaah dong mbaak ;),0,1
punyauname,2020-01-21 06:38:58,Kulkas ku mah bakal penuh Gery Saluut karena aku suka #NgemilGerySaluut https://t.co/3fmbe5bsAe,0,0
punyauname,2020-01-21 06:36:24,Mulut ku pegal ah #ngemilGerySaluut tapi gak bisa berhenti sangkin enaknyaaa😭,0,0
punyauname,2020-01-21 06:28:15,Aku saat belanja sama mama demi stok Gery untuk #ngemilGerySaluut https://t.co/KBDfPIIWdA,0,0
punyauname,2020-01-21 06:25:14,Untung ada mini market dekat rumah jadi bisa #ngemilGerySaluut tanpa harus jauh-jauh,0,0
punyauname,2020-01-21 06:22:30,Kaaak ikuut dong mau beli juga buat #NgemilGerySaluut https://t.co/wMUj1nGneY,0,0
punyauname,2020-01-21 06:21:52,Ternyata selera kita sama dengan idol Korea mengenai #NgemilGerySaluut https://t.co/dzwW7DPhCG,0,0
punyauname,2020-01-21 06:20:26,Enak juga nih liat drama di Twitter sambil #NgemilGerySaluut biar gak tegang amat ni saraf,0,0
punyauname,2020-01-21 06:14:25,Bahkan orang Korea suka #NgemilGerySaluut 😍 https://t.co/NNYQhE6Beb,1,0
