username,created_at,text,retweet,favorite
rahmaarindapp,2020-07-05 13:18:22,"@mlgcollegefess gak juga ah, jd inget pernah bahas beginian sampe tengah malam wkwk",0,0
rahmaarindapp,2020-07-05 03:31:36,You made my day💕,0,1
rahmaarindapp,2020-07-05 03:06:28,@mlgcollegefess Hahahahahaha,0,0
rahmaarindapp,2020-07-04 07:05:11,"Sedih bgt:( koh s jangan dl ya:"" https://t.co/lQLtCBzJ0z",0,0
rahmaarindapp,2020-07-02 10:41:13,Ingin pijaatttt,0,0
rahmaarindapp,2020-06-30 01:58:13,Allahummasollialaa https://t.co/t4M4D8FMUr,0,0
rahmaarindapp,2020-06-27 16:50:23,@mlgcollegefess Maju nann @lexmanananda,0,0
rahmaarindapp,2020-06-27 10:12:48,tempat nongki baruku : atap rumah👌✊ https://t.co/dyL0VOY1Fv,0,2
rahmaarindapp,2020-06-27 01:13:37,Panas tapi dingin😴,0,0
rahmaarindapp,2020-06-25 15:10:49,"Kok ada manusia keringetan tapi ttp shining gini, dulu antrian nomer berpasih huft https://t.co/er0WwaW8hG",0,0
rahmaarindapp,2020-06-24 12:12:14,@INABadminton Ini bisa ditonton ulang nggak si? Yaampun penasaran😨,0,0
rahmaarindapp,2020-06-24 12:09:01,"""kalau besok capnya masih ada, aku berarti gak mandi"" kayak jadi kebiasaan tiap kelar nyetempel di tangan mesti bilang gitu😂 https://t.co/KABLvUZU25",0,1
rahmaarindapp,2020-06-23 13:10:10,"seseneng itu skrg bisa ketemu kawan hampir tiap hari :"" tapi ttp masih was-was pol😂",0,1
rahmaarindapp,2020-06-22 12:32:52,"@doeroengbedoeg @mlgcollegefess Maaf lupaa belum disetting, udaa kok",0,0
rahmaarindapp,2020-06-22 12:28:18,@mlgcollegefess Sini nderr,0,0
rahmaarindapp,2020-06-22 12:20:52,"@nvtmeee @INABadminton Kevin daniel juga asik, lawannya leo babah wkwk",0,1
rahmaarindapp,2020-06-22 11:29:01,@nvtmeee @INABadminton Babah leo emang asik bgt kayaknya ya😂,0,1
rahmaarindapp,2020-06-22 11:27:06,Dearrrrrr diaryyyyy https://t.co/rQpUom9JhB,0,2
rahmaarindapp,2020-06-22 10:09:04,Kerinduan tida bisa terjawab jika pas match aku pas kpl😊 https://t.co/4qSjCdKgJZ,0,1
rahmaarindapp,2020-06-22 10:07:23,"@INABadminton Babah/Leo sih kacau, itu pas liat kss/reza apa tidak puyeng dengan kegantengannya huft.",0,3
rahmaarindapp,2020-06-20 15:50:00,🤗,0,0
rahmaarindapp,2020-06-19 15:30:25,Retweet 1000kali https://t.co/AuEoSq7HSz,0,0
rahmaarindapp,2020-06-19 15:23:33,Kepala mo pecah ngerasain ini semua. Semuanya barenggggg trus apa kabar otak akuu,1,1
rahmaarindapp,2020-06-19 12:09:32,"dah cupu bgt skrg, mau nonton jurnalrisa aja mikir berkali2 dulu🤨",0,0
rahmaarindapp,2020-06-18 06:11:14,Ya allah cumilll🤗 https://t.co/aCXn5WwAjp,0,0
rahmaarindapp,2020-06-18 06:10:04,"@TitiwAkmar Cantipppp bgt, yuk nabung yuk",0,0
rahmaarindapp,2020-06-18 06:07:15,"@Meidinamarian @mlgcollegefess Aku gandengan sama mama ayah salwa sama aca ajadeh, nnt sama doinya di kua aja.",0,0
rahmaarindapp,2020-06-18 06:06:17,"Baru kelar nonton hi bye mama, berarti total 16 hari nangis sampe sembab, krn 1 hari cuman 1 episode😂",0,0
rahmaarindapp,2020-06-17 12:00:23,WAHAHAHAHAHAHAHA https://t.co/ELOCGw5LlT,0,0
rahmaarindapp,2020-06-17 11:32:37,@mlgcollegefess meiii ayuk keburu telatt @Meidinamarian,0,0
rahmaarindapp,2020-06-17 11:25:20,"@Meidinamarian eh ko tau gak me, aku jd takut gt skrg mo nonton jurnalrisa, biasanya gas aja skrng mikir2 dulu knp ya",0,0
rahmaarindapp,2020-06-17 11:10:45,Jujurrrr aku uda mulai muak yeu,0,1
rahmaarindapp,2020-06-16 16:16:41,astaga iya lagiii bnr bgt https://t.co/HISA5u7zZ5,0,0
rahmaarindapp,2020-06-16 12:38:48,bisabisanya adik aku ga ketawa pas kuliatin ini :( https://t.co/zzdVubXAiR,0,1
rahmaarindapp,2020-06-16 12:36:31,mengandung bawang sekilo https://t.co/J1JG7gSZX5,0,0
rahmaarindapp,2020-06-16 12:30:38,@fjrrmdhn_ alasanku jomblo soale gadue pacar paaakk🤣,0,0
rahmaarindapp,2020-06-16 12:25:48,@mlgcollegefess karna gapunya pacar,0,0
rahmaarindapp,2020-06-15 13:31:15,I'm lucky to be me and you can see it in my face~~~~~~~~~~~~~~~~~,0,1
rahmaarindapp,2020-06-14 13:53:51,selera musikku udah mentok sampe lauv :( gaada tuh satupun lagunya yang gaenak :(,0,0
rahmaarindapp,2020-06-14 13:38:56,udah kgn bgt gk ngerasain senam jantung kayak gini :( https://t.co/rNysKCknri,0,0
rahmaarindapp,2020-06-14 13:05:29,deuh gasehat bgt timeline aku,0,1
rahmaarindapp,2020-06-12 13:48:34,@Meidina01720488 biasa sistt wkwk,0,0
rahmaarindapp,2020-06-12 12:12:20,kalau gak sakit mana bisa tidur teratur tanpa harus begadang~,0,1
rahmaarindapp,2020-06-12 07:28:30,😍😍😍 https://t.co/syTBozDFZW,0,0
rahmaarindapp,2020-06-12 02:35:25,@leo_edw Paraahh,0,0
rahmaarindapp,2020-06-11 11:30:25,"""gabisa ke malang dulu nih, lagi flu"" https://t.co/dCEOVtE0C8",0,0
rahmaarindapp,2020-06-11 11:13:59,@penafauzy wahahaha langsung sembuh,0,0
rahmaarindapp,2020-06-11 11:01:57,"tenggorokan gatel bgt, mau garuk susah amat😬",0,1
rahmaarindapp,2020-06-11 10:03:07,"@lexmanananda @mlgcollegefess ayok nannnnnn ngemieeee🤤btw itulo nder, yang deketnya playground samping matos, uwenaakkkk",0,0
rahmaarindapp,2020-06-10 10:59:47,Hp gamau nyala pas lagi urgent2 gini tuh hm bgt kan. Untung ada bapakku yg mau sedekah clone app😂,0,0
rahmaarindapp,2020-06-09 18:25:57,@fjrrmdhn_ 😂,0,0
rahmaarindapp,2020-06-09 16:56:05,@fjrrmdhn_ duh kgn pol i piye iki:(,0,0
rahmaarindapp,2020-06-09 16:11:45,"Masih bingung sampe sekarang, makin capek tu kenapa makin susah tidur ya, huft",0,1
