username,created_at,text,retweet,favorite
rahmahwanti,2019-11-12 09:08:46,pgn berenang🏊‍♀️🏊‍♂️🏊‍♀️🏊‍♂️,0,0
rahmahwanti,2019-11-09 04:20:35,seminggu lagi yaampooon,0,0
rahmahwanti,2019-10-20 04:20:57,@iyanra harusnya isip di rsud coass demak dulu eaaa?,0,0
rahmahwanti,2019-10-15 09:06:56,@nadiarossaa Doraemon nad?,0,0
rahmahwanti,2019-06-15 16:24:22,"@puputpdewi minggu dpn, bank udh tutup☹☹",0,0
rahmahwanti,2019-05-22 10:55:47,Kiko🤣🤣 https://t.co/bgSe23ax6h,0,0
rahmahwanti,2019-04-08 10:08:30,@puputpdewi bhd dah turun buka olshop trs ya🤣,0,0
rahmahwanti,2018-12-15 23:00:43,@deandape @aaarhy @ochaghea Melu ji juga guys,0,0
rahmahwanti,2018-12-03 01:43:52,@winan_da Met ultah nda,1,1
rahmahwanti,2018-11-13 08:11:21,mager mau merantau.. di smg aja bole ga..,0,0
rahmahwanti,2018-11-11 10:47:53,@vererikarina + minumnya es kopi ya,0,0
rahmahwanti,2018-10-28 09:43:35,@dhicak hujan aer mata mbak.,0,0
rahmahwanti,2018-10-04 07:08:15,@millatiazmi Dah siap isip banget ya miiii😂,0,0
rahmahwanti,2018-09-27 08:30:17,@aaarhy Ada yg bisa dibantu mbak?,0,0
rahmahwanti,2018-09-15 11:20:43,Harga kue bandung karya baru naik. Sedih akutu.,0,0
rahmahwanti,2018-09-13 17:38:50,@sanchiajc15 Review kecoak sm kalajengkingnya qaqaaa,0,0
rahmahwanti,2018-09-13 10:21:58,"@maytamay May, mau ceker buatan rumahmu...",0,0
rahmahwanti,2018-09-11 08:52:34,"@primadita_ Mr.sunshine, My id is gangnam beauty.🍻🍻",0,0
rahmahwanti,2018-09-10 09:06:14,@aaarhy Sama. Gakuat akutu nonton begituan 😅💔,0,0
rahmahwanti,2018-09-09 15:42:22,mewek gegara kakeknya Ae sin.😭,0,0
rahmahwanti,2018-09-09 01:52:28,"@naranina Eps 9, sakit tp ga berdarah:((",0,0
rahmahwanti,2018-09-08 06:35:06,@vererikarina ngopi dulu sono,0,0
rahmahwanti,2018-09-03 16:26:50,Nastar nastar nastar nastar.,1,0
rahmahwanti,2018-08-27 17:41:52,@dhicak Da pa neh?,0,0
rahmahwanti,2018-08-22 08:44:15,@vererikarina butuh px.status mental:((,0,0
rahmahwanti,2018-08-22 08:43:48,@dhicak @rezahakimm hamba hanyalah menginginkan seekor kuchingggggg.,0,0
rahmahwanti,2018-08-21 16:53:59,@angkatan94 @ochaghea kamu pernah pake pram? kok ttep wireng?👻👻,0,0
rahmahwanti,2018-08-21 16:30:25,halusinasi auditorik akutu. saben malem kek denger suara melly. pdhl doi dah ga dirumah😿😿,0,0
rahmahwanti,2018-08-21 16:28:51,@ochaghea kudu kuat bau🙊🙊🙊,0,0
