username,created_at,text,retweet,favorite
rahmatfathoni,2020-06-28 09:00:51,@mochiklil Bareng klil!!!,0,0
rahmatfathoni,2016-02-14 14:00:07,@OfficialAFC_ID really great subs from Wenger!!,0,0
rahmatfathoni,2014-08-23 04:33:28,Skor Akhir: Everton 0-2 Arsenal. @_KabarArsenal_ #JaketBolaBdgQUIZ,0,0
rahmatfathoni,2014-08-10 12:10:30,#GoonerQuiz ARSENAL 3 vs 1 Man. City @_KabarArsenal_ @goonerproject,0,0
rahmatfathoni,2014-08-10 12:10:19,#GoonerQuiz ARSENAL 2 vs 0 Man. City @_KabarArsenal_ @goonerproject,0,0
rahmatfathoni,2014-08-10 12:10:08,#GoonerQuiz ARSENAL 1 vs 0 Man. City @_KabarArsenal_ @goonerproject,0,0
rahmatfathoni,2014-08-07 05:42:48,@andreepras @Jamaldnmlk @isalmaward gak bisa,0,0
rahmatfathoni,2014-08-03 05:37:25,FT: Arsenal 3-0 AS Monaco. @goonerproject @_KabarArsenal_ #GoonerQuiz,0,0
rahmatfathoni,2014-08-03 05:37:10,FT: Arsenal 4-2 AS Monaco. @goonerproject @_KabarArsenal_ #GoonerQuiz,0,0
rahmatfathoni,2014-08-03 05:35:59,FT: Arsenal 3-1 AS Monaco. @goonerproject @_KabarArsenal_ #GoonerQuiz,0,0
rahmatfathoni,2014-07-28 01:47:18,"Emang ya wakil ketua kpk.. Ceramahnya gak jauh2 dri pejabat, duit sama korupsi",0,0
rahmatfathoni,2014-07-23 20:34:44,Band penambah isotonik tubuh.. Steven and the coconut water @Uus__ #iyainajabiarcepet,0,0
rahmatfathoni,2014-07-20 15:54:35,"samper ridwan nik, biar dia dateng RT @nickyapr: @jagofc akhirnya udah ga sabar mau ketemu kaliaann :D siiaapp bro . Thank's infonya",0,0
rahmatfathoni,2014-07-10 23:02:59,"""kalo hasil kpu gak sesuai quick count, ada indikasi kecurangan n bisa dilaporkan"" r u kidding, bro? dikira quick count gak bisa dicurangin?",0,0
rahmatfathoni,2014-07-09 09:34:25,"bro bro, udahan yuk mikirin quick count mana yg bener... mending skrang mikir gimana bantu yg di gaza sana #PrayForGaza",4,0
rahmatfathoni,2014-07-08 14:35:13,"iyaa, diusahakan @MuthiaGassani",0,0
rahmatfathoni,2014-07-08 13:49:15,masih ada kuliah gua kamisnya :( @panjidluffy @MuthiaGassani @aryawic @ratnovv @vincentiahanna,0,0
rahmatfathoni,2014-07-08 11:51:29,"silahkan, kalo gua besok udh ke bandung @panjidluffy @MuthiaGassani @aryawic @ratnovv @vincentiahanna",0,0
rahmatfathoni,2014-07-05 16:13:21,"cuma dapet sinyal tvone, sial -__-",0,0
rahmatfathoni,2014-07-05 15:54:42,"Eta pisan RT @Jamaldnmlk: yg bener2 #StandOnTheRightSide itu adalah tidak Black Campaign, pilih krn Visi &amp; Misi nya, bkn krn kejelekan lawan",1,0
rahmatfathoni,2014-07-05 05:45:34,"eh, gak tau deh bisa atau enggak @MuthiaGassani @panjidluffy @aryawic @ratnovv @vincentiahanna",0,0
rahmatfathoni,2014-07-04 12:17:13,insyaallah bisa @MuthiaGassani @panjidluffy @aryawic @ratnovv @vincentiahanna,0,0
rahmatfathoni,2014-07-02 20:59:46,kalo gua baru selasa di bekasi @MuthiaGassani @panjidluffy @aryawic @ratnovv @vincentiahanna,0,0
