username,created_at,text,retweet,favorite
rarraayu,2020-06-30 10:09:04,@khairanifitria sini mana ran? kasih tau alamatnya,0,0
rarraayu,2020-06-29 12:55:44,@Helsimayaannisa terimakaci helci 💛,0,0
rarraayu,2020-06-29 12:14:57,@nmiraanm @indahdefia https://t.co/aiVOlXxrXd,0,0
rarraayu,2020-06-29 08:28:27,😭😭😭 https://t.co/rLBM2u4cTr,0,0
rarraayu,2020-06-28 13:13:05,@rezaprd @mtchoiri Kalau masker bengkoang bagaimana ?,0,0
rarraayu,2020-06-28 12:30:13,"@rezaprd @mtchoiri iya, assalamualaikum 🙏",0,0
rarraayu,2020-06-28 12:19:45,"@rezaprd @mtchoiri Tambah satu lagi, danau terbesar di Indonesia Danau tuba",0,0
rarraayu,2020-06-27 13:25:29,"bukan hanya yang sesaat terus menghilang, bila hasrat telah usai~ https://t.co/2pILruKXZM",0,1
rarraayu,2020-06-27 01:02:11,Bakal tinggal kenangan https://t.co/WnMhRwhgE3 https://t.co/NdVhGOPdrK,0,0
rarraayu,2020-06-24 19:19:54,"sebagian orang tua diuji dengan anaknya yang susah makan, sebagian lainnya diuji dengan tidak punya cukup makanan untuk anaknya",0,2
rarraayu,2020-06-21 12:52:12,@snugdeal3r so cute. tapi tetep menakutkan 😐,0,0
rarraayu,2020-06-21 06:33:14,💔 https://t.co/x5gQhoX3Es,0,1
rarraayu,2020-06-15 13:24:22,"@DianFikrah selamat bersedih, reaktornuklir https://t.co/Ti2Fluwv7t",0,0
rarraayu,2020-06-11 01:44:34,"@elsanrza kuy cae, keliling puri. Ecae yang nyetir 😌",0,0
rarraayu,2020-06-11 01:42:57,"@lambebucin iyaa, yang honeymoon juga bagus lo mbon",0,0
rarraayu,2020-06-10 12:48:01,Inovasi 😂 https://t.co/Z9MytdmZLC,0,0
rarraayu,2020-06-10 09:58:15,@lambebucin bon aku jadi suka lagunya 😅,0,0
rarraayu,2020-06-09 14:56:55,😹 https://t.co/VYhwWkw9qS,1,1
rarraayu,2020-06-09 11:15:31,@sanuuur_ huehehe kirain 😆,0,0
rarraayu,2020-06-09 10:46:49,@sanuuur_ candu selingkuh sa?,0,0
