username,created_at,text,retweet,favorite
rohanahrey,2020-07-04 22:24:08,Minggu pagi godaan diskon yang maha dahsyat🙈,0,0
rohanahrey,2020-07-02 10:44:19,@Bandungfess Kartu donor darah,0,1
rohanahrey,2020-07-02 10:43:47,@alfidrmwn_ @Bandungfess Wah bahaya ieu,0,0
rohanahrey,2020-06-30 22:52:53,"Sudah dipertengahan tahun 2020,tarik nafas dalam² nih",0,0
rohanahrey,2020-06-30 10:54:02,@Bandungfess Jauh kieu euy,0,0
rohanahrey,2020-06-29 12:36:13,"Jadi cewek itu harus pinter dengan diajarin dan belajar sendiri. Mantep nih did @dittopercussion Here’s a show for you… Kuliah Oh Kuliah, Masa Terindah! Podcast DariTaDi Yu Ya Yukk https://t.co/89UtzVKJZ4",0,0
rohanahrey,2020-06-27 12:27:00,"@Bandungfess Hayu 4 deui langsung berangkat, eh tapi boong.",0,1
rohanahrey,2020-06-27 10:30:38,@dewahoya 2015,0,0
rohanahrey,2020-06-27 04:24:15,@FiersaBesari Selamat bung dan mba kroya,0,0
rohanahrey,2020-06-26 11:20:24,@alvianozta Semangatttt,0,0
rohanahrey,2020-06-24 11:24:43,@tiarbah @nasgortiarbah Nah gini dong ada emosinya,0,0
rohanahrey,2020-06-24 11:17:37,@cewehijrah Aamiin paling kenceng,0,0
rohanahrey,2020-06-22 13:13:15,@FOODFESS2 Eteh eteh rasa teh,0,0
rohanahrey,2020-06-22 13:09:04,@shitmemeexe Sudah tidak diragukan lagi 🤣,0,0
rohanahrey,2020-06-22 13:07:45,@susantianjani95 Udah bayar ko,0,0
rohanahrey,2020-06-22 12:37:56,"Parah bet dah ini yang punga kosan pada kemana,lampu gak dinyalain woy😑",0,0
rohanahrey,2020-06-22 11:22:28,@FOODFESS2 Pancong,0,0
rohanahrey,2020-06-20 10:59:55,"Makan yang pedes-pedesnya pas jam makan siang,tapi panas perutnya sampe sekarang. Gilssssss",0,0
rohanahrey,2020-06-16 10:31:59,@iamMariza @TravaHouse @yogyakartabnb @SanteCommune C. YogyakartaBnB😍,0,0
rohanahrey,2020-06-16 09:30:59,@susantianjani95 Wahhh,0,0
rohanahrey,2020-06-16 09:28:35,@susantianjani95 Aceh?,0,0
rohanahrey,2020-06-15 11:48:03,@Bandungfess Jaman SD ciki panser🤣,0,0
rohanahrey,2020-06-15 11:44:09,Renyah kaya rengginang,0,0
rohanahrey,2020-06-14 11:03:08,@fnoerdiana @Bandungfess Langsung di CORET,0,0
rohanahrey,2020-06-13 12:22:10,@Bandungfess Ari teguh mikir naon,0,0
rohanahrey,2020-06-13 12:18:41,@Bandungfess Asli ieu mah,0,0
rohanahrey,2020-06-13 12:18:16,@rivaldiabdul_ @Bandungfess Ambon manise mang,0,0
rohanahrey,2020-06-12 12:38:31,@Bandungfess Ikan hiu ikan cucut.. Yuk lanjut,0,0
rohanahrey,2020-06-12 12:06:51,@Bandungfess Cari uang nambah rezeki,0,0
rohanahrey,2020-06-11 11:20:34,@JetVeetlev Pasti ngeliatin ujan dijendela,0,0
rohanahrey,2020-06-11 10:51:48,@FOODFESS2 Gigi ikannya rapih euy,0,0
rohanahrey,2020-06-11 10:49:13,@Bandungfess Biru muda,0,0
rohanahrey,2020-06-10 13:38:22,@Bandungfess Teh tarik,0,0
rohanahrey,2020-06-10 13:30:44,@Bandungfess Isinya secuil,0,0
rohanahrey,2020-06-10 13:29:31,@yunusmugia @dydsurr @Bandungfess Yg mencintaimu,0,0
rohanahrey,2020-06-10 13:27:32,@s__a__t__e @ayudiac @dittopercussion Halah halahhh gemessss sekali mas bayi,0,0
rohanahrey,2020-06-10 11:51:18,@SpotifyID Ahay ahay ahayyyy @dittopercussion,0,0
rohanahrey,2020-06-10 11:46:09,@FOODFESS2 Buah naga pake yakult,0,0
rohanahrey,2020-06-08 11:43:34,@damnitsisni @Bandungfess Pokonya gelap semuaaaa🤣🤣,0,0
rohanahrey,2020-06-08 11:28:10,"@FOODFESS2 Tanganku udah kekar euy,jadi di blender weh ceuk mamah ge",0,0
rohanahrey,2020-06-08 11:26:10,"@damnitsisni @Bandungfess Isinya ada mie goreng,mie rasa soto,rasa kari ayam,rasa ayam bawang. campur aduk sama kaya perasaanku🤣🤣",0,0
rohanahrey,2020-06-08 11:23:15,@BudeSumiyati Cuan dan liburan,0,0
rohanahrey,2020-06-08 11:01:24,"@Bandungfess Ceurik hungkul. geus cerik jadi lafar,langsung makan mie junfyo dina pancina",0,0
rohanahrey,2020-06-07 13:32:08,@Aun_Absurd 🤲,0,0
rohanahrey,2020-06-07 12:40:42,"Semoga kita dijaga,setidaknya oleh pikiran kita sendiri",0,0
rohanahrey,2020-06-07 02:36:40,@disasarung @Bandungfess Backgroundnya dah bagus,0,0
rohanahrey,2020-06-07 02:33:45,@Haqqqq020202 @Bandungfess Bersedia,0,0
rohanahrey,2020-06-07 02:25:53,@yashintadr @andihiyat Halah halah halah,0,0
rohanahrey,2020-06-07 02:25:01,@yulinalogawati https://t.co/a38c5DgdTw,0,0
rohanahrey,2020-06-06 11:17:04,@sokinaje1 Yoi cuy,0,0
rohanahrey,2020-05-29 00:39:13,@dikakusumaW Selamat ulang tahun mang🍕,1,0
rohanahrey,2020-05-14 11:39:51,@yulinalogawati https://t.co/MjhSeCOvMv,0,0
rohanahrey,2020-04-26 09:54:31,@yulinalogawati Dududuuuu,0,0
rohanahrey,2020-04-12 11:45:04,@yulinalogawati Sarua,0,0
rohanahrey,2020-04-09 11:10:43,@Putrakaswari https://t.co/iqxn6O7Xwk,0,0
rohanahrey,2020-04-04 11:18:56,@susantianjani95 Pakai tolak angin,0,0
rohanahrey,2020-04-02 23:55:52,@yulinalogawati https://t.co/owfINTIJpg,0,0
rohanahrey,2020-03-28 23:24:32,@yulinalogawati Amburadul🤣,0,0
rohanahrey,2020-03-27 10:40:15,Dah lah XL jam segini selalu jelek,0,0
rohanahrey,2020-03-26 11:43:50,@iqbaaalls Tiba tiba merhatiin,0,0
rohanahrey,2020-03-19 05:58:53,@ntsana_ Air supply,0,0
rohanahrey,2020-03-16 13:03:43,@ntsana_ Apa us apa,0,0
rohanahrey,2020-03-01 11:49:45,@KuntoAjiW Tettttt,0,0
rohanahrey,2020-03-01 11:47:52,@ratusambat @Rekka08_ @bdgfess Bungkus,0,1
rohanahrey,2020-03-01 11:44:55,@mekdinomaden @mantep_mantep @bdgfess Dihalte jeng terminal,0,0
rohanahrey,2020-02-21 05:36:10,@yaelahcan Menyambut weekend dengan kondangan,0,0
rohanahrey,2020-02-18 11:07:24,@wahcuitan 🌻🌻,0,1
rohanahrey,2020-02-18 10:15:05,@FiersaBesari Justru lebih sakit,0,0
rohanahrey,2020-02-16 14:08:19,@ankatamaaa_ Tua tua,0,0
rohanahrey,2020-02-13 05:59:23,@susantianjani95 @FiersaBesari Karena keadilan bagi seluruh rakyat yg glowing,0,0
rohanahrey,2020-02-12 10:37:43,@FiersaBesari Mundur ah saingannya glowing,0,0
rohanahrey,2020-02-12 10:28:13,@yulinalogawati https://t.co/FEY9u895Xm,0,0
rohanahrey,2020-02-12 10:04:10,Hari ini seperti ada pelangi setelah hujan😊,0,0
rohanahrey,2020-02-06 05:14:04,@shanahts2 @jangandengerin Ambyarrrr,0,0
rohanahrey,2020-02-05 10:46:44,@bdgfess Loncat tinggi,0,0
rohanahrey,2020-02-05 10:45:11,@montirmotor @bdgfess Sagala diaduken,0,0
rohanahrey,2020-02-05 10:43:29,"@jangandengerin Jangan ganggu hubungan aku sama dia ya (padahal posisinya kita masih pacaran ""DULU""). Kamu terlalu baik buat aku. Klasik~~~",0,2
rohanahrey,2020-02-04 13:55:08,@ankatamaaa_ @myXLCare Loading bangetttttt,0,1
rohanahrey,2020-02-03 05:42:02,@mojokstore Saban hari seminggu kemaren,0,0
rohanahrey,2020-02-02 02:51:39,@ankatamaaa_ Kuy😄,0,0
rohanahrey,2020-01-30 11:01:33,@susantianjani95 https://t.co/pY9vNcray0,0,1
