username,created_at,text,retweet,favorite
salsabilabia,2020-07-05 08:29:40,@latifawp @Time4learns OMG THE CUTEST SNAIL THAT I’VE EVER SEEN!!!! 🥺,0,0
salsabilabia,2020-07-04 17:56:41,@clarisamarsely pen @DayangFeniR,0,0
salsabilabia,2020-07-04 17:43:01,@FadhilahNisaa Same energy wkwk,0,0
salsabilabia,2020-07-04 17:42:24,@DayangFeniR Ndak tau wakakak,0,0
salsabilabia,2020-07-04 17:41:27,@diaugust8 @latifawp hah? kalian ktmu disitu?,0,0
salsabilabia,2020-07-04 17:39:57,@latifawp https://t.co/kpeP6IuHFR,0,0
salsabilabia,2020-07-04 17:37:03,@GitaaSS apakah semua gtu wkwk knp yaaa,0,0
salsabilabia,2020-07-04 17:35:35,@clarisamarsely Biasanya pulang subuh ya sisturrr,0,0
salsabilabia,2020-07-04 16:36:27,@qnafess Fix telor ular,0,0
salsabilabia,2020-07-04 06:00:20,@Dilasaphira2 Anak aku,0,0
salsabilabia,2020-07-04 05:13:07,My future son. https://t.co/aeqkSylXXA,0,0
salsabilabia,2020-07-04 05:04:47,@latifawp asliiiii. udah amoral goblok lagi😰,0,1
salsabilabia,2020-07-04 05:00:10,@hadooshhhh @inindahlestari,0,0
salsabilabia,2020-07-04 04:58:52,@ensadyota WKWKWKW jinak ko mba,0,0
salsabilabia,2020-07-04 04:58:17,"@latifawp tenang aja, aku pasti ajak kamu. aku tau kamu jg pgn tp gamaw blg kan",0,0
salsabilabia,2020-07-04 04:57:45,@Cak_IAS Coba yas,0,0
salsabilabia,2020-07-04 04:57:34,@inindahlestari @txtdarionlshop @Ajengwdy teman yang selalu memimpin tadarus saat padepokan,0,0
salsabilabia,2020-07-03 22:42:26,@txtdarionlshop Jual ajeng yuk ndah @inindahlestari,0,0
salsabilabia,2020-07-03 19:09:17,@FOODFESS2 OMG SUKAK,0,0
salsabilabia,2020-07-03 18:02:30,@amaliaadyah https://t.co/Fu0IAR8jtd,0,0
salsabilabia,2020-07-03 18:00:46,@salwasalsaaa Wkwkwkw makanya 😂,0,0
salsabilabia,2020-07-03 18:00:30,@andhikasuryay seru,0,0
salsabilabia,2020-07-03 16:47:24,@GitaaSS @ghinart oh ok thank u wkwk,0,0
salsabilabia,2020-07-03 16:42:26,Borneo pride. https://t.co/IvuZasHXio,3,8
salsabilabia,2020-07-03 15:40:39,@aMrazing Cakep bgt koh lex,0,0
salsabilabia,2020-07-03 15:15:50,@ghinart @GitaaSS siapa faaa spill donggg,0,0
salsabilabia,2020-07-03 14:41:34,@sdmutiara 😰😰😰,0,0
salsabilabia,2020-07-03 14:35:42,@sdmutiara kamu kalo ke alfamart naik kerbau bayar parkir brp?,0,0
salsabilabia,2020-07-03 14:34:45,@txtdarionlshop Itu keterangannya toko sedang libur 🤷🏻‍♀️,0,0
salsabilabia,2020-07-03 14:33:22,@ulfaraudh1 @latifawp Serius amat dek ai nonton apaaa,0,0
salsabilabia,2020-07-03 14:31:10,@qonitalyn Kalo kuda bayar parkirnya brp ya wkwk,0,0
salsabilabia,2020-07-03 13:51:27,pengen bgt ke alfamart naik sapi https://t.co/eZ2PlcnYbU,0,2
salsabilabia,2020-07-03 13:44:11,"@anidaalkhansa yoi nid, jahat adalah nama tengahku. dima jahat salsabila ☺️",0,0
salsabilabia,2020-07-03 13:43:15,@MBHeryasa https://t.co/w4VyAhZ99G,0,0
salsabilabia,2020-07-03 11:51:38,@rifalashadi @susipudjiastuti Keren benerrrr,0,0
salsabilabia,2020-07-03 09:02:20,@susipudjiastuti Gimana nih @rifalashadi,0,0
salsabilabia,2020-07-03 08:41:09,@qnafess Serem bgt,0,0
salsabilabia,2020-07-03 07:50:45,@Chindira @amaliaadyah Itu orang yang sama ty wkwk,0,0
salsabilabia,2020-07-03 07:11:50,@amaliaadyah Wkwkw tencuw udah ntn amal 🥰,0,0
salsabilabia,2020-07-03 07:11:36,@anidaalkhansa Iya kasian cikibebbb 🥺,0,0
salsabilabia,2020-07-03 05:57:05,Cpt ntn filmku guys 😋 https://t.co/gZaE50ABn2,0,1
salsabilabia,2020-07-03 01:57:58,@ZONEPHYSlCS Cangtip bgt,0,0
salsabilabia,2020-07-03 01:57:16,"@larasssinta_ harusnya kamu request materi padepokan tentang nikah ras, trs speakerin wqwq",0,0
salsabilabia,2020-07-03 01:54:28,@nadyaaahs Aslik 😤,0,0
salsabilabia,2020-07-03 01:54:05,"@latifawp iya, ditunggu ya",0,0
salsabilabia,2020-07-03 01:33:42,@ulfaraudh1 @sdmutiara Berenang cuma 5 menit. Sisanya makan bekal dan jajan yg lain.,0,0
salsabilabia,2020-07-03 01:31:44,@latifawp tifa jgn lupa setoran hafalan surah di aku,0,0
salsabilabia,2020-07-02 19:15:52,@diaugust8 Cukup ngopinya denna 🙂,0,0
salsabilabia,2020-07-02 10:36:50,@FOODFESS2 @Ajengwdy,0,0
salsabilabia,2020-07-02 10:05:06,@finrul WKWKWKWK,0,0
salsabilabia,2020-07-02 08:54:33,@latifawp Aww,0,0
salsabilabia,2020-07-02 08:52:08,@jawafess Astagfirullah,0,0
salsabilabia,2020-07-02 08:51:34,@inindahlestari @FOODFESS2 Error tu,0,0
salsabilabia,2020-07-02 08:50:20,@FOODFESS2 Hehehe @inindahlestari 😉,0,0
salsabilabia,2020-07-02 08:49:52,@animalfess2 KYOTTT,0,0
salsabilabia,2020-07-02 08:38:12,@GitaaSS Semangat sulikerzzz 🙌🏻,0,0
salsabilabia,2020-07-02 08:37:18,"Tapi cuma ga bisa ntn satu series aja guys, yang lain bisa. Knp ya 🤔",0,0
salsabilabia,2020-07-02 08:21:32,@txtdaricewe https://t.co/Y5M365izbd,1,1
salsabilabia,2020-07-02 07:53:17,@mita_dmawarta Ini bener gaksi? Jgn php plis 😭,0,0
salsabilabia,2020-07-02 07:51:38,@elwa https://t.co/ZWX439kTRn,0,0
salsabilabia,2020-07-02 07:48:49,@rkrynldi Padahal VPN itu baru aja aku perpanjang 🙂,0,0
salsabilabia,2020-07-02 07:41:29,@rkrynldi Terus gimana benerinnya 😭 masa gabisa ntn lagi tulunggg,0,0
salsabilabia,2020-07-02 07:38:24,Tolong dong ini gimana ya 🙂 https://t.co/BhrALuwyIR,0,0
salsabilabia,2020-07-02 05:10:20,@Chindira @inindahlestari Betul tyyy tapi kok ngakak ya wkwk 🤣,0,0
salsabilabia,2020-07-02 05:07:30,@inindahlestari Pukpuk,0,0
salsabilabia,2020-07-02 03:14:29,"Kita punya keinginan, tapi keadaan punya kenyataan.",18,5
salsabilabia,2020-07-01 15:17:52,@tikoubeast Monggo @clarisamarsely,0,0
salsabilabia,2020-07-01 06:12:38,@diaugust8 10,0,0
salsabilabia,2020-07-01 04:19:27,@jokoanwar YAYYY,0,0
salsabilabia,2020-06-30 15:39:02,"Not everything happens for a reason, sometimes life just sucks.",4,0
salsabilabia,2020-06-30 14:49:40,@txtanakfesbuk Sakit jiwa,0,0
salsabilabia,2020-06-30 14:18:43,@ShopeeID Oke thank you 😢,0,0
salsabilabia,2020-06-30 13:45:30,Halo @ShopeeID mau tanya dong. Ini paket saya baru aja dikirim tapi ga sengaja mencet pesanan diterima. Gmn ya? https://t.co/bVtj9ZQw3p,0,1
salsabilabia,2020-06-30 13:40:46,@clarisamarsely Aww,0,0
salsabilabia,2020-06-30 13:29:07,@clarisamarsely Choco crunch,0,0
salsabilabia,2020-06-30 08:15:36,@kapitulis Aku gak bolehin @inindahlestari pegang gacahon kakek maruko punyaku trs dia ngambek https://t.co/VcWIyfgSMs,0,0
salsabilabia,2020-06-30 08:13:25,@cccbulan Wkwkw :(((,0,0
salsabilabia,2020-06-30 05:17:57,@cccbulan Kkn online ngapainsi cho,0,0
salsabilabia,2020-06-29 18:35:25,@FOODFESS2 Telur buat dimakan beda nder sama telur buat dieramin trs jd anak ayam 🥺,0,0
salsabilabia,2020-06-29 16:23:48,@NetflixID Can’t waittt,0,0
salsabilabia,2020-06-29 16:22:59,@anidaalkhansa bgt💔,0,0
salsabilabia,2020-06-29 14:55:59,@yourdophamine_ @GitaaSS @clarisamarsely @DayangFeniR,0,0
salsabilabia,2020-06-29 14:52:36,@qnafess Enak. Lebih praktis.,0,0
salsabilabia,2020-06-29 14:46:38,@qnafess Shirataki rice itu nder,0,0
salsabilabia,2020-06-29 14:45:19,@GitaaSS Ih iya. Betul https://t.co/ctFSyquO3b,0,0
salsabilabia,2020-06-29 14:42:42,@GitaaSS Apa bahasa indonesianya tempias,0,0
salsabilabia,2020-06-29 14:41:52,@GitaaSS Betul. Nih @inindahlestari,0,0
salsabilabia,2020-06-29 14:39:06,@mbooonnn WKWKWKWKWKWK NGAKAK,0,0
salsabilabia,2020-06-29 14:37:57,@andhikasuryay @diaugust8 @nadyaaahs ayo cheers dulu guys https://t.co/CzIDEsUqQj,0,0
salsabilabia,2020-06-29 14:29:55,@inindahlestari Kalo bhs putussibaunya bemama 🤣,0,0
salsabilabia,2020-06-29 14:14:58,@GitaaSS https://t.co/gIibg8BANS,0,0
salsabilabia,2020-06-29 13:37:38,@diaugust8 @nadyaaahs Katanya enak kalo campur yakult,0,0
salsabilabia,2020-06-29 12:27:07,@frdzhr @FOODFESS2 https://t.co/j1ghdsqbmy,0,0
salsabilabia,2020-06-29 12:26:49,@vivinda_ @FOODFESS2 Iya betul mbak 😆,0,0
salsabilabia,2020-06-29 12:19:14,@FOODFESS2 kerupuk basah yak meh nama ya https://t.co/VO9UgRuG3y,1,0
salsabilabia,2020-06-29 12:16:45,"@GitaaSS Bisa dua-duanya tergantung selera kak, monggo diorder",0,0
salsabilabia,2020-06-29 05:35:17,"Gemes bgt pgn update ke ios 14 sekarang, tapi masih beta takut ngebug 🤭",0,0
salsabilabia,2020-06-29 05:34:09,@ayanablle Mending segera pakai by.U @clarisamarsely,0,1
salsabilabia,2020-06-29 03:07:39,@frzky_deka Akuakuuu,0,0
salsabilabia,2020-06-28 16:18:25,@GitaaSS @clarisamarsely Jadi aku dikirimin lagi...,0,0
