username,created_at,text,retweet,favorite
silvihoroni,2020-06-20 19:52:35,Lathi versi unyuuu https://t.co/hR8BAmPSbD,0,0
silvihoroni,2020-06-20 19:48:06,Aku pake bantal dari pohon kapuk aja. Ga tega liat kamu 😭 https://t.co/Ae1DmsXCGQ,0,0
silvihoroni,2020-06-20 19:46:59,@ovomxltine @putrihamzh kau ga gini kan? Wkwk,0,0
silvihoroni,2020-06-16 17:41:22,"Tbtb di playlist ada lagu kenangan yg gapernah didenger lagi, membuatmu kaget, dan membawamu kembali ke kenangan dulu~",0,0
silvihoroni,2020-06-16 11:07:05,@haris_siregar Karna banyak makanya disuruh ayahku buang 😭,0,0
silvihoroni,2020-06-16 05:02:31,"Ada jumjum yang paling sayang sama semua anak kucing. Kalopun aku nemu anak kucing dijalan, diasuh sm dia. Dianggap kaya anak kandung sendiri. Ibuable bet dia. Kalo aku curhat pasti dia jawab ""ngeong"". Pengertian deh",0,0
silvihoroni,2020-06-16 05:00:00,"Ada ling-ling tkg pijet kedua, yg kalo kita duduk pasti dia tiduran diatas pangkuan. Manja bet apalagi sm ayah minta pangku terus.",0,0
silvihoroni,2020-06-16 04:58:23,"Ada gadis, yg kalopun lg jauh pas aku panggil langsung lari dateng. Hidupnya kaya tentara bet yak langsung siap gerak!!",0,0
silvihoroni,2020-06-16 04:57:16,"Ada dudung, yg kalo mau tidur pasti pake bantal. Kadang bantalku di kongsiin wkwk",0,0
silvihoroni,2020-06-16 04:56:34,"Ada si meimei dia kalo mau naik ketmpt tidurku wajib pijetin perutku. Kaya ""gw boleh gak numpang tdr di tmpt tdr lu, gw pijet dulu deh"" Udah ngerti aja dia. Tau cara ambil hati aku, biar aku gak suruh dia turun. Pijetnya juga sampe setengah jam. Rindu meimei",0,0
silvihoroni,2020-06-16 04:53:42,Jadi inget 12 ekor kucingku yg dibuang 😭,0,0
silvihoroni,2020-06-15 17:12:16,Aku tergodaaa~ https://t.co/67Yf3v2S7e,0,1
