username,created_at,text,retweet,favorite
stttopp,2020-07-05 18:02:21,"@hrdbacot Pernah, mau install ig dulu",0,0
stttopp,2020-07-05 10:52:55,@azzanazzario Ngape anjgg,0,0
stttopp,2020-07-05 04:53:42,@pnhanifah Udah buka skrg. Rame kok ngaliyan wkw,0,0
stttopp,2020-07-05 03:22:45,@pnhanifah Iya. Bsb mah buka trs han,0,0
stttopp,2020-07-05 03:10:05,@pnhanifah Balik kosan bentar aja dulu han mhuhehehe,0,0
stttopp,2020-07-05 00:26:36,Oalah tak kiro apek gawe logo bumn sing anyar https://t.co/L817IdGpx6,0,0
stttopp,2020-07-04 00:07:37,Gue bego bgtt ☹☹☹,0,0
stttopp,2020-07-02 16:31:44,"Pengen lupa paitnya, nutupin sama yang manis manis, tapi rasanya makin pait",0,0
stttopp,2020-07-02 12:10:18,Hanya untuk menghela nafas tanpa beban aja susah banget 🥺🥺🥺,0,1
stttopp,2020-07-02 06:03:04,Mo muter otak dl gmn y,0,1
stttopp,2020-07-01 19:32:36,"Pas ditanya ""lu belom tidur?"" auto nguap, ngantuk. Abis dia bilang ""yauda tidur sono"" malah seheeerrr bgt mata jam segini, yang salah diidup gue sebenernya apa dah?",0,0
stttopp,2020-07-01 16:23:38,Da gue sedi bgt kenapa ya,0,0
stttopp,2020-07-01 15:48:08,Sok iye lu anjg 😛,0,0
stttopp,2020-07-01 14:07:23,"Kl ada yg ngegas dikit bawaanya emosi juga. Gini2 gue kalo marah otak masi jalan, tapi pelan mhuhehehehehehe",1,0
stttopp,2020-07-01 14:06:10,"@SyahienFaris @keradankacamata @agunghilman_ Wkwkwk bgt sih, miskomunikasion",0,0
stttopp,2020-07-01 14:05:14,@yaiyaayaa @dharmasuryas @SyahienFaris @agunghilman_ @ciloqciliq Lah malah menurut gue bg faris itu nanyain hal yang benerrr.. yang ditanya mungkin maksudnya bentuk kehati hatiannya?,1,0
stttopp,2020-07-01 12:55:09,@GiaPratamaMD Tuluur tuhuu dan tumpuu,0,0
stttopp,2020-07-01 10:15:14,Padahal pengeeeen bgt uji coba alat ukurnya akhir bulan kemaren tp ga kesampean lagi,0,0
stttopp,2020-06-30 15:11:16,@ikahdikum @Upick_Ismail Baru sadar nona?,0,0
stttopp,2020-06-30 13:36:09,@ikahdikum @Upick_Ismail Oh jadi yg 2012 itu testimoni eee,0,0
stttopp,2020-06-30 12:10:04,@ikahdikum Makan fla lo susen dia ini,0,0
stttopp,2020-06-30 10:44:35,"@mikowaldufri @hrdbacot Alhamdulillah semangat bgt, bang. Patut saya contoh",0,0
stttopp,2020-06-30 10:39:51,Insentif prakerja ini cairnya udah lama apa baru aja dah? Udah dipake buat apa aja ya,0,0
stttopp,2020-06-30 09:34:04,@GiaPratamaMD Jangan gitu dong dok,0,0
stttopp,2020-06-30 08:05:18,@sleeplessfreak_ @drawnoona @suka_ngeyel @whxterose__ @Segomegonoenak1 @AldhiaWolf Bisa ninggalin vn aja ga ngab? Susa bgt bedain e nya perek sama e nya perek,0,0
stttopp,2020-06-29 11:31:46,"@princeofababwas @JustHum74457208 @firdzaradiany Oh kirain ga lama, sehari doang",0,0
stttopp,2020-06-29 11:27:40,"@princeofababwas @JustHum74457208 @firdzaradiany Sehari, ya? Ngapa yak pak pres ga dari kemaren2 aja hm kan bisa kan kelar kan ya kan",0,0
stttopp,2020-06-29 11:00:59,Bhahahahahahahaha piye leh https://t.co/w117srv9Wi,0,1
stttopp,2020-06-29 10:29:08,@sorelain @angelfangss @NodaMembundle Penasaran kalo dibuka jadi kek mana,0,0
stttopp,2020-06-29 10:26:20,"@JustHum74457208 @princeofababwas @firdzaradiany Mana sempat, keburu telat~~",0,0
stttopp,2020-06-29 09:30:14,"@princeofababwas @firdzaradiany Ohh jadi harus nunggu pelatihan buat nakes dulu ya? Hmmm menarik, yaa",0,1
stttopp,2020-06-29 05:17:39,@komanksu @bintangforza Baaang 😂😂😂,0,0
