username,created_at,text,retweet,favorite
sundalaif,2020-07-04 15:06:43,"Teman teman lamaku yg waktu dulu suka cinta cintaan ku kira bakal pada nikah duluan. Nyatanya yg pada tomboy, cuek sama penampilan malah pada nikah duluan",0,0
sundalaif,2020-07-04 13:41:44,Explore isinya linyi semua aw,0,0
sundalaif,2020-07-04 13:28:32,Gabisa banget dah liat film yg ada tembak tembakannya,0,0
sundalaif,2020-07-04 05:58:44,@worksfess https://t.co/2QLukwy4Gi,0,0
sundalaif,2020-07-03 17:15:58,@worksfess Tiati kaya gini nderr https://t.co/6ocVnWHo76,0,1
sundalaif,2020-07-03 15:52:55,"Kangen momen hz mondok. Kontak cuma seminggu sekali, selalu janjian sebelumnya, selalu kaget kalo tbtb on, dan selalu diakhiri sama kata 'udahan dulu ya ortu gue pengen balik'. https://t.co/4WLQ9AKjCc",0,0
sundalaif,2020-07-03 14:13:25,Abis makan seblak + moza sampe rumah harus abisin gepuk😭,0,0
sundalaif,2020-07-03 08:18:44,@bintangemon Jokesnya @JeromePolin banget,0,0
sundalaif,2020-07-03 07:40:53,"Lagi lucu, kenal dari jaman sd tapi ga pernah punya nomernya",0,0
sundalaif,2020-07-03 07:36:48,"Buka ig cuma nunggu 1 orang, ck.",0,0
sundalaif,2020-07-02 15:19:03,@fruytea Iya anjr seru bgt. Ayo otw lt 12,0,0
sundalaif,2020-07-02 15:17:54,@fruytea @chillaxhooman @namelianty Koloran doang juga bole,0,0
sundalaif,2020-07-02 15:15:52,Mo deeptalk lagi deh di lt 12,0,1
sundalaif,2020-07-02 15:15:14,@fruytea @chillaxhooman Ikut kajian ukhti ukhti bersama @namelianty WKWKW,0,0
sundalaif,2020-07-02 15:00:49,@namelianty @fuckincapcipcup Yang udh kuning keemasan gitu sih biasanya udah mateng,0,0
sundalaif,2020-07-02 14:22:45,@collegemenfess Seringgg wkwk terus akhirnya ku pulang beneran wkwkwk,0,0
sundalaif,2020-07-02 13:09:17,https://t.co/rpYssB0QK4,0,0
sundalaif,2020-07-01 12:45:59,A love so beautiful ga diremake aja udah gemes banget,0,0
sundalaif,2020-07-01 12:35:32,@agunghilman_ Bisa bisanya,0,0
sundalaif,2020-07-01 03:27:44,Hayuk gelut,0,0
sundalaif,2020-06-30 13:37:35,Penasaran siapa pionir chat pppppp,0,0
sundalaif,2020-06-28 15:17:48,"@txtdrbekasi @omaaall Udah lama kejebak di ni planet, trs dapet ilham di mimpi beks suruh falaw ni akun biar bisa balik ke bumi",0,0
sundalaif,2020-06-28 14:34:24,Nonton my girlfriend is alien pas bagian mati lampu 1 daerah jadi inget kejadian di perpus njir,0,0
sundalaif,2020-06-28 11:35:57,Nonton drama sambil nyemil ga bagus buat kesehatan fisik + batin,0,0
sundalaif,2020-06-27 14:55:21,Emang kayanya bener bener harus di rumah aja sih,0,0
sundalaif,2020-06-27 09:32:39,@worksfess Coba cari pake hastag #lokercot nder,0,1
sundalaif,2020-06-26 14:55:26,Gak salah si. Cuma kaget aja.,0,0
sundalaif,2020-06-26 14:47:02,Yg bener aja......,0,0
sundalaif,2020-06-26 14:45:59,Yakali......,0,0
sundalaif,2020-06-26 13:17:27,@txtdrbekasi Ceritain fruy @fruytea WKWKWKWK,0,0
sundalaif,2020-06-26 09:57:19,"Asli ni mie enak banget. Tapi yg ini aja udah pedes banget menurut gue, gimana yg extra pedas https://t.co/OS2aKjuHOl",0,0
sundalaif,2020-06-26 02:10:01,@collegemenfess Oot @RektorColle,0,2
