username,created_at,text,retweet,favorite
susheetrashh,2020-06-28 23:47:49,officially saying bye twitter,0,0
susheetrashh,2020-06-28 14:49:20,pdhl gw org bks tp ngatain bks,0,0
susheetrashh,2020-06-28 14:48:51,"panas, virus jg ogah lama lama dibekasi https://t.co/snJ8wDWylG",0,0
susheetrashh,2020-06-28 13:33:15,emg dah kl ngetweet politik impressions lgsg tinggi gt https://t.co/tJz8NRFQpz,0,0
susheetrashh,2020-06-28 13:31:07,kren jg eug dlu https://t.co/iaC7PdqQIX,0,0
susheetrashh,2020-06-28 13:15:11,kok skrg malah jd Ng4p@In B3Laj4R mEnD1nG N0nt0n Dr4k0R T4nGgUnG b3NT4r L4g! K3L4rrr https://t.co/hYEXDwd7Ln,0,1
susheetrashh,2020-06-28 12:34:10,tbtb pgn jd sherina petualangan,0,0
susheetrashh,2020-06-28 12:33:03,"KEPRABON, yagak @staybeuntin https://t.co/UL86PhfiFC",0,0
susheetrashh,2020-06-27 16:58:35,@icebearber bljr nyatok she,0,0
susheetrashh,2020-06-27 16:56:21,malem gini enaknya nyatok,0,0
susheetrashh,2020-06-27 13:57:08,kl w deact twitter jg ngapain ya w dirmh?? ngitungin ubin?,0,0
susheetrashh,2020-06-26 11:00:42,skrg lg hospital playlist,0,0
susheetrashh,2020-06-26 11:00:22,what is next https://t.co/xJ9JyOtUMN,0,0
susheetrashh,2020-06-25 19:05:17,one person unfollowed me // automatically checked by https://t.co/IQZ6ndhabe,0,0
susheetrashh,2020-06-24 10:51:46,ketiga kalinya https://t.co/8J5h1aXLSg,0,0
susheetrashh,2020-06-24 10:31:34,@pahamify #PahamifyBikinPaham #tryoutpahamify @141miles @uciuuu_ @zlfwa @piipipiw @staybeuntin,0,0
susheetrashh,2020-06-23 22:53:55,@BimbelNF @nfjuara @SkollaOnline semoga dpt ptn aamiin paling serius @141miles @uciuuu_ @ajarocokk #NFPalingNgerti,0,1
susheetrashh,2020-06-22 14:57:14,semangat gais aku mau pamit dadahhh,0,0
susheetrashh,2020-06-21 11:36:19,gw kenapa si,0,0
susheetrashh,2020-06-21 11:35:17,yg gapernah beli jg wkokwokw,0,0
susheetrashh,2020-06-21 11:33:37,yg beli satu ngabisin sambel kacang seplastik jg,0,0
susheetrashh,2020-06-21 11:33:04,yg ngutang jg luv,0,0
susheetrashh,2020-06-21 11:32:24,semoga sukses yg beli 2 bayar goceng luv,0,0
susheetrashh,2020-06-21 11:24:12,"udh 3thn ga tinggal dirmh, tbtb 3bln dirmh doang, hhfff comfort zone is killing me",0,0
susheetrashh,2020-06-21 11:11:45,laper,0,0
susheetrashh,2020-06-21 00:08:17,ak jg gska main cium2 changwook aja!!! https://t.co/LrhCuXvw5t,0,0
susheetrashh,2020-06-20 12:54:33,kok suara gw kea tikus kejepit,0,0
susheetrashh,2020-06-20 12:53:54,43 bisa ga ya cong https://t.co/FmBN987oPm,0,0
susheetrashh,2020-06-19 10:36:48,KNPSI GABISA LOGIN EDUKA MULU KSEL,0,0
susheetrashh,2020-06-19 08:42:02,@EdukaSystem #EdukaSemangatUTBK @zlfwa @141miles @staybeuntin @yrchpedro @glennavior @dflamingoo_,0,0
susheetrashh,2020-06-18 11:19:52,@ajarocokk najis?,0,0
susheetrashh,2020-06-17 06:17:18,ABIS LIAT INI GW MAU MARATHON NONTON SKRG JUGA!!!!!!!! https://t.co/POwymWhXqY,0,0
susheetrashh,2020-06-16 12:41:16,habis pilek terbitlah batuk,0,0
susheetrashh,2020-06-16 07:49:57,@ajarocokk drpd gw pilih pks,0,0
susheetrashh,2020-06-16 07:38:35,lucu ya https://t.co/sFMwfc6FUJ,0,0
susheetrashh,2020-06-13 10:12:21,baru kepikiran,0,0
susheetrashh,2020-06-13 10:11:58,bsk udh mulai gereja nanti kalo ditembak termometer trs tinggi masa pulang lagi?!?!??????????,0,0
susheetrashh,2020-06-13 10:02:17,episode 7 lgsg syg sm jungpal https://t.co/V1vjoQcPIf,0,0
susheetrashh,2020-06-13 09:48:21,lagi ah biar jd thread,0,0
susheetrashh,2020-06-13 09:47:49,gajelas lu curhat sendiri jawab sendiri,0,0
susheetrashh,2020-06-13 09:45:37,gpp x y ywd cus,0,0
susheetrashh,2020-06-13 09:45:19,knp pas uda janjian main ke jkt sm roksen w malah sakit w kan pgn ketemuuuuuu🤧,0,0
susheetrashh,2020-06-12 13:17:17,idung w lg lockdown kali y pegel tauk nafas dr mulut,0,0
susheetrashh,2020-06-12 06:44:49,sakit jd sedih,0,1
susheetrashh,2020-06-07 18:11:29,one person followed me // automatically checked by https://t.co/IQZ6ndhabe,0,0
susheetrashh,2020-06-03 07:19:38,@staybeuntin ih knp sih km bun,0,0
susheetrashh,2020-06-03 07:07:09,semoga keterima,0,1
susheetrashh,2020-06-01 22:56:23,one person followed me // automatically checked by https://t.co/IQZ6ndhabe,0,0
susheetrashh,2020-05-29 20:25:21,one person unfollowed me // automatically checked by https://t.co/IQZ6ndhabe,0,0
susheetrashh,2020-05-20 18:22:34,one person followed me // automatically checked by https://t.co/IQZ6ndhabe,0,0
