username,created_at,text,retweet,favorite
v3isvthree,2020-07-04 13:29:07,@Idrus28 Merokok?,0,0
v3isvthree,2020-07-04 13:22:25,@DukeCondet 😅😅,0,0
v3isvthree,2020-07-04 13:18:29,@DukeCondet Apa hubungannya ma jomblo yee 😏,0,0
v3isvthree,2020-07-03 15:30:39,"Dah ngantuk dikirimin video.bantah2an dulu, disuruh liat.pas liat eh video lagu Arti Cinta-nya Ari Lasso 😍",0,0
v3isvthree,2020-07-03 10:25:08,@RinduIstiqomah Aamiin ya Rabb 🤲,0,0
v3isvthree,2020-07-03 09:50:28,@Adhit_1909 Hahaha lagu kesukaanku tuh..bitter sweet symphony 🤭,0,0
v3isvthree,2020-07-01 04:05:54,@nowymycat Bagus deh MUA-nya 😁😅,0,0
v3isvthree,2020-06-30 12:54:11,"Dikirimin skrinsut potongan berita media lokal, si empunya jabatan baru.berdoa smg beliau amanah dgn jabatan tsb.😇",0,0
v3isvthree,2020-06-30 01:15:21,"@Quvvatt Lah iya, harusnya ajudan or staff ato kadis-nya hubungi dulu pihak RS, kl mo ada kunjungan.ato tlp Dirutnya via ajudan.gk hrs pake marah2 n sujud2 gt.gk pantes bgt 😩",0,0
v3isvthree,2020-06-29 14:10:21,Baru juga senang2nya kamu ada disini..eh dah mo pulkam ajah.sedih akutuu...,0,0
v3isvthree,2020-06-28 15:22:12,@GundiDr Kebalik ntar tuh statementnya,0,0
v3isvthree,2020-06-28 13:54:24,@dr_koko28 Masih kayak gitu dok,0,1
v3isvthree,2020-06-28 10:01:55,"Td puter musik se album..dah dekat magrib putar tausiyah.gimana inih tetangga, masjid dah tarhim 😖",0,0
v3isvthree,2020-06-28 09:42:55,Tenyata banyak buku yang dibeli tapi gak selesai bacanya 😩,0,0
v3isvthree,2020-06-28 02:40:26,Rossa pun sejak tadi pagi konser di rumah tetangga 😊,0,0
v3isvthree,2020-06-27 14:35:19,@ocee_me08 Tanah sengketa,0,0
v3isvthree,2020-06-27 14:06:33,@ayahnyafaris_id Assalamualaikum cowok soleh n ganteng 😍,0,0
v3isvthree,2020-06-27 12:33:57,@salima252 @vierda Enyaaakkk 🤤🤤,0,0
v3isvthree,2020-06-27 11:27:37,@xopch @tubirfess BJ Habibie..anak2nya jg pinter,0,0
v3isvthree,2020-06-27 11:12:21,"@salima252 @vierda Beuuh goreng or bakar, panas2 makannya pake sambal.nambah deh 🤤🤤",0,0
v3isvthree,2020-06-26 16:27:07,Pengen ngemil nasgor,0,0
v3isvthree,2020-06-26 10:52:37,@ferdiriva Alhandulillah..selalu pake.malah bawa cadangannya kalo ke kantor.,0,0
v3isvthree,2020-06-26 04:22:14,@angkvgadang But kdg langsung jg sih masuk mulut 🤭😅 tergantung mood,0,0
v3isvthree,2020-06-26 04:16:18,@angkvgadang Ke tangaaann,0,0
v3isvthree,2020-06-26 02:54:09,Sehabis sarapan buryam..masih ada cemilannya 😍 https://t.co/NIUbTsXGQl,0,0
v3isvthree,2020-06-26 02:52:23,Senam pagi perdana setelah 3 bulan off...alhamdulillah cuaca mendung dingin.nda bisa liat camera 🤭 https://t.co/939GUw3dwK,0,0
v3isvthree,2020-06-25 14:21:43,Cerita basi kok bs muncul lg? Kapan wawancara ma ex mertuanya? Org udah bahagia ma pasangan masing2 jg 😏 judul berita bombastis bgt https://t.co/iEaFfG0dN5,0,0
v3isvthree,2020-06-25 13:20:04,Ya Allah napa tu kue kering putri salju enakkkk bgt...lumerrr di mulut 😍 duh dah mo habis pula...😩,0,0
v3isvthree,2020-06-25 07:37:27,@DukeCondet @ASUS @ASUS_Indonesia Msh ada ya produk hp asus?,0,0
v3isvthree,2020-06-25 07:32:57,@DukeCondet @ASUS @ASUS_Indonesia Beeuhh dia juga pake 😜😁😂,0,0
v3isvthree,2020-06-25 07:14:08,@andi_achilles 😅😂,0,1
v3isvthree,2020-06-25 07:13:42,Matahari lagi baik2 padaku 😊 https://t.co/smwUtBBA9T,0,1
v3isvthree,2020-06-25 07:12:23,@andi_achilles Iya gelas kosong 🤣,0,0
v3isvthree,2020-06-25 07:10:05,@andi_achilles Ntuh 😜 https://t.co/3ypPRb3ka8,0,1
v3isvthree,2020-06-25 07:08:28,@DukeCondet @ASUS @ASUS_Indonesia Punyaaaa kantor..minjam doang 😏 bagusan pake apa dong? 🤭,0,0
v3isvthree,2020-06-25 07:05:23,"Enak juga duduk di teras ginih, alhamdulillah matahari lagi berbaik hati gak panas2 bingitss https://t.co/nSu3FOeNN4",0,0
v3isvthree,2020-06-24 14:28:49,@Ndon_isBack Sangat 😁,0,0
v3isvthree,2020-06-24 14:28:01,@Ndon_isBack I dont wanna miss a thing,0,0
v3isvthree,2020-06-24 14:22:15,Sehabis ngobrol ma beliau..lama juga ya.ngobrol sampe ke masalah cebong n si kodok 🤣,0,0
v3isvthree,2020-06-24 12:58:52,Bawalah power bank...pelajaran malam ini 😏,0,0
v3isvthree,2020-06-23 13:00:44,"Mo jg bantu2 sodara yg nawar2in jualannya, but saldo menipis 😅 doain aja pd laris dagangannya 😌🤲 ya Allah napa makin hari sprti makin susah hidup di negeri ini",0,0
v3isvthree,2020-06-23 03:56:10,"Vicon hari kelima, ditemani benda2 penting ini 😊 https://t.co/Db9BWFK1Pg",0,0
v3isvthree,2020-06-22 13:31:41,@vierda 😷😷,0,0
v3isvthree,2020-06-22 13:30:54,@vierda Jiaaahhh..gk bs ngintip 😂,0,0
v3isvthree,2020-06-22 13:30:41,@vierda Maha benar netijen dgn segala pemujaannya 😂,0,0
v3isvthree,2020-06-22 13:30:02,@vierda Lah gk bs buka akun imad,0,0
v3isvthree,2020-06-22 04:45:49,@RockersPantura @berlianidris @Penol86 @Pringgondanies @I_Am_Selvi Aamiin ya Rabbal aalaamiin,0,1
v3isvthree,2020-06-20 12:40:29,"Deuuh ni anak bikin tersinggung, kursi yg di duduki disemprot2i desinfektan.kursi yg biasa dia duduki harus steril.",0,0
v3isvthree,2020-06-20 11:59:16,"Alhamdulillah, pasien covid yg kabur dr RS itu dah ditemukan n dipulangkan lg ke RS tuk dirawat.hawassss leaaaa...",0,0
v3isvthree,2020-06-20 11:16:20,@ngopibrey @republikaonline Pingsan kayaknya,0,0
v3isvthree,2020-06-20 11:09:09,"@IlhamNuerr @mas__piyuuu Iya, gk guna jg aib orang disebar gitu 😌",0,1
v3isvthree,2020-06-20 05:22:50,@vierda Pegangan mba kalo bingung 😅,0,0
v3isvthree,2020-06-20 03:11:07,@dirgarambe Iya dok.ortunya yg bosan d rmh,0,0
v3isvthree,2020-06-20 02:04:13,Sabtu gini standby di hp ma laptop.ini orang pusat yg kurker ato bosku yg lemot tinjut surat pusat? 😖😠,0,0
v3isvthree,2020-06-19 10:59:45,"Lebarannya jadinya keliling ke rumah2 keluarganya, yg biasanya susah keliling, nerima tamu doang di rujab. Alhamdulillah semua ada hikmahnya. https://t.co/ZbBilsfmTZ",0,0
v3isvthree,2020-06-19 08:43:56,@T6H007 Akun yg lewat 😂 kebaca.emangnya ada bapak2 yg modusin emak2 kah disini? 😜,0,1
v3isvthree,2020-06-19 08:31:02,"Duh dibilang banyak ibuk2 gatal di medsos sini, ngeri bahasanya..😏",0,0
v3isvthree,2020-06-19 08:19:16,"@RockersPantura Hahaha masih masa2 seram, blom byk yg beraktifitas lg, msh parno keluar malam hari 🤭 penjual makanan jg blom byk",0,0
v3isvthree,2020-06-18 21:57:09,"@RockersPantura Barakallah fiikum,bang.😇😊 jadi pengen makan martabak 😁🤭",1,0
v3isvthree,2020-06-18 10:09:55,"Prestasi bener inih makan coklat silverqueen langsung abis dlm bbrp menit, biasanya sepotong doang trus simpan di kulkas berhari2 sampe ponakan yg abisin 😝",0,0
v3isvthree,2020-06-18 02:51:11,"Vicon ma guru2, krn susah listrik n signal, guru2nya kumpul di satu lab.sekolah.begitu listrik padam di wilayah sekolah tsb, sebagian peserta hilang dr layar 😂 tinggal 1 peserta sj.narsum msh ngomong, panitia di balik layar dah ketawa2 😅",0,0
v3isvthree,2020-06-17 13:56:55,@angkvgadang Demo masak,1,0
v3isvthree,2020-06-17 13:48:15,"@DukeCondet Kalo suaminya pelit? Baru tau aku, spupuku cerita suaminya pelit, ma istri pelit, tp jajanin tmn2nya bisa.",0,0
v3isvthree,2020-06-17 13:35:17,"@salima252 @pchxo Suaramu enak di dengar, dek.aku dgr suara sendiri aja takut 😅",0,1
v3isvthree,2020-06-16 22:38:35,@dr_koko28 Kasian pramugarinya kl gk pake Masker,0,1
v3isvthree,2020-06-16 14:36:13,@RockersPantura Aku kalah cantik neh 😁😜,0,0
v3isvthree,2020-06-16 13:08:02,Lama2 muak liat TL 😩,0,1
v3isvthree,2020-06-16 13:06:41,"@dr_koko28 Setauku kalo ada nama Andi di depannya, di sulsel ya, emang turunan bangsawan",0,1
v3isvthree,2020-06-16 12:59:38,@dr_koko28 Salamaki' dok 😊🙏,0,1
