username,created_at,text,retweet,favorite
yovimelan,2020-07-03 17:07:54,one person followed me // automatically checked by https://t.co/uVxclkoPY4,0,0
yovimelan,2020-06-22 02:34:05,Happy Birthday oppa😘😘😘 God bless u🌹 22.06.20 #LeeMinHo #leeminho_이민호 #leeminhoday https://t.co/F8PtQUom6A,0,1
yovimelan,2020-06-12 13:24:52,I hope Lee Gon and Jung Tae Eul have a happy ending while saving both two worlds🌹 and hoping to for season 2 yuhuuuuuu~~ #TheKingEternalMonarch #TheKingEternalMonarchFinale https://t.co/3LTt7WnHJ4,1,2
yovimelan,2020-06-05 17:26:07,"Dia yg menyelamatkan, Dia yg diselamatkan, Dia yg main drama, Dia yg nyari diri sendiri, dan Dia pula yg nonton diri sendiri.. Ahahaaa dan, kita yg dibikin pusing nebak sana sini sama dramanya😭😭😭😭😭 #TheKingEternalMonarchep #TheKingEternalMonarchep13 https://t.co/ZiT5bI0TON",0,2
yovimelan,2020-06-05 17:10:04,Seriously you're Amazing mrs. Kim Eun Suk https://t.co/bcrB5XOFrG,0,2
yovimelan,2020-06-03 22:05:02,one person followed me and one person unfollowed me // automatically checked by https://t.co/uVxclkoPY4,0,0
yovimelan,2020-05-31 22:54:39,one person followed me // automatically checked by https://t.co/uVxclkoPY4,0,0
yovimelan,2020-05-29 15:26:52,"Yeong and Eun Sup, i say thank you so much for you're always pheyaa beside thank too for always protect and loved him everywhere everyminutes everysecond and everythime😘😘😘 oooo everytime i see you geundae nuneul bol ttaemyeon🌹🌹🌹🌹 Waiting eps 13-14 yuhuuuu https://t.co/zdsBNBeCbz",0,0
yovimelan,2020-05-29 11:03:37,Give me your heart please~ https://t.co/vFRZg9sIOc,0,2
yovimelan,2020-05-29 10:38:42,"""just thinking"" https://t.co/rNVTzJhZMr",0,1
yovimelan,2020-05-28 03:59:51,Thank you so much Team drama #TheKingEternalMonarch Pheyaaa i can't waiting next eps this week... Uuuuuuuu https://t.co/sl6lqjVoIU,1,4
yovimelan,2020-05-27 06:55:07,"tinggal di rumah dengan uang tunai gratis, membaca berita, membuat penawaran, menghasilkan uang. Penarikan tunai harian! Masukkan kode undangan saya: 10414925, Anda akan segera mendapatkan 8000 koin! Klik tautan di bawah untuk mengunduh Gratis: https://t.co/xixqnQCw2l",0,0
yovimelan,2020-05-27 06:25:24,@kdrama_menfess Urii oppa,0,0
yovimelan,2020-05-27 06:24:28,@sachalovely Nitip juga😍😍 Chaspop : hellomelan Chaszine : 10353916,0,0
yovimelan,2020-05-27 05:34:19,@sachalovely Nitip cashzine : 10414925,0,0
yovimelan,2020-05-25 12:14:33,Saengillchuka hamnida dongseng😘 wish u all the best.. May Allah alway blessing u. Barakallahu fii umrik🌹 https://t.co/GjWMOhTHvB,0,1
yovimelan,2020-05-23 15:02:42,Selamat Hari Raya Idul Fitri 1441H dan mohon maaf lahir dan batin🙏 #iedmubarak #IdulFitri #IdulFitri1441H https://t.co/rKLifC8noE,0,2
yovimelan,2020-05-23 11:35:50,@dayatpiliang Aamiin paling seriussss....,0,0
yovimelan,2020-05-22 21:25:24,one person unfollowed me // automatically checked by https://t.co/uVxclkoPY4,0,0
yovimelan,2020-05-22 14:39:34,June 22 1987 . Bucin bgt sama bang leemin😍,0,1
yovimelan,2020-05-22 14:31:45,@kdrama_menfess Kalo misalnya jadiii gpp oppa sama Kim Go Eun... Abis kelar drama The King Eternal Monach kalian langsung menikah didunia nyata oke ahahha gemashhhhh😍😍😍,0,0
