username,created_at,text,retweet,favorite
yuriiikaaq,2020-07-05 16:20:47,"@z_rryaa Iyaa sama-sama, semangat yaa!!",0,0
yuriiikaaq,2020-07-05 14:05:03,"YA ALLAH MAAF YA KEPOTONG, INI LANJUTANNYA, OKEEE? https://t.co/3lkcLd4CLJ Ternyata kurang jelas yah:"") minta maaf sekali lagi duh gaenaak:( Ini aku tambahin penjelasan KALIMAT EFEKTIF yah! Semoga membantu:))",0,0
yuriiikaaq,2020-07-05 14:03:28,"Nyoba bahas di live yaa, maaf kalau nanti masih gimana²😭 https://t.co/xZnxZrPr3m Silahkaaan diliaat yaa maaaf kalau suaranya ngegass, aku lagi mencoba semangat😆",0,0
yuriiikaaq,2020-07-05 14:02:03,31. B 32. D 33. C 34. B 35. D 36. B 37. A 38. B 39. C 40. C 41. D 42. C 43. B 44. B PENJELASAN LENGKAP ADA DI LIVE AKU YA! Nanti aku ksh tau link nya okee? Makasih sekali lagi maaf jika msh ada kekurangan. SEMOGA KALIAN LOLOS SBMPTN 2020 YA! AAMIIN. SALAM SUKSES!,0,0
yuriiikaaq,2020-07-05 14:02:03,"Ini kunci jawabannya yaaa 1. C 2. C 3. C 4. NAH EMPAT INI KITA BONUS YAH! HARUSNYA ""suku Nias"" ""s"" nya harus KECIL. Maaaf yaah😭🙏🏻 5. A 6. C 7. D 8. C 9. A 10. A 11. A 12. B 13. B 14. A 15. A 16. C 17. A 18. A 19. A 20. D 21. A 22. A 23. B 24. D 25. B 26. A 27. A 28. A 29. A 30 A",0,0
yuriiikaaq,2020-07-05 13:39:01,"YA ALLAH MAAF YA KEPOTONG, INI LANJUTANNYA, OKEEE? https://t.co/3lkcLd4CLJ",0,0
yuriiikaaq,2020-07-05 13:36:52,"DEH ADA TELFON DARI MBAKKU TADI JADI KEPOTONGGG, MAAP² WKWKWKWK LANJUT YAH!",0,0
yuriiikaaq,2020-07-05 12:57:09,"Nyoba bahas di live yaa, maaf kalau nanti masih gimana²😭 https://t.co/xZnxZrPr3m",0,0
yuriiikaaq,2020-07-05 05:29:53,"@asomad49 IMIN ADUH MAAF YA ARA NANGIS. Makasih banyaak, iyaa ini mau log out twitter dulu, nanti malem balik lagi buat bahas kuis pbm. Jangan lupa ikut jawab kuis pbm ku ya! Semangat Min!",0,0
yuriiikaaq,2020-07-05 05:27:46,"Tadi nangis, adikku masih SD langsung duduk di samping sambil ""pukpuk"" kin aku :) ""Mbak, jangan nangis. Berdoa aja semoga bisa, itu 'kan kata orang ..."" Cengeng banget asli. DEH INI BENERAN AKU DEMAM ASTAGA. Ya Allah jangan mikirin review utbk ...",0,0
yuriiikaaq,2020-07-05 05:21:01,Tolong ini TL ku kenapa isinya review utbk semua? Dimana ITU BIKIN MAKIN DOWN YA RABB GATAU AKU GABISA NANGIS SAMSEK LANGSUNG DEMAM YA ALLAH KAGET😭 oke nanti malam aku balik lagi buat bahas kuis pbm ya! Ga tenang jadinya buka twitter:)),0,0
yuriiikaaq,2020-07-05 05:11:09,"@soalhots Nanti aku coba jelasin yaaah, makasihh udah ditelitiin :))))",0,0
yuriiikaaq,2020-07-04 18:46:38,"Ayooo! Aku kasih soal PBM dari catatan Ruangguru dan Kak Fauzan, coba dikerjakan ya! Keburu abis vote nya :(( batasannya sampai malam ini ya! Engga banyak sih, malah kurang menurutku karena dah bosen ngetiknya😭 selamat mengerjakan! Dan selamat berjuang!!!",0,0
yuriiikaaq,2020-07-04 14:00:28,"https://t.co/4ACT8dMs5T Ini yaah lanjutannya😭 adih aku bingung cara gabunginnya, maapp",0,0
yuriiikaaq,2020-07-04 13:59:04,"Kunci jawaban Insya Allah akan di upload besok malam ya! (Tanggal 5) ingetin aku ajaa. Ini aku berdoa smoga gaada yg salah soal sama jawabannya, yaa huhu. Sukses yah kalian!! Smoga bisa lolos sbmptn 2020 AAMIIN. Aku tungguuu kabarnya yaa!! 😊",0,2
yuriiikaaq,2020-07-04 13:59:03,"44. KALIMAT EFEKTIF (Ini terakhir yaaa) Saat pembelajaran, kegiatan murid adalah mendengar penjelasan guru, memperhatikan dengan baik, dan pembuatan rangkuman Apakah kalimat di atas sudah efektif??",0,0
