term,weight
absentia,0.017
ada,0.035
adil,0.017
admin,0.017
ads,0.017
agar,0.017
air,0.017
aju,0.017
akan,0.017
akhir,0.017
akses,0.017
akun,0.017
alam,0.035
alamat,0.017
alang,0.017
alas,0.017
aman,0.017
ambil,0.052
ampun,0.017
an,0.035
anak,0.035
anda,0.087
anu,0.017
anyar,0.035
apa,0.052
apale,0.017
aplikasi,0.052
atas,0.017
atau,0.017
atm,0.017
ayo,0.122
bab,0.017
bacem,0.017
bagaimana,0.017
bagus,0.017
baju,0.017
bakar,0.017
bakule,0.017
bambang,0.017
bangsa,0.017
bangunane,0.017
bapak,0.017
bareng,0.017
batang,0.017
batin,0.017
bawa,0.035
bayar,0.052
bebas,0.017
begitu,0.052
beli,0.017
beliau,0.017
ben,0.017
benjut,0.017
berapa,0.017
berita,0.017
berkah,0.017
biasa,0.017
biasae,0.017
bicara,0.017
bina,0.017
bingung,0.017
bintang,0.035
bir,0.017
blacklist,0.017
blindspot,0.017
bodoh,0.017
bol,0.017
bot,0.017
bri,0.017
bts,0.017
buah,0.017
budos,0.035
buka,0.087
bukan,0.017
bukti,0.035
bungalo,0.017
buruh,0.017
byr,0.035
cak,0.017
camat,0.017
catat,0.017
cawapres,0.017
cc,0.07
cemil,0.017
cepat,0.017
coba,0.035
culik,0.017
cuma,0.017
curang,0.035
curiga,0.017
daerah,0.017
dalam,0.035
dangdut,0.017
dapat,0.017
data,0.017
demi,0.017
demokrasi,0.017
depan,0.017
desa,0.017
di,0.052
dilemparin,0.017
dino,0.017
dipikirin,0.017
direspon,0.017
diri,0.035
dj,0.017
dong,0.017
dor,0.017
doraemon,0.017
duar,0.017
dudu,0.017
dulu,0.017
durung,0.017
duta,0.017
educaton,0.017
eks,0.017
email,0.017
embert,0.017
emyu,0.017
eno,0.017
entar,0.017
es,0.017
foto,0.035
gaduh,0.017
gagagag,0.017
gagal,0.035
gaji,0.017
gang,0.017
ganti,0.07
gapura,0.017
gara,0.017
garuk,0.017
genit,0.017
geser,0.07
glodak,0.017
gol,0.035
gugugu,0.017
gugugug,0.017
habis,0.052
hai,0.017
halah,0.017
hanya,0.017
hanyut,0.017
hapene,0.017
harga,0.017
hari,0.017
harum,0.017
harus,0.017
hati,0.017
helm,0.017
henti,0.017
hijau,0.035
hitung,0.017
hormat,0.035
huhuhuh,0.017
hujan,0.035
hus,0.035
ibu,0.157
idola,0.017
ihiks,0.017
iku,0.017
ikut,0.017
indah,0.017
indonesia,0.035
ingat,0.017
ini,0.157
isabela,0.017
isin,0.017
islam,0.017
iso,0.017
itu,0.052
iv,0.017
iya,0.017
izrael,0.017
jadi,0.017
jajah,0.017
jalur,0.017
jambu,0.017
jampi,0.017
jarang,0.017
jawab,0.017
jebak,0.017
jisamsoe,0.017
jobdesc,0.017
jombang,0.017
jp,0.139
jt,0.017
jual,0.035
jujur,0.017
kabor,0.017
kado,0.017
kakehan,0.017
kalau,0.104
kan,0.035
kantor,0.017
kasi,0.017
kasir,0.017
kasta,0.035
kb,0.017
ke,0.052
kemarin,0.017
kena,0.017
kenapa,0.052
kendur,0.017
kent,0.017
ketawa,0.017
ketinggalan,0.017
khilafah,0.017
kilogram,0.017
kiri,0.017
kirim,0.035
kiro,0.017
klik,0.035
kn,0.035
kolor,0.017
kompleks,0.017
konco,0.017
konfirmasi,0.035
kono,0.017
korban,0.017
korea,0.017
koyok,0.035
kpu,0.017
kucing,0.017
kulak,0.017
kulkas,0.017
kuminiz,0.017
kun,0.017
kuota,0.017
lah,0.017
laki,0.348
lampune,0.017
langsung,0.104
lanjutanya,0.017
lantai,0.052
lebih,0.035
lebokno,0.017
legen,0.017
lha,0.017
lho,0.017
linting,0.017
loak,0.017
lok,0.017
luk,0.017
lumayan,0.017
maaf,0.052
makem,0.017
malah,0.017
malu,0.035
mana,0.035
manajer,0.017
manis,0.017
mantan,0.017
mantap,0.035
manusia,0.017
mari,0.017
masih,0.017
mati,0.035
mau,0.052
may,0.017
mbok,0.035
mburine,0.017
menang,0.017
mendung,0.017
mengangu,0.017
mengkeret,0.017
merk,0.017
minggu,0.017
miskin,0.017
misuh,0.017
mlaku,0.017
mnt,0.017
mobil,0.035
mode,0.017
modele,0.017
motor,0.017
nama,0.017
nang,0.087
nanti,0.017
nasional,0.017
ndelok,0.017
ndes,0.017
ne,0.017
nenek,0.017
nesu,0.017
netral,0.017
ngambil,0.017
ngintip,0.017
ngolek,0.017
ngunu,0.017
njaluk,0.035
njaluko,0.017
njalukrabi,0.017
njeblug,0.017
nomor,0.035
nonik,0.017
notif,0.07
numpak,0.017
nyala,0.017
nyamuk,0.017
nyantol,0.017
nyanyi,0.07
nyarter,0.017
nyata,0.017
nyawang,0.017
nyocot,0.017
oedipus,0.017
ojo,0.035
oke,0.017
old,0.035
oleh,0.017
oli,0.017
omahe,0.017
ono,0.052
ontel,0.017
orang,0.035
orkes,0.017
ovo,0.07
pagi,0.017
paham,0.017
pakai,0.052
paling,0.017
palsu,0.017
paman,0.017
pancal,0.017
pancet,0.017
panwaslu,0.017
parsel,0.017
pasar,0.017
pasir,0.017
pb,0.017
pcs,0.017
pemby,0.017
pepet,0.087
pergi,0.017
periksa,0.035
pesan,0.104
pesananan,0.017
pesawat,0.035
pilih,0.052
pimpin,0.017
pirang,0.017
pis,0.017
pk,0.017
ploso,0.017
podo,0.017
pojok,0.017
pokoke,0.017
porstex,0.017
presiden,0.035
pribadi,0.017
proses,0.017
puber,0.017
pulsa,0.017
rahun,0.017
raine,0.017
rakyat,0.017
ramai,0.017
rapat,0.017
redmi,0.052
rek,0.017
rekening,0.017
reportase,0.017
restart,0.017
ribu,0.052
ribut,0.017
rich,0.017
rindu,0.017
rokok,0.017
rombong,0.017
ros,0.017
rumah,0.017
sabar,0.052
sabtu,0.017
sah,0.017
saja,0.139
sak,0.017
sakit,0.017
salah,0.035
saling,0.017
sama,0.017
sampah,0.017
sampai,0.052
sampoern,0.017
sangu,0.017
sate,0.035
satpam,0.017
saudara,0.365
saya,0.122
segitiga,0.017
seks,0.017
