term,weight
acak,0.008
ada,0.048
adalah,0.008
adan,0.008
adeknya,0.016
ades,0.008
admin,0.024
agar,0.016
air,0.016
ajak,0.016
ajar,0.008
akan,0.016
akhir,0.016
akhlak,0.016
akun,0.008
akusih,0.008
aljabar,0.008
aloha,0.008
alumni,0.008
alur,0.008
aman,0.008
ambil,0.016
amidis,0.008
amin,0.008
anak,0.048
analisis,0.008
anda,0.024
andrea,0.008
aneh,0.008
angsur,0.008
angurin,0.008
anteng,0.008
antisosial,0.008
anyeonghaseyo,0.008
apa,0.095
apain,0.008
apaka,0.008
apas,0.016
arti,0.008
astaga,0.008
atau,0.008
awal,0.008
ayo,0.024
baca,0.024
bada,0.008
baduk,0.008
bagaimana,0.032
bagus,0.008
baik,0.024
bako,0.008
bakso,0.032
balas,0.071
balesnya,0.008
balik,0.016
balsem,0.008
balsemnya,0.008
balur,0.008
balut,0.008
bandung,0.008
bangga,0.008
banjir,0.008
banteng,0.008
bantu,0.016
banyak,0.016
bapak,0.04
bar,0.016
bareng,0.008
baru,0.016
batin,0.016
bawa,0.008
bawang,0.008
bayang,0.008
bayangin,0.008
bayar,0.016
beda,0.032
begini,0.016
begitu,0.095
belaga,0.008
belah,0.008
belakang,0.008
beli,0.048
belum,0.024
belut,0.008
belyna,0.008
benang,0.008
benar,0.095
benci,0.016
benowo,0.008
bentar,0.016
bentuk,0.008
beranda,0.008
beras,0.008
beri,0.008
berisik,0.008
berkah,0.008
besar,0.016
biadab,0.008
biarin,0.016
biarpun,0.008
biasa,0.008
bicara,0.032
bijak,0.008
bilang,0.032
bingung,0.008
bioskop,0.008
bisa,0.095
blabla,0.008
blokir,0.008
blokiranya,0.008
bo,0.016
bola,0.008
boleh,0.008
bom,0.024
botol,0.008
boyfie,0.008
brilian,0.008
buang,0.024
buat,0.071
bubuk,0.008
budaya,0.024
buka,0.024
bukan,0.008
bule,0.024
bulu,0.008
bumbuin,0.016
burung,0.008
buset,0.008
butuh,0.024
buyut,0.008
cabai,0.008
cakep,0.016
cakra,0.008
campur,0.008
canda,0.008
cara,0.008
cay,0.016
cemil,0.04
cepat,0.032
cerita,0.04
cewenya,0.008
chating,0.008
chatnya,0.008
cinta,0.016
cium,0.008
cjma,0.008
coba,0.008
congrats,0.008
corona,0.008
coveranya,0.008
cubanget,0.008
cubit,0.008
cuci,0.016
cuma,0.04
curhat,0.024
curiga,0.008
dada,0.008
daftar,0.04
daging,0.016
dalam,0.024
dapat,0.016
dapetin,0.008
darah,0.016
dari,0.016
dasar,0.008
datang,0.008
debat,0.008
deh,0.024
deng,0.008
dengan,0.008
dengar,0.016
deok,0.032
depa,0.024
deras,0.008
dewasa,0.008
di,0.032
dia,0.064
dialog,0.008
dichat,0.008
dicurhatin,0.016
didenger,0.008
digangu,0.008
digigitin,0.008
dijelasin,0.008
dikatain,0.016
dikit,0.008
diliatin,0.008
dimandin,0.008
dimarahin,0.008
dinda,0.008
dipangil,0.008
direstart,0.008
disalahin,0.008
disaranin,0.008
disautin,0.008
disi,0.008
diskusi,0.008
diskusin,0.008
disuport,0.008
ditanyain,0.008
ditempatin,0.008
doang,0.103
doesn,0.016
dokter,0.008
download,0.008
doyan,0.016
drama,0.048
dulu,0.024
dunia,0.008
eb,0.008
ega,0.008
eh,0.008
ekor,0.008
ekspetasi,0.008
elus,0.008
emaknya,0.008
emas,0.016
emoji,0.008
emosi,0.008
enak,0.016
episode,0.103
eror,0.008
favorit,0.008
fitri,0.024
foto,0.024
gaban,0.008
gabetah,0.008
gacocok,0.008
gaenak,0.008
galon,0.008
gambar,0.008
gandeng,0.008
gapenting,0.008
garagara,0.008
garela,0.008
gatal,0.032
gataulah,0.008
gaul,0.008
gausa,0.008
gaya,0.008
gelombang,0.008
gemas,0.032
gemesh,0.016
gempa,0.008
ghibah,0.008
gila,0.024
gilir,0.008
gils,0.008
gin,0.016
godtama,0.008
goreng,0.016
gores,0.008
gosip,0.008
gratis,0.008
grup,0.008
gusi,0.008
habis,0.032
hadiah,0.008
hadir,0.008
hai,0.024
halaman,0.008
halang,0.008
hampers,0.024
hancur,0.008
hangat,0.016
hanya,0.008
harga,0.008
hari,0.016
harus,0.056
hasil,0.008
hastagnya,0.008
hati,0.016
healingnya,0.016
hela,0.008
henti,0.008
hidup,0.032
hijau,0.008
hilang,0.008
himalaya,0.008
hina,0.016
hitung,0.016
hormat,0.008
hubung,0.008
hubunganya,0.008
hujan,0.008
humoris,0.008
hwa,0.016
hwan,0.008
ibu,0.048
idul,0.024
ik,0.008
ikhlas,0.008
ikuti,0.008
indonesia,0.008
ingetin,0.008
ingetnya,0.008
ingin,0.008
ini,0.04
instagram,0.008
instrumen,0.016
intan,0.008
inti,0.008
isi,0.008
istighfar,0.008
item,0.008
itu,0.087
itutuh,0.008
iya,0.024
jadi,0.04
jaksa,0.008
jalan,0.024
jam,0.04
jarang,0.008
jari,0.032
jaring,0.008
jauh,0.016
jawa,0.016
jelas,0.024
jeruk,0.008
jt,0.008
ju,0.024
jual,0.016
juga,0.032
jun,0.008
jung,0.008
kadang,0.008
kakek,0.008
kaki,0.008
kalau,0.23
kali,0.008
kalian,0.008
kamar,0.008
kan,0.016
kapal,0.008
kapan,0.008
kapok,0.008
karaoke,0.008
karena,0.071
kartu,0.016
karya,0.008
kasi,0.04
kasih,0.008
kasur,0.008
kata,0.008
ke,0.04
kecap,0.008
kecil,0.008
kecuali,0.008
kelanjutanya,0.008
kelapa,0.008
kelas,0.016
keluarga,0.016
kemeja,0.008
kemungkinanya,0.008
ken,0.04
kenang,0.008
kenapa,0.04
kenapasih,0.008
kenya,0.008
kepsek,0.008
keren,0.024
ketawa,0.008
ketemu,0.008
kewuh,0.008
khurafat,0.008
kilas,0.008
kim,0.008
kimbab,0.008
kira,0.008
kirana,0.008
klinis,0.016
kn,0.008
koma,0.016
komedian,0.008
komentar,0.032
komentarin,0.008
komplek,0.008
kon,0.008
kondisi,0.008
konsumsi,0.008
kontrol,0.008
korea,0.04
kos,0.008
kosnya,0.008
kosong,0.008
kriuk,0.016
kuasa,0.008
kuat,0.008
kucing,0.048
kuitung,0.008
kumpul,0.008
kunyah,0.008
kuping,0.016
kura,0.016
kurang,0.008
kusut,0.008
lagi,0.008
lagu,0.056
lahir,0.016
lain,0.032
laki,0.087
lama,0.008
lampir,0.008
lampiranya,0.008
lampu,0.008
langsung,0.016
lapar,0.008
lawan,0.008
layar,0.008
lebaran,0.016
lebay,0.024
lega,0.008
lelah,0.032
lewat,0.016
lho,0.008
liatin,0.008
lihat,0.064
lingkung,0.008
lipstik,0.008
literasi,0.008
logaritma,0.008
loh,0.008
lomba,0.008
lombok,0.008
lucu,0.008
lucuk,0.008
ludah,0.008
luka,0.008
lulus,0.024
lumpur,0.008
luthfi,0.008
maaf,0.04
macam,0.016
mak,0.008
makananya,0.008
makin,0.008
malah,0.016
malang,0.008
malas,0.024
malu,0.024
mamawik,0.008
mana,0.008
mandi,0.008
mandin,0.008
mangil,0.008
manis,0.008
mantan,0.024
mantengin,0.008
manusia,0.016
marah,0.008
masa,0.008
masih,0.008
masuk,0.016
matahari,0.04
matin,0.008
matkul,0.008
mau,0.071
max,0.016
mayoritas,0.008
mbanya,0.016
media,0.032
memang,0.079
memberi,0.008
menang,0.008
mendengarkan,0.016
menikah,0.008
meningalkan,0.008
menscup,0.008
mentah,0.008
mental,0.016
merah,0.008
mereka,0.024
mie,0.008
milik,0.008
mimpi,0.008
minat,0.008
minggu,0.016
minta,0.016
minum,0.024
minus,0.008
minyak,0.016
mirip,0.008
mit,0.008
mobil,0.008
model,0.008
mone,0.008
motor,0.008
muda,0.024
mudah,0.008
muka,0.016
mukena,0.008
mukulin,0.008
mulut,0.016
mumpung,0.008
mutiara,0.008
nada,0.008
nafas,0.008
nama,0.064
nang,0.024
nangung,0.008
nanti,0.008
napas,0.008
nasi,0.024
nemuin,0.008
nenek,0.024
neraka,0.008
ngadepin,0.008
ngajakin,0.008
ngaku,0.008
ngalamin,0.008
ngebesarinya,0.008
ngechat,0.016
ngehubungin,0.008
ngelabrak,0.008
ngelewatin,0.016
ngerayain,0.016
ngeremes,0.008
ngerusak,0.008
ngeshot,0.008
ngibas,0.008
ngingetin,0.008
ngobrol,0.008
ngomongnya,0.008
ngumpat,0.008
niat,0.008
nila,0.008
ningalin,0.008
nyala,0.008
nyantumin,0.008
nyarinya,0.008
nyata,0.024
nyolong,0.008
obat,0.016
odynya,0.008
oi,0.008
oiya,0.008
oke,0.008
olah,0.008
oleh,0.008
ooh,0.008
opa,0.008
opini,0.008
orang,0.103
orangtua,0.032
orangtuanya,0.008
ost,0.008
otak,0.008
otokowok,0.008
otomatis,0.016
pacar,0.04
pada,0.016
padang,0.008
pagi,0.008
paham,0.008
pakai,0.071
panas,0.008
pandemi,0.008
parah,0.016
pasang,0.032
pasti,0.008
pedo,0.008
pegang,0.008
pekerjan,0.008
pembuatanya,0.008
penasaran,0.008
pendek,0.008
pengirim,0.008
penting,0.008
penuh,0.008
percaya,0.008
periksa,0.016
pernah,0.016
persen,0.008
pesan,0.008
pikir,0.024
pilih,0.032
pintar,0.008
pio,0.008
piring,0.032
pisah,0.016
pisang,0.008
piyo,0.016
pocky,0.008
polos,0.008
pribadi,0.008
prisonya,0.008
promosi,0.008
proses,0.008
puasa,0.008
pulau,0.008
punya,0.032
putar,0.04
putih,0.008
putus,0.008
ra,0.008
rachel,0.008
ragu,0.008
rahasia,0.008
ramai,0.032
ranger,0.008
ranjau,0.008
rap,0.008
rapin,0.008
rasa,0.071
rayon,0.008
rayu,0.016
reda,0.008
rela,0.008
rem,0.008
rencana,0.008
rendah,0.008
replynya,0.008
repost,0.008
responsif,0.008
rezeki,0.008
rindu,0.008
robtama,0.008
rokok,0.016
rombong,0.008
roy,0.008
rsud,0.04
rugi,0.016
rumah,0.032
rutin,0.008
sabar,0.008
sadar,0.04
sahabat,0.008
saja,0.032
sakit,0.024
salah,0.064
sama,0.048
sambelnya,0.008
sampah,0.008
sampai,0.079
samping,0.008
sana,0.008
sanggup,0.008
sangmun,0.016
santai,0.008
saos,0.008
sapi,0.008
sarang,0.008
sarangeui,0.008
satu,0.008
saudara,0.151
sawi,0.008
saya,0.127
sayang,0.032
sebar,0.008
sebut,0.008
sedih,0.016
sekali,0.294
sekarang,0.04
sekian,0.008
sekitar,0.008
selesai,0.008
selingkuh,0.008
semangat,0.008
semoga,0.024
semua,0.008
sen,0.008
sendiri,0.008
sengaja,0.016
seperti,0.119
sepi,0.016
serah,0.024
sering,0.008
serius,0.008
sesak,0.008
sesal,0.008
sesat,0.008
setan,0.008
shayank,0.008
shin,0.008
sholat,0.008
si,0.008
sial,0.016
siap,0.008
sidang,0.008
sih,0.04
sik,0.008
silinder,0.008
sini,0.008
skripsi,0.008
soal,0.008
sok,0.008
sopan,0.008
sopia,0.008
sosial,0.032
soundtrack,0.016
spasi,0.016
streaming,0.008
suasana,0.008
sudah,0.206
sudzon,0.008
suka,0.056
suruh,0.04
surup,0.008
susah,0.008
sutradara,0.008
swasta,0.008
syirik,0.008
syukur,0.024
tabok,0.008
tabung,0.008
taek,0.016
tahan,0.008
tahu,0.064
tahun,0.024
takut,0.008
tamat,0.008
tamu,0.008
tanda,0.024
tangan,0.008
tanya,0.008
tapi,0.048
tarik,0.008
taruhanya,0.008
teh,0.008
telah,0.016
telepon,0.024
teman,0.056
temenya,0.008
tempat,0.04
temu,0.024
tengah,0.016
tentu,0.008
terbit,0.008
terimakasih,0.048
tes,0.008
tetap,0.024
tiba,0.016
tidak,0.627
tidur,0.024
tim,0.008
tingalnya,0.008
tinggal,0.024
tingkah,0.008
tingkatin,0.008
tk,0.008
toko,0.008
tolong,0.016
tonton,0.095
trigonometri,0.008
trilogi,0.008
tua,0.008
tuhan,0.032
tulis,0.008
tunggu,0.024
twom,0.024
typingnya,0.008
uang,0.016
ucapanya,0.008
ui,0.008
ujanya,0.008
ukur,0.008
ulang,0.016
umat,0.008
umbar,0.016
umur,0.024
undang,0.008
unsur,0.008
untuk,0.008
untung,0.008
usah,0.008
usahain,0.008
utama,0.008
uzi,0.016
wajar,0.008
wajib,0.008
waktu,0.048
wanita,0.008
warga,0.016
warna,0.048
websitenya,0.008
wo,0.008
ya,0.064
yak,0.016
yang,0.127
yasudah,0.008
yaudahlahya,0.008
yawda,0.008
yayasan,0.008
yogyakarta,0.016
zi,0.016
