term,weight
acak,0.01
ad,0.01
ada,0.019
adalah,0.01
agar,0.019
ajar,0.048
akhrny,0.01
akibat,0.01
akun,0.01
alamatny,0.01
alami,0.01
alis,0.029
amad,0.01
ambil,0.01
ambl,0.01
amin,0.038
an,0.01
anak,0.01
anda,0.219
aneh,0.01
apa,0.029
apani,0.01
apatu,0.01
aplg,0.01
arahin,0.01
asia,0.01
asli,0.01
asliny,0.01
atas,0.01
ayo,0.01
bagaimana,0.01
bagus,0.019
bahas,0.01
balas,0.019
bangun,0.019
bantu,0.038
banyak,0.048
bareng,0.01
baru,0.019
batasin,0.01
bayang,0.01
bayanganya,0.01
beda,0.01
begitu,0.057
bel,0.01
beli,0.01
belum,0.01
benar,0.038
biasa,0.01
bilang,0.01
bingkai,0.01
bisa,0.01
biyel,0.01
bljr,0.01
blkgny,0.01
blony,0.01
boboi,0.01
boleh,0.01
bolong,0.01
bom,0.01
bosan,0.01
braninya,0.01
brubah,0.01
buat,0.048
buka,0.019
bukan,0.01
bukti,0.01
buset,0.01
butuh,0.019
cakep,0.019
cantik,0.038
cara,0.01
cari,0.01
catat,0.01
celana,0.01
cemil,0.01
cepat,0.019
ceweny,0.01
chatin,0.01
cimol,0.01
cin,0.01
cipta,0.01
clouds,0.01
coba,0.019
cowony,0.01
cukur,0.019
cuma,0.048
curhat,0.01
cyintiul,0.01
da,0.019
dalam,0.01
damai,0.01
danila,0.01
dapat,0.029
dari,0.029
dela,0.01
dengar,0.01
desain,0.01
di,0.057
dia,0.019
didengerin,0.01
dik,0.01
dikirimin,0.01
dilike,0.01
dipedulin,0.01
diraguin,0.01
disuruh,0.01
dit,0.019
dita,0.019
dmny,0.01
doang,0.019
dosa,0.01
dulu,0.029
dum,0.019
edit,0.01
edward,0.01
eh,0.038
episode,0.019
festival,0.01
filo,0.01
foto,0.029
fris,0.076
fristy,0.029
frtisy,0.01
gabe,0.019
gatot,0.01
gbu,0.019
gemini,0.01
gila,0.01
gilir,0.01
goa,0.334
gratis,0.01
grup,0.01
habede,0.01
habis,0.01
hadir,0.01
haduh,0.01
hak,0.01
hal,0.01
harga,0.01
has,0.01
hasil,0.01
hayo,0.01
hel,0.01
henti,0.019
hidup,0.01
hoala,0.01
hoh,0.01
hubung,0.01
hugo,0.01
humoris,0.019
hy,0.01
ibu,0.029
ih,0.01
ikut,0.038
ikuti,0.019
imut,0.01
in,0.038
indah,0.019
ini,0.038
instagram,0.01
isi,0.01
istirahat,0.01
itu,0.124
iya,0.019
iyala,0.01
jadi,0.086
jaga,0.01
jahad,0.01
jam,0.01
jelei,0.01
jelek,0.01
jidatny,0.01
juga,0.029
kacaw,0.01
kadang,0.019
kalau,0.038
kampus,0.019
karena,0.067
karya,0.01
kasi,0.01
kasih,0.01
kawin,0.01
kecoa,0.01
kejadianya,0.01
kelly,0.01
kemarin,0.01
kena,0.01
kenapa,0.048
kepala,0.019
keren,0.019
kerent,0.01
kerja,0.019
ketemu,0.01
ketika,0.01
keuwuan,0.01
kewir,0.01
kewirausahan,0.01
kira,0.01
kli,0.029
kosong,0.029
ksr,0.01
ktm,0.01
kuase,0.01
kuliah,0.019
kuliahny,0.01
kulit,0.01
kupu,0.01
la,0.01
lagi,0.029
lagu,0.01
laki,0.019
landak,0.01
langgan,0.029
langsung,0.01
lanjut,0.01
lapak,0.01
lebah,0.01
lebay,0.01
lepas,0.01
li,0.01
lihat,0.057
linkny,0.01
lists,0.01
look,0.019
luar,0.01
lucu,0.01
lupa,0.01
magda,0.01
magdum,0.01
mahir,0.01
main,0.01
makas,0.219
makna,0.01
malah,0.01
malu,0.067
manany,0.01
maria,0.01
masak,0.01
masalah,0.01
mati,0.01
matkul,0.019
mau,0.038
may,0.038
maya,0.019
memang,0.01
menang,0.01
menit,0.01
milik,0.029
minum,0.01
misiony,0.01
