term,weight
aa,0.014
ada,0.042
adalah,0.014
ading,0.014
admin,0.014
aduh,0.014
agak,0.014
agar,0.014
air,0.014
ajar,0.014
aju,0.014
akhwan,0.014
aldo,0.014
ali,0.014
alif,0.014
alis,0.042
aman,0.028
ambe,0.028
ampo,0.014
amri,0.014
amuza,0.014
anda,0.113
andai,0.014
anjng,0.014
apa,0.099
apansih,0.014
apart,0.014
arab,0.014
arap,0.028
arturo,0.028
asa,0.014
asistensi,0.014
aslab,0.014
asli,0.099
asuw,0.014
atapers,0.014
ay,0.014
ayo,0.071
bagi,0.014
bagus,0.014
bahar,0.014
bahaya,0.014
baik,0.042
bajing,0.042
bakar,0.028
balas,0.014
banar,0.014
bancir,0.014
bandung,0.014
bang,0.014
bank,0.014
bareto,0.014
baru,0.014
basi,0.014
batin,0.014
bau,0.014
bawa,0.014
bayangno,0.014
bebek,0.014
begitu,0.028
bela,0.042
belum,0.014
bensin,0.014
berfikir,0.014
besok,0.014
betein,0.014
beter,0.014
beyond,0.014
bgl,0.014
biadab,0.042
bicara,0.014
binatang,0.014
bisa,0.085
blok,0.071
blonde,0.014
bodoh,0.028
boleh,0.014
bos,0.028
buat,0.014
buaya,0.014
bucks,0.014
bujur,0.014
buka,0.042
bukti,0.014
bulu,0.014
bungul,0.014
buru,0.014
cahaya,0.028
cakep,0.028
cara,0.028
cari,0.014
casela,0.014
cemil,0.014
cerita,0.014
ciao,0.071
cinta,0.056
cita,0.014
cok,0.113
congorna,0.014
corona,0.014
cukup,0.014
dan,0.113
dapat,0.042
dari,0.014
del,0.042
demenmotret,0.028
dengan,0.028
denver,0.014
der,0.014
di,0.071
dia,0.014
dian,0.014
dibandingno,0.014
dil,0.014
dim,0.014
diri,0.014
disney,0.014
doyan,0.014
dua,0.042
dungu,0.014
dunia,0.014
efektif,0.028
egois,0.014
es,0.014
faedah,0.014
fasa,0.014
fase,0.014
ferb,0.014
fiersa,0.014
fihaq,0.014
film,0.014
fitri,0.014
fucek,0.014
gadis,0.042
gairah,0.014
gajelas,0.014
gakenal,0.014
game,0.014
gandia,0.028
ganti,0.014
gawiakan,0.014
gaya,0.028
gejala,0.014
gelemotret,0.014
gertak,0.014
ghupron,0.014
gianis,0.014
gigi,0.028
gilang,0.014
gimna,0.014
gondrong,0.014
goreng,0.014
gosip,0.014
gta,0.014
habis,0.042
hai,0.028
hakun,0.014
hakunlah,0.014
hampir,0.014
han,0.014
hanya,0.014
hari,0.014
harus,0.014
hay,0.014
hebat,0.014
heist,0.014
henti,0.113
hidup,0.028
highschol,0.014
hilang,0.014
hingga,0.014
hiyahiyahiya,0.014
hoki,0.014
hv,0.014
ian,0.014
ibu,0.014
idul,0.014
ikamnya,0.014
ikat,0.014
iku,0.028
ikut,0.141
ikuti,0.113
ilham,0.014
in,0.028
indonesia,0.014
infinty,0.014
ini,0.183
