term,weight
abstrak,0.008
ada,0.054
admin,0.015
aduch,0.008
aduw,0.008
agar,0.039
ajak,0.015
ajani,0.008
ajar,0.039
akal,0.015
akan,0.008
akhir,0.015
akuarium,0.008
alayan,0.008
alfa,0.008
amin,0.031
ampun,0.023
an,0.015
anak,0.054
anda,0.1
angin,0.008
angkat,0.008
antam,0.008
anu,0.008
ap,0.008
apa,0.039
apalapal,0.008
apalu,0.008
apapa,0.008
api,0.008
aplod,0.008
ashar,0.008
asli,0.031
aslidah,0.008
atas,0.015
awet,0.008
ayam,0.023
ayo,0.046
baca,0.054
backsound,0.008
badan,0.008
bagaimana,0.039
bagas,0.015
bagus,0.015
bahaya,0.008
bahkan,0.008
baik,0.015
baju,0.008
bala,0.008
balik,0.008
banci,0.008
bandung,0.008
bang,0.008
bangun,0.015
banjir,0.039
bantu,0.008
banyak,0.008
bapak,0.046
bareng,0.023
baru,0.008
bawah,0.008
bawang,0.008
bayang,0.008
bayar,0.008
bayik,0.008
bcnd,0.008
beda,0.031
beginiheu,0.008
begitu,0.085
bekas,0.015
belanja,0.015
beli,0.008
belum,0.039
benang,0.008
benar,0.039
bentar,0.008
bentukanye,0.008
berat,0.008
bersih,0.023
besar,0.008
besok,0.008
betah,0.008
bgtko,0.008
bibier,0.008
bieber,0.008
bik,0.008
bim,0.062
bioskop,0.008
bisa,0.069
bisnis,0.008
bobok,0.008
bodoh,0.015
bok,0.015
bola,0.008
bolak,0.008
boleh,0.023
bolehtu,0.008
bom,0.015
bongkar,0.008
bonus,0.008
boong,0.008
bor,0.008
bosan,0.015
brewok,0.008
bromo,0.008
btul,0.023
buah,0.008
buat,0.085
budak,0.008
budhe,0.008
buka,0.008
buku,0.008
bulan,0.015
bupati,0.015
buru,0.008
butuh,0.015
ca,0.015
cabang,0.008
caca,0.015
cakep,0.008
cantik,0.008
cari,0.008
catat,0.008
cc,0.008
celaka,0.008
cem,0.008
cemil,0.023
cemilan,0.008
cepat,0.039
cerita,0.008
ch,0.008
chandra,0.008
chatmu,0.008
cibitung,0.015
cililitan,0.015
cinta,0.015
cirebon,0.008
ckck,0.008
coba,0.023
cocok,0.008
colabnya,0.008
coret,0.015
corona,0.015
cuma,0.008
cupang,0.015
cus,0.008
cuy,0.008
cv,0.008
daftar,0.008
dalam,0.023
dapat,0.008
darah,0.015
dari,0.015
daripada,0.008
datang,0.015
deh,0.008
dekat,0.008
dengan,0.008
dengkul,0.008
deras,0.008
des,0.008
desa,0.015
detik,0.008
di,0.069
dia,0.015
dijadin,0.008
dikenalin,0.008
dikumpulin,0.008
dilakuin,0.008
dilema,0.008
dilep,0.008
diliatin,0.008
dingin,0.008
dipangil,0.008
diri,0.008
disave,0.008
disemutin,0.023
disisain,0.008
ditambahin,0.008
diupload,0.008
doa,0.031
doang,0.031
donat,0.008
duduk,0.015
dulu,0.008
efek,0.008
eh,0.023
elah,0.008
emosi,0.008
enak,0.008
episode,0.015
evita,0.008
fanbase,0.008
fansnya,0.008
far,0.008
fenbes,0.008
foto,0.039
gabot,0.008
gadis,0.008
gaenak,0.008
gainget,0.008
galeri,0.008
gamao,0.008
gandeng,0.008
ganjil,0.008
ganti,0.015
gapake,0.008
gapal,0.008
gaperna,0.015
garagara,0.008
gas,0.023
gates,0.015
gausa,0.008
genteng,0.008
gentian,0.008
gerah,0.008
gerak,0.008
gila,0.015
gin,0.008
gm,0.008
goa,0.054
gofod,0.008
gokana,0.008
goler,0.015
grup,0.015
gtw,0.008
habis,0.046
hafal,0.008
haha,0.008
hai,0.023
haid,0.008
handuk,0.015
hanya,0.008
harga,0.008
harganye,0.008
hari,0.023
harus,0.023
harvestmon,0.008
hasil,0.008
hati,0.008
hemat,0.008
heran,0.008
hilang,0.008
hiya,0.008
hobi,0.008
hoho,0.015
hoo,0.015
hujan,0.015
hujat,0.008
humoris,0.039
ibu,0.069
idola,0.008
ijazah,0.008
ikan,0.015
ikut,0.008
in,0.008
inar,0.008
ingat,0.008
ingetnya,0.008
ingin,0.008
ini,0.1
inimah,0.008
inspirasi,0.015
iq,0.008
isi,0.008
item,0.008
itu,0.069
itungan,0.008
iya,0.092
jadi,0.069
jakarta,0.031
jaksel,0.008
jaktim,0.008
jalan,0.023
jalananya,0.008
jam,0.015
jaman,0.008
jamber,0.008
jamet,0.008
jangkrik,0.008
jarang,0.008
jastin,0.008
jatuh,0.008
jawa,0.008
jb,0.008
jco,0.008
jejer,0.015
jemur,0.008
jengukin,0.008
jijik,0.008
jodoh,0.008
jogging,0.015
jomblo,0.015
jompo,0.008
jual,0.023
judul,0.008
juga,0.085
jujur,0.008
jumlah,0.008
justin,0.008
kabar,0.008
kabul,0.008
kabur,0.015
kacau,0.008
kadang,0.046
kalau,0.177
kali,0.023
kalimas,0.008
kamera,0.008
kamis,0.008
kamo,0.008
kan,0.015
kandung,0.008
kanguru,0.008
kantor,0.023
kapa,0.008
karena,0.039
karma,0.008
kasi,0.008
kasih,0.008
kasitaw,0.008
kasur,0.008
kayak,0.023
ke,0.023
kecetit,0.008
kejut,0.008
kelas,0.008
kelelawar,0.008
keluar,0.008
keluarga,0.015
kemarin,0.031
kembang,0.008
kembar,0.008
ken,0.031
kena,0.008
kenang,0.008
kenapa,0.039
kendaran,0.008
kenya,0.008
kenyang,0.008
kepala,0.008
kepsyenmu,0.008
keranjang,0.008
keras,0.008
kereta,0.008
keringetan,0.008
kerja,0.008
kerudung,0.023
kesal,0.008
kesan,0.008
kesana,0.008
ketemu,0.039
ki,0.023
kilas,0.008
kim,0.008
kimia,0.008
kira,0.008
kiri,0.008
kirim,0.008
kita,0.046
kmn,0.008
knpya,0.008
kocakda,0.008
kode,0.008
kolam,0.008
komuknya,0.008
kopi,0.023
kosong,0.008
kota,0.008
krispi,0.008
kt,0.008
kuchat,0.008
kuda,0.008
kue,0.023
kuliah,0.008
kulo,0.008
kuping,0.008
kutuk,0.008
kyknya,0.015
lagi,0.046
lagu,0.008
lain,0.015
laki,0.046
lamar,0.015
lambat,0.008
lambung,0.008
lampir,0.008
langsung,0.023
lapang,0.008
lapo,0.008
laptop,0.008
larang,0.008
layang,0.015
lebaran,0.023
lelah,0.015
lepas,0.008
libur,0.008
licin,0.008
lihat,0.039
lolos,0.008
luar,0.008
lucuk,0.008
lulus,0.008
lupa,0.023
lupak,0.008
maghrib,0.008
main,0.008
maklum,0.008
malam,0.015
malang,0.008
malas,0.008
malin,0.008
mall,0.008
malu,0.015
mana,0.023
mandi,0.023
mantu,0.008
manusia,0.008
manyar,0.008
masa,0.008
masih,0.008
masjid,0.023
masuk,0.023
mata,0.008
mati,0.023
mau,0.062
mbah,0.008
mcd,0.015
mekah,0.023
memang,0.046
mempan,0.008
menikah,0.023
merah,0.008
mereka,0.008
mimpi,0.1
minat,0.008
minimal,0.008
minta,0.015
minum,0.008
misah,0.015
mniez,0.008
mual,0.015
mudik,0.008
muhamad,0.008
mukanye,0.008
muntah,0.015
murid,0.008
musim,0.008
mz,0.008
nabawi,0.008
nadhia,0.008
nama,0.039
nanti,0.008
nar,0.039
nawa,0.008
ndi,0.008
neh,0.008
nelongso,0.015
nensi,0.008
netizen,0.008
ngabisinya,0.008
ngapalin,0.008
ngebantu,0.008
ngedoain,0.008
ngehide,0.008
ngemil,0.008
ngemol,0.008
ngereview,0.008
ngerusakin,0.008
ngetag,0.008
ngetik,0.008
ngitung,0.008
nguawur,0.008
ngunci,0.008
ngunduh,0.008
ninis,0.008
nis,0.008
nov,0.008
ntah,0.008
nyaman,0.008
nyamper,0.008
nyanyi,0.008
nyasar,0.008
nyata,0.008
nyenya,0.008
nyetir,0.008
nyutnyutan,0.008
obrol,0.023
oiya,0.015
oke,0.008
olahraga,0.008
omaigat,0.008
omong,0.046
ondel,0.015
online,0.008
orang,0.031
otot,0.008
oya,0.008
pabrik,0.015
pacar,0.008
padahal,0.008
pagi,0.008
pahlawan,0.008
pakai,0.023
pakde,0.039
pamit,0.008
panadol,0.008
pandang,0.008
panggil,0.008
pangkal,0.008
panik,0.008
pantas,0.015
parsel,0.008
pasar,0.008
pasti,0.008
pedesan,0.008
pekerjaan,0.008
pelet,0.008
peluk,0.008
penasaran,0.008
penuh,0.008
perahu,0.008
perbarui,0.015
pergi,0.008
perna,0.008
pesan,0.015
peta,0.008
pikir,0.031
pindang,0.008
pinggang,0.008
pintar,0.008
pintu,0.008
pis,0.008
po,0.015
pol,0.008
pondok,0.008
pria,0.015
promosi,0.015
puding,0.008
pulang,0.077
pundak,0.008
punya,0.039
pusing,0.031
putih,0.008
radit,0.008
ramadhan,0.008
rasa,0.023
rawan,0.008
rel,0.008
rem,0.008
rendah,0.015
repot,0.015
rezeki,0.008
rian,0.008
rias,0.008
rief,0.008
rik,0.008
rindu,0.085
ruang,0.008
rul,0.008
rumah,0.092
saat,0.008
saham,0.015
saja,0.046
sakit,0.015
sala,0.015
salah,0.008
sama,0.077
sampah,0.008
sampai,0.162
samper,0.008
samsung,0.008
sapa,0.008
sas,0.015
saudara,0.123
saya,0.331
sayang,0.039
sblmnya,0.008
seafood,0.008
seatnya,0.008
sebentar,0.031
sebut,0.008
sedibgt,0.008
sedih,0.008
segar,0.008
sehat,0.008
sekali,0.077
sekarang,0.046
selamat,0.015
selesai,0.023
selese,0.008
semangat,0.008
sembuh,0.015
semoga,0.062
semua,0.023
sen,0.008
senang,0.039
senyam,0.008
senyum,0.015
seperti,0.062
sepi,0.008
sepupu,0.015
sepurane,0.008
serah,0.015
sheyeng,0.008
sholat,0.015
si,0.008
siang,0.008
siapa,0.008
sibuk,0.008
sik,0.015
sikat,0.008
singa,0.008
siyap,0.008
slah,0.015
smw,0.008
sonikator,0.008
sore,0.008
stasiun,0.008
status,0.008
suami,0.008
suara,0.008
suasana,0.008
sudah,0.123
sujud,0.008
suka,0.008
sumatra,0.008
sumpah,0.008
sungai,0.008
surabaya,0.015
surat,0.031
suruh,0.008
syarat,0.008
syukur,0.015
tadi,0.008
tahu,0.116
tahun,0.077
takjil,0.008
takot,0.008
takut,0.008
tampan,0.023
tampar,0.015
tampol,0.015
tamu,0.008
tanda,0.015
tangerang,0.008
tangis,0.008
tanjakanya,0.008
tanjung,0.031
tantang,0.008
tanya,0.015
tao,0.008
tapi,0.116
tarik,0.008
tawa,0.401
telat,0.015
telepon,0.008
teman,0.077
temenin,0.008
tempat,0.015
tempe,0.015
temu,0.008
tenan,0.008
tengah,0.008
terimakasih,0.031
terus,0.023
tetangga,0.008
tetap,0.008
threadnya,0.008
ti,0.039
tiap,0.031
tidak,0.509
tidur,0.062
tiket,0.008
timocan,0.008
titip,0.008
toko,0.015
tol,0.008
tolong,0.023
tonton,0.054
tor,0.054
torr,0.023
tory,0.015
transkrip,0.008
trims,0.008
tua,0.008
tubuh,0.015
tuhan,0.015
tukang,0.015
tunggu,0.008
tutup,0.015
twitter,0.008
uang,0.008
ude,0.008
