term,weight
abur,0.007
ada,0.045
adalah,0.12
addicted,0.007
admin,0.007
adududuh,0.007
afa,0.007
agung,0.007
ajadeh,0.007
ajak,0.007
ajar,0.015
aji,0.007
akal,0.007
akan,0.052
akhir,0.015
akn,0.007
akrab,0.007
alas,0.022
albert,0.007
alf,0.007
alih,0.007
allah,0.007
alma,0.045
although,0.007
ambil,0.045
ame,0.015
amin,0.037
an,0.037
anak,0.015
anda,0.344
angin,0.015
angkutan,0.007
any,0.007
apa,0.06
apatu,0.007
asep,0.007
asi,0.007
asik,0.007
atas,0.022
atau,0.022
atur,0.007
avenged,0.007
awal,0.007
ayo,0.037
bab,0.022
baca,0.075
bagaimana,0.06
bagus,0.015
bah,0.007
bahagia,0.007
bahaha,0.007
bahanya,0.007
bahas,0.007
bahasa,0.015
bahkan,0.007
bahwa,0.007
baik,0.037
balas,0.022
bangkit,0.022
bangku,0.007
banyak,0.015
barokah,0.007
baru,0.037
bawa,0.015
bebas,0.007
beda,0.022
begadang,0.007
begitu,0.052
belalang,0.007
beli,0.007
belum,0.03
benar,0.022
benda,0.007
bentar,0.007
berapa,0.037
beri,0.022
berkata,0.007
bermanfat,0.007
besok,0.03
biasa,0.015
bicara,0.022
bijaksana,0.007
bilang,0.007
bintang,0.03
bio,0.007
bisa,0.09
bismillah,0.007
blankon,0.007
bodoh,0.022
bohong,0.007
boong,0.007
bosan,0.037
breathe,0.007
brgkt,0.007
buat,0.06
buka,0.015
bukan,0.007
bukber,0.015
buku,0.045
buruk,0.007
butuh,0.03
cakar,0.007
cakupanya,0.007
called,0.007
capai,0.015
cara,0.015
cari,0.06
cause,0.007
celaka,0.022
cepat,0.015
cerita,0.022
chatingan,0.007
chatnya,0.007
cinta,0.03
cline,0.007
co,0.03
comes,0.007
congrats,0.007
cosplay,0.015
cring,0.007
cuma,0.022
cuti,0.007
dalam,0.007
dan,0.105
dapat,0.03
dari,0.06
dasi,0.007
datang,0.007
deh,0.022
dekat,0.007
dengan,0.03
dengar,0.007
