term,weight
ad,0.007
ada,0.073
adalah,0.02
adil,0.007
admin,0.007
agar,0.013
aidin,0.007
ajak,0.007
ajar,0.04
akan,0.007
akhir,0.026
aktif,0.013
al,0.013
aladin,0.007
alami,0.007
alas,0.007
alir,0.013
alokasi,0.007
amal,0.013
amatir,0.013
ambil,0.013
amin,0.013
ampoen,0.007
ampun,0.02
an,0.013
anak,0.079
anda,0.132
andalanya,0.007
aneh,0.02
angkat,0.007
anjur,0.013
apa,0.152
apartemen,0.013
apo,0.007
arah,0.007
arti,0.007
asli,0.013
astronomi,0.007
asyik,0.007
atas,0.007
atau,0.013
awam,0.007
ayah,0.007
ayat,0.013
ayo,0.053
baca,0.079
bagaimana,0.046
bagi,0.007
bagus,0.033
bahagia,0.033
bahan,0.013
bahas,0.026
bahaya,0.007
bahkan,0.007
baik,0.093
baju,0.007
bakso,0.013
balas,0.013
balek,0.007
ban,0.007
banding,0.013
bangga,0.007
bangsawan,0.007
bantu,0.013
banyak,0.04
bapak,0.007
baqarah,0.007
barakalahu,0.007
barang,0.007
bareng,0.007
baru,0.02
batalin,0.007
bathil,0.007
batu,0.007
bawa,0.007
bawain,0.007
bayang,0.013
bayar,0.013
beban,0.007
become,0.007
beda,0.046
begitchu,0.007
begitu,0.06
belakang,0.013
beli,0.026
beliau,0.007
belum,0.033
benang,0.013
benar,0.046
benci,0.007
bengkel,0.007
bentar,0.007
bentuk,0.02
beranda,0.02
berapa,0.007
berat,0.007
beri,0.007
berkah,0.007
berlanganan,0.007
bermanfat,0.007
bersosmed,0.007
besar,0.02
betul,0.007
betuls,0.007
biasa,0.007
biaya,0.007
biayain,0.007
bibit,0.007
bidadari,0.007
bijak,0.007
biji,0.007
bilang,0.04
biru,0.007
bisa,0.079
biso,0.013
blog,0.013
boleh,0.013
bongkar,0.007
boros,0.007
buang,0.007
buat,0.06
buka,0.007
bukan,0.007
bukti,0.007
buku,0.026
bullying,0.02
bumi,0.007
bunga,0.007
bunuh,0.007
buruk,0.007
ca,0.013
cak,0.007
campur,0.013
canda,0.007
cara,0.007
cari,0.007
cat,0.007
cela,0.007
celaka,0.013
celana,0.007
cemara,0.007
cemil,0.119
cenderung,0.007
ceo,0.007
cepat,0.007
cerita,0.033
cermat,0.007
cermin,0.007
coba,0.026
cocok,0.02
contoh,0.013
cubes,0.007
cuma,0.02
curhat,0.007
cuy,0.013
dadak,0.007
daging,0.02
dalam,0.007
dampak,0.007
dan,0.06
dapat,0.033
dar,0.007
darah,0.013
dari,0.046
dasar,0.013
datang,0.013
datar,0.007
daulat,0.007
daya,0.007
dek,0.007
dengan,0.046
dengar,0.02
depok,0.007
derai,0.007
desa,0.007
desinfektan,0.007
di,0.086
dia,0.06
diam,0.007
diasup,0.007
dibandingin,0.007
diceritain,0.007
didn,0.007
digeneralisir,0.007
dijabah,0.013
dikabarin,0.007
dikerjain,0.013
diketawain,0.007
dikirimin,0.007
dikit,0.007
dikorbanin,0.007
dilema,0.007
dimafin,0.007
dimano,0.007
dimarahin,0.007
diomongin,0.007
dipertangungjawabkan,0.007
diri,0.007
dit,0.007
doa,0.04
doang,0.007
dokter,0.033
dosa,0.007
dosen,0.007
dulu,0.007
dumhdururumdururum,0.007
dungs,0.007
dunia,0.007
durian,0.007
dusta,0.007
edgy,0.007
eh,0.007
emas,0.007
emot,0.007
eneg,0.007
entah,0.007
eoteoke,0.007
esok,0.007
euy,0.013
fa,0.007
faidzin,0.007
fans,0.026
fenomena,0.013
fi,0.013
foto,0.007
gadis,0.02
gaji,0.06
gantin,0.007
gara,0.007
gayung,0.007
geli,0.007
geonji,0.007
geuryeobon,0.007
gieogeun,0.007
gila,0.007
gilo,0.007
gin,0.026
gneiss,0.007
guru,0.007
gurun,0.007
habis,0.007
hadap,0.026
hadiah,0.007
hai,0.013
hal,0.02
halal,0.093
halang,0.007
hantu,0.007
hanya,0.02
haq,0.007
haram,0.04
harga,0.007
hari,0.013
harta,0.007
harus,0.026
has,0.007
hati,0.04
hemat,0.007
heran,0.02
heuheu,0.007
hidayah,0.007
hidup,0.04
hilang,0.007
hingga,0.007
hubung,0.02
hujat,0.007
ibu,0.013
ideal,0.007
ih,0.007
ikan,0.013
ikemen,0.007
ikhlas,0.033
iklan,0.007
ikut,0.013
ilfel,0.007
ilmiah,0.007
ilmu,0.013
imaji,0.007
in,0.02
indak,0.007
indonesia,0.007
ineun,0.007
influencer,0.007
ingat,0.02
ingin,0.007
ini,0.093
insan,0.007
inspirasi,0.02
insta,0.007
instagram,0.02
insya,0.007
inti,0.007
ipin,0.007
ipk,0.007
ireoke,0.007
iri,0.013
irit,0.007
istri,0.026
itu,0.126
iya,0.079
jadi,0.106
jadin,0.007
jadwal,0.007
jaga,0.013
jail,0.007
jakarta,0.02
jalan,0.007
jaleh,0.007
jam,0.013
jambi,0.013
jamil,0.007
jamin,0.013
janinhal,0.007
jantung,0.007
jarang,0.007
jasmani,0.007
jatohnya,0.007
jauh,0.007
jawab,0.026
jelasin,0.007
jenis,0.007
jeongmal,0.007
jeongyeon,0.007
jinja,0.007
jual,0.007
juang,0.007
juga,0.113
jugo,0.04
jujur,0.007
juluk,0.013
juri,0.007
justru,0.007
juta,0.007
jutan,0.007
kabar,0.013
kabul,0.007
kacang,0.007
kadang,0.026
kagum,0.007
kalah,0.007
kalau,0.218
kalian,0.007
kandung,0.007
karat,0.007
karena,0.053
karpet,0.007
kartun,0.007
kasih,0.033
kata,0.02
kawan,0.013
kayak,0.106
kayaknyo,0.007
ke,0.02
kebalikanya,0.026
kebun,0.007
keburu,0.007
kecuali,0.007
kedengaranya,0.007
kejut,0.026
kekeyi,0.007
keliar,0.007
kelola,0.007
keluar,0.007
keluarga,0.013
keluh,0.007
kemari,0.007
kemarin,0.007
kembali,0.007
kembang,0.007
kena,0.013
kenal,0.013
kenapa,0.033
kendara,0.007
kendaran,0.04
kepada,0.007
keras,0.007
kere,0.007
keren,0.026
kerja,0.013
kesal,0.007
kesana,0.007
ketika,0.007
khawatir,0.013
kira,0.007
kita,0.066
klaim,0.007
komentar,0.007
komik,0.007
kondisi,0.013
koneng,0.007
konstipasi,0.007
konsumsi,0.007
konten,0.007
kontrol,0.007
kopi,0.007
kos,0.02
kritik,0.013
kualitas,0.013
kuat,0.013
kudo,0.007
kue,0.007
kuliah,0.04
kurang,0.026
kutampol,0.007
kutip,0.007
la,0.007
lagi,0.033
lagu,0.013
laki,0.013
lakuin,0.007
lalai,0.007
lalu,0.007
lama,0.013
langkah,0.013
langsung,0.007
lapangnyo,0.007
lapis,0.007
laptop,0.007
larang,0.013
lari,0.033
latar,0.007
lawan,0.007
layak,0.007
layar,0.007
lebar,0.007
lebaran,0.007
lebih,0.033
lee,0.007
lekat,0.007
lembut,0.007
lewat,0.007
libas,0.007
lihat,0.046
lin,0.007
lindung,0.007
link,0.013
lirik,0.007
lom,0.007
lucu,0.007
ludes,0.007
lulus,0.007
lumayan,0.007
lupa,0.007
maaf,0.02
macam,0.013
mahal,0.013
maju,0.007
makhluk,0.007
makin,0.02
makonyo,0.007
maksimal,0.007
maksud,0.007
mal,0.007
malah,0.046
malam,0.02
malas,0.007
maleh,0.007
malu,0.02
mampu,0.013
mana,0.007
manchester,0.007
mandiri,0.007
manfaat,0.007
manfatnya,0.007
manis,0.007
mano,0.013
mantap,0.007
manteup,0.007
manusia,0.033
manusiawi,0.007
marah,0.013
martabak,0.007
masa,0.013
masih,0.02
masuk,0.033
materi,0.007
mau,0.026
mayan,0.007
mayuka,0.013
media,0.013
mekah,0.007
memanfatkan,0.007
memang,0.066
mempan,0.007
mempertangungjawabkan,0.007
memviralkan,0.007
menang,0.02
menarique,0.007
mendapatkanya,0.007
mengangu,0.007
mengasup,0.013
meningalkan,0.007
menit,0.007
menyingung,0.007
merah,0.007
mereka,0.02
mes,0.007
mesra,0.007
milik,0.026
milyaran,0.007
minder,0.007
mindset,0.007
minggu,0.007
minoritas,0.007
minta,0.007
minum,0.007
minz,0.007
mirip,0.007
miris,0.007
mobil,0.007
mode,0.007
model,0.007
muda,0.007
mudah,0.033
mudahin,0.007
mudik,0.007
muji,0.007
mukmin,0.007
muncul,0.033
mungkin,0.007
murni,0.02
musafir,0.007
musik,0.007
muslim,0.007
musuh,0.007
myself,0.007
na,0.007
naif,0.007
nama,0.026
nang,0.013
nanti,0.04
nanyain,0.007
nasihat,0.007
negeri,0.007
neraka,0.013
nerima,0.007
netizen,0.026
ngabarin,0.007
ngalamin,0.007
ngapo,0.007
ngasal,0.007
nge,0.04
ngebantu,0.007
ngecek,0.007
ngejauhin,0.007
ngejelasin,0.007
ngelarang,0.007
ngelihat,0.007
ngelola,0.007
ngerepotin,0.007
ngeri,0.007
ngeringanin,0.007
ngerjoi,0.007
ngerubah,0.007
ngikik,0.007
ngira,0.007
ngobrol,0.007
ngomongnyo,0.007
ngumpulin,0.007
nian,0.013
nikmat,0.007
nimbrung,0.007
nokia,0.007
non,0.007
normal,0.013
nsp,0.007
nta,0.007
nutrisi,0.007
nya,0.02
nyaman,0.033
nyata,0.04
nyeritain,0.007
nyesuain,0.007
nyo,0.026
nyut,0.007
oalah,0.007
oke,0.026
olah,0.007
oleh,0.007
omong,0.066
ono,0.007
opah,0.007
orang,0.093
orderanya,0.007
ortunya,0.007
oven,0.007
over,0.007
pada,0.007
pagi,0.026
paham,0.02
pakai,0.046
pakaianya,0.007
pakde,0.007
pandemi,0.007
panjang,0.007
pantas,0.013
parah,0.013
parasit,0.007
pasang,0.013
pasir,0.007
pasti,0.02
peduli,0.007
pegang,0.007
pegawai,0.007
pekerjaan,0.007
pemanfatan,0.007
penghasilanya,0.007
pensil,0.007
penting,0.007
penuh,0.007
percaya,0.007
perencanan,0.007
pergi,0.007
perintah,0.007
perkara,0.013
pernah,0.04
peta,0.013
petak,0.007
petisi,0.007
pidato,0.007
pikir,0.04
pilih,0.013
pilihanya,0.007
playing,0.007
poetih,0.007
poin,0.013
polisi,0.007
poni,0.007
pose,0.007
pot,0.007
potensi,0.013
praktis,0.007
prasangka,0.007
prestasi,0.007
privat,0.007
profil,0.007
program,0.007
protes,0.007
puas,0.007
puasa,0.007
puji,0.007
pulang,0.007
pulsa,0.007
puluh,0.007
punya,0.026
punyo,0.007
purnama,0.007
pusing,0.007
qaqa,0.033
qna,0.007
qs,0.007
quraisy,0.013
quw,0.013
rada,0.007
raksasa,0.007
ramadhan,0.007
ramai,0.007
rapat,0.007
rapuh,0.007
rasa,0.073
rasul,0.066
rasululah,0.053
rata,0.007
ratus,0.007
rayu,0.013
rcti,0.007
realistis,0.007
realita,0.007
refleks,0.007
rekomendasi,0.007
rekomendasin,0.007
relevan,0.007
rem,0.007
rendah,0.007
reseller,0.007
responsif,0.007
ribut,0.033
ridhoi,0.007
rindu,0.026
riria,0.013
risiko,0.007
rizqi,0.007
roman,0.007
rookie,0.007
ruhani,0.007
rumah,0.013
rusak,0.013
sa,0.013
sabar,0.013
sahabat,0.02
saing,0.007
saja,0.066
saking,0.007
saku,0.007
salah,0.06
salin,0.007
saling,0.007
sama,0.026
sambil,0.007
samo,0.02
sampah,0.007
sampai,0.026
sanding,0.013
sangar,0.007
santai,0.007
satu,0.007
saudagar,0.007
saudara,0.053
sawah,0.007
saya,0.318
sayang,0.02
sayangnyo,0.007
sbmptn,0.007
sebenarnyo,0.007
sebut,0.02
sedang,0.013
sedia,0.007
sedih,0.033
segi,0.007
sekali,0.06
sekarang,0.02
sekian,0.013
selalu,0.007
selektif,0.007
selesai,0.007
seluruh,0.007
sembelih,0.013
sementara,0.013
semoga,0.06
sempat,0.007
semua,0.013
senang,0.007
sendiri,0.013
sengaja,0.013
sengajo,0.007
seperti,0.02
serah,0.013
serakah,0.007
sering,0.013
seringkali,0.007
serius,0.007
seru,0.007
sesat,0.007
sesunguhnya,0.013
setuju,0.013
shabrun,0.007
shinichi,0.007
sholeh,0.013
sholehah,0.013
shopee,0.007
shukri,0.007
sih,0.026
sikap,0.013
siksa,0.007
silah,0.007
simak,0.007
sini,0.007
sipil,0.007
sisi,0.013
siswa,0.02
situ,0.007
soal,0.007
soalnyo,0.007
sopan,0.013
sore,0.007
sosial,0.013
standar,0.007
su,0.007
subuh,0.007
sudah,0.099
suka,0.033
sukan,0.007
sulap,0.007
sulit,0.02
sumber,0.02
sunbaenim,0.007
sungguh,0.007
supaya,0.013
surga,0.013
survei,0.007
susah,0.033
syaithan,0.013
syok,0.007
syudah,0.013
syukur,0.046
tabok,0.013
tadi,0.007
tahu,0.026
tahun,0.033
takut,0.04
tambahin,0.007
tampang,0.007
tampil,0.02
tanah,0.007
tandatangani,0.007
tanggung,0.007
tangis,0.007
tangungjawab,0.007
tanya,0.007
tapi,0.02
tarik,0.04
tawa,0.278
te,0.007
tekan,0.007
teladan,0.013
telepon,0.013
televisi,0.007
teman,0.093
tempat,0.007
temu,0.013
tengah,0.007
tengkar,0.007
tengs,0.007
tentang,0.007
terbaik,0.013
terima,0.013
terimakasih,0.007
terka,0.007
tersebut,0.013
tetangga,0.013
tetap,0.02
tetapi,0.007
tetiba,0.007
tew,0.007
tews,0.013
thayib,0.026
thoyib,0.007
tiap,0.013
tiba,0.007
tidak,0.496
tidur,0.013
tiga,0.007
tim,0.007
timing,0.007
tinggal,0.02
tinggi,0.013
tips,0.007
titip,0.007
toengoe,0.007
tolong,0.007
tonton,0.013
topik,0.013
toples,0.007
tren,0.007
tua,0.04
tubuh,0.026
tuch,0.007
tugas,0.013
tuhan,0.113
tukang,0.007
tul,0.007
tulis,0.02
tulus,0.007
tumbuh,0.007
tunggu,0.026
tunjuk,0.007
tuo,0.007
turut,0.007
tutup,0.013
twitter,0.007
uang,0.046
ui,0.026
uji,0.007
ulang,0.007
ulas,0.007
umrik,0.007
umum,0.007
unggah,0.013
unpopuler,0.007
unta,0.026
untuk,0.053
untung,0.013
upaya,0.007
upin,0.007
usaha,0.04
usulanya,0.007
utama,0.007
utus,0.007
versi,0.007
video,0.007
vn,0.007
wafat,0.013
wajar,0.007
waktu,0.013
wal,0.007
wanita,0.026
waqas,0.007
warna,0.013
warteg,0.007
wasto,0.026
web,0.007
whatsapp,0.007
wisuda,0.033
ya,0.04
yah,0.007
yak,0.013
yang,0.271
youtube,0.026
zat,0.02
zel,0.013
zona,0.007
