term,weight
ada,0.116
adab,0.023
adon,0.012
adonanya,0.012
agama,0.012
agar,0.07
aha,0.046
air,0.023
ajaib,0.012
ajar,0.012
akan,0.012
akh,0.012
akses,0.012
alfamart,0.012
alias,0.012
ambil,0.023
ampuh,0.012
anak,0.07
anda,0.058
angep,0.012
anjing,0.012
apa,0.081
apalagi,0.012
apas,0.012
api,0.012
arah,0.012
ardi,0.012
arti,0.012
asli,0.035
atm,0.012
avoskin,0.012
ayah,0.012
ayo,0.012
baca,0.012
bagaimana,0.046
bagus,0.023
bahasa,0.012
bahaya,0.012
baik,0.023
balik,0.012
bamper,0.012
bangun,0.012
bantal,0.012
banyak,0.023
bareng,0.012
barengin,0.012
baru,0.035
basic,0.012
bayar,0.012
bca,0.012
beda,0.046
begadang,0.012
begitu,0.012
belah,0.012
beli,0.035
belok,0.012
belum,0.058
benar,0.046
bentuk,0.012
ber,0.012
beranda,0.012
bha,0.046
biasa,0.012
bibir,0.012
bicara,0.012
biji,0.012
bilang,0.012
bisa,0.081
biyen,0.012
bni,0.012
bnya,0.012
boleh,0.012
brebes,0.035
buat,0.116
budak,0.012
buka,0.035
bumbu,0.012
bumiayu,0.035
buruk,0.012
cahaya,0.023
cakep,0.023
cangkeman,0.012
cara,0.012
cari,0.012
ceker,0.012
celak,0.012
celaka,0.012
cemil,0.081
cerah,0.012
cerita,0.012
churos,0.012
cinta,0.035
cleanser,0.023
cloy,0.012
coba,0.035
cocok,0.012
cosrx,0.035
cuci,0.035
cuma,0.023
da,0.012
daftarin,0.012
dal,0.012
dalam,0.023
dan,0.012
dapat,0.012
dari,0.012
daripada,0.012
dekat,0.035
dengan,0.035
depan,0.012
detected,0.012
di,0.081
diapusi,0.012
dikit,0.012
doang,0.012
dom,0.012
dong,0.023
dp,0.012
duka,0.012
dulu,0.023
eh,0.023
eleh,0.012
emange,0.012
emina,0.012
enak,0.012
enek,0.012
exfo,0.012
film,0.012
fine,0.023
folowan,0.012
foreo,0.012
foundie,0.012
fungsi,0.023
fw,0.023
fwnya,0.012
gah,0.012
gaji,0.012
gang,0.012
ganti,0.012
gara,0.012
garnier,0.012
ge,0.012
gemas,0.012
gengam,0.012
gerimis,0.012
gigi,0.012
gilir,0.012
gin,0.023
glycerinya,0.012
goa,0.012
goblin,0.012
gofutin,0.012
gores,0.012
grentea,0.023
gubeng,0.012
gugel,0.012
guru,0.023
habis,0.035
hadalabo,0.023
hadap,0.012
haji,0.012
hamil,0.023
hampir,0.012
hapus,0.012
harap,0.012
hari,0.012
hasil,0.023
hatomugi,0.012
heran,0.012
hijau,0.023
hilang,0.023
hitung,0.012
hubung,0.012
humoris,0.012
hyaluronic,0.012
ibu,0.035
ih,0.012
ikut,0.012
ikutin,0.012
incel,0.012
ingin,0.023
ini,0.012
ip,0.012
itu,0.035
itumah,0.012
iya,0.012
jadi,0.058
jalan,0.023
jam,0.046
jarang,0.012
jateng,0.012
jawa,0.023
jaz,0.012
jco,0.012
jeans,0.012
jelas,0.012
jenius,0.023
jenuh,0.012
jeny,0.012
jerawat,0.023
jerih,0.012
jorok,0.012
jual,0.023
judul,0.012
juga,0.012
juno,0.012
jurus,0.012
juta,0.012
kabar,0.012
kadang,0.012
kain,0.012
kalah,0.012
kalau,0.209
kaliren,0.012
kambing,0.012
kampus,0.023
karakter,0.023
kartonyono,0.012
kebahagian,0.012
kebal,0.012
kecataman,0.012
kekal,0.012
kemarin,0.035
kembali,0.012
ken,0.012
kenal,0.012
kenapa,0.023
kenyal,0.012
kereta,0.023
kering,0.023
kertas,0.012
ketok,0.012
ketrampilan,0.012
khawatir,0.012
kira,0.012
kita,0.023
koe,0.012
komedi,0.012
kontak,0.012
konyol,0.012
kopi,0.012
korban,0.012
kota,0.023
krem,0.012
krim,0.012
kroto,0.012
ksb,0.012
kuat,0.012
kucing,0.035
kuliah,0.035
kulit,0.012
kuning,0.012
kupas,0.012
kur,0.012
kurus,0.012
kuya,0.012
la,0.012
lagi,0.046
lagune,0.012
lah,0.012
laki,0.035
lama,0.035
lampisin,0.012
langsung,0.012
lapar,0.012
laut,0.012
least,0.012
lebih,0.023
lek,0.012
lembab,0.035
libur,0.012
lihat,0.023
lontong,0.012
loreal,0.012
luk,0.012
luka,0.012
lulus,0.023
lupa,0.023
madrasah,0.012
mager,0.012
mahasiswa,0.012
makalah,0.012
makanya,0.012
maksude,0.012
malah,0.012
malam,0.046
malemnya,0.012
mall,0.012
malu,0.035
mampu,0.012
mana,0.012
mandi,0.012
manut,0.012
marahin,0.012
marake,0.012
masak,0.012
masih,0.012
masing,0.012
matcha,0.046
materi,0.023
mau,0.012
maybeline,0.012
mcd,0.012
media,0.023
melu,0.012
memang,0.012
memedi,0.012
mempan,0.012
mengugurkan,0.012
menikah,0.023
mental,0.012
mesin,0.012
mesti,0.012
micelar,0.012
microwave,0.012
mie,0.012
minat,0.012
minum,0.035
minyak,0.012
mobil,0.035
monokrom,0.012
mucinya,0.012
muda,0.023
mudah,0.023
mudeng,0.012
muka,0.046
mulus,0.012
mumpung,0.012
mung,0.012
mungkin,0.012
murah,0.023
murid,0.012
mw,0.012
nabrak,0.012
nabung,0.012
naga,0.035
naik,0.012
nama,0.012
nanti,0.012
nasib,0.012
nempel,0.012
nescafe,0.012
netes,0.012
ng,0.012
ngab,0.012
ngajarin,0.012
ngebosenin,0.012
ngimpes,0.012
ngukusnya,0.012
niat,0.035
nikmat,0.012
ningalin,0.012
normal,0.035
ns,0.012
nya,0.012
nyaman,0.012
nyampenya,0.012
nyanyi,0.023
nyapo,0.012
nyerempet,0.012
og,0.012
ogak,0.012
oke,0.035
omong,0.023
opor,0.012
orang,0.023
over,0.012
pa,0.012
pacar,0.012
pada,0.023
padahal,0.081
pagi,0.012
pakai,0.267
paksa,0.012
palsu,0.012
panas,0.035
parasit,0.012
pasang,0.012
payah,0.012
pedas,0.012
pemakaianya,0.012
pena,0.023
penganguran,0.012
pengirim,0.058
penting,0.023
pentol,0.012
peptaronic,0.012
peras,0.012
pergi,0.012
perlu,0.012
perut,0.012
photoshop,0.012
pikir,0.046
pilih,0.058
pinochio,0.012
poin,0.012
pokok,0.023
posisi,0.012
potong,0.023
preptatonic,0.012
produk,0.023
promes,0.012
promosi,0.012
prota,0.012
puas,0.012
puasin,0.012
pulang,0.012
purwokerto,0.023
putih,0.012
putus,0.012
pwt,0.012
rah,0.012
raja,0.023
rajin,0.023
rata,0.012
rekening,0.012
rem,0.012
renung,0.012
rezeki,0.012
rich,0.012
rindu,0.023
ringan,0.012
robinson,0.012
rp,0.012
rumah,0.023
rupiah,0.012
sachet,0.012
sadar,0.023
saham,0.012
saiki,0.012
saja,0.035
saking,0.012
salah,0.023
saldo,0.012
sama,0.046
sambal,0.012
sampai,0.093
sara,0.012
saru,0.012
satisfying,0.012
saudara,0.221
saya,0.209
sayang,0.012
sedia,0.012
sedikit,0.012
segar,0.046
sejuk,0.012
sekali,0.186
sekarang,0.035
selat,0.012
semarang,0.012
semir,0.012
semoga,0.012
senak,0.012
sendiri,0.012
seperti,0.081
sephora,0.012
sering,0.023
serius,0.023
serum,0.023
sesal,0.012
sesat,0.012
setan,0.012
setuju,0.012
si,0.012
sial,0.07
sian,0.012
sih,0.023
sikap,0.012
sikile,0.012
sini,0.012
siput,0.012
skincarenya,0.012
skintype,0.012
skpi,0.012
smstr,0.023
snapsed,0.012
snp,0.012
soal,0.012
sociola,0.012
sorabel,0.012
sore,0.012
sosial,0.012
soto,0.012
spf,0.012
ss,0.012
stasiun,0.035
suara,0.012
sudah,0.209
suka,0.058
suruh,0.012
susah,0.012
susu,0.046
tadi,0.012
tahu,0.023
tambah,0.012
tampilin,0.012
tangan,0.012
tangga,0.012
tangkai,0.012
tanyain,0.012
tapi,0.163
taplus,0.012
tawa,0.081
teh,0.012
teka,0.012
teki,0.012
teknik,0.012
tekstur,0.012
telah,0.012
telat,0.012
telegram,0.023
teman,0.023
temenmu,0.012
temenya,0.012
tempat,0.012
tengah,0.012
tepi,0.012
ter,0.012
terimakasih,0.012
terus,0.035
tetap,0.012
teuing,0.012
threadnya,0.012
tidak,0.511
tidur,0.023
tiket,0.012
tim,0.012
tinggal,0.023
toner,0.07
tongoku,0.012
tonton,0.012
tua,0.012
tunggu,0.023
tunguin,0.012
tusuk,0.012
tutup,0.023
uap,0.012
ucapane,0.012
ular,0.035
umur,0.035
univ,0.023
unsoed,0.012
untuk,0.035
untung,0.012
urutanya,0.012
usah,0.023
utama,0.012
utara,0.012
uya,0.012
versi,0.012
waikiki,0.012
wajah,0.012
wajib,0.012
waktu,0.046
waldos,0.012
wanita,0.023
warna,0.012
wati,0.012
web,0.012
werewolf,0.012
wkaka,0.012
wuling,0.012
xpresi,0.012
ya,0.035
yak,0.012
yang,0.36
yuja,0.012
