term,weight
abadi,0.01
abt,0.01
accepted,0.01
ada,0.01
adalah,0.059
adc,0.01
aduh,0.02
agar,0.01
agus,0.01
aidz,0.01
aidzin,0.01
ajak,0.01
akal,0.02
akan,0.02
akhir,0.029
akhire,0.01
akulo,0.01
al,0.01
alam,0.029
alexis,0.01
alias,0.01
allah,0.01
ambil,0.01
ame,0.01
amin,0.02
ampun,0.039
an,0.029
anak,0.02
anda,0.196
aneh,0.01
apa,0.049
arang,0.039
aren,0.01
arum,0.01
arus,0.01
asik,0.01
atau,0.01
atek,0.01
atm,0.01
avatar,0.01
awak,0.02
ayah,0.01
ayo,0.059
ayune,0.01
baca,0.01
bagaimana,0.049
bagi,0.02
bagus,0.02
baik,0.02
baju,0.01
bakat,0.01
balsem,0.01
banting,0.01
bantu,0.01
banyak,0.02
based,0.01
basic,0.01
batas,0.01
bawa,0.01
become,0.01
beda,0.01
bedo,0.01
begini,0.02
begitu,0.088
beibz,0.01
bekas,0.01
belah,0.01
beli,0.029
belok,0.01
benar,0.059
benda,0.01
berapa,0.01
berkah,0.01
berkata,0.01
bibir,0.049
bicara,0.01
bikin,0.01
bilang,0.029
bimbel,0.01
bisa,0.049
bk,0.02
bli,0.01
boleh,0.029
bom,0.029
bondol,0.01
bos,0.01
bosan,0.02
bot,0.01
br,0.01
brief,0.01
brouw,0.01
btul,0.02
buat,0.039
buka,0.01
bukit,0.01
buku,0.01
bukuny,0.01
buta,0.01
butuh,0.01
cacat,0.02
cahaya,0.01
cakep,0.029
canda,0.01
cangkir,0.01
cantik,0.039
capew,0.01
cara,0.029
catfish,0.01
cause,0.02
cemil,0.039
cepat,0.01
cerita,0.029
cerpen,0.01
chloe,0.01
cinta,0.029
ciwi,0.01
ckck,0.01
ckckck,0.01
coba,0.069
comparing,0.02
cowonya,0.029
cpt,0.01
cuma,0.01
cuman,0.01
curhati,0.01
cuy,0.01
da,0.01
dada,0.01
dadi,0.02
daftar,0.01
damai,0.01
dan,0.02
dapat,0.01
dari,0.059
