term,weight
ada,0.048
adalah,0.019
admin,0.029
afiat,0.01
afid,0.01
afidatuz,0.01
agar,0.096
agendain,0.01
ah,0.01
ajak,0.01
aju,0.019
akan,0.029
akhir,0.039
akrab,0.01
alahumaghfirlahu,0.01
alam,0.01
alfamart,0.01
alhdulilah,0.01
alur,0.01
alus,0.01
aman,0.048
ambe,0.01
ambil,0.01
amerika,0.01
amin,0.019
an,0.029
anak,0.048
anandito,0.01
anda,0.067
anggar,0.01
angkutan,0.019
anisa,0.01
anteng,0.01
apa,0.048
apik,0.01
apotek,0.01
arab,0.019
arang,0.01
arek,0.01
arep,0.01
arif,0.01
arti,0.01
asin,0.01
astaga,0.01
atas,0.01
atau,0.01
awm,0.01
ayo,0.125
babang,0.019
baca,0.048
badai,0.01
badan,0.01
bagaimana,0.019
bagi,0.019
bahagia,0.01
bahasa,0.01
bahaya,0.01
baik,0.058
balas,0.039
bangsa,0.01
bangun,0.019
bantu,0.058
banya,0.01
banyak,0.067
bapak,0.077
barang,0.01
barat,0.01
bareng,0.019
baru,0.019
basa,0.01
basi,0.01
baterai,0.01
batuk,0.01
bawane,0.01
bawang,0.01
bayang,0.01
bayar,0.019
bayi,0.019
beberapa,0.01
beda,0.01
begini,0.01
begitu,0.048
behadiah,0.01
belah,0.01
beli,0.029
beliau,0.01
belum,0.039
benang,0.01
benar,0.048
bengi,0.01
beranda,0.01
besar,0.019
besok,0.029
biasa,0.01
bicara,0.01
bikes,0.01
bilah,0.01
bilang,0.01
bingung,0.01
bisa,0.039
bismillah,0.01
biso,0.01
bla,0.029
bocen,0.01
bodoamat,0.01
boleh,0.01
boros,0.01
bosan,0.01
boyong,0.01
brazil,0.01
buat,0.048
buka,0.039
buku,0.019
buluq,0.01
burhanudin,0.01
buru,0.01
butuh,0.019
bwener,0.01
cabai,0.01
campur,0.019
campurin,0.01
cangkir,0.01
cantik,0.01
capai,0.01
captionya,0.01
cari,0.029
catat,0.01
cedek,0.01
