term,weight
aa,0.007
acak,0.007
ada,0.029
adalah,0.029
adan,0.007
admin,0.007
agar,0.059
agung,0.007
ahli,0.007
ahsan,0.007
ajar,0.022
akhir,0.029
aksi,0.007
alam,0.007
alergi,0.007
aman,0.015
ambigu,0.007
ambyar,0.007
amin,0.007
ampun,0.044
an,0.037
anak,0.059
anda,0.081
angkat,0.007
antar,0.007
apa,0.029
apalagi,0.007
aplod,0.007
apri,0.022
arah,0.007
arti,0.007
asik,0.007
aska,0.007
asli,0.007
astaga,0.007
atas,0.007
atlet,0.022
audisi,0.015
aurat,0.007
awal,0.007
ayo,0.103
baca,0.051
badminton,0.007
bagaimana,0.059
bagus,0.037
bahan,0.022
bahkan,0.007
baik,0.022
bajing,0.037
baju,0.029
bakar,0.007
bambang,0.007
bambank,0.007
banding,0.015
bangga,0.007
bangsa,0.007
bangun,0.007
bangunin,0.007
banjir,0.015
bantu,0.007
banyak,0.015
bapak,0.081
bapil,0.007
bas,0.007
batas,0.007
bawa,0.007
beasiswa,0.022
beberes,0.007
beda,0.007
bedain,0.007
begini,0.007
begitu,0.037
belanja,0.007
beli,0.007
beliau,0.007
belum,0.029
benar,0.073
benci,0.007
bendera,0.007
bengong,0.007
bentar,0.044
bepe,0.015
beranda,0.007
berani,0.007
berapa,0.007
berat,0.007
berhasil,0.007
berita,0.007
berkah,0.007
bertangung,0.007
berwirausaha,0.007
bes,0.007
besok,0.022
biarin,0.007
bilang,0.007
bisa,0.073
bismillah,0.007
blesful,0.007
blog,0.007
bobby,0.007
bobyaseli,0.007
bola,0.029
boleh,0.007
bosan,0.007
buang,0.007
buat,0.037
buka,0.029
bukan,0.007
bukber,0.007
bulan,0.007
bulutangkis,0.022
butet,0.015
butuh,0.007
cahaya,0.007
calon,0.007
cantik,0.007
cara,0.007
cari,0.044
cc,0.007
celana,0.015
cemil,0.015
cepat,0.015
cerah,0.007
cerita,0.007
ci,0.007
ciamik,0.022
cinta,0.029
coba,0.007
cocok,0.015
cok,0.007
congrats,0.029
cuci,0.007
cuma,0.015
daddies,0.044
dagang,0.007
dalam,0.015
dan,0.022
dapat,0.022
dapur,0.007
dari,0.022
debut,0.015
dedek,0.015
dengan,0.029
depan,0.015
derita,0.007
desa,0.007
di,0.059
diagnosa,0.007
diapalin,0.007
dikirimin,0.007
dikit,0.022
dilanjutin,0.007
dilewatin,0.007
dipaksain,0.007
dipangil,0.007
diurusin,0.007
djarum,0.029
doa,0.022
doang,0.022
dokter,0.015
drama,0.007
dugan,0.007
dukung,0.015
dulu,0.007
dunia,0.022
edgar,0.015
eh,0.015
ejek,0.007
emas,0.007
emosi,0.007
empat,0.007
endo,0.037
engap,0.007
faiz,0.007
fajri,0.015
fani,0.007
far,0.007
fara,0.007
favorit,0.007
feb,0.015
febri,0.007
fokus,0.007
foto,0.015
foya,0.007
gabuka,0.007
gaib,0.007
gaji,0.007
gakuat,0.007
game,0.015
ganguan,0.029
ganti,0.007
gara,0.007
garis,0.007
gas,0.007
gasih,0.007
gedung,0.022
gel,0.007
gelisah,0.007
gemas,0.007
gembar,0.007
gembor,0.007
gemesh,0.022
gemez,0.007
gila,0.066
gin,0.037
ginting,0.088
goa,0.25
gojek,0.007
gosip,0.007
gratis,0.007
grego,0.007
greysia,0.007
gugel,0.015
gugup,0.022
habis,0.037
hadir,0.007
hai,0.015
haji,0.007
hampir,0.007
hanya,0.029
harap,0.015
hari,0.007
haru,0.029
harus,0.007
hasil,0.015
hati,0.015
hebat,0.015
helm,0.007
hemat,0.007
henti,0.007
hewan,0.007
hibur,0.007
hidup,0.007
hingga,0.007
histeris,0.007
hongkong,0.007
hormat,0.007
hua,0.015
hubung,0.007
hubungan,0.007
hujan,0.007
hwa,0.007
ibu,0.081
ide,0.007
ikan,0.007
ikut,0.029
ilmu,0.007
imbang,0.007
indah,0.007
indonesia,0.059
indosport,0.007
info,0.007
ingat,0.015
ini,0.198
internasyionel,0.007
isi,0.007
isin,0.007
itu,0.066
iya,0.059
iz,0.015
izin,0.022
ja,0.015
jadi,0.051
jaga,0.007
jahanam,0.007
jail,0.007
jakarta,0.015
jakmania,0.007
jala,0.007
jalan,0.044
jam,0.029
jarak,0.007
jari,0.007
jasa,0.007
jauh,0.007
jeli,0.007
jemput,0.007
jika,0.007
jiwa,0.022
jo,0.029
jodoh,0.015
jojo,0.007
jual,0.007
juang,0.022
juara,0.015
juga,0.103
jujur,0.022
kait,0.007
kaji,0.007
kaki,0.007
kalah,0.037
kalau,0.037
kali,0.029
kalian,0.007
kamar,0.015
kambuh,0.007
kamura,0.007
kancah,0.007
kantin,0.007
karena,0.044
kasar,0.022
kasi,0.007
kasih,0.095
kata,0.015
kayak,0.007
ke,0.037
kebahagian,0.007
kecewa,0.015
kecintan,0.007
kecuali,0.007
kedatanganya,0.007
kejar,0.007
kejayan,0.015
kejut,0.015
kelas,0.007
kelompok,0.007
keluar,0.007
keluarga,0.007
kemarin,0.029
kembali,0.007
ken,0.022
kenapa,0.015
kencur,0.007
kendur,0.007
kento,0.007
keren,0.037
kereta,0.007
kesal,0.007
kesini,0.007
ketat,0.007
ketawa,0.007
ketinggalan,0.015
kevin,0.037
kibar,0.007
kira,0.007
kn,0.007
kocag,0.007
kondisi,0.007
kontak,0.007
kopi,0.007
kos,0.007
kpai,0.015
krisis,0.007
kuat,0.022
kulit,0.022
kuning,0.022
kunyit,0.007
kurang,0.015
kurus,0.029
kyknya,0.015
laga,0.007
lagi,0.125
lahir,0.007
lain,0.015
laki,0.044
lama,0.015
langsung,0.029
lanjut,0.007
lapang,0.022
lari,0.007
latih,0.007
lawa,0.007
lawan,0.044
lekas,0.015
lekbong,0.015
lelah,0.007
lengkuas,0.007
lentera,0.015
lepas,0.015
lihat,0.095
loh,0.007
losion,0.022
luar,0.007
lucuk,0.007
luk,0.007
lumayan,0.007
lupa,0.022
macih,0.007
madu,0.015
maestro,0.007
mahal,0.007
mahir,0.007
mai,0.022
makin,0.015
maklum,0.007
malam,0.029
malu,0.022
mampu,0.007
manis,0.007
mantap,0.044
manusia,0.007
maruk,0.007
masak,0.037
masih,0.029
mati,0.007
mau,0.022
md,0.015
medali,0.007
medis,0.015
mel,0.022
melati,0.007
memafkan,0.007
memang,0.051
menang,0.088
mengangap,0.007
menit,0.007
mental,0.007
mereka,0.015
merinding,0.007
mewah,0.007
minimum,0.007
minions,0.051
minta,0.007
minum,0.015
miris,0.007
model,0.007
momogi,0.007
momota,0.037
mon,0.007
motong,0.007
motor,0.007
muas,0.015
muda,0.015
muka,0.007
mungkin,0.007
murce,0.007
nada,0.007
najwa,0.007
nama,0.007
nan,0.007
nang,0.029
nanyain,0.007
napi,0.007
naro,0.007
nasihat,0.007
nebak,0.007
nekat,0.015
neraka,0.007
ngajakin,0.007
ngajarin,0.007
ngeblok,0.007
ngehubungin,0.007
ngekos,0.007
ngelakuin,0.007
ngepel,0.007
nget,0.015
ngetik,0.007
ngobrol,0.007
ngomel,0.007
ngumpulin,0.007
ngurus,0.007
niat,0.007
niken,0.007
nmr,0.007
nontonin,0.015
nopal,0.007
notif,0.007
nya,0.022
nyaman,0.007
nyamperin,0.007
nyapu,0.007
nyata,0.015
nyelonong,0.007
nyeseq,0.007
nyetrika,0.007
nyucinya,0.007
obat,0.037
obrol,0.022
okendel,0.007
olahraga,0.007
omong,0.015
orang,0.037
owi,0.015
pada,0.007
padahal,0.007
pagi,0.007
paham,0.007
pakai,0.037
paling,0.007
pamungkas,0.007
panas,0.007
para,0.007
parah,0.051
pasang,0.029
pasca,0.007
pasrah,0.015
pb,0.007
peka,0.007
pekerjaan,0.007
pekerjan,0.007
pelangi,0.007
peluk,0.015
pemuda,0.007
penasaran,0.007
penting,0.007
penyet,0.007
peran,0.007
performa,0.007
pergi,0.007
perjuanganya,0.007
persija,0.022
pertahanya,0.007
perut,0.007
pesan,0.007
peta,0.007
pikir,0.037
pintar,0.015
pisah,0.007
poci,0.015
poin,0.029
polbek,0.007
ponakan,0.007
popor,0.007
pos,0.007
potter,0.007
pra,0.007
prestasi,0.007
pribadi,0.015
promosi,0.007
