term,weight
ada,0.119
adalah,0.027
admin,0.013
aduh,0.066
agama,0.027
agar,0.106
ajak,0.013
ajang,0.013
akun,0.027
alergi,0.013
alias,0.013
alur,0.013
amin,0.013
anak,0.08
anda,0.106
anggota,0.013
anu,0.013
anymore,0.013
apa,0.093
aplikasi,0.013
as,0.013
asa,0.013
asupan,0.013
autobot,0.013
awet,0.013
ayo,0.04
baca,0.027
bacan,0.027
bagaimana,0.053
bagi,0.013
bagus,0.027
bahagia,0.013
bahahak,0.013
bahas,0.027
bahasa,0.013
baik,0.08
baju,0.013
bakar,0.013
bakunta,0.013
balesnya,0.013
banten,0.013
banyak,0.013
baru,0.013
bawa,0.04
bayar,0.013
bayi,0.027
bebas,0.027
beda,0.053
bedan,0.027
begitu,0.04
bejat,0.013
belakang,0.013
beli,0.053
belum,0.013
benar,0.013
berani,0.027
berapa,0.027
berita,0.04
besok,0.027
betre,0.013
bias,0.013
bicara,0.013
bisa,0.066
bom,0.04
boobs,0.013
bos,0.013
bosan,0.013
bra,0.013
buang,0.027
buat,0.04
budi,0.013
buka,0.013
bukti,0.027
bulu,0.013
buram,0.013
buruk,0.066
burung,0.013
buset,0.013
butuh,0.013
cantik,0.013
cari,0.013
celaka,0.027
cemil,0.027
cenderung,0.013
cepat,0.013
cinta,0.053
coba,0.053
contoh,0.013
curugan,0.013
dada,0.013
dahi,0.013
dan,0.053
dapat,0.027
dari,0.027
dasar,0.027
daya,0.013
dengan,0.013
dengar,0.013
di,0.04
diambilin,0.013
dick,0.013
diemin,0.013
dik,0.013
dikit,0.013
dimatin,0.013
diri,0.04
dishub,0.013
disuapin,0.027
doang,0.04
dokter,0.013
dong,0.013
doraemon,0.013
dosa,0.013
dosis,0.013
drama,0.013
dua,0.013
duka,0.013
dulu,0.04
dunia,0.013
duren,0.013
edar,0.013
ekspres,0.013
ekspresi,0.013
energi,0.013
engap,0.013
erti,0.013
etnis,0.013
film,0.013
filosofi,0.013
fine,0.013
fokus,0.013
foto,0.053
fotoin,0.013
gadis,0.013
gaenak,0.013
gagarontol,0.013
