term,weight
abon,0.01
abusive,0.01
acak,0.031
ada,0.01
adalah,0.084
adobe,0.01
aduh,0.031
aelah,0.01
agar,0.021
akan,0.021
akhir,0.031
aktivitas,0.01
alam,0.01
allah,0.01
amelia,0.01
amin,0.021
an,0.031
anak,0.073
analyzing,0.01
anastasia,0.01
anda,0.084
aneh,0.021
angin,0.01
angkut,0.01
anita,0.01
anjing,0.021
apa,0.063
apart,0.021
appreciate,0.01
ardern,0.01
ardhito,0.01
arsitek,0.01
arti,0.01
arus,0.01
asa,0.01
asik,0.01
asin,0.01
asli,0.031
atas,0.01
atau,0.021
ave,0.01
ayam,0.01
ayo,0.01
babak,0.01
baca,0.031
badan,0.01
bagaimana,0.021
bagi,0.021
bagus,0.063
bahagia,0.01
bahaya,0.01
bahkan,0.01
bahu,0.01
baik,0.063
bajing,0.052
bakat,0.01
balet,0.01
balkon,0.01
banding,0.01
bangga,0.01
banyak,0.042
barat,0.01
bareng,0.01
baru,0.042
batu,0.01
bawa,0.021
bayar,0.01
bayi,0.01
begitu,0.115
behind,0.01
bek,0.021
bel,0.021
bela,0.01
belah,0.021
belanja,0.01
bele,0.01
beli,0.031
belu,0.021
belum,0.021
benar,0.052
benda,0.031
bentuk,0.01
berapa,0.01
berat,0.01
berita,0.031
berkat,0.01
besar,0.01
biasa,0.01
bicara,0.01
bieber,0.052
bilal,0.01
bilang,0.01
bingkisanya,0.01
bisa,0.021
blogger,0.01
blp,0.01
bodoh,0.01
boi,0.01
bola,0.021
bosan,0.01
both,0.01
brand,0.01
bretman,0.01
buat,0.063
buka,0.021
bukber,0.01
bulan,0.01
bunuh,0.01
bwang,0.01
bwek,0.021
cakep,0.01
cang,0.01
cara,0.031
cat,0.021
cem,0.021
cemil,0.042
cempaka,0.01
cerita,0.052
cerpen,0.01
ci,0.01
cie,0.01
cincin,0.01
cinta,0.042
clifhouse,0.01
clinton,0.01
coba,0.042
congratulation,0.01
contoh,0.01
coolest,0.01
cowonya,0.01
cuma,0.021
cutie,0.021
cuy,0.021
dalam,0.01
dan,0.052
dapat,0.063
dari,0.042
datang,0.01
daya,0.01
decide,0.01
deketku,0.01
dengan,0.01
dengar,0.01
di,0.063
dia,0.084
dibukain,0.01
dikit,0.01
dilayanin,0.01
dimitri,0.01
dinding,0.01
dipretelin,0.01
direktur,0.01
diri,0.021
disney,0.01
doa,0.01
doang,0.021
dodo,0.01
dokumenter,0.01
dong,0.01
dosen,0.01
dress,0.01
drugs,0.01
duduk,0.01
duga,0.01
dulu,0.01
during,0.01
each,0.01
eala,0.01
efek,0.01
eh,0.021
eka,0.021
email,0.021
en,0.01
entar,0.01
epik,0.01
epstein,0.021
estetis,0.01
etc,0.031
ewep,0.01
fans,0.01
favorit,0.021
film,0.021
flash,0.01
foto,0.052
friends,0.01
fufufufu,0.01
gadis,0.021
gahaha,0.01
gara,0.021
garuk,0.021
gausa,0.01
gek,0.031
gelap,0.01
gelombang,0.021
gemas,0.01
gembira,0.01
gendud,0.01
gendut,0.01
geng,0.01
gerobak,0.01
gez,0.01
gila,0.042
gin,0.021
gosip,0.021
guests,0.01
gugup,0.021
gumira,0.01
habis,0.021
hack,0.01
hadeuh,0.01
hal,0.01
hampers,0.031
hanya,0.01
hari,0.031
harus,0.01
havent,0.01
heboh,0.01
hepi,0.01
hilang,0.01
his,0.01
hitung,0.01
hme,0.01
hormat,0.021
hubung,0.01
hujan,0.01
humoris,0.01
ibu,0.021
idealisme,0.01
ihiy,0.021
ikan,0.01
ikut,0.021
ilmu,0.01
ilustrasi,0.01
imut,0.031
in,0.052
indah,0.031
indihome,0.01
ingat,0.031
ingin,0.01
ini,0.157
instagram,0.031
iris,0.01
isi,0.021
istri,0.021
itu,0.199
itunes,0.01
iya,0.073
iyah,0.021
izin,0.021
jacinda,0.01
jadi,0.073
jakarta,0.01
jalan,0.021
jam,0.01
jantung,0.01
japra,0.021
jb,0.084
jenis,0.01
jiwa,0.01
john,0.021
jong,0.01
jordan,0.01
joya,0.01
judul,0.01
juga,0.063
justin,0.063
juta,0.021
kalah,0.01
kalau,0.115
kalian,0.01
kamar,0.01
kan,0.021
kanan,0.01
kapan,0.01
karantina,0.021
kardashian,0.01
karirnya,0.01
kasi,0.021
kasih,0.01
kasus,0.021
kata,0.01
kati,0.021
kawalcovid,0.01
kayak,0.094
ke,0.01
kebelet,0.01
kece,0.021
kecil,0.021
kejut,0.031
kelas,0.01
kelelawar,0.01
kemarin,0.021
ken,0.021
kenapa,0.01
kenya,0.01
kepala,0.031
ketemu,0.052
ketika,0.01
ketua,0.01
kewalahan,0.01
kidy,0.01
kim,0.021
kira,0.01
kiri,0.01
kitties,0.01
kle,0.052
klip,0.021
klub,0.01
komentar,0.01
koneksi,0.01
konspirasi,0.042
kopi,0.01
korban,0.01
kosmetik,0.01
kretek,0.01
krisis,0.01
kuasa,0.01
kucing,0.01
kuliah,0.021
kumcer,0.01
kunci,0.01
kurniawan,0.01
kwek,0.021
kyudie,0.021
la,0.01
lagi,0.021
lagu,0.021
lain,0.01
laki,0.021
lambat,0.01
langkah,0.01
langsung,0.01
later,0.021
layan,0.01
layar,0.01
lebih,0.01
ledak,0.01
lelah,0.021
lembur,0.01
lengkap,0.01
liatin,0.031
libur,0.01
lihat,0.094
lingkar,0.01
lokal,0.021
lonjak,0.01
look,0.01
lq,0.021
luas,0.01
lumba,0.021
luncur,0.01
lupa,0.021
maaf,0.021
maafin,0.01
macam,0.01
makan,0.01
mala,0.01
malina,0.01
malu,0.01
mana,0.01
mancing,0.031
mangki,0.01
mania,0.01
manis,0.01
mantap,0.021
manusia,0.021
marlina,0.01
maryam,0.01
masih,0.031
mati,0.01
mau,0.021
mawar,0.01
may,0.021
media,0.01
meheheheheh,0.01
mel,0.01
memang,0.021
mendengarkan,0.01
mengongong,0.01
menikah,0.01
menstruasi,0.021
menye,0.01
mereka,0.031
mesum,0.01
michael,0.01
mignonette,0.01
mimpi,0.042
mimpin,0.021
minta,0.01
minum,0.01
minyak,0.01
mobil,0.021
moci,0.01
mocu,0.01
mode,0.01
mrg,0.01
muke,0.021
mulai,0.01
mungkin,0.01
musik,0.01
muslihat,0.01
musuh,0.01
nae,0.021
naek,0.01
nanah,0.01
nasional,0.01
nay,0.01
nemuin,0.01
netflix,0.01
ngajakin,0.01
ngantor,0.021
nge,0.01
ngebayangin,0.01
ngeliatnya,0.01
ngepost,0.021
ngerekam,0.01
ngetik,0.01
ngobrolin,0.021
ngungkapin,0.01
nicoline,0.01
nikmat,0.021
nikmatin,0.021
nok,0.042
nongkrong,0.01
normal,0.01
notes,0.021
nunjukin,0.031
nyala,0.021
nyanyi,0.01
nyebar,0.01
nyenderin,0.01
oi,0.01
oiya,0.021
oke,0.021
once,0.01
orang,0.063
otomatis,0.01
pacar,0.01
pada,0.031
padang,0.01
padat,0.01
pagi,0.01
pakai,0.063
pakein,0.01
paksa,0.01
palsu,0.01
panik,0.01
panji,0.031
pantai,0.031
pasang,0.042
pasar,0.01
pasti,0.01
patricia,0.01
payu,0.01
pedophile,0.021
peluk,0.01
penasaran,0.031
penuh,0.01
peras,0.01
perbarui,0.01
perlu,0.01
pernah,0.01
