term,weight
ada,0.073
adalah,0.012
admin,0.012
aduh,0.012
agung,0.012
aha,0.012
ailsa,0.012
ajasih,0.012
ajeng,0.012
akun,0.012
alf,0.012
amara,0.012
ambis,0.012
amin,0.145
an,0.012
anak,0.024
anda,0.23
aneh,0.024
angkat,0.012
anjg,0.012
antara,0.012
apa,0.085
astaga,0.012
ayam,0.012
ayo,0.109
baca,0.012
bagaimana,0.036
bahagia,0.012
baik,0.036
baku,0.024
balik,0.012
balikin,0.012
balqis,0.012
bang,0.024
bangga,0.012
bantu,0.012
banyak,0.036
bawa,0.012
beberapa,0.012
beda,0.012
begitu,0.085
belum,0.012
benar,0.036
besok,0.024
bicara,0.024
bidor,0.012
bila,0.012
birhtday,0.012
bisa,0.024
bisabisa,0.012
bmnya,0.012
bodoh,0.012
bohong,0.012
bolak,0.012
bong,0.012
boong,0.012
bosan,0.012
buang,0.012
buat,0.06
budi,0.012
bugar,0.012
buka,0.024
bulan,0.012
butuh,0.012
bvxlpic,0.012
ca,0.012
camera,0.012
cantik,0.012
cantiku,0.012
cela,0.012
cemil,0.012
cepat,0.024
cepetan,0.012
cie,0.036
cinta,0.024
co,0.073
coba,0.012
cuma,0.012
curhat,0.012
cwn,0.012
dan,0.024
dari,0.012
darimana,0.012
dasar,0.012
datang,0.012
dea,0.012
definisi,0.024
deh,0.012
dekat,0.012
dela,0.012
dengan,0.048
di,0.036
dia,0.012
diam,0.012
dikerjain,0.012
diklatin,0.012
dikosan,0.012
diliatin,0.012
dimakamin,0.012
dimanatu,0.012
dina,0.012
dinar,0.085
diri,0.012
dmnya,0.012
doang,0.012
dong,0.036
dulu,0.024
duluan,0.036
duren,0.012
eca,0.012
eh,0.024
eheheh,0.012
farahku,0.012
fikri,0.012
foto,0.048
gadis,0.024
gagal,0.012
gajauh,0.012
gakdeng,0.012
gaketemu,0.012
galak,0.012
gangerti,0.012
ganti,0.012
ganyambung,0.012
gel,0.012
generasi,0.012
geser,0.012
gin,0.012
gitutuh,0.012
goa,0.048
habis,0.024
hadeu,0.012
hahahfa,0.012
hai,0.024
hani,0.012
hanya,0.024
haram,0.012
hari,0.012
haris,0.012
harus,0.024
hasil,0.012
hehehehehe,0.012
henti,0.024
heu,0.012
hfa,0.012
hih,0.012
hihihihi,0.012
hilang,0.012
hobi,0.012
hsvodtcu,0.036
htp,0.073
hujan,0.012
hunrixvuv,0.012
ibu,0.048
ih,0.024
ihiy,0.012
ikut,0.06
ikuti,0.024
imut,0.024
indah,0.036
indonesia,0.012
ingat,0.036
ingin,0.012
ini,0.073
instagram,0.012
invitro,0.012
iqo,0.012
itu,0.06
iya,0.048
ja,0.024
jadi,0.012
jal,0.012
jalan,0.012
jam,0.036
jat,0.024
jati,0.012
juga,0.024
jul,0.012
kacang,0.012
kado,0.012
kalau,0.012
kalian,0.024
kandang,0.012
kanty,0.012
kapan,0.048
kartu,0.012
kayak,0.012
kedelai,0.012
kejut,0.048
kelas,0.012
keli,0.012
kembali,0.012
ken,0.036
kenal,0.012
kenapa,0.097
kesal,0.024
ketemu,0.036
khilda,0.012
kiep,0.012
kikieinsten,0.012
kirim,0.012
kisah,0.012
kita,0.012
kmn,0.012
kn,0.024
komentar,0.012
kompor,0.012
kopi,0.012
kopong,0.024
kos,0.036
kulit,0.012
lagi,0.048
langsung,0.012
lapar,0.024
lebih,0.012
les,0.024
less,0.012
libur,0.012
lihat,0.036
lipat,0.012
lodaya,0.012
lupa,0.048
maksimal,0.024
malam,0.012
malas,0.012
malu,0.06
mana,0.024
mantap,0.024
manusia,0.012
masa,0.024
masak,0.012
masih,0.012
mau,0.097
maur,0.012
maya,0.012
mcd,0.024
meja,0.012
memang,0.036
memberi,0.024
mensiv,0.012
merah,0.012
minggu,0.012
minjem,0.012
modus,0.012
monang,0.012
muehehehe,0.012
nabila,0.012
nadya,0.012
nama,0.012
nandi,0.012
nang,0.012
nanti,0.024
napas,0.012
narkoba,0.012
ncjop,0.012
nenek,0.024
neraka,0.012
ngat,0.012
ngeong,0.024
nget,0.024
ngupas,0.012
ngupasin,0.012
nomor,0.012
nur,0.012
nuzul,0.012
oke,0.024
oleh,0.036
oleholeh,0.012
orang,0.06
otomatis,0.036
pakan,0.012
pandan,0.012
pantang,0.012
papandayan,0.012
payah,0.012
pekerjaan,0.024
penjasorkes,0.012
penjasrokes,0.012
penuh,0.012
percaya,0.012
pergi,0.012
periksa,0.06
pesan,0.012
peye,0.024
pibersdey,0.012
pic,0.012
pokok,0.024
pong,0.012
pst,0.024
pulang,0.036
pulsa,0.048
punya,0.024
punyeu,0.012
putri,0.012
pwt,0.036
raisya,0.012
rajin,0.012
ran,0.012
rania,0.012
rasa,0.012
ratna,0.012
rd,0.012
rem,0.012
restoran,0.012
retweet,0.06
rey,0.012
ribu,0.012
rindu,0.036
riuh,0.085
rora,0.012
saja,0.048
salsa,0.012
sama,0.048
sampai,0.06
sapa,0.012
satu,0.036
saudara,0.073
saya,0.169
sayang,0.012
sebuah,0.012
sedih,0.048
sekali,0.133
sekalu,0.012
sekarang,0.012
seko,0.012
selamat,0.036
semangat,0.012
semester,0.012
seminar,0.024
semoga,0.024
semprop,0.012
senam,0.012
senang,0.085
seperbudiagungan,0.012
sepersmanda,0.012
sepersukabumi,0.012
seperti,0.036
serah,0.012
seru,0.012
sesal,0.024
sesunguhnyadata,0.012
siang,0.012
sibuk,0.012
sih,0.012
sini,0.012
smanya,0.012
sms,0.012
sokin,0.012
sombong,0.024
sop,0.012
sudah,0.181
suka,0.048
sukses,0.048
sule,0.012
sulew,0.012
sumpah,0.012
susah,0.012
syawalni,0.012
syukur,0.036
tadi,0.012
tahu,0.097
tahun,0.109
takdeu,0.012
takut,0.024
tambah,0.012
tanggal,0.012
tangis,0.012
tani,0.012
tanyain,0.012
taon,0.012
tapi,0.024
tatap,0.012
tawa,0.46
tawan,0.012
teh,0.012
telat,0.036
telfonin,0.012
teliti,0.024
teman,0.048
tempe,0.024
temu,0.024
tenang,0.012
tengkyu,0.012
ter,0.012
terimakasih,0.496
terimakasihrt,0.012
terimaksih,0.012
terus,0.036
tetangga,0.012
tidak,0.254
tidur,0.012
tinggal,0.012
tinggi,0.012
tolong,0.012
tonton,0.012
traktir,0.012
traktiranya,0.024
traktirya,0.012
tua,0.012
tulis,0.012
tunda,0.012
tunggu,0.036
twitter,0.012
uang,0.012
ubah,0.012
ucul,0.024
ulang,0.109
untung,0.012
uta,0.012
utama,0.036
valey,0.012
wanita,0.036
warna,0.012
wawancara,0.012
wede,0.012
whatsapp,0.012
widih,0.012
wini,0.012
wisuda,0.012
wkwkwkwkwkwk,0.012
wkwkwkwkwkwkwkwk,0.012
woho,0.012
ya,0.073
yak,0.012
yang,0.097
yay,0.012
yey,0.012
yoga,0.012
zal,0.012
zalfa,0.012
zalp,0.012
zule,0.012
