term,weight
acak,0.009
acara,0.017
aces,0.009
ada,0.145
adaga,0.009
adan,0.009
adenya,0.017
agar,0.051
ah,0.009
aidzin,0.026
aip,0.026
air,0.009
ajak,0.009
ajar,0.026
akan,0.026
akhir,0.017
akumah,0.034
al,0.026
alias,0.009
alih,0.009
alisa,0.009
alm,0.009
amal,0.009
aman,0.009
amin,0.026
ampun,0.009
an,0.017
anak,0.06
anda,0.111
aneh,0.009
angin,0.009
ann,0.009
aolku,0.009
apa,0.017
apalagiya,0.009
aplikasi,0.026
ar,0.009
arah,0.009
arikingking,0.009
arsip,0.009
aslik,0.009
astaga,0.009
atas,0.043
atauga,0.009
ath,0.009
atuhda,0.009
atur,0.009
aul,0.009
aunties,0.009
aviwkila,0.009
ayam,0.009
ayo,0.017
azriel,0.009
bab,0.009
baca,0.026
bagaimana,0.034
bagus,0.017
bahasa,0.009
baik,0.017
balas,0.009
balik,0.017
banding,0.009
bandung,0.009
bangga,0.009
bangun,0.034
bangunin,0.009
bantu,0.043
banyak,0.017
bapak,0.077
bareng,0.009
baru,0.034
baso,0.009
batas,0.009
bawa,0.026
bawah,0.009
bawain,0.009
bayang,0.034
beada,0.009
bebas,0.009
bebeledagan,0.009
beda,0.034
begini,0.009
begitu,0.12
beku,0.009
bele,0.009
beli,0.026
benar,0.043
benci,0.026
bene,0.009
bentuk,0.009
beranda,0.009
berat,0.017
beri,0.026
berita,0.017
beritahu,0.009
berkah,0.009
bersingungan,0.009
besar,0.043
betuls,0.009
bgtbgt,0.009
bias,0.009
biasa,0.034
biaya,0.009
bibi,0.017
bicara,0.009
bilang,0.051
bilot,0.009
bingbing,0.009
bingung,0.026
bisa,0.077
bisul,0.009
bobanya,0.009
bodoh,0.009
boleh,0.009
bom,0.009
bongkar,0.009
bookmark,0.009
boong,0.009
boromeus,0.009
bos,0.009
bruntusan,0.009
buah,0.017
buat,0.009
bucat,0.009
budak,0.009
buka,0.026
bukan,0.017
buku,0.009
bulak,0.009
bulan,0.009
bulu,0.009
bumerang,0.009
buna,0.017
buntal,0.009
bunuh,0.009
burung,0.009
butuh,0.009
bw,0.009
cabut,0.009
cakue,0.009
cantik,0.009
cari,0.026
celinguk,0.009
cemil,0.077
cepat,0.034
ceplak,0.009
chairmate,0.009
cilor,0.026
cim,0.009
cincin,0.009
cingak,0.009
cinta,0.009
cip,0.017
cit,0.009
coba,0.034
cornering,0.009
corona,0.017
cpt,0.009
cuci,0.009
cuma,0.034
cuman,0.017
da,0.017
daging,0.009
damar,0.009
dan,0.043
dapat,0.026
darah,0.009
dari,0.026
daripada,0.017
dasar,0.009
datang,0.009
deby,0.009
degdeganya,0.009
deh,0.009
dekat,0.009
dengan,0.051
dentum,0.009
des,0.009
di,0.094
dia,0.043
diakumah,0.009
diam,0.034
dibekelin,0.009
dicoceng,0.009
diet,0.017
digituin,0.017
dihack,0.009
dika,0.009
dilancarin,0.009
dinding,0.009
dingetin,0.009
diskon,0.009
disuguhin,0.009
ditawarin,0.009
diterusin,0.009
doa,0.026
doang,0.009
doger,0.009
dong,0.017
dosen,0.009
du,0.009
dua,0.009
duany,0.009
duduk,0.009
dulu,0.017
dzikir,0.009
easiest,0.009
ebel,0.026
ebul,0.009
eh,0.009
elep,0.009
emosi,0.034
enaq,0.009
enek,0.017
eneuk,0.009
enk,0.017
epis,0.009
episode,0.009
erat,0.009
ermiati,0.009
