term,weight
ada,0.017
adat,0.017
adi,0.017
adil,0.033
agar,0.05
air,0.083
ajak,0.017
aji,0.017
akhir,0.017
al,0.033
alir,0.017
aman,0.033
amin,0.017
anak,0.033
anda,0.165
antisipasi,0.017
apa,0.033
april,0.017
atas,0.017
awas,0.017
awkarin,0.017
ayat,0.033
ayo,0.149
azab,0.017
babine,0.017
babu,0.017
baca,0.017
bagus,0.05
bahagia,0.017
baik,0.033
baja,0.017
bajing,0.017
bakteri,0.017
bang,0.05
bangke,0.017
bantu,0.066
barangkali,0.017
bareng,0.033
basuh,0.017
batal,0.017
bebaz,0.017
bedak,0.017
bedel,0.017
begandengan,0.017
begitu,0.083
belah,0.017
belai,0.017
benar,0.017
benda,0.017
bengkal,0.017
bisa,0.033
bojone,0.017
bola,0.033
bolong,0.017
bom,0.033
buat,0.099
buber,0.017
budak,0.017
buka,0.017
bukti,0.017
bulan,0.017
cangkeman,0.017
canin,0.033
cantik,0.05
capai,0.017
cari,0.033
cemar,0.017
cemburuin,0.017
cemil,0.066
cendol,0.017
ceng,0.017
cengel,0.017
cepat,0.066
cerewet,0.017
cerita,0.017
ces,0.017
cidro,0.017
cinta,0.116
cintak,0.017
coba,0.017
combed,0.017
congor,0.017
corona,0.017
cuk,0.017
cuma,0.033
dadi,0.033
dal,0.05
dama,0.017
dan,0.017
darah,0.017
dari,0.017
dasar,0.017
datang,0.017
dawet,0.017
demo,0.017
desa,0.017
dewe,0.017
di,0.083
dia,0.05
dikit,0.017
dilema,0.033
doa,0.017
donasi,0.017
dong,0.033
donga,0.017
dulu,0.017
dungs,0.017
duwur,0.017
edan,0.017
egois,0.017
em,0.017
enak,0.017
entar,0.017
entek,0.017
erat,0.017
fakboi,0.017
fase,0.017
fatihah,0.017
fine,0.017
floyd,0.017
frey,0.017
gadis,0.05
gagah,0.017
gah,0.017
gakmau,0.017
gaktau,0.017
ganti,0.017
gas,0.05
gatal,0.017
gawe,0.017
gaz,0.017
gelem,0.017
gelut,0.017
gendak,0.017
geng,0.017
genti,0.017
george,0.017
gin,0.017
gratis,0.017
habis,0.033
hai,0.017
hal,0.033
halah,0.017
hamil,0.017
hangat,0.017
harga,0.017
hari,0.017
henti,0.017
herpes,0.017
hilang,0.033
hindun,0.017
hukum,0.017
ibu,0.033
idam,0.017
idr,0.017
ikut,0.017
iman,0.017
inalilahi,0.017
inces,0.017
indonesia,0.017
ini,0.116
instagramable,0.017
inti,0.017
iseh,0.017
islam,0.017
istimewa,0.017
isyak,0.017
itu,0.066
ivan,0.017
jacob,0.017
jadi,0.05
jalan,0.05
jancuk,0.017
japape,0.05
japepe,0.017
jebul,0.017
jelaske,0.017
jijik,0.017
jola,0.05
jos,0.017
jual,0.017
juang,0.05
kabeh,0.033
kain,0.017
kalah,0.017
kalik,0.017
kami,0.017
kandung,0.017
kaos,0.033
kapas,0.033
karena,0.017
karma,0.017
kartoyono,0.017
karya,0.017
kasi,0.083
katah,0.017
ke,0.017
kebahagian,0.017
kelapa,0.033
keluarga,0.017
kenapa,0.099
kencan,0.017
kenyang,0.017
keplak,0.017
keras,0.017
ketawa,0.017
ketemu,0.033
ketinggalan,0.017
ki,0.017
kiamat,0.017
kiro,0.017
kitab,0.017
klambi,0.017
kode,0.017
koe,0.066
kon,0.017
kono,0.017
konsep,0.017
kotor,0.017
kriminalisasi,0.017
krisna,0.017
ksb,0.017
kucing,0.033
kumis,0.017
kupas,0.017
kuping,0.017
kursi,0.017
kuwi,0.017
laf,0.017
lagieh,0.017
lah,0.017
lak,0.033
laki,0.132
lakoke,0.017
lalu,0.017
lamar,0.017
lan,0.017
lanang,0.017
lang,0.017
langsung,0.033
lawan,0.017
layak,0.017
le,0.033
lee,0.017
lekas,0.017
lelah,0.017
lemu,0.017
lepas,0.033
lindu,0.017
lindung,0.017
lingkar,0.017
longar,0.017
luk,0.017
maaf,0.017
macak,0.017
madang,0.05
maguwo,0.033
malah,0.017
malu,0.017
maluk,0.017
mangkat,0.017
mangkelin,0.017
maniez,0.017
manis,0.017
mantan,0.033
mantap,0.017
manusia,0.017
mari,0.05
martabak,0.017
masih,0.017
masker,0.033
masuk,0.017
masya,0.033
masyarakat,0.017
mati,0.017
mau,0.033
maz,0.066
mboh,0.033
mbok,0.017
medis,0.05
meetup,0.017
meja,0.033
menang,0.017
menget,0.017
menstruasi,0.033
meong,0.017
mergo,0.017
mes,0.033
mesti,0.017
mil,0.017
minat,0.017
misuh,0.05
moro,0.017
muda,0.05
mugo,0.033
muka,0.017
mulai,0.017
muluk,0.033
mutung,0.017
nabi,0.033
nabrak,0.017
nafsu,0.017
nakal,0.033
nama,0.017
nan,0.017
negri,0.017
nembak,0.017
nembung,0.017
nenek,0.033
nerima,0.017
ngechat,0.017
ngejak,0.017
ngene,0.033
ngeremehin,0.017
ngisor,0.017
ngo,0.017
ngopo,0.017
ngumumke,0.017
niat,0.017
nich,0.017
nit,0.033
numpang,0.017
nya,0.017
nyawang,0.017
obong,0.017
og,0.017
ojo,0.017
ole,0.017
oleh,0.017
omah,0.017
omong,0.033
online,0.05
ono,0.017
orang,0.017
pacar,0.033
padang,0.017
pagi,0.017
pakai,0.066
paman,0.017
pancen,0.017
panci,0.033
panutan,0.017
pasu,0.017
pdf,0.017
pe,0.017
peduli,0.017
pee,0.017
peng,0.017
pengang,0.017
pengirim,0.116
perbarui,0.017
peres,0.017
pergi,0.017
pesan,0.033
petakilan,0.017
petisi,0.05
piepie,0.017
pikir,0.033
plascharge,0.017
plenteng,0.017
po,0.033
podo,0.017
pokok,0.017
pre,0.017
pria,0.05
prioritas,0.017
proses,0.017
psikopat,0.017
puasa,0.017
pula,0.017
pulang,0.017
pulih,0.017
putih,0.033
putus,0.033
ra,0.033
raja,0.033
rasa,0.017
rasah,0.066
realisme,0.017
rejekinya,0.017
rek,0.017
rem,0.033
retweet,0.017
rezeki,0.033
ringin,0.033
ro,0.033
rocevery,0.017
ros,0.017
ru,0.017
rumah,0.017
sabar,0.017
sah,0.017
sahabat,0.017
saiki,0.033
saim,0.017
saja,0.066
salahin,0.017
sambat,0.05
sampah,0.017
sampai,0.033
sangar,0.05
saran,0.017
saru,0.017
saudara,0.462
saya,0.099
sayang,0.099
sayap,0.033
scadix,0.017
sebar,0.017
sedih,0.033
sehat,0.017
sekal,0.017
sekali,0.116
selalu,0.033
selamat,0.017
semangat,0.033
sembuh,0.05
sembuyi,0.017
semoga,0.132
semua,0.017
sepakbola,0.017
sepatu,0.017
seperti,0.05
seret,0.017
sesat,0.017
sesuatu,0.017
shalicin,0.017
siam,0.017
siapa,0.033
sih,0.017
sijine,0.017
sik,0.066
skripsi,0.017
sleman,0.017
sliramu,0.017
sok,0.017
sokor,0.017
solat,0.017
sor,0.017
spertinya,0.017
spesifikasi,0.017
suapin,0.033
suara,0.017
suci,0.017
sudah,0.05
sudut,0.017
suka,0.017
sumbang,0.017
suporter,0.017
surah,0.033
suruh,0.017
susah,0.017
suwi,0.017
syedih,0.017
syek,0.033
syukur,0.033
tadarus,0.017
tahun,0.017
tai,0.017
takut,0.017
tambah,0.017
tanda,0.05
tandatangani,0.05
tanya,0.017
tawa,0.363
tawakal,0.017
tekan,0.017
telinga,0.017
teman,0.017
tempat,0.017
tenaga,0.033
tenan,0.017
terimakasih,0.099
terjemah,0.017
teryata,0.017
tetap,0.033
tidak,0.281
tinta,0.017
titit,0.017
toilet,0.017
tolak,0.017
tolong,0.033
tonton,0.033
total,0.017
totol,0.017
trauma,0.017
tresno,0.017
trz,0.017
tua,0.017
tugas,0.017
tuhan,0.05
tulis,0.017
tunggu,0.017
tur,0.017
twitter,0.033
uang,0.033
udu,0.017
ulang,0.017
umur,0.033
untuk,0.05
untung,0.017
upa,0.017
usahain,0.017
utama,0.033
uwes,0.017
via,0.017
vita,0.017
wacana,0.033
wajib,0.033
wak,0.017
walau,0.017
walikota,0.017
wanita,0.215
waqiah,0.017
waton,0.017
wedok,0.017
wee,0.017
wees,0.017
whatsapp,0.017
wilayah,0.017
wudhu,0.017
ya,0.033
yakduh,0.017
yang,0.05
yogayakarta,0.017
yogyakarta,0.033
yowes,0.033
zona,0.017
