term,weight
aa,0.032
ada,0.127
admin,0.008
agama,0.016
agar,0.008
ajak,0.008
ajar,0.008
aji,0.008
akad,0.016
akan,0.016
aki,0.008
al,0.008
alas,0.008
albumeun,0.008
alkes,0.008
aman,0.008
an,0.048
anak,0.087
anda,0.008
angka,0.008
angkutan,0.008
antar,0.008
anterin,0.008
apa,0.071
asah,0.008
asik,0.008
asong,0.008
avengers,0.008
awal,0.008
ayo,0.135
baca,0.008
badan,0.008
bagaimana,0.024
bahagia,0.008
bahan,0.008
bandung,0.032
bangga,0.008
bantu,0.008
banyak,0.008
bapak,0.032
bareng,0.008
baru,0.032
basah,0.008
batal,0.016
batin,0.008
batuk,0.008
bawah,0.008
bcl,0.008
beberapa,0.016
beda,0.008
begini,0.008
behel,0.024
behelan,0.008
belai,0.008
belakang,0.008
belanja,0.008
beli,0.063
belum,0.008
benar,0.016
benci,0.008
bentar,0.008
berapa,0.008
berat,0.016
berecana,0.008
berita,0.008
berkurumun,0.008
berlanganan,0.008
berpemghasilan,0.008
bersin,0.008
besar,0.008
besok,0.016
beta,0.008
biasa,0.008
biaya,0.008
bilang,0.016
bingung,0.016
bisa,0.143
bodoamat,0.008
bonceng,0.008
bosan,0.048
bosenya,0.008
brengsek,0.008
buat,0.032
budi,0.008
buka,0.032
bukan,0.024
buku,0.008
bulan,0.008
buruk,0.008
butir,0.016
butuh,0.016
campur,0.016
cantik,0.008
cemil,0.079
cepat,0.024
cerita,0.032
choy,0.008
ci,0.008
cilik,0.008
cinta,0.008
coba,0.024
corona,0.048
cuaca,0.008
cuankie,0.016
cuma,0.008
dadak,0.008
daerah,0.008
dagang,0.008
daging,0.008
dalam,0.008
dampak,0.008
dan,0.016
dapat,0.016
dari,0.048
datang,0.008
dea,0.032
debu,0.008
dek,0.008
dekat,0.016
dena,0.008
dengan,0.008
dengar,0.008
derajat,0.008
desa,0.008
di,0.246
dia,0.016
dikerjain,0.008
dikit,0.008
dikosan,0.008
dingin,0.008
diri,0.04
dit,0.016
doang,0.016
donasi,0.016
drama,0.008
dt,0.008
