term,weight
able,0.008
ada,0.023
adalah,0.015
aduh,0.015
agama,0.031
agar,0.046
ah,0.008
ahli,0.008
air,0.008
ajak,0.008
ajar,0.023
aji,0.008
akan,0.008
akh,0.015
akhir,0.046
aktif,0.015
akurat,0.008
alas,0.015
alias,0.015
alvin,0.008
aman,0.008
ambil,0.015
amel,0.008
amelnya,0.008
ampun,0.008
an,0.031
anak,0.023
anasta,0.008
anda,0.16
andarini,0.008
andok,0.008
aneh,0.008
angin,0.015
angkat,0.008
antem,0.008
antisipasi,0.008
apa,0.107
arah,0.015
asap,0.015
astaghfirulahaladzim,0.008
atas,0.015
athaya,0.015
atur,0.015
ayah,0.015
ayam,0.008
ayo,0.023
baca,0.038
bagaimana,0.046
bagus,0.008
bahas,0.008
baik,0.031
balas,0.023
balesnya,0.008
bangga,0.008
bangun,0.015
banyak,0.023
bapak,0.008
bareng,0.008
barracuda,0.008
baru,0.031
bau,0.008
bawa,0.023
bebek,0.008
beberapa,0.008
beda,0.008
begini,0.015
begitu,0.046
belanja,0.015
beli,0.008
beludru,0.008
belum,0.046
benar,0.099
benda,0.008
berapa,0.008
bercengkrama,0.008
berisik,0.008
berita,0.008
besok,0.031
bey,0.008
biadab,0.015
biarin,0.008
biarpun,0.008
bias,0.008
biasa,0.008
biasane,0.008
bicara,0.023
bilang,0.008
bingung,0.023
bintang,0.008
bisa,0.061
bisindo,0.008
bk,0.008
bodoh,0.015
bohong,0.008
bola,0.008
bolak,0.008
bom,0.008
boro,0.008
bosan,0.008
brosur,0.008
buagus,0.008
buah,0.008
buat,0.069
budak,0.008
buka,0.008
bulan,0.008
bulmat,0.008
bunyi,0.008
burgerking,0.008
buruk,0.008
buset,0.008
butuh,0.015
cakap,0.008
camil,0.008
cantik,0.008
cara,0.008
cari,0.008
cc,0.008
ceker,0.008
cemil,0.023
cenderung,0.008
cepat,0.015
ceplos,0.008
cerita,0.023
cermin,0.008
ceroboh,0.008
cetak,0.008
chandraliow,0.008
chatku,0.008
cia,0.008
cinta,0.008
coba,0.015
cocor,0.008
cok,0.008
contek,0.008
corelku,0.008
corona,0.015
cuil,0.008
cuma,0.008
cuy,0.008
da,0.008
dadi,0.008
daftar,0.015
dakwah,0.008
dan,0.046
dana,0.008
dapat,0.015
dar,0.008
dari,0.031
daripada,0.015
dasar,0.008
datang,0.008
dekat,0.008
dele,0.008
dendam,0.008
dengan,0.061
dengar,0.008
deutsch,0.015
di,0.053
dia,0.031
diam,0.008
dian,0.008
diangep,0.008
diarani,0.008
dicancel,0.008
didik,0.008
difolbek,0.008
difolow,0.008
digonceng,0.008
dih,0.008
dihubungin,0.008
dikenalin,0.008
dikit,0.008
dilock,0.008
dimana,0.008
diomongin,0.008
dipack,0.008
dirawatin,0.008
disabilitas,0.008
disamaratain,0.008
dit,0.008
djeqi,0.008
doa,0.008
doang,0.023
dpl,0.023
dplku,0.008
drama,0.015
duduk,0.008
dulu,0.031
dunia,0.023
duyung,0.008
edgy,0.008
edit,0.008
elah,0.008
elpigi,0.008
emosi,0.015
