term,weight
acne,0.017
ada,0.086
ademe,0.017
adil,0.017
adohe,0.017
aduh,0.034
aha,0.017
aidzin,0.017
ajak,0.017
akan,0.017
akhir,0.017
akhlak,0.017
aktivitas,0.017
alamat,0.017
ale,0.017
aman,0.017
amin,0.034
ampun,0.017
anak,0.034
anda,0.051
angpao,0.017
apa,0.172
apel,0.017
asline,0.017
ayah,0.034
ayo,0.034
bagaimana,0.017
bagus,0.051
bajilak,0.017
balas,0.017
banding,0.017
bang,0.017
bangke,0.017
banyak,0.017
banyakin,0.017
bar,0.017
bareng,0.034
batal,0.017
batin,0.017
bawa,0.017
beli,0.017
ben,0.017
benar,0.034
bengi,0.069
beranda,0.017
berat,0.017
berkah,0.017
bersih,0.034
besok,0.086
besoksilaturahmu,0.017
bha,0.017
bi,0.017
bicara,0.034
bilang,0.034
bimbing,0.034
bingung,0.017
biru,0.017
bisa,0.017
bisnis,0.017
bo,0.017
bodoh,0.017
buah,0.034
buka,0.034
bukti,0.017
bulan,0.034
buteq,0.017
butuh,0.017
cahaya,0.017
cakap,0.017
calca,0.017
calone,0.017
cari,0.034
catat,0.017
cecak,0.017
cedak,0.034
cemil,0.017
centong,0.017
cicak,0.017
cinta,0.017
ckckckck,0.017
coba,0.034
cocok,0.034
coro,0.034
corona,0.051
cosrx,0.034
creamnya,0.017
cuma,0.017
daftar,0.017
dal,0.034
damping,0.017
dan,0.034
dapat,0.017
dasar,0.017
debat,0.017
dedy,0.017
deh,0.017
detected,0.017
detik,0.017
di,0.051
diam,0.017
didik,0.017
dikancani,0.017
diladenin,0.017
dimarahin,0.017
dingat,0.017
dingo,0.034
dino,0.017
dinonaktifne,0.017
diri,0.017
dishare,0.017
ditingalkan,0.017
diunreg,0.017
doang,0.051
dokter,0.017
dong,0.017
dua,0.034
dulu,0.017
edan,0.017
em,0.069
enaq,0.017
endi,0.017
eneke,0.017
entek,0.017
entuk,0.017
ewu,0.017
faidzin,0.017
fast,0.017
fitri,0.034
foto,0.017
fotone,0.017
gajah,0.017
gambar,0.034
ganguanya,0.017
ganjil,0.034
ganti,0.017
gantung,0.017
gawe,0.017
gemblung,0.017
genap,0.017
gethuk,0.017
ghosting,0.017
gin,0.017
godog,0.034
goro,0.034
gulir,0.017
gulu,0.017
gusti,0.017
hal,0.017
halal,0.034
hanya,0.017
harga,0.017
hari,0.017
harus,0.051
hasil,0.017
hati,0.034
helm,0.017
hidup,0.069
hilang,0.017
hubung,0.034
hutang,0.017
hwa,0.017
hypermart,0.017
ibadah,0.034
ibu,0.034
ide,0.034
idul,0.034
ilmu,0.017
iloveyou,0.034
iman,0.034
ini,0.051
instan,0.017
isi,0.017
itu,0.017
iya,0.017
jadi,0.034
jaga,0.069
jalan,0.017
jam,0.017
jancok,0.017
jarak,0.017
jerawat,0.017
jilbab,0.017
jne,0.017
jodoh,0.017
joget,0.017
jomblo,0.017
jual,0.034
juni,0.017
jurnal,0.017
jurus,0.017
kabeh,0.034
kalah,0.017
kalau,0.051
kale,0.017
kalean,0.017
kali,0.017
kamar,0.017
kamera,0.017
kapa,0.017
kapan,0.017
karang,0.017
kasih,0.017
kating,0.069
ke,0.017
kecuali,0.017
kecut,0.017
keh,0.017
kei,0.017
kelas,0.017
keluarga,0.034
kemarin,0.051
ken,0.034
kenal,0.017
kenang,0.017
kene,0.017
kepala,0.017
keramas,0.017
ket,0.017
ketik,0.017
ki,0.069
kilang,0.034
klenger,0.017
koe,0.069
komitmen,0.017
kondisi,0.017
konspirasi,0.017
konsul,0.034
kontrol,0.017
kopi,0.017
kosku,0.017
kota,0.017
kti,0.017
kuat,0.017
kui,0.017
kulit,0.017
kumlot,0.017
kunci,0.017
kurang,0.017
la,0.034
label,0.017
lagi,0.034
lahir,0.017
laila,0.017
laki,0.292
lali,0.017
lam,0.017
lama,0.017
lambene,0.017
lancar,0.017
langsung,0.034
laptop,0.017
lebaran,0.017
lebih,0.017
lee,0.034
lembar,0.017
lepat,0.017
lepek,0.017
lesu,0.017
lihat,0.034
link,0.034
listrik,0.017
liyane,0.051
loh,0.017
loreal,0.017
lumayan,0.017
lupa,0.017
maaf,0.034
mahasiswi,0.017
maju,0.017
makin,0.017
maksiat,0.034
makul,0.017
mal,0.017
malam,0.017
mana,0.017
mandi,0.034
manis,0.034
masa,0.017
masih,0.017
massa,0.034
masuk,0.017
mau,0.051
mbah,0.017
mbendino,0.017
mbiyen,0.017
mbuk,0.017
meh,0.051
mejikom,0.017
melembabkan,0.017
melu,0.034
memang,0.086
menawi,0.017
mesti,0.034
meter,0.017
metu,0.069
meweq,0.017
mie,0.034
miker,0.017
mimpi,0.017
minggu,0.017
minyak,0.034
misuh,0.034
molen,0.017
mon,0.017
mosok,0.017
muda,0.017
mung,0.034
mutualku,0.017
nanah,0.017
nang,0.017
nangung,0.017
nawari,0.017
ncen,0.051
nde,0.017
ndi,0.017
ne,0.017
negoro,0.017
neh,0.017
ngajari,0.017
ngampus,0.017
ngarap,0.017
ngedumel,0.017
ngekek,0.017
ngelu,0.017
ngenalinya,0.017
ngepap,0.017
ngingu,0.017
ngko,0.017
ngo,0.017
ngone,0.017
ngopo,0.017
nguyune,0.017
ning,0.086
njedul,0.017
nratape,0.017
nyala,0.017
nyanyi,0.034
nyaur,0.017
nyuwun,0.017
oalah,0.017
obat,0.017
obrol,0.017
offline,0.017
