term,weight
abdul,0.016
acak,0.008
acara,0.008
ada,0.041
adalah,0.261
agar,0.016
air,0.008
ajar,0.016
akan,0.049
akh,0.008
akhir,0.041
akrab,0.008
aku,0.008
akun,0.008
al,0.008
alam,0.024
alas,0.016
alat,0.008
alkohol,0.008
an,0.049
anak,0.008
anda,0.163
android,0.008
aneh,0.024
anyone,0.008
apa,0.106
approved,0.008
april,0.008
arus,0.008
asf,0.008
asi,0.016
ask,0.008
asli,0.024
aspek,0.008
astaga,0.016
asumsi,0.008
atas,0.008
atau,0.016
atur,0.008
ayo,0.016
bab,0.008
babi,0.008
bagi,0.008
bagus,0.008
bahas,0.008
bahasa,0.008
bahkan,0.008
baik,0.041
bajing,0.171
bakar,0.008
balas,0.008
balasan,0.016
bang,0.008
bangun,0.016
banyak,0.057
barbar,0.008
bareng,0.008
baru,0.008
bas,0.008
batal,0.008
batu,0.016
bau,0.016
bayar,0.016
beban,0.008
bebas,0.008
beda,0.016
begini,0.008
begitu,0.033
beh,0.008
beli,0.008
belok,0.008
benar,0.041
benci,0.008
benda,0.016
beranda,0.008
berapa,0.008
berhenti,0.008
bersih,0.016
besok,0.016
betot,0.008
between,0.008
beyblades,0.008
beyond,0.008
bgtbgtbgt,0.008
biadab,0.008
biji,0.008
bilang,0.008
bisa,0.049
bismillah,0.008
bisnis,0.008
blocking,0.008
blok,0.008
bodoh,0.073
bohong,0.008
bonus,0.008
born,0.008
bos,0.008
bre,0.008
buah,0.008
buat,0.09
bubuk,0.008
buddies,0.008
buka,0.041
buku,0.008
bulan,0.008
bulu,0.008
bumi,0.008
bunuh,0.008
buta,0.016
butuh,0.024
cair,0.008
canda,0.016
cantik,0.008
cara,0.033
cat,0.016
celana,0.008
cemil,0.008
cepat,0.033
cerewet,0.008
cewenya,0.008
cheese,0.008
christianity,0.008
chrome,0.008
chromeos,0.008
chromium,0.008
cinta,0.024
clarification,0.008
cleanest,0.008
co,0.008
coba,0.049
comes,0.008
copot,0.008
corona,0.024
coronavirus,0.008
created,0.008
cultured,0.008
cuy,0.008
cvs,0.008
dadak,0.008
dagang,0.016
daging,0.008
damar,0.008
dan,0.098
dapat,0.065
dapur,0.008
darat,0.008
dari,0.122
darimana,0.008
dasar,0.008
days,0.008
deadline,0.008
default,0.008
dengan,0.082
dengar,0.008
dependencies,0.008
deserves,0.008
di,0.073
dia,0.033
didik,0.008
diluar,0.016
dingin,0.008
diomelin,0.008
diri,0.008
doang,0.016
doing,0.008
dosen,0.016
dota,0.008
download,0.008
drunk,0.008
dulu,0.008
dunia,0.008
edar,0.008
efektif,0.016
ekstraksi,0.008
em,0.008
emosi,0.008
enak,0.008
energi,0.008
enhancement,0.008
enhancements,0.008
es,0.008
etdah,0.008
euy,0.008
every,0.008
everyones,0.008
example,0.008
except,0.008
exceptions,0.008
expectations,0.008
fakultas,0.008
fenomena,0.008
fisherface,0.008
fitur,0.016
fleksibel,0.008
friends,0.008
fucks,0.008
gabgerti,0.008
gadibalesnya,0.008
gadis,0.008
gambar,0.024
game,0.016
ganggu,0.008
ganti,0.016
garong,0.008
gaspol,0.008
gel,0.008
gelar,0.008
geli,0.016
gerutu,0.016
getting,0.008
gila,0.016
gin,0.024
gitar,0.008
github,0.008
gives,0.008
gm,0.008
goa,0.106
goclean,0.008
goddamned,0.008
gombal,0.008
gordon,0.008
gratis,0.008
guna,0.008
gurun,0.008
habib,0.008
habibie,0.008
habis,0.016
hai,0.008
hal,0.008
hampir,0.008
hangat,0.008
hanya,0.09
harap,0.024
harfiah,0.008
harga,0.008
hari,0.016
harus,0.016
hasil,0.008
hati,0.033
havent,0.008
hayley,0.008
hebat,0.008
henti,0.008
heran,0.008
hidup,0.008
hilang,0.024
hiperbola,0.008
his,0.008
histogram,0.008
hubung,0.008
huruf,0.008
hypocrites,0.008
ibu,0.024
ide,0.008
ied,0.008
ign,0.008
ikon,0.008
imbang,0.008
impressed,0.008
imut,0.008
in,0.024
indihome,0.008
indihomes,0.008
individu,0.008
indonesia,0.008
indons,0.008
infeksi,0.008
ingat,0.024
ingin,0.024
ini,0.253
instead,0.008
ios,0.008
iri,0.008
isap,0.008
islam,0.008
istirahat,0.008
itu,0.424
itumah,0.008
ive,0.008
iya,0.041
jadi,0.098
jam,0.016
jatuh,0.008
jauh,0.008
jawab,0.008
jenis,0.008
jerinxan,0.008
jerit,0.008
jika,0.008
jodoh,0.008
jokes,0.008
joki,0.024
juga,0.041
julid,0.008
jumat,0.024
jurnal,0.024
kalah,0.016
kalau,0.09
kamar,0.016
kantor,0.049
karena,0.049
karya,0.008
kasih,0.008
kata,0.008
ke,0.008
